District,Year,Type of Court,Functioning Courts
Ahilyanagar,2006,Civil Court,
Ahilyanagar,2006,Consumer Forum,
Ahilyanagar,2006,Criminal Court,
Ahilyanagar,2006,District Magistrate And Executive Magistrate,
Ahilyanagar,2006,Family Court,
Ahilyanagar,2006,Industrial Court,
Ahilyanagar,2006,Labor Court,
Ahilyanagar,2006,Public Court,
Ahilyanagar,2008,Civil Court,
Ahilyanagar,2008,Consumer Forum,
Ahilyanagar,2008,Criminal Court,
Ahilyanagar,2008,District Magistrate And Executive Magistrate,
Ahilyanagar,2008,Family Court,
Ahilyanagar,2008,Industrial Court,
Ahilyanagar,2008,Labor Court,
Ahilyanagar,2008,Public Court,
Ahilyanagar,2009,Civil Court,38.0
Ahilyanagar,2009,Consumer Forum,1.0
Ahilyanagar,2009,Criminal Court,54.0
Ahilyanagar,2009,District Magistrate And Executive Magistrate,1.0
Ahilyanagar,2009,Family Court,
Ahilyanagar,2009,Industrial Court,1.0
Ahilyanagar,2009,Labor Court,2.0
Ahilyanagar,2009,Public Court,
Ahilyanagar,2010,Civil Court,38.0
Ahilyanagar,2010,Consumer Forum,1.0
Ahilyanagar,2010,Criminal Court,54.0
Ahilyanagar,2010,District Magistrate And Executive Magistrate,1.0
Ahilyanagar,2010,Family Court,
Ahilyanagar,2010,Industrial Court,1.0
Ahilyanagar,2010,Labor Court,2.0
Ahilyanagar,2010,Public Court,
Ahilyanagar,2011,Civil Court,38.0
Ahilyanagar,2011,Consumer Forum,1.0
Ahilyanagar,2011,Criminal Court,54.0
Ahilyanagar,2011,District Magistrate And Executive Magistrate,1.0
Ahilyanagar,2011,Family Court,
Ahilyanagar,2011,Industrial Court,1.0
Ahilyanagar,2011,Labor Court,2.0
Ahilyanagar,2011,Public Court,
Ahilyanagar,2012,Civil Court,38.0
Ahilyanagar,2012,Consumer Forum,1.0
Ahilyanagar,2012,Criminal Court,54.0
Ahilyanagar,2012,District Magistrate And Executive Magistrate,1.0
Ahilyanagar,2012,Family Court,
Ahilyanagar,2012,Industrial Court,1.0
Ahilyanagar,2012,Labor Court,2.0
Ahilyanagar,2012,Public Court,
Ahilyanagar,2013,Civil Court,38.0
Ahilyanagar,2013,Consumer Forum,1.0
Ahilyanagar,2013,Criminal Court,54.0
Ahilyanagar,2013,District Magistrate And Executive Magistrate,1.0
Ahilyanagar,2013,"Family Court
",
Ahilyanagar,2013,Industrial Court,1.0
Ahilyanagar,2013,Labor Court,2.0
Ahilyanagar,2013,Public Court,
Ahilyanagar,2014,Civil Court,32.0
Ahilyanagar,2014,Consumer Forum,1.0
Ahilyanagar,2014,Criminal Court,46.0
Ahilyanagar,2014,District Magistrate And Executive Magistrate,1.0
Ahilyanagar,2014,"Family Court
",
Ahilyanagar,2014,Industrial Court,1.0
Ahilyanagar,2014,Labor Court,2.0
Ahilyanagar,2014,Public Court,
Ahilyanagar,2015,Civil Court,62.0
Ahilyanagar,2015,Consumer Forum,1.0
Ahilyanagar,2015,Criminal Court,46.0
Ahilyanagar,2015,District Magistrate And Executive Magistrate,1.0
Ahilyanagar,2015,"Family Court
",
Ahilyanagar,2015,Industrial Court,1.0
Ahilyanagar,2015,Labor Court,2.0
Ahilyanagar,2015,Public Court,1.0
Ahilyanagar,2016,Civil Court,66.0
Ahilyanagar,2016,Consumer Forum,1.0
Ahilyanagar,2016,Criminal Court,49.0
Ahilyanagar,2016,District Magistrate And Executive Magistrate,1.0
Ahilyanagar,2016,Family Court,
Ahilyanagar,2016,Industrial Court,1.0
Ahilyanagar,2016,Labor Court,2.0
Ahilyanagar,2016,Public Court,1.0
Ahilyanagar,2017,Civil Court,66.0
Ahilyanagar,2017,Consumer Forum,1.0
Ahilyanagar,2017,Criminal Court,49.0
Ahilyanagar,2017,District Magistrate And Executive Magistrate,1.0
Ahilyanagar,2017,Family Court,
Ahilyanagar,2017,Industrial Court,1.0
Ahilyanagar,2017,Labor Court,2.0
Ahilyanagar,2017,Public Court,1.0
Ahilyanagar,2018,Civil Court,66.0
Ahilyanagar,2018,Consumer Forum,1.0
Ahilyanagar,2018,Criminal Court,49.0
Ahilyanagar,2018,District Magistrate And Executive Magistrate,1.0
Ahilyanagar,2018,"Family Court
",
Ahilyanagar,2018,Industrial Court,1.0
Ahilyanagar,2018,Labor Court,2.0
Ahilyanagar,2018,Public Court,1.0
Ahilyanagar,2019,Civil Court,4.0
Ahilyanagar,2019,Consumer Forum,1.0
Ahilyanagar,2019,Criminal Court,4.0
Ahilyanagar,2019,District Magistrate And Executive Magistrate,1.0
Ahilyanagar,2019,"Family Court
",
Ahilyanagar,2019,Industrial Court,1.0
Ahilyanagar,2019,Labor Court,2.0
Ahilyanagar,2019,Public Court,1.0
Ahilyanagar,2020,Civil Court,42.0
Ahilyanagar,2020,Consumer Forum,1.0
Ahilyanagar,2020,Criminal Court,42.0
Ahilyanagar,2020,District Magistrate And Executive Magistrate,1.0
Ahilyanagar,2020,"Family Court
",
Ahilyanagar,2020,Industrial Court,1.0
Ahilyanagar,2020,Labor Court,2.0
Ahilyanagar,2020,Public Court,1.0
Ahilyanagar,2021,Civil Court,47.0
Ahilyanagar,2021,Consumer Forum,1.0
Ahilyanagar,2021,Criminal Court,47.0
Ahilyanagar,2021,District Magistrate And Executive Magistrate,1.0
Ahilyanagar,2021,"Family Court
",
Ahilyanagar,2021,Industrial Court,1.0
Ahilyanagar,2021,Labor Court,2.0
Ahilyanagar,2021,Public Court,1.0
Akola,2012,Civil Court,32.0
Akola,2012,Consumer Forum,1.0
Akola,2012,Criminal Court,31.0
Akola,2012,District Magistrate And Executive Magistrate,7.0
Akola,2012,Family Court,1.0
Akola,2012,Industrial Court,1.0
Akola,2012,Labor Court,1.0
Akola,2012,Public Court,
Akola,2013,Civil Court,34.0
