District,Year,Type of Court,Number of Functioning courts,Total Cases,Approved Judge Posts,Judge Positions Filled,Number of Regular Original Cases,Number of Miscellaneous Original Cases,Number of Regular Appeal Cases,Number of Miscellaneous Appeal Cases
Ahilyanagar,2012,Civil Court,38,21647,38,29,8589,9030,1255,2773
Ahilyanagar,2012,Criminal Court,54,50092,60,43,9309,30767,986,9030
Ahilyanagar,2012,Public Court,,,,,,,,
Ahilyanagar,2012,Labor Court,2,707,2,2,707,0,0,0
Ahilyanagar,2012,Industrial Court,1,410,1,1,201,0,209,0
Ahilyanagar,2012,Family Court,,,,,,,,
Ahilyanagar,2012,District Magistrate And Executive Magistrate,1,1482,1,1,1482,0,0,0
Ahilyanagar,2012,Customer Forum,1,10970,3,2,9291,1679,0,0
Ahilyanagar,2013,Civil Court,38,17737,38,31,8165,6118,958,2496
Ahilyanagar,2013,Criminal Court,54,38589,60,49,10409,23500,1358,3322
Ahilyanagar,2013,Public Court,,,,,,,,
Ahilyanagar,2013,Labor Court,2,366,2,2,292,74,0,0
Ahilyanagar,2013,Industrial Court,1,282,1,1,174,0,108,0
Ahilyanagar,2013,Family Court,,,,,,,,
Ahilyanagar,2013,District Magistrate And Executive Magistrate,1,1840,1,1,1840,0,0,0
Ahilyanagar,2013,Customer Forum,1,13296,3,3,11973,1323,0,0
Ahilyanagar,2014,Civil Court,32,16955,32,31,7781,5565,1167,2442
Ahilyanagar,2014,Criminal Court,46,39184,46,46,9574,25033,1059,3518
Ahilyanagar,2014,Public Court,,10093,,,,,,
Ahilyanagar,2014,Labor Court,2,607,2,1,543,64,0,0
Ahilyanagar,2014,Industrial Court,1,170,1,1,123,0,47,0
Ahilyanagar,2014,Family Court,,,,,,,,
Ahilyanagar,2014,District Magistrate And Executive Magistrate,1,1840,1,1,1840,0,,
Ahilyanagar,2014,Customer Forum,1,1378,3,3,859,519,,
Ahilyanagar,2015,Civil Court,62,15655,62,62,7056,4952,968,2679
Ahilyanagar,2015,Criminal Court,46,35046,46,46,8222,22247,897,3680
Ahilyanagar,2015,Public Court,1,12500,,,,,,
Ahilyanagar,2015,Labor Court,2,815,2,2,776,39,,
Ahilyanagar,2015,Industrial Court,1,1254,1,1,1149,,105,
Ahilyanagar,2015,Family Court,,,,,,,,
Ahilyanagar,2015,District Magistrate And Executive Magistrate,1,1369,1,1,1369,,,
Ahilyanagar,2015,Customer Forum,1,1457,3,3,922,535,,
Ahilyanagar,2016,Civil Court,66,16242,66,65,6720,5060,1062,3400
Ahilyanagar,2016,Criminal Court,49,31426,49,49,6497,19529,1414,3986
Ahilyanagar,2016,Public Court,1,18583,,,,,,
