District,Year,Type of Court,Regular,Miscellaneous,All Original Cases
Ahilyanagar,2006,Civil Court,6459.0,569.0,11528.0
Ahilyanagar,2006,Consumer Forum,,,
Ahilyanagar,2006,Criminal Court,2987.0,1198.0,32895.0
Ahilyanagar,2006,District Magistrate And Executive Magistrate,,,
Ahilyanagar,2006,Family Court,,,
Ahilyanagar,2006,Industrial Court,27.0,28.0,298.0
Ahilyanagar,2006,Labor Court,1365.0,,1365.0
Ahilyanagar,2006,Public Court,1953.0,153.0,216.0
Ahilyanagar,2008,Civil Court,1714.0,15949.0,17663.0
Ahilyanagar,2008,Consumer Forum,,,
Ahilyanagar,2008,Criminal Court,4937.0,2462.0,28999.0
Ahilyanagar,2008,District Magistrate And Executive Magistrate,,,
Ahilyanagar,2008,Family Court,,,
Ahilyanagar,2008,Industrial Court,384.0,47.0,431.0
Ahilyanagar,2008,Labor Court,397.0,47.0,444.0
Ahilyanagar,2008,Public Court,8.0,98.0,898.0
Ahilyanagar,2009,Civil Court,16359.0,211.0,18469.0
Ahilyanagar,2009,Consumer Forum,7267.0,,7267.0
Ahilyanagar,2009,Criminal Court,29231.0,4489.0,3372.0
Ahilyanagar,2009,District Magistrate And Executive Magistrate,621.0,168.0,789.0
Ahilyanagar,2009,Family Court,,,
Ahilyanagar,2009,Industrial Court,,47.0,
Ahilyanagar,2009,Labor Court,729.0,178.0,97.0
Ahilyanagar,2009,Public Court,52.0,,
Ahilyanagar,2010,Civil Court,6443.0,7426.0,13869.0
Ahilyanagar,2010,Consumer Forum,829.0,,829.0
Ahilyanagar,2010,Criminal Court,834.0,3225.0,459.0
Ahilyanagar,2010,District Magistrate And Executive Magistrate,742.0,238.0,98.0
Ahilyanagar,2010,Family Court,,,
Ahilyanagar,2010,Industrial Court,,,
Ahilyanagar,2010,Labor Court,184.0,17.0,291.0
Ahilyanagar,2010,Public Court,49.0,,
Ahilyanagar,2011,Civil Court,1342.0,973.0,1145.0
Ahilyanagar,2011,Consumer Forum,781.0,,781.0
Ahilyanagar,2011,Criminal Court,664.0,4656.0,52696.0
Ahilyanagar,2011,District Magistrate And Executive Magistrate,1692.0,,1692.0
Ahilyanagar,2011,Family Court,,,
Ahilyanagar,2011,Industrial Court,,,
Ahilyanagar,2011,Labor Court,242.0,,242.0
Ahilyanagar,2011,Public Court,1257.0,,
Ahilyanagar,2012,Civil Court,8589.0,93.0,17619.0
Ahilyanagar,2012,Consumer Forum,9291.0,1679.0,197.0
Ahilyanagar,2012,Criminal Court,939.0,3767.0,476.0
Ahilyanagar,2012,District Magistrate And Executive Magistrate,1482.0,,1482.0
Ahilyanagar,2012,Family Court,,,
Ahilyanagar,2012,Industrial Court,,,
Ahilyanagar,2012,Labor Court,21.0,,21.0
Ahilyanagar,2012,Public Court,77.0,,
Ahilyanagar,2013,Civil Court,8165.0,6118.0,14283.0
Ahilyanagar,2013,Consumer Forum,11973.0,1323.0,13296.0
Ahilyanagar,2013,Criminal Court,149.0,235.0,3399.0
Ahilyanagar,2013,District Magistrate And Executive Magistrate,184.0,,184.0
Ahilyanagar,2013,"Family Court
",,,
Ahilyanagar,2013,Industrial Court,,,
Ahilyanagar,2013,Labor Court,174.0,74.0,248.0
Ahilyanagar,2013,Public Court,292.0,,
Ahilyanagar,2014,Civil Court,7781.0,5565.0,13346.0
Ahilyanagar,2014,Consumer Forum,859.0,519.0,1378.0
Ahilyanagar,2014,Criminal Court,9574.0,2533.0,3467.0
Ahilyanagar,2014,District Magistrate And Executive Magistrate,184.0,,184.0
Ahilyanagar,2014,"Family Court
",,,
Ahilyanagar,2014,Industrial Court,,,
Ahilyanagar,2014,Labor Court,123.0,64.0,187.0
Ahilyanagar,2014,Public Court,543.0,,
Ahilyanagar,2015,Civil Court,756.0,4952.0,128.0
Ahilyanagar,2015,Consumer Forum,922.0,535.0,1457.0
Ahilyanagar,2015,Criminal Court,776.0,22247.0,2323.0
Ahilyanagar,2015,District Magistrate And Executive Magistrate,1369.0,,1369.0
Ahilyanagar,2015,"Family Court
",,,
Ahilyanagar,2015,Industrial Court,,,
Ahilyanagar,2015,Labor Court,1149.0,39.0,1188.0
Ahilyanagar,2015,Public Court,8222.0,,
Ahilyanagar,2016,Civil Court,672.0,56.0,1178.0
Ahilyanagar,2016,Consumer Forum,859.0,45.0,139.0
Ahilyanagar,2016,Criminal Court,6497.0,19529.0,2626.0
Ahilyanagar,2016,District Magistrate And Executive Magistrate,139.0,,139.0
Ahilyanagar,2016,Family Court,,,
Ahilyanagar,2016,Industrial Court,467.0,,467.0
Ahilyanagar,2016,Labor Court,,86.0,86.0
Ahilyanagar,2016,Public Court,316.0,,
Ahilyanagar,2017,Civil Court,672.0,56.0,
Ahilyanagar,2017,Consumer Forum,859.0,45.0,139.0
Ahilyanagar,2017,Criminal Court,6497.0,19529.0,2626.0
Ahilyanagar,2017,District Magistrate And Executive Magistrate,12414.0,,12414.0
Ahilyanagar,2017,Family Court,,,
Ahilyanagar,2017,Industrial Court,316.0,,316.0
Ahilyanagar,2017,Labor Court,467.0,86.0,553.0
Ahilyanagar,2017,Public Court,,,
Ahilyanagar,2018,Civil Court,672.0,56.0,1178.0
Ahilyanagar,2018,Consumer Forum,859.0,45.0,139.0
Ahilyanagar,2018,Criminal Court,6497.0,19529.0,2626.0
Ahilyanagar,2018,District Magistrate And Executive Magistrate,12414.0,,12414.0
Ahilyanagar,2018,"Family Court
",,,
Ahilyanagar,2018,Industrial Court,,,
Ahilyanagar,2018,Labor Court,316.0,86.0,42.0
Ahilyanagar,2018,Public Court,467.0,,
Ahilyanagar,2019,Civil Court,825.0,5221.0,13246.0
Ahilyanagar,2019,Consumer Forum,114.0,428.0,1568.0
Ahilyanagar,2019,Criminal Court,7495.0,21346.0,28841.0
Ahilyanagar,2019,District Magistrate And Executive Magistrate,12693.0,1452.0,14145.0
Ahilyanagar,2019,"Family Court
",,,
Ahilyanagar,2019,Industrial Court,,,
Ahilyanagar,2019,Labor Court,128.0,183.0,311.0
Ahilyanagar,2019,Public Court,247.0,,
Ahilyanagar,2020,Civil Court,335.0,232.0,5652.0
Ahilyanagar,2020,Consumer Forum,133.0,239.0,1569.0
Ahilyanagar,2020,Criminal Court,2823.0,9831.0,12654.0
Ahilyanagar,2020,District Magistrate And Executive Magistrate,12693.0,1452.0,14145.0
Ahilyanagar,2020,"Family Court
",,,
Ahilyanagar,2020,Industrial Court,23.0,,23.0
Ahilyanagar,2020,Labor Court,11.0,51.0,152.0
Ahilyanagar,2020,Public Court,,,
Ahilyanagar,2021,Civil Court,5385.0,4283.0,9668.0
Ahilyanagar,2021,Consumer Forum,1423.0,243.0,1666.0
Ahilyanagar,2021,Criminal Court,75.0,17689.0,25189.0
Ahilyanagar,2021,District Magistrate And Executive Magistrate,12693.0,1452.0,14145.0
Ahilyanagar,2021,"Family Court
",,,
Ahilyanagar,2021,Industrial Court,622.0,,622.0
Ahilyanagar,2021,Labor Court,218.0,27.0,245.0
Ahilyanagar,2021,Public Court,,,
Akola,2012,Civil Court,869.0,1585.0,2454.0
Akola,2012,Consumer Forum,63.0,16.0,79.0
Akola,2012,Criminal Court,2848.0,1975.0,13823.0
Akola,2012,District Magistrate And Executive Magistrate,,6882.0,6882.0
Akola,2012,Family Court,341.0,4.0,345.0
Akola,2012,Industrial Court,66.0,33.0,99.0
Akola,2012,Labor Court,62.0,268.0,33.0
Akola,2012,Public Court,,4649.0,4649.0
Akola,2013,Civil Court,124.0,251.0,3525.0
Akola,2013,Consumer Forum,12.0,21.0,141.0
Akola,2013,Criminal Court,2874.0,15574.0,18448.0
Akola,2013,District Magistrate And Executive Magistrate,,2866.0,2866.0
Akola,2013,"Family Court
",471.0,7.0,478.0
Akola,2013,Industrial Court,131.0,25.0,156.0
Akola,2013,Labor Court,1.0,25.0,125.0
Akola,2013,Public Court,,4649.0,4649.0
Akola,2014,Civil Court,313.0,12.0,4123.0
Akola,2014,Consumer Forum,29.0,62.0,352.0
Akola,2014,Criminal Court,12561.0,2837.0,15398.0
Akola,2014,District Magistrate And Executive Magistrate,,2753.0,2753.0
Akola,2014,"Family Court
",497.0,38.0,535.0
Akola,2014,Industrial Court,189.0,132.0,321.0
Akola,2014,Labor Court,393.0,75.0,468.0
Akola,2014,Public Court,2519.0,4127.0,6646.0
Akola,2015,Civil Court,12134.0,274.0,14874.0
Akola,2015,Consumer Forum,185.0,71.0,256.0
Akola,2015,Criminal Court,29297.0,11631.0,4928.0
Akola,2015,District Magistrate And Executive Magistrate,2568.0,212.0,278.0
Akola,2015,"Family Court
",395.0,5.0,4.0
Akola,2015,Industrial Court,186.0,34.0,22.0
Akola,2015,Labor Court,252.0,144.0,396.0
Akola,2015,Public Court,192.0,3726.0,4818.0
Akola,2016,Civil Court,5551.0,7489.0,134.0
Akola,2016,Consumer Forum,189.0,67.0,256.0
Akola,2016,Criminal Court,12915.0,317.0,43922.0
Akola,2016,District Magistrate And Executive Magistrate,1461.0,33.0,1764.0
Akola,2016,Family Court,686.0,4.0,69.0
Akola,2016,Industrial Court,25.0,19.0,44.0
Akola,2016,Labor Court,259.0,636.0,895.0
Akola,2016,Public Court,398.0,2321.0,2719.0
