District,Year,Select Offense,Cases
Ahilyanagar,2017,Credit Card/Debit Card Fraud,0
Ahilyanagar,2017,ATM Fraud,0
Ahilyanagar,2017,Online Banking Fraud,1
Ahilyanagar,2017,OTP Frauds,0
Ahilyanagar,2017,Other Frauds,0
Akola,2017,Credit Card/Debit Card Fraud,0
Akola,2017,ATM Fraud,0
Akola,2017,Online Banking Fraud,0
Akola,2017,OTP Frauds,0
Akola,2017,Other Frauds,0
Beed,2017,Credit Card/Debit Card Fraud,0
Beed,2017,ATM Fraud,4
Beed,2017,Online Banking Fraud,0
Beed,2017,OTP Frauds,0
Beed,2017,Other Frauds,0
Bhandara,2017,Credit Card/Debit Card Fraud,0
Bhandara,2017,ATM Fraud,24
Bhandara,2017,Online Banking Fraud,1
Bhandara,2017,OTP Frauds,0
Bhandara,2017,Other Frauds,0
Buldhana,2017,Credit Card/Debit Card Fraud,0
Buldhana,2017,ATM Fraud,1
Buldhana,2017,Online Banking Fraud,0
Buldhana,2017,OTP Frauds,8
Buldhana,2017,Other Frauds,1
Chandrapur,2017,Credit Card/Debit Card Fraud,1
Chandrapur,2017,ATM Fraud,13
Chandrapur,2017,Online Banking Fraud,5
Chandrapur,2017,OTP Frauds,2
Chandrapur,2017,Other Frauds,4
Dhule,2017,Credit Card/Debit Card Fraud,0
Dhule,2017,ATM Fraud,8
Dhule,2017,Online Banking Fraud,3
Dhule,2017,OTP Frauds,2
Dhule,2017,Other Frauds,0
Gadchiroli,2017,Credit Card/Debit Card Fraud,0
Gadchiroli,2017,ATM Fraud,1
Gadchiroli,2017,Online Banking Fraud,0
Gadchiroli,2017,OTP Frauds,0
Gadchiroli,2017,Other Frauds,3
Gondia,2017,Credit Card/Debit Card Fraud,0
Gondia,2017,ATM Fraud,0
Gondia,2017,Online Banking Fraud,0
Gondia,2017,OTP Frauds,0
Gondia,2017,Other Frauds,0
Hingoli,2017,Credit Card/Debit Card Fraud,0
Hingoli,2017,ATM Fraud,2
Hingoli,2017,Online Banking Fraud,0
Hingoli,2017,OTP Frauds,0
Hingoli,2017,Other Frauds,0
Jalgaon,2017,Credit Card/Debit Card Fraud,0
Jalgaon,2017,ATM Fraud,2
Jalgaon,2017,Online Banking Fraud,0
Jalgaon,2017,OTP Frauds,0
Jalgaon,2017,Other Frauds,1
Jalna,2017,Credit Card/Debit Card Fraud,1
Jalna,2017,ATM Fraud,2
Jalna,2017,Online Banking Fraud,0
Jalna,2017,OTP Frauds,0
Jalna,2017,Other Frauds,2
Kolhapur,2017,Credit Card/Debit Card Fraud,4
Kolhapur,2017,ATM Fraud,1
Kolhapur,2017,Online Banking Fraud,0
Kolhapur,2017,OTP Frauds,0
Kolhapur,2017,Other Frauds,3
Latur,2017,Credit Card/Debit Card Fraud,0
Latur,2017,ATM Fraud,3
Latur,2017,Online Banking Fraud,4
Latur,2017,OTP Frauds,1
Latur,2017,Other Frauds,2
Nanded,2017,Credit Card/Debit Card Fraud,0
Nanded,2017,ATM Fraud,1
Nanded,2017,Online Banking Fraud,0
Nanded,2017,OTP Frauds,0
Nanded,2017,Other Frauds,0
Nandurbar,2017,Credit Card/Debit Card Fraud,0
Nandurbar,2017,ATM Fraud,1
Nandurbar,2017,Online Banking Fraud,0
Nandurbar,2017,OTP Frauds,0
Nandurbar,2017,Other Frauds,0
Dharashiv,2017,Credit Card/Debit Card Fraud,0
Dharashiv,2017,ATM Fraud,6
Dharashiv,2017,Online Banking Fraud,1
Dharashiv,2017,OTP Frauds,1
Dharashiv,2017,Other Frauds,1
Palghar,2017,Credit Card/Debit Card Fraud,1
Palghar,2017,ATM Fraud,15
Palghar,2017,Online Banking Fraud,14
Palghar,2017,OTP Frauds,0
Palghar,2017,Other Frauds,2
Parbhani,2017,Credit Card/Debit Card Fraud,0
Parbhani,2017,ATM Fraud,0
Parbhani,2017,Online Banking Fraud,0
Parbhani,2017,OTP Frauds,0
Parbhani,2017,Other Frauds,0
Raigad,2017,Credit Card/Debit Card Fraud,0
Raigad,2017,ATM Fraud,14
Raigad,2017,Online Banking Fraud,12
Raigad,2017,OTP Frauds,14
Raigad,2017,Other Frauds,1
Ratnagiri,2017,Credit Card/Debit Card Fraud,0
Ratnagiri,2017,ATM Fraud,41
Ratnagiri,2017,Online Banking Fraud,0
Ratnagiri,2017,OTP Frauds,0
Ratnagiri,2017,Other Frauds,0
Sangli,2017,Credit Card/Debit Card Fraud,0
Sangli,2017,ATM Fraud,1
Sangli,2017,Online Banking Fraud,0
Sangli,2017,OTP Frauds,0
Sangli,2017,Other Frauds,0
Satara,2017,Credit Card/Debit Card Fraud,0
Satara,2017,ATM Fraud,0
Satara,2017,Online Banking Fraud,0
Satara,2017,OTP Frauds,0
Satara,2017,Other Frauds,0
Sindhudurg,2017,Credit Card/Debit Card Fraud,0
Sindhudurg,2017,ATM Fraud,3
Sindhudurg,2017,Online Banking Fraud,6
Sindhudurg,2017,OTP Frauds,0
Sindhudurg,2017,Other Frauds,0
Total,2017,Credit Card/Debit Card Fraud,141
Total,2017,ATM Fraud,598
Total,2017,Online Banking Fraud,345
Total,2017,OTP Frauds,122
Total,2017,Other Frauds,220
Wardha,2017,Credit Card/Debit Card Fraud,0
Wardha,2017,ATM Fraud,0
Wardha,2017,Online Banking Fraud,1
Wardha,2017,OTP Frauds,39
Wardha,2017,Other Frauds,4
Washim,2017,Credit Card/Debit Card Fraud,0
Washim,2017,ATM Fraud,2
Washim,2017,Online Banking Fraud,0
Washim,2017,OTP Frauds,2
Washim,2017,Other Frauds,1
Yavatmal,2017,Credit Card/Debit Card Fraud,0
Yavatmal,2017,ATM Fraud,6
Yavatmal,2017,Online Banking Fraud,0
Yavatmal,2017,OTP Frauds,0
Yavatmal,2017,Other Frauds,5
Ahilyanagar,2018,Credit Card/Debit Card Fraud,0
Ahilyanagar,2018,ATM Fraud,3
Ahilyanagar,2018,Online Banking Fraud,9
Ahilyanagar,2018,OTP Frauds,0
Ahilyanagar,2018,Other Frauds,0
Akola,2018,Credit Card/Debit Card Fraud,0
Akola,2018,ATM Fraud,0
Akola,2018,Online Banking Fraud,0
Akola,2018,OTP Frauds,0
Akola,2018,Other Frauds,0
Beed,2018,Credit Card/Debit Card Fraud,0
Beed,2018,ATM Fraud,3
Beed,2018,Online Banking Fraud,1
Beed,2018,OTP Frauds,2
Beed,2018,Other Frauds,1
Bhandara,2018,Credit Card/Debit Card Fraud,1
Bhandara,2018,ATM Fraud,13
Bhandara,2018,Online Banking Fraud,3
Bhandara,2018,OTP Frauds,0
Bhandara,2018,Other Frauds,0
Buldhana,2018,Credit Card/Debit Card Fraud,1
Buldhana,2018,ATM Fraud,7
Buldhana,2018,Online Banking Fraud,1
Buldhana,2018,OTP Frauds,1
Buldhana,2018,Other Frauds,1
Chandrapur,2018,Credit Card/Debit Card Fraud,2
Chandrapur,2018,ATM Fraud,14
Chandrapur,2018,Online Banking Fraud,12
Chandrapur,2018,OTP Frauds,15
Chandrapur,2018,Other Frauds,1
Dhule,2018,Credit Card/Debit Card Fraud,0
Dhule,2018,ATM Fraud,2
Dhule,2018,Online Banking Fraud,6
Dhule,2018,OTP Frauds,0
Dhule,2018,Other Frauds,0
Gadchiroli,2018,Credit Card/Debit Card Fraud,2
Gadchiroli,2018,ATM Fraud,8
Gadchiroli,2018,Online Banking Fraud,0
Gadchiroli,2018,OTP Frauds,0
Gadchiroli,2018,Other Frauds,0
Gondia,2018,Credit Card/Debit Card Fraud,0
Gondia,2018,ATM Fraud,4
Gondia,2018,Online Banking Fraud,2
Gondia,2018,OTP Frauds,0
Gondia,2018,Other Frauds,0
Hingoli,2018,Credit Card/Debit Card Fraud,0
Hingoli,2018,ATM Fraud,0
Hingoli,2018,Online Banking Fraud,0
Hingoli,2018,OTP Frauds,0
Hingoli,2018,Other Frauds,0
Jalgaon,2018,Credit Card/Debit Card Fraud,0
Jalgaon,2018,ATM Fraud,0
Jalgaon,2018,Online Banking Fraud,0
Jalgaon,2018,OTP Frauds,2
Jalgaon,2018,Other Frauds,2
Jalna,2018,Credit Card/Debit Card Fraud,11
Jalna,2018,ATM Fraud,9
Jalna,2018,Online Banking Fraud,0
Jalna,2018,OTP Frauds,0
Jalna,2018,Other Frauds,1
Kolhapur,2018,Credit Card/Debit Card Fraud,1
Kolhapur,2018,ATM Fraud,1
Kolhapur,2018,Online Banking Fraud,3
Kolhapur,2018,OTP Frauds,2
Kolhapur,2018,Other Frauds,0
Latur,2018,Credit Card/Debit Card Fraud,1
Latur,2018,ATM Fraud,3
Latur,2018,Online Banking Fraud,3
Latur,2018,OTP Frauds,1
Latur,2018,Other Frauds,0
Nanded,2018,Credit Card/Debit Card Fraud,0
Nanded,2018,ATM Fraud,2
Nanded,2018,Online Banking Fraud,0
Nanded,2018,OTP Frauds,0
Nanded,2018,Other Frauds,0
Nandurbar,2018,Credit Card/Debit Card Fraud,0
Nandurbar,2018,ATM Fraud,2
Nandurbar,2018,Online Banking Fraud,1
Nandurbar,2018,OTP Frauds,0
Nandurbar,2018,Other Frauds,0
Dharashiv,2018,Credit Card/Debit Card Fraud,2
Dharashiv,2018,ATM Fraud,2
Dharashiv,2018,Online Banking Fraud,3
Dharashiv,2018,OTP Frauds,0
Dharashiv,2018,Other Frauds,1
Palghar,2018,Credit Card/Debit Card Fraud,0
Palghar,2018,ATM Fraud,2
Palghar,2018,Online Banking Fraud,2
Palghar,2018,OTP Frauds,0
Palghar,2018,Other Frauds,1
Parbhani,2018,Credit Card/Debit Card Fraud,0
Parbhani,2018,ATM Fraud,0
Parbhani,2018,Online Banking Fraud,0
Parbhani,2018,OTP Frauds,0
Parbhani,2018,Other Frauds,0
Raigad,2018,Credit Card/Debit Card Fraud,0
Raigad,2018,ATM Fraud,6
Raigad,2018,Online Banking Fraud,21
Raigad,2018,OTP Frauds,6
Raigad,2018,Other Frauds,2
Ratnagiri,2018,Credit Card/Debit Card Fraud,2
Ratnagiri,2018,ATM Fraud,18
Ratnagiri,2018,Online Banking Fraud,12
Ratnagiri,2018,OTP Frauds,0
Ratnagiri,2018,Other Frauds,0
Sangli,2018,Credit Card/Debit Card Fraud,3
Sangli,2018,ATM Fraud,2
