District,Year,Offenses under I.T. Act,Fraud,Cyber Crimes,Offenses under IPC wrt IT Act,Offenses under SLL wrt IT Act
Ahilyanagar,2017,3,1,6,3,0
Akola,2017,0,0,12,12,0
Beed,2017,3,4,18,15,0
Bhandara,2017,1,25,46,44,1
Buldhana,2017,4,10,18,14,0
Chandrapur,2017,4,25,47,43,0
Dhule,2017,5,13,25,20,0
Gadchiroli,2017,0,4,6,6,0
Gondia,2017,1,0,15,14,0
Hingoli,2017,0,2,5,5,0
Jalgaon,2017,3,3,18,14,1
Jalna,2017,5,5,15,10,0
Kolhapur,2017,1,8,36,28,7
Latur,2017,2,10,19,17,0
Nanded,2017,1,1,9,8,0
Nandurbar,2017,1,1,3,2,0
Dharashiv,2017,1,9,13,12,0
Palghar,2017,12,32,62,50,0
Parbhani,2017,1,0,13,12,0
Raigad,2017,3,41,54,51,0
Ratnagiri,2017,2,41,48,46,0
Sangli,2017,9,1,32,23,0
Satara,2017,11,0,44,33,0
Sindhudurg,2017,3,9,16,13,0
Total,2017,586,1426,3604,2992,26
Wardha,2017,10,44,61,51,0
Washim,2017,0,5,8,8,0
Yavatmal,2017,8,11,30,22,0
Ahilyanagar,2018,6,12,21,15,0
Akola,2018,0,0,23,23,0
Beed,2018,2,7,34,32,0
Bhandara,2018,7,17,52,45,0
Buldhana,2018,2,11,22,20,0
Chandrapur,2018,24,44,91,67,0
Dhule,2018,0,8,14,13,1
Gadchiroli,2018,0,10,17,17,0
Gondia,2018,0,6,21,21,0
Hingoli,2018,0,0,5,5,0
Jalgaon,2018,7,4,14,7,0
Jalna,2018,1,21,23,22,0
Kolhapur,2018,5,7,27,22,0
Latur,2018,6,8,21,15,0
Nanded,2018,4,2,17,13,0
Nandurbar,2018,0,3,12,12,0
Dharashiv,2018,4,8,17,13,0
Palghar,2018,17,5,62,45,0
Parbhani,2018,0,0,10,8,2
Raigad,2018,3,35,53,50,0
Ratnagiri,2018,3,32,48,45,0
Sangli,2018,8,7,40,32,0
Satara,2018,1,6,57,56,0
Sindhudurg,2018,4,24,28,24,0
Total,2018,518,1036,3511,2986,7
Wardha,2018,8,38,58,50,0
Washim,2018,0,0,12,12,0
Yavatmal,2018,8,12,44,36,0
Ahilyanagar,2019,7,0,21,14,0
Akola,2019,4,7,22,17,1
Beed,2019,3,11,27,24,0
Bhandara,2019,3,9,32,29,0
Buldhana,2019,2,21,38,36,0
Chandrapur,2019,19,54,89,70,0
Dhule,2019,0,19,30,30,0
Gadchiroli,2019,3,12,25,22,0
Gondia,2019,3,15,31,28,0
Hingoli,2019,0,4,11,11,0
Jalgaon,2019,18,4,58,40,0
Jalna,2019,4,6,10,6,0
Kolhapur,2019,6,15,31,25,0
Latur,2019,9,5,25,16,0
Nanded,2019,4,14,33,29,0
Nandurbar,2019,1,6,16,15,0
Dharashiv,2019,2,6,17,15,0
Palghar,2019,48,9,89,41,0
Parbhani,2019,0,0,20,20,0
Raigad,2019,2,39,55,52,1
Ratnagiri,2019,4,32,59,55,0
Sangli,2019,10,10,37,27,0
Satara,2019,2,5,47,45,0
Sindhudurg,2019,2,14,24,22,0
Total,2019,551,1681,4967,4413,3
Wardha,2019,8,31,85,77,0
Washim,2019,3,4,13,10,0
Yavatmal,2019,11,11,42,31,0
Ahilyanagar,2020,13,0,23,10,0
Akola,2020,2,11,30,28,0
Beed,2020,3,15,39,36,0
Bhandara,2020,7,30,45,38,0
Buldhana,2020,14,30,62,48,0
Chandrapur,2020,21,31,69,48,0
Dhule,2020,17,9,29,12,0
Gadchiroli,2020,4,9,24,20,0
Gondia,2020,5,8,19,14,0
Hingoli,2020,3,3,16,13,0
Jalgaon,2020,11,51,122,111,0
Jalna,2020,3,23,31,28,0
Kolhapur,2020,9,17,40,31,0
Latur,2020,18,21,49,31,0
Nanded,2020,8,0,27,19,0
Nandurbar,2020,2,13,21,19,0
Dharashiv,2020,6,33,43,37,0
Palghar,2020,9,5,24,15,0
Parbhani,2020,5,36,61,56,0
Raigad,2020,14,19,60,41,5
Ratnagiri,2020,1,30,48,47,0
Sangli,2020,8,17,57,49,0
Satara,2020,11,20,63,51,1
Sindhudurg,2020,5,20,32,27,0
Total,2020,699,2032,5496,4788,9
Wardha,2020,14,31,90,76,0
Washim,2020,1,2,13,12,0
Yavatmal,2020,9,13,30,21,0
Ahilyanagar,2021,11,0,19,8,0
Akola,2021,5,13,34,29,0
Beed,2021,6,96,119,113,0
Bhandara,2021,5,23,47,42,0
Buldhana,2021,24,23,61,37,0
Chandrapur,2021,12,50,73,61,0
Dhule,2021,7,0,14,7,0
Gadchiroli,2021,2,8,19,17,0
Gondia,2021,5,10,26,21,0
Hingoli,2021,1,2,12,11,0
Jalgaon,2021,12,25,104,92,0
Jalna,2021,12,25,51,39,0
Kolhapur,2021,4,15,55,51,0
Latur,2021,12,18,40,28,0
Nanded,2021,4,1,15,11,0
Nandurbar,2021,3,3,9,6,0
Dharashiv,2021,4,16,41,37,0
Palghar,2021,7,0,16,9,0
Parbhani,2021,8,14,35,26,1
Raigad,2021,1,27,49,44,4
Ratnagiri,2021,7,23,45,38,0
Sangli,2021,9,32,56,47,0
Satara,2021,3,19,49,45,1
Sindhudurg,2021,1,5,22,21,0
Total,2021,537,1678,5562,5015,10
Wardha,2021,18,16,47,29,0
Washim,2021,0,4,14,14,0
Yavatmal,2021,5,6,25,20,0
Amravati,2017,39,55,116,77,0
Chhatrapati Sambhaji Nagar,2017,30,128,201,171,0
Nasik,2017,41,46,132,86,5
Solapur,2017,15,0,44,29,0
Thane,2017,168,128,368,196,4
Amravati,2018,34,49,107,71,2
Nasik,2018,14,30,72,58,0
Solapur,2018,10,7,52,42,0
Thane,2018,198,55,339,141,0
Amravati,2019,20,43,80,60,0
Nasik,2019,16,59,94,78,0
Solapur,2019,11,38,90,79,0
Thane,2019,171,55,329,158,0
Amravati,2020,16,127,191,175,0
Nasik,2020,24,9,136,112,0
Solapur,2020,12,15,70,58,0
Amravati,2021,10,52,129,119,0
Nasik,2021,25,0,66,41,0
Solapur,2021,4,9,78,74,0
Mumbai,2017,50,465,1454,1396,8
Nagpur,2017,22,29,122,100,0
Pune,2017,127,270,488,361,0
Chhatrapati Sambhaji Nagar,2018,17,50,99,82,0
Mumbai,2018,51,364,1572,1519,2
Nagpur,2018,18,31,136,118,0
Chhatrapati Sambhaji Nagar,2019,5,30,90,84,1
Mumbai,2019,49,878,2659,2610,0
Nagpur,2019,24,28,158,134,0
Chhatrapati Sambhaji Nagar,2020,18,30,92,74,0
Mumbai,2020,96,1046,2733,2636,1
Nagpur,2020,74,14,307,233,0
Thane,2020,125,101,375,248,2
Chhatrapati Sambhaji Nagar,2021,21,24,97,76,0
Mumbai,2021,46,872,3088,3041,1
Nagpur,2021,30,27,242,212,0
Thane,2021,84,72,412,325,3
Pune,2018,56,123,291,235,0
Pune,2019,77,187,480,403,0
Pune,2020,111,193,425,314,0
Pune,2021,129,148,353,224,0
Ahilyanagar,2022,46,48,100,54,0
Akola,2022,4,6,29,25,0
Amravati,2022,11,67,147,136,0
Beed,2022,6,90,114,108,0
Bhandara,2022,2,11,32,30,0
Buldhana,2022,18,32,77,59,0
Chandrapur,2022,12,46,78,66,0
Chhatrapati Sambhaji Nagar,2022,28,26,153,125,0
Dharashiv,2022,4,6,39,35,0
Dhule,2022,2,0,14,12,0
Gadchiroli,2022,1,5,13,12,0
Gondia,2022,6,0,6,0,0
Hingoli,2022,0,1,7,7,0
Jalgaon,2022,6,19,98,92,0
Jalna,2022,107,9,121,14,0
Kolhapur,2022,4,24,55,51,0
Latur,2022,11,23,47,36,0
Mumbai,2022,70,1170,4950,4870,10
Nagpur,2022,32,40,302,270,0
Nanded,2022,6,11,43,37,0
Nandurbar,2022,0,6,21,21,0
Nasik,2022,4,22,81,77,0
Palghar,2022,7,3,23,16,0
Parbhani,2022,3,9,32,29,0
Pune,2022,181,260,629,448,0
Raigad,2022,0,28,51,51,0
Ratnagiri,2022,9,38,62,53,0
Sangli,2022,3,20,41,38,0
Satara,2022,1,15,37,31,5
Sindhudurg,2022,2,10,37,35,0
Solapur,2022,13,20,92,79,0
Thane,2022,113,120,619,500,6
Wardha,2022,21,10,54,33,0
Washim,2022,5,4,14,9,0
Yavatmal,2022,8,3,31,23,0
