District,Year,Taluka,Rape,Kidnapping and Abduction,Dowry Cases,Sexual Assault,Unethical Business,Other Crimes against Women,Murder (Womb),Murder (other),Child Rape,Kidnapping and Abduction (Children),Abandonment,Other Crimes against Children
Ahilyanagar,2018,Akole,7,15,0,0,0,0,0,0,2.0,14,0,0
Ahilyanagar,2018,Sangamner,11,44,0,0,1,0,0,0,9.0,42,0,0
Ahilyanagar,2018,Kopargaon,7,11,3,0,0,0,0,1,4.0,9,0,0
Ahilyanagar,2018,Rahata,7,25,1,0,1,0,0,2,1.0,24,0,0
Ahilyanagar,2018,Srirampur,7,24,0,0,0,0,1,0,3.0,23,0,0
Ahilyanagar,2018,Nevasa,14,14,1,0,1,0,0,0,7.0,13,0,0
Ahilyanagar,2018,Shevgaon,5,5,0,0,1,0,0,0,2.0,5,0,0
Ahilyanagar,2018,Pathardi,7,10,0,0,0,0,0,0,2.0,7,0,0
Ahilyanagar,2018,Nagar,35,75,1,0,6,0,2,0,11.0,68,0,0
Ahilyanagar,2018,Rahuri,4,28,0,0,1,0,1,0,2.0,26,0,0
Ahilyanagar,2018,Parner,16,23,0,0,0,0,0,1,8.0,21,0,0
Ahilyanagar,2018,Srigonda,19,22,2,0,3,0,0,1,8.0,19,0,0
Ahilyanagar,2018,Karjat,6,14,0,0,0,0,0,0,3.0,13,0,0
Ahilyanagar,2018,Jamkhed,11,14,0,0,0,0,0,0,4.0,13,0,0
Ahilyanagar,2019,Akole,5,0,1,18,0,20,0,0,2.0,32,0,3
Ahilyanagar,2019,Sangamner,3,1,1,49,0,44,0,0,7.0,62,0,15
Ahilyanagar,2019,Kopargaon,4,0,1,20,0,11,0,0,4.0,19,0,7
Ahilyanagar,2019,Rahata,7,0,0,23,0,24,0,1,6.0,38,1,8
Ahilyanagar,2019,Srirampur,9,1,0,24,1,21,0,1,3.0,29,0,5
Ahilyanagar,2019,Nevasa,5,0,0,31,0,35,0,0,1.0,16,3,8
Ahilyanagar,2019,Shevgaon,0,0,1,10,0,14,0,0,0.0,6,0,5
Ahilyanagar,2019,Pathardi,2,0,0,28,0,29,0,0,3.0,16,0,7
Ahilyanagar,2019,Nagar,17,4,0,118,10,133,0,2,15.0,79,1,32
Ahilyanagar,2019,Rahuri,2,1,0,11,0,27,0,1,3.0,17,0,2
Ahilyanagar,2019,Parner,2,1,0,31,0,23,0,0,12.0,36,0,5
Ahilyanagar,2019,Srigonda,6,4,1,62,0,22,0,2,7.0,30,0,10
Ahilyanagar,2019,Karjat,5,1,0,48,0,20,0,1,4.0,16,0,5
Ahilyanagar,2019,Jamkhed,2,4,0,21,0,8,1,0,5.0,10,0,4
Ahilyanagar,2020,Akole,3,4,0,3,0,8,0,0,2.0,9,0,0
Ahilyanagar,2020,Sangamner,17,1,1,0,0,36,0,0,4.0,42,2,2
Ahilyanagar,2020,Kopargaon,3,15,1,0,0,36,1,0,0.0,7,0,0
Ahilyanagar,2020,Rahata,5,0,1,24,1,13,0,0,12.0,27,0,2
Ahilyanagar,2020,Srirampur,3,1,5,0,1,0,0,0,5.0,19,0,0
Ahilyanagar,2020,Nevasa,7,1,1,0,0,40,0,0,3.0,17,0,8
Ahilyanagar,2020,Shevgaon,3,0,2,0,0,0,0,2,2.0,6,0,0
Ahilyanagar,2020,Pathardi,7,0,0,0,0,48,0,0,14.0,13,0,4
Ahilyanagar,2020,Nagar,20,31,44,21,1,20,0,0,9.0,23,0,0
Ahilyanagar,2020,Rahuri,3,16,2,0,2,39,0,1,8.0,11,0,4
Ahilyanagar,2020,Parner,1,0,1,0,0,17,0,0,1.0,8,0,0
Ahilyanagar,2020,Srigonda,7,1,0,0,0,41,0,0,6.0,12,0,0
Ahilyanagar,2020,Karjat,6,2,5,57,1,0,0,1,7.0,12,0,0
Ahilyanagar,2020,Jamkhed,2,0,5,0,0,9,0,0,3.0,9,0,0
Ahilyanagar,2021,Akole,7,0,0,12,0,17,0,0,9.0,36,0,0
Ahilyanagar,2021,Sangamner,16,0,2,0,0,119,0,0,11.0,55,1,6
Ahilyanagar,2021,Kopargaon,23,51,25,5,0,41,0,0,12.0,30,2,6
Ahilyanagar,2021,Rahata,1,10,1,0,0,29,0,0,4.0,16,0,0
Ahilyanagar,2021,Srirampur,12,14,1,0,0,52,0,0,9.0,31,0,0
Ahilyanagar,2021,Nevasa,11,23,3,80,0,19,0,0,9.0,20,0,26
Ahilyanagar,2021,Shevgaon,8,18,1,2,1,42,0,0,8.0,1,0,4
Ahilyanagar,2021,Pathardi,2,7,1,16,0,7,0,0,2.0,7,0,3
Ahilyanagar,2021,Nagar,31,4,3,0,0,247,0,0,16.0,47,0,13
Ahilyanagar,2021,Rahuri,7,44,3,0,4,67,0,0,4.0,44,0,0
Ahilyanagar,2021,Parner,21,22,19,0,2,108,0,0,13.0,43,0,17
Ahilyanagar,2021,Srigonda,9,1,4,0,0,82,1,0,9.0,12,0,21
Ahilyanagar,2021,Karjat,13,17,5,0,1,36,0,0,11.0,0,0,6
Ahilyanagar,2021,Jamkhed,4,0,2,0,0,21,0,0,5.0,14,0,2
Akola,2018,Telhara,11,14,1,51,0,28,0,0,6.0,15,0,0
Akola,2018,Akot,22,31,2,39,0,80,0,0,15.0,30,0,0
Akola,2018,Balapur,16,15,3,31,0,73,0,0,9.0,20,1,0
Akola,2018,Akola,79,93,10,9,10,132,0,0,51.0,157,3,1
