Year,District,Select Offense,Cases
2014,Ahilyanagar,Counterfeiting,3
2014,Ahilyanagar,Cheating,165
2014,Ahilyanagar,Forgery,0
2014,Akola,Counterfeiting,3
2014,Akola,Cheating,108
2014,Akola,Forgery,7
2014,Amravati,Counterfeiting,3
2014,Amravati,Cheating,183
2014,Amravati,Forgery,17
2014,Chhatrapati Sambhaji Nagar,Counterfeiting,4
2014,Chhatrapati Sambhaji Nagar,Cheating,284
2014,Chhatrapati Sambhaji Nagar,Forgery,4
2014,Beed,Counterfeiting,1
2014,Beed,Cheating,120
2014,Beed,Forgery,2
2014,Bhandara,Counterfeiting,0
2014,Bhandara,Cheating,55
2014,Bhandara,Forgery,0
2014,Buldhana,Counterfeiting,1
2014,Buldhana,Cheating,94
2014,Buldhana,Forgery,10
2014,Chandrapur,Counterfeiting,0
2014,Chandrapur,Cheating,120
2014,Chandrapur,Forgery,0
2014,Dhule,Counterfeiting,2
2014,Dhule,Cheating,86
2014,Dhule,Forgery,1
2014,Gadchiroli,Counterfeiting,0
2014,Gadchiroli,Cheating,36
2014,Gadchiroli,Forgery,0
2014,Gondia,Counterfeiting,1
2014,Gondia,Cheating,41
2014,Gondia,Forgery,0
2014,Hingoli,Counterfeiting,1
2014,Hingoli,Cheating,44
2014,Hingoli,Forgery,0
2014,Jalgaon,Counterfeiting,7
2014,Jalgaon,Cheating,191
2014,Jalgaon,Forgery,0
2014,Jalna,Counterfeiting,0
2014,Jalna,Cheating,116
2014,Jalna,Forgery,0
2014,Kolhapur,Counterfeiting,7
2014,Kolhapur,Cheating,317
2014,Kolhapur,Forgery,0
2014,Latur,Counterfeiting,2
2014,Latur,Cheating,125
2014,Latur,Forgery,0
2014,Mumbai,Counterfeiting,39
2014,Mumbai,Cheating,2640
2014,Mumbai,Forgery,980
2014,Nagpur,Counterfeiting,10
2014,Nagpur,Cheating,462
2014,Nagpur,Forgery,2
2014,Nanded,Counterfeiting,4
2014,Nanded,Cheating,11
2014,Nanded,Forgery,140
2014,Nandurbar,Counterfeiting,2
2014,Nandurbar,Cheating,34
2014,Nandurbar,Forgery,1
2014,Nasik,Counterfeiting,15
2014,Nasik,Cheating,316
2014,Nasik,Forgery,2
2014,Dharashiv,Counterfeiting,1
2014,Dharashiv,Cheating,75
2014,Dharashiv,Forgery,0
2014,Palghar,Counterfeiting,14
2014,Palghar,Cheating,259
2014,Palghar,Forgery,11
2014,Parbhani,Counterfeiting,0
2014,Parbhani,Cheating,145
2014,Parbhani,Forgery,0
2014,Pune,Counterfeiting,18
2014,Pune,Cheating,1054
2014,Pune,Forgery,8
2014,Raigad,Counterfeiting,5
2014,Raigad,Cheating,142
2014,Raigad,Forgery,4
2014,Ratnagiri,Counterfeiting,2
2014,Ratnagiri,Cheating,71
2014,Ratnagiri,Forgery,1
2014,Sangli,Counterfeiting,6
2014,Sangli,Cheating,197
2014,Sangli,Forgery,9
2014,Satara,Counterfeiting,10
2014,Satara,Cheating,155
2014,Satara,Forgery,22
2014,Sindhudurg,Counterfeiting,2
2014,Sindhudurg,Cheating,10
2014,Sindhudurg,Forgery,20
2014,Solapur,Counterfeiting,5
2014,Solapur,Cheating,172
2014,Solapur,Forgery,45
