Year,District,Crime,Cases
2014,Ahilyanagar,Murder,109.0
2014,Akola,Murder,52.0
2014,Amravati,Murder,78.0
2014,Chh. Sambhaji Nagar,Murder,84.0
2014,Beed,Murder,75.0
2014,Bhandara,Murder,20.0
2014,Buldhana,Murder,59.0
2014,Chandrapur,Murder,51.0
2014,Dhule,Murder,38.0
2014,Gadchiroli,Murder,54.0
2014,Gondia,Murder,33.0
2014,Hingoli,Murder,27.0
2014,Jalgaon,Murder,80.0
2014,Jalna,Murder,64.0
2014,Kolhapur,Murder,64.0
2014,Latur,Murder,74.0
2014,Mumbai,Murder,200.0
2014,Nagpur,Murder,174.0
2014,Nanded,Murder,73.0
2014,Nandurbar,Murder,36.0
2014,Nashik,Murder,124.0
2014,Dharashiv,Murder,39.0
2014,Palghar,Murder,85.0
2014,Parbhani,Murder,44.0
2014,Pune,Murder,299.0
2014,Raigad,Murder,31.0
2014,Ratnagiri,Murder,11.0
2014,Sangli,Murder,50.0
2014,Satara,Murder,67.0
2014,Sindhudurg,Murder,7.0
2014,Solapur,Murder,108.0
2014,Thane,Murder,219.0
2014,Wardha,Murder,35.0
2014,Washim,Murder,31.0
2014,Yavatmal,Murder,75.0
2015,Ahilyanagar,Murder,111.0
2015,Akola,Murder,44.0
2015,Amravati,Murder,84.0
2015,Chh. Sambhaji Nagar,Murder,89.0
2015,Beed,Murder,66.0
2015,Bhandara,Murder,27.0
2015,Buldhana,Murder,54.0
2015,Chandrapur,Murder,29.0
2015,Dhule,Murder,35.0
2015,Gadchiroli,Murder,52.0
2015,Gondia,Murder,28.0
2015,Hingoli,Murder,35.0
2015,Jalgaon,Murder,72.0
2015,Jalna,Murder,40.0
2015,Kolhapur,Murder,47.0
2015,Latur,Murder,59.0
2015,Mumbai,Murder,175.0
2015,Nagpur,Murder,144.0
2015,Nanded,Murder,60.0
2015,Nandurbar,Murder,31.0
2015,Nashik,Murder,144.0
2015,Dharashiv,Murder,39.0
2015,Palghar,Murder,92.0
2015,Parbhani,Murder,45.0
2015,Pune,Murder,297.0
2015,Raigad,Murder,35.0
2015,Ratnagiri,Murder,14.0
2015,Sangli,Murder,56.0
2015,Satara,Murder,57.0
2015,Sindhudurg,Murder,9.0
2015,Solapur,Murder,85.0
2015,Thane,Murder,207.0
2015,Wardha,Murder,46.0
2015,Washim,Murder,26.0
2015,Yavatmal,Murder,75.0
2016,Ahilyanagar,Murder,91.0
2016,Akola,Murder,35.0
2016,Amravati,Murder,70.0
2016,Chh. Sambhaji Nagar,Murder,98.0
2016,Beed,Murder,59.0
2016,Bhandara,Murder,27.0
2016,Buldhana,Murder,49.0
2016,Chandrapur,Murder,33.0
2016,Dhule,Murder,38.0
2016,Gadchiroli,Murder,37.0
2016,Gondia,Murder,25.0
2016,Hingoli,Murder,21.0
2016,Jalgaon,Murder,53.0
2016,Jalna,Murder,47.0
2016,Kolhapur,Murder,49.0
2016,Latur,Murder,46.0
