Year,District,Crime,Cases
2014,Ahilyanagar,Theft,1519.0
2014,Akola,Theft,736.0
2014,Amravati,Theft,2036.0
2014,Chhatrapati Sambhaji Nagar,Theft,2336.0
2014,Beed,Theft,678.0
2014,Bhandara,Theft,476.0
2014,Buldhana,Theft,669.0
2014,Chandrapur,Theft,751.0
2014,Dhule,Theft,366.0
2014,Gadchiroli,Theft,102.0
2014,Gondia,Theft,313.0
2014,Hingoli,Theft,128.0
2014,Jalgaon,Theft,999.0
2014,Jalna,Theft,582.0
2014,Kolhapur,Theft,883.0
2014,Latur,Theft,549.0
2014,Mumbai City,Theft,12348.0
2014,Nagpur,Theft,5517.0
2014,Nanded,Theft,511.0
2014,Nandurbar,Theft,157.0
2014,Nasik,Theft,1941.0
2014,Dharashiv,Theft,427.0
2014,Palghar,Theft,1071.0
2014,Parbhani,Theft,488.0
2014,Pune,Theft,8002.0
2014,Raigad,Theft,429.0
2014,Ratnagiri,Theft,256.0
2014,Sangli,Theft,608.0
2014,Satara,Theft,1254.0
2014,Sindhudurg,Theft,132.0
2014,Solapur,Theft,1648.0
2014,Thane,Theft,5255.0
2014,Wardha,Theft,800.0
2014,Washim,Theft,466.0
2014,Yavatmal,Theft,1850.0
2015,Ahilyanagar,Theft,1839.0
2015,Akola,Theft,741.0
2015,Amravati,Theft,2451.0
2015,Chhatrapati Sambhaji Nagar,Theft,3269.0
2015,Beed,Theft,863.0
2015,Bhandara,Theft,378.0
2015,Buldhana,Theft,672.0
2015,Chandrapur,Theft,607.0
2015,Dhule,Theft,360.0
2015,Gadchiroli,Theft,135.0
2015,Gondia,Theft,310.0
2015,Hingoli,Theft,153.0
2015,Jalgaon,Theft,917.0
2015,Jalna,Theft,576.0
2015,Kolhapur,Theft,947.0
2015,Latur,Theft,626.0
2015,Mumbai City,Theft,13707.0
2015,Nagpur,Theft,5920.0
2015,Nanded,Theft,688.0
2015,Nandurbar,Theft,207.0
2015,Nasik,Theft,2091.0
2015,Dharashiv,Theft,530.0
2015,Palghar,Theft,1143.0
2015,Parbhani,Theft,527.0
2015,Pune,Theft,8300.0
2015,Raigad,Theft,585.0
2015,Ratnagiri,Theft,354.0
2015,Sangli,Theft,618.0
2015,Satara,Theft,1234.0
2015,Sindhudurg,Theft,120.0
2015,Solapur,Theft,1756.0
2015,Thane,Theft,5700.0
2015,Wardha,Theft,726.0
2015,Washim,Theft,485.0
2015,Yavatmal,Theft,1593.0
2016,Ahilyanagar,Theft,1557.0
2016,Akola,Theft,591.0
2016,Amravati,Theft,2005.0
2016,Chhatrapati Sambhaji Nagar,Theft,3449.0
2016,Beed,Theft,799.0
2016,Bhandara,Theft,472.0
2016,Buldhana,Theft,611.0
2016,Chandrapur,Theft,555.0
2016,Dhule,Theft,464.0
2016,Gadchiroli,Theft,139.0
2016,Gondia,Theft,331.0
2016,Hingoli,Theft,166.0
2016,Jalgaon,Theft,889.0
2016,Jalna,Theft,549.0
2016,Kolhapur,Theft,898.0
2016,Latur,Theft,565.0
2016,Mumbai City,Theft,13154.0
2016,Nagpur,Theft,6534.0
2016,Nanded,Theft,747.0
2016,Nandurbar,Theft,264.0
2016,Nasik,Theft,1999.0
2016,Dharashiv,Theft,407.0
2016,Palghar,Theft,1094.0
2016,Parbhani,Theft,477.0
2016,Pune,Theft,8457.0
2016,Raigad,Theft,487.0
2016,Ratnagiri,Theft,403.0
2016,Sangli,Theft,669.0
2016,Satara,Theft,1085.0
2016,Sindhudurg,Theft,156.0
2016,Solapur,Theft,1728.0
2016,Thane,Theft,5320.0
2016,Wardha,Theft,696.0
2016,Washim,Theft,325.0
2016,Yavatmal,Theft,1055.0
2017,Ahilyanagar,Theft,1791.0
2017,Akola,Theft,604.0
2017,Amravati,Theft,1750.0
2017,Chhatrapati Sambhaji Nagar,Theft,2702.0
2017,Beed,Theft,763.0
2017,Bhandara,Theft,375.0
2017,Buldhana,Theft,701.0
2017,Chandrapur,Theft,587.0
2017,Dhule,Theft,526.0
2017,Gadchiroli,Theft,104.0
2017,Gondia,Theft,372.0
2017,Hingoli,Theft,212.0
2017,Jalgaon,Theft,984.0
2017,Jalna,Theft,670.0
2017,Kolhapur,Theft,958.0
2017,Latur,Theft,566.0
2017,Mumbai City,Theft,34211.0
2017,Nagpur,Theft,10135.0
2017,Nanded,Theft,796.0
2017,Nandurbar,Theft,289.0
2017,Nasik,Theft,2055.0
2017,Dharashiv,Theft,449.0
2017,Palghar,Theft,1024.0
2017,Parbhani,Theft,475.0
2017,Pune,Theft,11303.0
2017,Raigad,Theft,462.0
2017,Ratnagiri,Theft,402.0
2017,Sangli,Theft,983.0
2017,Satara,Theft,1101.0
