Year,District,Crime,Cases
2014,Ahilyanagar,Riots,457
2014,Akola,Riots,97
2014,Amravati,Riots,56
2014,Chhatrapati Sambhaji Nagar,Riots,398
2014,Beed,Riots,266
2014,Bhandara,Riots,19
2014,Buldhana,Riots,186
2014,Chandrapur,Riots,53
2014,Dhule,Riots,166
2014,Gadchiroli,Riots,9
2014,Gondia,Riots,13
2014,Hingoli,Riots,66
2014,Jalgaon,Riots,327
2014,Jalna,Riots,120
2014,Kolhapur,Riots,273
2014,Latur,Riots,246
2014,Mumbai City,Riots,415
2014,Nagpur,Riots,214
2014,Nanded,Riots,192
2014,Nandurbar,Riots,89
2014,Nasik,Riots,439
2014,Dharashiv,Riots,148
2014,Palghar,Riots,220
2014,Parbhani,Riots,157
2014,Pune,Riots,871
2014,Raigad,Riots,146
2014,Ratnagiri,Riots,66
2014,Sangli,Riots,218
2014,Satara,Riots,340
2014,Sindhudurg,Riots,24
2014,Solapur,Riots,542
2014,Thane,Riots,595
2014,Wardha,Riots,41
2014,Washim,Riots,94
2014,Yavatmal,Riots,197
2015,Ahilyanagar,Riots,554
2015,Akola,Riots,70
2015,Amravati,Riots,65
2015,Chhatrapati Sambhaji Nagar,Riots,435
2015,Beed,Riots,321
2015,Bhandara,Riots,19
2015,Buldhana,Riots,186
2015,Chandrapur,Riots,66
2015,Dhule,Riots,143
2015,Gadchiroli,Riots,24
2015,Gondia,Riots,7
2015,Hingoli,Riots,121
2015,Jalgaon,Riots,289
2015,Jalna,Riots,192
2015,Kolhapur,Riots,383
2015,Latur,Riots,189
2015,Mumbai City,Riots,400
2015,Nagpur,Riots,192
2015,Nanded,Riots,200
2015,Nandurbar,Riots,91
2015,Nasik,Riots,531
2015,Dharashiv,Riots,196
2015,Palghar,Riots,196
2015,Parbhani,Riots,132
2015,Pune,Riots,889
2015,Raigad,Riots,156
2015,Ratnagiri,Riots,90
2015,Sangli,Riots,263
2015,Satara,Riots,355
2015,Sindhudurg,Riots,33
2015,Solapur,Riots,547
2015,Thane,Riots,741
2015,Wardha,Riots,41
2015,Washim,Riots,73
2015,Yavatmal,Riots,146
2016,Ahilyanagar,Riots,614
2016,Akola,Riots,59
2016,Amravati,Riots,45
2016,Chhatrapati Sambhaji Nagar,Riots,413
2016,Beed,Riots,268
2016,Bhandara,Riots,21
2016,Buldhana,Riots,195
2016,Chandrapur,Riots,62
2016,Dhule,Riots,159
2016,Gadchiroli,Riots,17
2016,Gondia,Riots,9
2016,Hingoli,Riots,81
2016,Jalgaon,Riots,266
2016,Jalna,Riots,212
2016,Kolhapur,Riots,264
2016,Latur,Riots,218
2016,Mumbai City,Riots,473
2016,Nagpur,Riots,170
2016,Nanded,Riots,242
2016,Nandurbar,Riots,117
2016,Nasik,Riots,522
2016,Dharashiv,Riots,171
2016,Palghar,Riots,194
2016,Parbhani,Riots,130
2016,Pune,Riots,809
2016,Raigad,Riots,154
2016,Ratnagiri,Riots,91
2016,Sangli,Riots,243
2016,Satara,Riots,331
2016,Sindhudurg,Riots,31
2016,Solapur,Riots,462
2016,Thane,Riots,611
2016,Wardha,Riots,48
2016,Washim,Riots,73
2016,Yavatmal,Riots,123
2017,Ahilyanagar,Riots,507
2017,Akola,Riots,45
2017,Amravati,Riots,48
2017,Chhatrapati Sambhaji Nagar,Riots,292
2017,Beed,Riots,307
2017,Bhandara,Riots,23
2017,Buldhana,Riots,184
2017,Chandrapur,Riots,50
2017,Dhule,Riots,174
2017,Gadchiroli,Riots,13
2017,Gondia,Riots,21
2017,Hingoli,Riots,114
2017,Jalgaon,Riots,249
2017,Jalna,Riots,220
2017,Kolhapur,Riots,233
2017,Latur,Riots,254
2017,Mumbai City,Riots,443
2017,Nagpur,Riots,180
2017,Nanded,Riots,163
2017,Nandurbar,Riots,114
2017,Nasik,Riots,498
2017,Dharashiv,Riots,193
2017,Palghar,Riots,179
2017,Parbhani,Riots,101
2017,Pune,Riots,963
2017,Raigad,Riots,141
2017,Ratnagiri,Riots,85
2017,Sangli,Riots,256
2017,Satara,Riots,369
2017,Sindhudurg,Riots,35
2017,Solapur,Riots,484
2017,Thane,Riots,578
2017,Wardha,Riots,41
2017,Washim,Riots,95
2017,Yavatmal,Riots,91
2018,Ahilyanagar,Riots,677
2018,Akola,Riots,72
2018,Amravati,Riots,40
2018,Chhatrapati Sambhaji Nagar,Riots,279
2018,Beed,Riots,377
2018,Bhandara,Riots,30
2018,Buldhana,Riots,190
2018,Chandrapur,Riots,54
2018,Dhule,Riots,204
2018,Gadchiroli,Riots,12
2018,Gondia,Riots,23
2018,Hingoli,Riots,146
2018,Jalgaon,Riots,288
2018,Jalna,Riots,250
2018,Kolhapur,Riots,282
2018,Latur,Riots,255
2018,Mumbai City,Riots,546
2018,Nagpur,Riots,208
2018,Nanded,Riots,278
2018,Nandurbar,Riots,102
2018,Nasik,Riots,505
2018,Dharashiv,Riots,252
2018,Palghar,Riots,257
2018,Parbhani,Riots,133
2018,Pune,Riots,1325
2018,Raigad,Riots,136
2018,Ratnagiri,Riots,111
2018,Sangli,Riots,324
2018,Satara,Riots,366
2018,Sindhudurg,Riots,43
2018,Solapur,Riots,706
2018,Thane,Riots,756
2018,Wardha,Riots,44
2018,Washim,Riots,107
2018,Yavatmal,Riots,95
2019,Ahilyanagar,Riots,664
2019,Akola,Riots,66
2019,Amravati,Riots,37
2019,Chhatrapati Sambhaji Nagar,Riots,273
2019,Beed,Riots,289
2019,Bhandara,Riots,23
2019,Buldhana,Riots,227
2019,Chandrapur,Riots,73
2019,Dhule,Riots,174
2019,Gadchiroli,Riots,5
2019,Gondia,Riots,19
2019,Hingoli,Riots,86
2019,Jalgaon,Riots,291
2019,Jalna,Riots,238
2019,Kolhapur,Riots,277
2019,Latur,Riots,162
2019,Mumbai City,Riots,370
2019,Nagpur,Riots,133
2019,Nanded,Riots,162
2019,Nandurbar,Riots,58
2019,Nasik,Riots,410
2019,Dharashiv,Riots,206
2019,Palghar,Riots,235
2019,Parbhani,Riots,63
2019,Pune,Riots,953
2019,Raigad,Riots,104
2019,Ratnagiri,Riots,57
2019,Sangli,Riots,263
2019,Satara,Riots,274
2019,Sindhudurg,Riots,27
2019,Solapur,Riots,612
2019,Thane,Riots,513
2019,Wardha,Riots,33
2019,Washim,Riots,81
2019,Yavatmal,Riots,60
2020,Ahilyanagar,Riots,862
2020,Akola,Riots,71
2020,Amravati,Riots,49
2020,Chhatrapati Sambhaji Nagar,Riots,335
2020,Beed,Riots,449
2020,Bhandara,Riots,27
2020,Buldhana,Riots,257
2020,Chandrapur,Riots,68
2020,Dhule,Riots,184
2020,Gadchiroli,Riots,14
2020,Gondia,Riots,6
2020,Hingoli,Riots,129
2020,Jalgaon,Riots,361
2020,Jalna,Riots,379
2020,Kolhapur,Riots,318
2020,Latur,Riots,230
2020,Mumbai City,Riots,311
2020,Nagpur,Riots,139
2020,Nanded,Riots,261
2020,Nandurbar,Riots,83
2020,Nasik,Riots,562
2020,Dharashiv,Riots,229
2020,Palghar,Riots,92
2020,Parbhani,Riots,96
2020,Pune,Riots,1133
2020,Raigad,Riots,40
2020,Ratnagiri,Riots,99
2020,Sangli,Riots,316
2020,Satara,Riots,452
2020,Sindhudurg,Riots,41
2020,Solapur,Riots,704
2020,Thane,Riots,637
2020,Wardha,Riots,38
2020,Washim,Riots,123
2020,Yavatmal,Riots,62
2021,Ahilyanagar,Riots,791
2021,Akola,Riots,53
2021,Amravati,Riots,105
2021,Chhatrapati Sambhaji Nagar,Riots,398
2021,Beed,Riots,351
2021,Bhandara,Riots,35
2021,Buldhana,Riots,316
2021,Chandrapur,Riots,73
2021,Dhule,Riots,174
2021,Gadchiroli,Riots,10
2021,Gondia,Riots,15
2021,Hingoli,Riots,89
2021,Jalgaon,Riots,393
2021,Jalna,Riots,334
2021,Kolhapur,Riots,341
2021,Latur,Riots,201
2021,Mumbai City,Riots,305
2021,Nagpur,Riots,136
2021,Nanded,Riots,225
2021,Nandurbar,Riots,73
2021,Nasik,Riots,469
2021,Dharashiv,Riots,264
2021,Palghar,Riots,62
2021,Parbhani,Riots,52
2021,Pune,Riots,1022
2021,Raigad,Riots,65
2021,Ratnagiri,Riots,72
2021,Sangli,Riots,215
2021,Satara,Riots,352
2021,Sindhudurg,Riots,38
2021,Solapur,Riots,833
2021,Thane,Riots,593
2021,Wardha,Riots,37
2021,Washim,Riots,113
2021,Yavatmal,Riots,104
2014,Ahilyanagar,Incidence of Rash Driving,747
2014,Akola,Incidence of Rash Driving,503
2014,Amravati,Incidence of Rash Driving,1056
2014,Chhatrapati Sambhaji Nagar,Incidence of Rash Driving,1173
2014,Beed,Incidence of Rash Driving,856
2014,Bhandara,Incidence of Rash Driving,309
2014,Buldhana,Incidence of Rash Driving,396
2014,Chandrapur,Incidence of Rash Driving,512
2014,Dhule,Incidence of Rash Driving,378
2014,Gadchiroli,Incidence of Rash Driving,90
2014,Gondia,Incidence of Rash Driving,209
2014,Hingoli,Incidence of Rash Driving,186
2014,Jalgaon,Incidence of Rash Driving,597
2014,Jalna,Incidence of Rash Driving,16
2014,Kolhapur,Incidence of Rash Driving,776
2014,Latur,Incidence of Rash Driving,393
2014,Mumbai City,Incidence of Rash Driving,4129
2014,Nagpur,Incidence of Rash Driving,1826
2014,Nanded,Incidence of Rash Driving,574
2014,Nandurbar,Incidence of Rash Driving,233
2014,Nasik,Incidence of Rash Driving,2088
2014,Dharashiv,Incidence of Rash Driving,408
2014,Palghar,Incidence of Rash Driving,369
2014,Parbhani,Incidence of Rash Driving,328
2014,Pune,Incidence of Rash Driving,2543
2014,Raigad,Incidence of Rash Driving,386
2014,Ratnagiri,Incidence of Rash Driving,342
2014,Sangli,Incidence of Rash Driving,430
2014,Satara,Incidence of Rash Driving,605
2014,Sindhudurg,Incidence of Rash Driving,102
