Year,District,Cognizable IPC crimes
2014,Ahilyanagar,6957
2014,Akola,4433
2014,Amravati,10286
2014,Chh. Sambhaji Nagar,9058
2014,Beed,4864
2014,Bhandara,2003
2014,Buldhana,4453
2014,Chandrapur,4441
2014,Dhule,2818
2014,Gadchiroli,875
2014,Gondia,1836
2014,Hingoli,1761
2014,Jalgaon,6531
2014,Jalna,3372
2014,Kolhapur,4942
2014,Latur,4070
2014,Mumbai,43502
2014,Nagpur,16691
2014,Nanded,4600
2014,Nandurbar,1425
2014,Nashik,10715
2014,Dharashiv,2825
2014,Palghar,4692
2014,Parbhani,3606
2014,Pune,25478
2014,Raigad,2601
2014,Ratnagiri,1568
2014,Sangli,5171
2014,Satara,6062
2014,Sindhudurg,789
2014,Solapur,8421
2014,Thane,22771
2014,Wardha,3687
2014,Washim,2579
2014,Yavatmal,9951
2015,Ahilyanagar,8018
2015,Akola,4423
2015,Amravati,11868
2015,Chh. Sambhaji Nagar,12219
2015,Beed,5480
2015,Bhandara,2016
2015,Buldhana,4959
2015,Chandrapur,4414
2015,Dhule,2738
2015,Gadchiroli,1499
2015,Gondia,1882
2015,Hingoli,1941
2015,Jalgaon,6609
2015,Jalna,3646
2015,Kolhapur,6109
2015,Latur,4616
2015,Mumbai,47174
2015,Nagpur,17748
2015,Nanded,5654
2015,Nandurbar,1388
2015,Nashik,11195
2015,Dharashiv,3316
2015,Palghar,5343
2015,Parbhani,4083
2015,Pune,27932
2015,Raigad,3127
2015,Ratnagiri,2188
2015,Sangli,6317
2015,Satara,6640
2015,Sindhudurg,838
2015,Solapur,9867
2015,Thane,25201
2015,Wardha,4059
2015,Washim,2759
2015,Yavatmal,8148
2016,Ahilyanagar,7881
2016,Akola,4220
2016,Amravati,11263
2016,Chh. Sambhaji Nagar,13293
2016,Beed,4895
2016,Bhandara,2211
2016,Buldhana,5074
2016,Chandrapur,4743
2016,Dhule,2994
2016,Gadchiroli,1419
2016,Gondia,1992
2016,Hingoli,2065
2016,Jalgaon,6376
2016,Jalna,3638
2016,Kolhapur,4892
2016,Latur,4396
2016,Mumbai,43333
2016,Nagpur,18798
2016,Nanded,5935
2016,Nandurbar,1730
2016,Nashik,11049
2016,Dharashiv,2660
2016,Palghar,5121
2016,Parbhani,3937
2016,Pune,26933
2016,Raigad,2814
2016,Ratnagiri,2054
2016,Sangli,4938
2016,Satara,6492
2016,Sindhudurg,983
2016,Solapur,7972
2016,Thane,21777
2016,Wardha,4948
2016,Washim,2271
2016,Yavatmal,6617
2017,Ahilyanagar,8916
2017,Akola,5026
2017,Amravati,9365
2017,Chh. Sambhaji Nagar,10281
2017,Beed,5162
2017,Bhandara,2274
2017,Buldhana,6094
2017,Chandrapur,7111
2017,Dhule,3299
2017,Gadchiroli,1276
2017,Gondia,2410
2017,Hingoli,2359
2017,Jalgaon,6079
2017,Jalna,3707
2017,Kolhapur,4656
2017,Latur,4001
2017,Mumbai,64443
2017,Nagpur,22267
2017,Nanded,5674
2017,Nandurbar,1581
2017,Nashik,11484
2017,Dharashiv,2850
2017,Palghar,4835
2017,Parbhani,3211
2017,Pune,29809
2017,Raigad,2548
2017,Ratnagiri,1996
2017,Sangli,4399
2017,Satara,6448
2017,Sindhudurg,1298
2017,Solapur,9039
2017,Thane,21501
2017,Wardha,4488
2017,Washim,2385
