Year,District,Taluka,Establishment,Number of Officers/Employees
2018,Ahilyanagar,Akole,Police Stations,641
2018,Ahilyanagar,Sangamner,Police Stations,163
2018,Ahilyanagar,Kopargaon,Police Stations,70
2018,Ahilyanagar,Rahata,Police Stations,147
2018,Ahilyanagar,Srirampur,Police Stations,112
2018,Ahilyanagar,Nevasa,Police Stations,129
2018,Ahilyanagar,Shevgaon,Police Stations,161
2018,Ahilyanagar,Pathardi,Police Stations,59
2018,Ahilyanagar,Nagar,Police Stations,385
2018,Ahilyanagar,Rahuri,Police Stations,84
2018,Ahilyanagar,Parner,Police Stations,45
2018,Ahilyanagar,Srigonda,Police Stations,107
2018,Ahilyanagar,Karjat,Police Stations,41
2018,Ahilyanagar,Jamkhed,Police Stations,51
2019,Ahilyanagar,Akole,Police Stations,121
2019,Ahilyanagar,Sangamner,Police Stations,163
2019,Ahilyanagar,Kopargaon,Police Stations,152
2019,Ahilyanagar,Rahata,Police Stations,147
2019,Ahilyanagar,Srirampur,Police Stations,112
2019,Ahilyanagar,Nevasa,Police Stations,129
2019,Ahilyanagar,Shevgaon,Police Stations,161
2019,Ahilyanagar,Pathardi,Police Stations,76
2019,Ahilyanagar,Nagar,Police Stations,385
2019,Ahilyanagar,Rahuri,Police Stations,84
2019,Ahilyanagar,Parner,Police Stations,45
2019,Ahilyanagar,Srigonda,Police Stations,107
2019,Ahilyanagar,Karjat,Police Stations,41
2019,Ahilyanagar,Jamkhed,Police Stations,51
2020,Ahilyanagar,Akole,Police Stations,58
2020,Ahilyanagar,Sangamner,Police Stations,173
2020,Ahilyanagar,Kopargaon,Police Stations,65
2020,Ahilyanagar,Rahata,Police Stations,136
2020,Ahilyanagar,Srirampur,Police Stations,95
2020,Ahilyanagar,Nevasa,Police Stations,123
2020,Ahilyanagar,Shevgaon,Police Stations,78
2020,Ahilyanagar,Pathardi,Police Stations,75
2020,Ahilyanagar,Nagar,Police Stations,404
2020,Ahilyanagar,Rahuri,Police Stations,79
2020,Ahilyanagar,Parner,Police Stations,87
2020,Ahilyanagar,Srigonda,Police Stations,114
2020,Ahilyanagar,Karjat,Police Stations,60
2020,Ahilyanagar,Jamkhed,Police Stations,62
2021,Ahilyanagar,Akole,Police Stations,96
2021,Ahilyanagar,Sangamner,Police Stations,146
2021,Ahilyanagar,Kopargaon,Police Stations,174
2021,Ahilyanagar,Rahata,Police Stations,37
2021,Ahilyanagar,Srirampur,Police Stations,126
2021,Ahilyanagar,Nevasa,Police Stations,108
2021,Ahilyanagar,Shevgaon,Police Stations,72
