Year,District,Taluka,Select Type of Police Establishment,Number
2018,Ahilyanagar,Akole,Police Stations,2
2018,Ahilyanagar,Sangamner,Police Stations,4
2018,Ahilyanagar,Kopargaon,Police Stations,2
2018,Ahilyanagar,Rahata,Police Stations,3
2018,Ahilyanagar,Srirampur,Police Stations,2
2018,Ahilyanagar,Nevasa,Police Stations,3
2018,Ahilyanagar,Shevgaon,Police Stations,1
2018,Ahilyanagar,Pathardi,Police Stations,1
2018,Ahilyanagar,Nagar,Police Stations,6
2018,Ahilyanagar,Rahuri,Police Stations,1
2018,Ahilyanagar,Parner,Police Stations,2
2018,Ahilyanagar,Srigonda,Police Stations,2
2018,Ahilyanagar,Karjat,Police Stations,1
2018,Ahilyanagar,Jamkhed,Police Stations,1
2019,Ahilyanagar,Akole,Police Stations,2
2019,Ahilyanagar,Sangamner,Police Stations,4
2019,Ahilyanagar,Kopargaon,Police Stations,2
2019,Ahilyanagar,Rahata,Police Stations,3
2019,Ahilyanagar,Srirampur,Police Stations,2
2019,Ahilyanagar,Nevasa,Police Stations,3
2019,Ahilyanagar,Shevgaon,Police Stations,1
2019,Ahilyanagar,Pathardi,Police Stations,1
2019,Ahilyanagar,Nagar,Police Stations,6
2019,Ahilyanagar,Rahuri,Police Stations,1
2019,Ahilyanagar,Parner,Police Stations,2
2019,Ahilyanagar,Srigonda,Police Stations,2
2019,Ahilyanagar,Karjat,Police Stations,1
2019,Ahilyanagar,Jamkhed,Police Stations,1
2020,Ahilyanagar,Akole,Police Stations,2
2020,Ahilyanagar,Sangamner,Police Stations,4
2020,Ahilyanagar,Kopargaon,Police Stations,2
2020,Ahilyanagar,Rahata,Police Stations,3
2020,Ahilyanagar,Srirampur,Police Stations,2
2020,Ahilyanagar,Nevasa,Police Stations,3
2020,Ahilyanagar,Shevgaon,Police Stations,1
2020,Ahilyanagar,Pathardi,Police Stations,1
2020,Ahilyanagar,Nagar,Police Stations,5
2020,Ahilyanagar,Rahuri,Police Stations,1
2020,Ahilyanagar,Parner,Police Stations,2
2020,Ahilyanagar,Srigonda,Police Stations,2
2020,Ahilyanagar,Karjat,Police Stations,1
2020,Ahilyanagar,Jamkhed,Police Stations,1
2021,Ahilyanagar,Akole,Police Stations,4
2021,Ahilyanagar,Sangamner,Police Stations,9
2021,Ahilyanagar,Kopargaon,Police Stations,14
2021,Ahilyanagar,Rahata,Police Stations,2
2021,Ahilyanagar,Srirampur,Police Stations,9
2021,Ahilyanagar,Nevasa,Police Stations,9
2021,Ahilyanagar,Shevgaon,Police Stations,4
2021,Ahilyanagar,Pathardi,Police Stations,5
2021,Ahilyanagar,Nagar,Police Stations,17
2021,Ahilyanagar,Rahuri,Police Stations,4
2021,Ahilyanagar,Parner,Police Stations,14
2021,Ahilyanagar,Srigonda,Police Stations,7
2021,Ahilyanagar,Karjat,Police Stations,4
2021,Ahilyanagar,Jamkhed,Police Stations,4
2018,Akola,Telhara,Police Stations,2
2018,Akola,Akot,Police Stations,3
2018,Akola,Balapur,Police Stations,2
2018,Akola,Akola,Police Stations,8
2018,Akola,Murtijapur,Police Stations,5
2018,Akola,Patur,Police Stations,2
2018,Akola,Barshitakali,Police Stations,1
2019,Akola,Telhara,Police Stations,2
2019,Akola,Akot,Police Stations,2
2019,Akola,Balapur,Police Stations,3
2019,Akola,Akola,Police Stations,10
2019,Akola,Murtijapur,Police Stations,3
2019,Akola,Patur,Police Stations,2
2019,Akola,Barshitakali,Police Stations,2
2020,Akola,Telhara,Police Stations,2
2020,Akola,Akot,Police Stations,2
2020,Akola,Balapur,Police Stations,3
2020,Akola,Akola,Police Stations,10
2020,Akola,Murtijapur,Police Stations,3
2020,Akola,Patur,Police Stations,2
2020,Akola,Barshitakali,Police Stations,2
2021,Akola,Telhara,Police Stations,2
2021,Akola,Akot,Police Stations,2
2021,Akola,Balapur,Police Stations,3
2021,Akola,Akola,Police Stations,10
2021,Akola,Murtijapur,Police Stations,3
2021,Akola,Patur,Police Stations,2
2021,Akola,Barshitakali,Police Stations,2
2018,Amravati,Dharani,Police Stations,1
2018,Amravati,Chikhraldara,Police Stations,1
2018,Amravati,Anjangaon Su,Police Stations,2
2018,Amravati,Achalpur,Police Stations,4
2018,Amravati,Chandurbazar,Police Stations,4
2018,Amravati,Morshi,Police Stations,2
2018,Amravati,Warud,Police Stations,3
2018,Amravati,Tivas,Police Stations,1
2018,Amravati,Amravati,Police Stations,11
2018,Amravati,Bhatkuli,Police Stations,3
2018,Amravati,Daryapur,Police Stations,3
2018,Amravati,Nandgaon Kh,Police Stations,4
2018,Amravati,Chandur Railway,Police Stations,2
2018,Amravati,Dhamangaon Re,Police Stations,2
2019,Amravati,Dharani,Police Stations,1
2019,Amravati,Chikhraldara,Police Stations,1
2019,Amravati,Anjangaon Su,Police Stations,2
2019,Amravati,Achalpur,Police Stations,4
2019,Amravati,Chandurbazar,Police Stations,4
2019,Amravati,Morshi,Police Stations,2
2019,Amravati,Warud,Police Stations,3
2019,Amravati,Tivas,Police Stations,2
2019,Amravati,Amravati,Police Stations,11
2019,Amravati,Bhatkuli,Police Stations,2
2019,Amravati,Daryapur,Police Stations,3
2019,Amravati,Nandgaon Kh,Police Stations,3
2019,Amravati,Chandur Railway,Police Stations,2
2019,Amravati,Dhamangaon Re,Police Stations,2
2020,Amravati,Dharani,Police Stations,1
2020,Amravati,Chikhraldara,Police Stations,1
2020,Amravati,Anjangaon Su,Police Stations,2
2020,Amravati,Achalpur,Police Stations,4
2020,Amravati,Chandurbazar,Police Stations,4
2020,Amravati,Morshi,Police Stations,2
2020,Amravati,Warud,Police Stations,3
2020,Amravati,Tivas,Police Stations,2
2020,Amravati,Amravati,Police Stations,13
2020,Amravati,Bhatkuli,Police Stations,2
2020,Amravati,Daryapur,Police Stations,3
2020,Amravati,Nandgaon Kh,Police Stations,2
2020,Amravati,Chandur Railway,Police Stations,1
2020,Amravati,Dhamangaon Re,Police Stations,3
2021,Amravati,Dharani,Police Stations,1
2021,Amravati,Chikhraldara,Police Stations,1
