Year,District,Select Offense Under,Cases
2018,Ahilyanagar,"The Arms Act, 1959",127
2018,Ahilyanagar,"The Narcotic Drugs & Psychotropic Substances Act, 1985",11
2018,Ahilyanagar,The Gambling Act,1604
2018,Ahilyanagar,"The Excise Act, 1944",0
2018,Ahilyanagar,Prohibition Act (State),3568
2018,Ahilyanagar,Indian Railways Act,0
2018,Ahilyanagar,Essential Commodities Act,7
2018,Ahilyanagar,"The Antiques and Art Treasures Act, 1972",0
2018,Ahilyanagar,"The Copy Right Act, 1957",1
2018,Ahilyanagar,"The Information Technology Act, 2000",6
2018,Ahilyanagar,"The Electricity Act, 2003",0
2018,Ahilyanagar,Wildlife Protection Act,0
2018,Ahilyanagar,Environmental (Protection) Act,0
2018,Ahilyanagar,The Air & The Water Prevention & Control of Pollution Act,0
2018,Ahilyanagar,Railway Property (Unlawful Possession) Act,0
2018,Ahilyanagar,"The Prevention of Damage to Public Property Act, 1984",0
2018,Ahilyanagar,"The Transplantation of Human Organs Act, 1994",0
2018,Ahilyanagar,"The Trade Marks Act, 1999",0
2018,Ahilyanagar,"The Citizenship Act, 1955",0
2018,Ahilyanagar,"The Representation of the People Act, 1951",0
2018,Ahilyanagar,Crime Against Women and Related Acts,5
2018,Ahilyanagar,Children Related Acts,234
2018,Ahilyanagar,Scheduled Castes and Scheduled Tribes Related Acts,1
2018,Ahilyanagar,Information Technology/ Intellectual Property Related Acts,7
2018,Ahilyanagar,"The Negotiable Instruments Act, 1881",0
2018,Ahilyanagar,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2018,Ahilyanagar,"Prevention of Corruption Act, 1988",29
2018,Ahilyanagar,Finance & Economic Acts,29
2018,Ahilyanagar,Environment & Pollution Related Acts,7
2018,Ahilyanagar,Railway Related Acts,0
2018,Ahilyanagar,Telegraph/ Cinematograph Acts,0
2018,Ahilyanagar,"Food, Drugs and Essential Commodities Acts",8
2018,Ahilyanagar,"The Mental Health Act, 1987",0
2018,Akola,"The Arms Act, 1959",86
2018,Akola,"The Narcotic Drugs & Psychotropic Substances Act, 1985",10
2018,Akola,The Gambling Act,1518
2018,Akola,"The Excise Act, 1944",0
2018,Akola,Prohibition Act (State),2755
2018,Akola,Indian Railways Act,0
2018,Akola,Essential Commodities Act,19
2018,Akola,"The Antiques and Art Treasures Act, 1972",0
2018,Akola,"The Copy Right Act, 1957",2
2018,Akola,"The Information Technology Act, 2000",19
2018,Akola,"The Electricity Act, 2003",210
2018,Akola,Wildlife Protection Act,0
2018,Akola,Environmental (Protection) Act,0
2018,Akola,The Air & The Water Prevention & Control of Pollution Act,0
2018,Akola,Railway Property (Unlawful Possession) Act,0
2018,Akola,"The Prevention of Damage to Public Property Act, 1984",17
2018,Akola,"The Transplantation of Human Organs Act, 1994",0
2018,Akola,"The Trade Marks Act, 1999",0
2018,Akola,"The Citizenship Act, 1955",0
2018,Akola,"The Representation of the People Act, 1951",0
2018,Akola,Crime Against Women and Related Acts,11
2018,Akola,Children Related Acts,250
2018,Akola,Scheduled Castes and Scheduled Tribes Related Acts,3
2018,Akola,Information Technology/ Intellectual Property Related Acts,21
2018,Akola,"The Negotiable Instruments Act, 1881",0
2018,Akola,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2018,Akola,"Prevention of Corruption Act, 1988",23
2018,Akola,Finance & Economic Acts,24
2018,Akola,Environment & Pollution Related Acts,637
2018,Akola,Railway Related Acts,0
2018,Akola,Telegraph/ Cinematograph Acts,0
2018,Akola,"Food, Drugs and Essential Commodities Acts",19
2018,Akola,"The Mental Health Act, 1987",0
2018,Amravati,"The Arms Act, 1959",54
2018,Amravati,"The Narcotic Drugs & Psychotropic Substances Act, 1985",20
2018,Amravati,The Gambling Act,824
2018,Amravati,"The Excise Act, 1944",0
2018,Amravati,Prohibition Act (State),2969
2018,Amravati,Indian Railways Act,0
2018,Amravati,Essential Commodities Act,36
2018,Amravati,"The Antiques and Art Treasures Act, 1972",0
2018,Amravati,"The Copy Right Act, 1957",2
2018,Amravati,"The Information Technology Act, 2000",31
2018,Amravati,"The Electricity Act, 2003",152
2018,Amravati,Wildlife Protection Act,2
2018,Amravati,Environmental (Protection) Act,0
2018,Amravati,The Air & The Water Prevention & Control of Pollution Act,0
2018,Amravati,Railway Property (Unlawful Possession) Act,0
2018,Amravati,"The Prevention of Damage to Public Property Act, 1984",9
2018,Amravati,"The Transplantation of Human Organs Act, 1994",0
2018,Amravati,"The Trade Marks Act, 1999",0
2018,Amravati,"The Citizenship Act, 1955",0
2018,Amravati,"The Representation of the People Act, 1951",0
2018,Amravati,Crime Against Women and Related Acts,7
2018,Amravati,Children Related Acts,287
2018,Amravati,Scheduled Castes and Scheduled Tribes Related Acts,14
2018,Amravati,Information Technology/ Intellectual Property Related Acts,33
2018,Amravati,"The Negotiable Instruments Act, 1881",0
2018,Amravati,"The Benami Transaction Prohibition Act, 1988 & 2016",0
2018,Amravati,"Prevention of Corruption Act, 1988",45
2018,Amravati,Finance & Economic Acts,46
2018,Amravati,Environment & Pollution Related Acts,15
2018,Amravati,Railway Related Acts,0
2018,Amravati,Telegraph/ Cinematograph Acts,0
2018,Amravati,"Food, Drugs and Essential Commodities Acts",36
2018,Amravati,"The Mental Health Act, 1987",0
2018,Chhatrapati Sambhaji Nagar,"The Arms Act, 1959",9
2018,Chhatrapati Sambhaji Nagar,"The Narcotic Drugs & Psychotropic Substances Act, 1985",6
2018,Chhatrapati Sambhaji Nagar,The Gambling Act,495
2018,Chhatrapati Sambhaji Nagar,"The Excise Act, 1944",0
2018,Chhatrapati Sambhaji Nagar,Prohibition Act (State),1889
2018,Chhatrapati Sambhaji Nagar,Indian Railways Act,0
2018,Chhatrapati Sambhaji Nagar,Essential Commodities Act,13
2018,Chhatrapati Sambhaji Nagar,"The Antiques and Art Treasures Act, 1972",0
2018,Chhatrapati Sambhaji Nagar,"The Copy Right Act, 1957",1
2018,Chhatrapati Sambhaji Nagar,"The Information Technology Act, 2000",1
2018,Chhatrapati Sambhaji Nagar,"The Electricity Act, 2003",35
2018,Chhatrapati Sambhaji Nagar,Wildlife Protection Act,0
2018,Chhatrapati Sambhaji Nagar,Environmental (Protection) Act,0
2018,Chhatrapati Sambhaji Nagar,The Air & The Water Prevention & Control of Pollution Act,0
2018,Chhatrapati Sambhaji Nagar,Railway Property (Unlawful Possession) Act,0
2018,Chhatrapati Sambhaji Nagar,"The Prevention of Damage to Public Property Act, 1984",2
2018,Chhatrapati Sambhaji Nagar,"The Transplantation of Human Organs Act, 1994",0
2018,Chhatrapati Sambhaji Nagar,"The Trade Marks Act, 1999",0
2018,Chhatrapati Sambhaji Nagar,"The Citizenship Act, 1955",0
