District,Year,Cognizable SLL Crimes
Ahilyanagar,2018,6838
Akola,2018,6196
Amravati,2018,5510
Chh. Sambhaji Nagar,2018,2824
Beed,2018,4653
Bhandara,2018,2634
Buldhana,2018,6714
Chandrapur,2018,12263
Dhule,2018,2430
Gadchiroli,2018,1961
Gondia,2018,2855
Hingoli,2018,1633
Jalgaon,2018,4551
Jalna,2018,1761
Kolhapur,2018,3303
Latur,2018,18831
Mumbai,2018,8387
Nagpur,2018,6639
Nanded,2018,2929
Nandurbar,2018,2382
Nashik,2018,1192
Dharashiv,2018,1926
Palghar,2018,1670
Parbhani,2018,6006
Pune,2018,9051
Raigad,2018,509
Ratnagiri,2018,547
Sangli,2018,1818
Satara,2018,3600
Sindhudurg,2018,2885
Solapur,2018,13358
Thane,2018,2056
Wardha,2018,10200
Washim,2018,2385
Yavatmal,2018,11292
Total,2018,169383
Ahilyanagar,2014,2797
Akola,2014,2451
Amravati,2014,5947
Chh. Sambhaji Nagar,2014,3245
Beed,2014,2344
Bhandara,2014,2847
Buldhana,2014,4385
Chandrapur,2014,2882
Dhule,2014,1894
Gadchiroli,2014,1687
Gondia,2014,1459
Hingoli,2014,1172
Jalgaon,2014,3354
Jalna,2014,1497
Kolhapur,2014,2062
Latur,2014,2082
Mumbai,2014,19620
Nagpur,2014,20953
Nanded,2014,2411
Nandurbar,2014,1029
Nashik,2014,3276
Dharashiv,2014,1583
Palghar,2014,601
Parbhani,2014,2078
Pune,2014,10231
Raigad,2014,741
Ratnagiri,2014,624
Sangli,2014,1243
Satara,2014,2010
Sindhudurg,2014,425
Solapur,2014,4427
Thane,2014,4137
Wardha,2014,10755
Washim,2014,1599
Yavatmal,2014,5133
Total,2014,134981
Ahilyanagar,2019,7652
Akola,2019,5850
Amravati,2019,6372
Chh. Sambhaji Nagar,2019,2852
Beed,2019,4498
Bhandara,2019,2216
Buldhana,2019,6347
Chandrapur,2019,9252
Dhule,2019,2292
Gadchiroli,2019,1919
Gondia,2019,2732
Hingoli,2019,1719
Jalgaon,2019,5295
Jalna,2019,1465
Kolhapur,2019,3924
Latur,2019,22448
Mumbai,2019,9075
Nagpur,2019,5592
Nanded,2019,2664
Nandurbar,2019,3815
Nashik,2019,1175
Dharashiv,2019,1572
Palghar,2019,1648
Parbhani,2019,7067
Pune,2019,9744
Raigad,2019,488
Ratnagiri,2019,656
Sangli,2019,2051
Satara,2019,3217
Sindhudurg,2019,2918
Solapur,2019,13553
Thane,2019,1737
Wardha,2019,6875
Washim,2019,2948
Yavatmal,2019,10064
Total,2019,168349
Ahilyanagar,2015,3892
Akola,2015,2662
Amravati,2015,6378
Chh. Sambhaji Nagar,2015,2522
Beed,2015,2767
Bhandara,2015,2300
Buldhana,2015,4524
Chandrapur,2015,7208
Dhule,2015,1144
Gadchiroli,2015,1813
Gondia,2015,2497
Hingoli,2015,804
Jalgaon,2015,3270
Jalna,2015,1801
Kolhapur,2015,1586
Latur,2015,1764
Mumbai,2015,23836
Nagpur,2015,26236
Nanded,2015,2353
Nandurbar,2015,1007
Nashik,2015,3091
Dharashiv,2015,1206
Palghar,2015,613
Parbhani,2015,1566
Pune,2015,6917
Raigad,2015,659
Ratnagiri,2015,430
Sangli,2015,1640
Satara,2015,2135
Sindhudurg,2015,281
Solapur,2015,6153
Thane,2015,3877
Wardha,2015,10926
Washim,2015,2024
Yavatmal,2015,5884
Total,2015,147766
Ahilyanagar,2016,4282
Akola,2016,3056
Amravati,2016,7233
Chh. Sambhaji Nagar,2016,2884
Beed,2016,2921
Bhandara,2016,2448
Buldhana,2016,4325
Chandrapur,2016,9434
Dhule,2016,1685
Gadchiroli,2016,1743
Gondia,2016,2095
Hingoli,2016,1040
Jalgaon,2016,3222
Jalna,2016,1635
Kolhapur,2016,1781
Latur,2016,2436
Mumbai,2016,19537
Nagpur,2016,35627
Nanded,2016,2767
Nandurbar,2016,938
Nashik,2016,3585
Dharashiv,2016,1860
Palghar,2016,602
Parbhani,2016,2115
Pune,2016,11385
Raigad,2016,428
Ratnagiri,2016,371
Sangli,2016,2244
Satara,2016,2172
Sindhudurg,2016,376
Solapur,2016,7024
Thane,2016,4298
Wardha,2016,13186
Washim,2016,2234
Yavatmal,2016,6183
Total,2016,169152
Ahilyanagar,2020,5118
Akola,2020,4362
Amravati,2020,7146
Chh. Sambhaji Nagar,2020,3990
Beed,2020,4358
Bhandara,2020,2088
Buldhana,2020,6814
Chandrapur,2020,7877
Dhule,2020,2491
Gadchiroli,2020,2392
Gondia,2020,2992
Hingoli,2020,1341
Jalgaon,2020,4466
Jalna,2020,1917
Kolhapur,2020,3362
Latur,2020,2471
Mumbai,2020,8703
Nagpur,2020,10921
Nanded,2020,2956
Nandurbar,2020,2102
Nashik,2020,4254
Dharashiv,2020,1476
Palghar,2020,826
Parbhani,2020,1845
Pune,2020,9733
Raigad,2020,499
Ratnagiri,2020,631
Sangli,2020,1824
Satara,2020,2766
Sindhudurg,2020,908
Solapur,2020,9064
Thane,2020,5479
Wardha,2020,6027
Washim,2020,3141
Yavatmal,2020,8646
Total,2020,144986
Ahilyanagar,2021,5322
Akola,2021,5148
Amravati,2021,9069
Chh. Sambhaji Nagar,2021,4769
Beed,2021,2550
Bhandara,2021,2113
Buldhana,2021,7440
Chandrapur,2021,5822
Dhule,2021,3080
Gadchiroli,2021,3059
Gondia,2021,4238
Hingoli,2021,1863
Jalgaon,2021,5422
Jalna,2021,2148
Kolhapur,2021,4446
Latur,2021,4024
Mumbai,2021,15507
Nagpur,2021,13554
Nanded,2021,3646
Nandurbar,2021,2937
Nashik,2021,4836
Dharashiv,2021,2110
Palghar,2021,693
Parbhani,2021,2261
Pune,2021,10473
Raigad,2021,859
Ratnagiri,2021,1155
Sangli,2021,2374
Satara,2021,3566
Sindhudurg,2021,696
Solapur,2021,10028
Thane,2021,8433
Wardha,2021,8202
Washim,2021,3315
Yavatmal,2021,8424
Total,2021,173582
Ahilyanagar,2022,7106
Akola,2022,5352
Amravati,2022,9680
Beed,2022,2863
Bhandara,2022,2108
Buldhana,2022,7341
Chandrapur,2022,3805
Chh. Sambhaji Nagar,2022,4964
Dharashiv,2022,2474
Dhule,2022,3128
Gadchiroli,2022,2758
Gondia,2022,3995
Hingoli,2022,2296
Jalgaon,2022,5798
Jalna,2022,2555
Kolhapur,2022,4377
Latur,2022,3722
Mumbai,2022,19956
Nagpur,2022,11203
Nanded,2022,3214
Nandurbar,2022,3356
Nashik,2022,5725
Palghar,2022,887
Parbhani,2022,2696
Pune,2022,10019
Raigad,2022,1248
Ratnagiri,2022,1220
Sangli,2022,2593
Satara,2022,4138
Sindhudurg,2022,708
Solapur,2022,8972
Thane,2022,9625
Wardha,2022,8773
Washim,2022,3708
Yavatmal,2022,10611
Ahilyanagar,2017,5291
Akola,2017,3514
Amravati,2017,7691
Beed,2017,5110
Bhandara,2017,2591
Buldhana,2017,6164
Chandrapur,2017,13832
Chh. Sambhaji Nagar,2017,5175
Dharashiv,2017,2385
Dhule,2017,2321
Gadchiroli,2017,2081
Gondia,2017,3401
Hingoli,2017,1828
Jalgaon,2017,4106
Jalna,2017,2442
Kolhapur,2017,2778
Latur,2017,2887
Mumbai,2017,20029
Nagpur,2017,11467
Nanded,2017,3888
Nandurbar,2017,1616
Nashik,2017,4795
Palghar,2017,1619
Parbhani,2017,2167
Pune,2017,9371
Raigad,2017,840
Ratnagiri,2017,830
Sangli,2017,2165
Satara,2017,3527
Sindhudurg,2017,937
Solapur,2017,8456
Thane,2017,6272
Wardha,2017,15263
Washim,2017,2523
Yavatmal,2017,9512
