Year,District,Crime,Cases
2014,Ahilyanagar,Rape/Attempt to Rape,104.0
2014,Akola,Rape/Attempt to Rape,53.0
2014,Amravati,Rape/Attempt to Rape,130.0
2014,Chhatrapati Sambhaji Nagar,Rape/Attempt to Rape,58.0
2014,Beed,Rape/Attempt to Rape,70.0
2014,Bhandara,Rape/Attempt to Rape,28.0
2014,Buldhana,Rape/Attempt to Rape,57.0
2014,Chandrapur,Rape/Attempt to Rape,100.0
2014,Dhule,Rape/Attempt to Rape,35.0
2014,Gadchiroli,Rape/Attempt to Rape,23.0
2014,Gondia,Rape/Attempt to Rape,58.0
2014,Hingoli,Rape/Attempt to Rape,24.0
2014,Jalgaon,Rape/Attempt to Rape,66.0
2014,Jalna,Rape/Attempt to Rape,33.0
2014,Kolhapur,Rape/Attempt to Rape,84.0
2014,Latur,Rape/Attempt to Rape,57.0
2014,Mumbai City,Rape/Attempt to Rape,610.0
2014,Nagpur,Rape/Attempt to Rape,183.0
2014,Nanded,Rape/Attempt to Rape,43.0
2014,Nandurbar,Rape/Attempt to Rape,25.0
2014,Nasik,Rape/Attempt to Rape,115.0
2014,Dharashiv,Rape/Attempt to Rape,43.0
2014,Palghar,Rape/Attempt to Rape,98.0
2014,Parbhani,Rape/Attempt to Rape,38.0
2014,Pune,Rape/Attempt to Rape,339.0
2014,Raigad,Rape/Attempt to Rape,48.0
2014,Ratnagiri,Rape/Attempt to Rape,35.0
2014,Sangli,Rape/Attempt to Rape,67.0
2014,Satara,Rape/Attempt to Rape,97.0
2014,Sindhudurg,Rape/Attempt to Rape,13.0
2014,Solapur,Rape/Attempt to Rape,138.0
2014,Thane,Rape/Attempt to Rape,378.0
2014,Wardha,Rape/Attempt to Rape,62.0
2014,Washim,Rape/Attempt to Rape,33.0
2014,Yavatmal,Rape/Attempt to Rape,108.0
2015,Ahilyanagar,Rape/Attempt to Rape,
2015,Akola,Rape/Attempt to Rape,
2015,Amravati,Rape/Attempt to Rape,
2015,Chhatrapati Sambhaji Nagar,Rape/Attempt to Rape,
2015,Beed,Rape/Attempt to Rape,
2015,Bhandara,Rape/Attempt to Rape,
2015,Buldhana,Rape/Attempt to Rape,
2015,Chandrapur,Rape/Attempt to Rape,
2015,Dhule,Rape/Attempt to Rape,
2015,Gadchiroli,Rape/Attempt to Rape,
2015,Gondia,Rape/Attempt to Rape,
2015,Hingoli,Rape/Attempt to Rape,
2015,Jalgaon,Rape/Attempt to Rape,
2015,Jalna,Rape/Attempt to Rape,
2015,Kolhapur,Rape/Attempt to Rape,
2015,Latur,Rape/Attempt to Rape,
2015,Mumbai City,Rape/Attempt to Rape,
2015,Nagpur,Rape/Attempt to Rape,
2015,Nanded,Rape/Attempt to Rape,
2015,Nandurbar,Rape/Attempt to Rape,
