Year,District,Cases
2014,Ahilyanagar,822
2014,Akola,479
2014,Amravati,1159
2014,Chh. Sambhaji Nagar,944
2014,Beed,744
2014,Bhandara,192
2014,Buldhana,562
2014,Chandrapur,626
2014,Dhule,405
2014,Gadchiroli,83
2014,Gondia,255
2014,Hingoli,207
2014,Jalgaon,898
2014,Jalna,560
2014,Kolhapur,477
2014,Latur,646
2014,Mumbai,3965
2014,Nagpur,1263
2014,Nanded,464
2014,Nandurbar,132
2014,Nashik,1200
2014,Dharashiv,321
2014,Palghar,458
2014,Parbhani,488
2014,Pune,2276
2014,Raigad,245
2014,Ratnagiri,139
2014,Sangli,434
2014,Satara,658
2014,Sindhudurg,74
2014,Solapur,766
2014,Thane,2451
2014,Wardha,390
2014,Washim,378
2014,Yavatmal,1532
2014,Total,26693
2015,Ahilyanagar,953
2015,Akola,489
2015,Amravati,1449
2015,Chh. Sambhaji Nagar,1421
2015,Beed,823
2015,Bhandara,225
2015,Buldhana,567
2015,Chandrapur,751
2015,Dhule,348
2015,Gadchiroli,125
2015,Gondia,286
2015,Hingoli,214
2015,Jalgaon,743
2015,Jalna,607
2015,Kolhapur,633
2015,Latur,512
2015,Mumbai,4920
2015,Nagpur,1754
2015,Nanded,554
2015,Nandurbar,142
2015,Nashik,1416
2015,Dharashiv,329
2015,Palghar,691
2015,Parbhani,473
2015,Pune,3111
2015,Raigad,316
2015,Ratnagiri,171
2015,Sangli,493
2015,Satara,754
2015,Sindhudurg,91
2015,Solapur,874
2015,Thane,2908
2015,Wardha,443
2015,Washim,425
2015,Yavatmal,1115
2015,Total,31126
2016,Ahilyanagar,1037
2016,Akola,469
2016,Amravati,1370
2016,Chh. Sambhaji Nagar,1597
2016,Beed,742
2016,Bhandara,266
2016,Buldhana,515
2016,Chandrapur,597
2016,Dhule,419
2016,Gadchiroli,134
2016,Gondia,266
2016,Hingoli,202
2016,Jalgaon,762
2016,Jalna,559
2016,Kolhapur,543
2016,Latur,525
2016,Mumbai,5234
2016,Nagpur,1837
2016,Nanded,638
2016,Nandurbar,203
2016,Nashik,1339
2016,Dharashiv,330
2016,Palghar,724
2016,Parbhani,450
2016,Pune,3365
2016,Raigad,286
2016,Ratnagiri,223
