Year,District,Taluka,Towns and cities where banks have offices,Classified Banks,Branch Offices of Classified Banks,Deposits,Agriculture Loans,Non-Agriculture Loans,Total Loans
2012,Ahilyanagar,Akole,24.0,5,33.0,58781,33998.0,38423.0,72421.0
2012,Ahilyanagar,Sangamner,37.0,21,72.0,94076,39976.0,39263.0,79239.0
2012,Ahilyanagar,Kopargaon,24.0,13,40.0,77544,44032.0,44304.0,88336.0
2012,Ahilyanagar,Rahata,28.0,19,47.0,114413,34491.0,37470.0,71961.0
2012,Ahilyanagar,Srirampur,20.0,14,35.0,64685,40578.0,39375.0,79953.0
2012,Ahilyanagar,Nevasa,28.0,7,43.0,43823,30104.0,34222.0,64326.0
2012,Ahilyanagar,Shevgaon,19.0,4,29.0,39231,35754.0,39207.0,74961.0
2012,Ahilyanagar,Pathardi,19.0,9,28.0,59306,35752.0,37582.0,73334.0
2012,Ahilyanagar,Nagar,33.0,28,97.0,525095,59386.0,56458.0,115844.0
2012,Ahilyanagar,Rahuri,31.0,9,41.0,59306,40577.0,40047.0,80624.0
2012,Ahilyanagar,Parner,26.0,4,39.0,41068,35039.0,37526.0,72565.0
2012,Ahilyanagar,Srigonda,30.0,9,37.0,59175,39700.0,39319.0,79019.0
2012,Ahilyanagar,Karjat,17.0,7,27.0,41330,39974.0,37526.0,77500.0
2012,Ahilyanagar,Jamkhed,10.0,6,16.0,34245,38987.0,39375.0,78362.0
2013,Ahilyanagar,Akole,25.0,5,34.0,59957,34678.0,39191.0,73869.0
2013,Ahilyanagar,Sangamner,39.0,22,74.0,95958,40776.0,40028.0,80804.0
2013,Ahilyanagar,Kopargaon,24.0,13,40.0,79095,44913.0,45190.0,90103.0
2013,Ahilyanagar,Rahata,30.0,19,48.0,116701,35181.0,38219.0,73400.0
2013,Ahilyanagar,Srirampur,21.0,16,36.0,65979,41390.0,40163.0,81553.0
2013,Ahilyanagar,Nevasa,29.0,7,44.0,44699,30706.0,34906.0,65612.0
2013,Ahilyanagar,Shevgaon,22.0,4,29.0,40016,36469.0,39991.0,76460.0
2013,Ahilyanagar,Pathardi,20.0,9,30.0,60492,36467.0,38334.0,74801.0
2013,Ahilyanagar,Nagar,35.0,29,98.0,535597,60574.0,57587.0,118161.0
2013,Ahilyanagar,Rahuri,32.0,9,42.0,60492,41389.0,40848.0,82237.0
2013,Ahilyanagar,Parner,26.0,4,39.0,41889,35740.0,38277.0,74017.0
2013,Ahilyanagar,Srigonda,31.0,10,38.0,60359,40494.0,40105.0,80599.0
2013,Ahilyanagar,Karjat,17.0,7,27.0,42157,40773.0,38277.0,79050.0
2013,Ahilyanagar,Jamkhed,11.0,7,17.0,34930,39767.0,40163.0,79930.0
2014,Ahilyanagar,Akole,25.0,6,34.0,80036,48889.0,25611.0,74500.0
2014,Ahilyanagar,Sangamner,39.0,22,77.0,128094,75575.0,40990.0,116565.0
2014,Ahilyanagar,Kopargaon,24.0,15,41.0,105584,62295.0,33787.0,96082.0
2014,Ahilyanagar,Rahata,32.0,22,55.0,155784,91913.0,49851.0,141764.0
2014,Ahilyanagar,Srirampur,21.0,16,39.0,88075,51965.0,28184.0,80149.0
2014,Ahilyanagar,Nevasa,31.0,8,46.0,59669,35205.0,19095.0,54300.0
2014,Ahilyanagar,Shevgaon,22.0,6,28.0,53417,31517.0,17093.0,48610.0
2014,Ahilyanagar,Pathardi,21.0,9,27.0,80751,47643.0,25840.0,73483.0
2014,Ahilyanagar,Nagar,37.0,29,116.0,714968,421831.0,228790.0,650621.0
2014,Ahilyanagar,Rahuri,32.0,11,45.0,80720,47625.0,25830.0,73455.0
2014,Ahilyanagar,Parner,29.0,8,45.0,55918,32993.0,17894.0,50887.0
2014,Ahilyanagar,Srigonda,32.0,13,45.0,80573,47538.0,25783.0,73321.0
2014,Ahilyanagar,Karjat,17.0,7,27.0,56275,33202.0,18008.0,51210.0
2014,Ahilyanagar,Jamkhed,13.0,7,21.0,46628,33077.0,14696.0,47773.0
2015,Ahilyanagar,Akole,26.0,6,35.0,80031,50078.0,56596.0,106674.0
2015,Ahilyanagar,Sangamner,39.0,22,73.0,128085,58885.0,57776.0,116661.0
2015,Ahilyanagar,Kopargaon,34.0,13,40.0,105576,64859.0,66151.0,131010.0
2015,Ahilyanagar,Rahata,30.0,25,54.0,155772,50805.0,55009.0,105814.0
2015,Ahilyanagar,Srirampur,22.0,16,35.0,88069,59771.0,56896.0,116667.0
2015,Ahilyanagar,Nevasa,29.0,9,34.0,59664,44342.0,50196.0,94538.0
2015,Ahilyanagar,Shevgaon,22.0,6,26.0,53413,52665.0,57546.0,110211.0
2015,Ahilyanagar,Pathardi,20.0,9,26.0,80745,52662.0,55267.0,107929.0
2015,Ahilyanagar,Nagar,37.0,31,110.0,715016,87475.0,83768.0,171243.0
2015,Ahilyanagar,Rahuri,34.0,11,43.0,80745,59770.0,58698.0,118468.0
2015,Ahilyanagar,Parner,38.0,8,45.0,55913,51612.0,55101.0,106713.0
2015,Ahilyanagar,Srigonda,33.0,13,42.0,80567,58477.0,57918.0,116395.0
2015,Ahilyanagar,Karjat,17.0,7,27.0,56271,58880.0,55987.0,114867.0
2015,Ahilyanagar,Jamkhed,14.0,7,20.0,46625,57425.0,58105.0,115530.0
2016,Ahilyanagar,Akole,26.0,6,35.0,90022,56008.0,63299.0,119307.0
2016,Ahilyanagar,Sangamner,39.0,22,73.0,144042,65857.0,64644.0,130501.0
2016,Ahilyanagar,Kopargaon,34.0,13,40.0,118730,72539.0,72988.0,145527.0
2016,Ahilyanagar,Rahata,30.0,25,54.0,175180,56821.0,61728.0,118549.0
2016,Ahilyanagar,Srirampur,22.0,16,35.0,99041,66849.0,64868.0,131717.0
2016,Ahilyanagar,Nevasa,29.0,9,34.0,67098,49593.0,56374.0,105967.0
2016,Ahilyanagar,Shevgaon,22.0,6,26.0,60068,58901.0,64587.0,123488.0
2016,Ahilyanagar,Pathardi,20.0,9,26.0,90805,58898.0,61915.0,120813.0
2016,Ahilyanagar,Nagar,37.0,31,110.0,804059,97833.0,93063.0,190896.0
2016,Ahilyanagar,Rahuri,34.0,11,43.0,90805,66847.0,65976.0,132823.0
2016,Ahilyanagar,Parner,38.0,8,45.0,62880,57724.0,61825.0,119549.0
2016,Ahilyanagar,Srigonda,33.0,13,42.0,90605,65402.0,64798.0,130200.0
2016,Ahilyanagar,Karjat,17.0,7,27.0,63282,65852.0,61801.0,127653.0
2016,Ahilyanagar,Jamkhed,14.0,7,20.0,52433,64241.0,64855.0,129096.0
2017,Ahilyanagar,Akole,26.0,6,35.0,100290,26458.0,23942.0,50400.0
2017,Ahilyanagar,Sangamner,39.0,22,73.0,160472,23596.0,19190.0,42786.0
2017,Ahilyanagar,Kopargaon,34.0,13,40.0,132273,41831.0,41430.0,83261.0
2017,Ahilyanagar,Rahata,30.0,25,54.0,195162,15832.0,14882.0,30714.0
2017,Ahilyanagar,Srirampur,22.0,16,35.0,110338,12199.0,23526.0,35725.0
2017,Ahilyanagar,Nevasa,29.0,9,34.0,74751,34887.0,25684.0,60571.0
2017,Ahilyanagar,Shevgaon,22.0,6,26.0,66919,8096.0,13659.0,21755.0
2017,Ahilyanagar,Pathardi,20.0,9,26.0,101162,24566.0,23638.0,48204.0
2017,Ahilyanagar,Nagar,37.0,31,110.0,895776,30220.0,93146.0,123366.0
2017,Ahilyanagar,Rahuri,34.0,11,43.0,101163,15634.0,7797.0,23431.0
2017,Ahilyanagar,Parner,38.0,8,45.0,70053,45771.0,40819.0,86590.0
2017,Ahilyanagar,Srigonda,33.0,13,42.0,100940,23042.0,20579.0,43621.0
2017,Ahilyanagar,Karjat,17.0,7,27.0,70500,25189.0,17844.0,43033.0
2017,Ahilyanagar,Jamkhed,14.0,7,20.0,58419,22321.0,29451.0,51772.0
2018,Ahilyanagar,Akole,26.0,6,35.0,108026,67210.0,75959.0,143169.0
2018,Ahilyanagar,Sangamner,39.0,22,73.0,172850,79028.0,77573.0,156601.0
2018,Ahilyanagar,Kopargaon,34.0,13,40.0,142476,87047.0,87586.0,174633.0
2018,Ahilyanagar,Rahata,30.0,25,54.0,210216,68185.0,740736.0,808921.0
2018,Ahilyanagar,Srirampur,22.0,16,35.0,118849,80238.0,77842.0,158080.0
2018,Ahilyanagar,Nevasa,29.0,9,34.0,80518,59512.0,67649.0,127161.0
2018,Ahilyanagar,Shevgaon,22.0,6,26.0,72082,70681.0,77504.0,148185.0
2018,Ahilyanagar,Pathardi,20.0,9,26.0,108966,70678.0,74298.0,144976.0
2018,Ahilyanagar,Nagar,37.0,31,110.0,964871,118400.0,111676.0,230076.0
2018,Ahilyanagar,Rahuri,34.0,11,43.0,108966,80216.0,79172.0,159388.0
2018,Ahilyanagar,Parner,38.0,8,45.0,75456,69269.0,74190.0,143459.0
2018,Ahilyanagar,Srigonda,33.0,13,42.0,108726,78482.0,77758.0,156240.0
2018,Ahilyanagar,Karjat,17.0,7,27.0,75938,79022.0,74161.0,153183.0
2018,Ahilyanagar,Jamkhed,14.0,7,20.0,62920,77089.0,77826.0,154915.0
2019,Ahilyanagar,Akole,26.0,6,35.0,109106,73931.0,83555.0,157486.0
2019,Ahilyanagar,Sangamner,39.0,22,73.0,190135,86931.0,85331.0,172262.0
2019,Ahilyanagar,Kopargaon,34.0,13,40.0,156724,95752.0,96345.0,192097.0
2019,Ahilyanagar,Rahata,30.0,25,54.0,231238,75004.0,814810.0,889814.0
2019,Ahilyanagar,Srirampur,22.0,16,35.0,120038,88262.0,85626.0,173888.0
2019,Ahilyanagar,Nevasa,29.0,9,34.0,88570,65464.0,74414.0,139878.0
2019,Ahilyanagar,Shevgaon,22.0,6,26.0,79290,77749.0,85254.0,163003.0
2019,Ahilyanagar,Pathardi,20.0,9,26.0,119863,77746.0,81728.0,159474.0
2019,Ahilyanagar,Nagar,37.0,31,110.0,1061358,130240.0,122844.0,253084.0
2019,Ahilyanagar,Rahuri,34.0,11,43.0,119863,88238.0,87089.0,175327.0
2019,Ahilyanagar,Parner,38.0,8,45.0,83002,76196.0,81609.0,157805.0
2019,Ahilyanagar,Srigonda,33.0,13,42.0,119599,86330.0,85535.0,171865.0
2019,Ahilyanagar,Karjat,17.0,7,27.0,83532,86924.0,81577.0,168501.0
2019,Ahilyanagar,Jamkhed,14.0,7,20.0,69212,84798.0,85609.0,170407.0
2020,Ahilyanagar,Akole,26.0,6,35.0,120017,81324.0,91911.0,173235.0
2020,Ahilyanagar,Sangamner,39.0,22,73.0,209149,95624.0,93864.0,189488.0
2020,Ahilyanagar,Kopargaon,34.0,13,40.0,172396,105327.0,105980.0,211307.0
2020,Ahilyanagar,Rahata,30.0,25,54.0,232362,82504.0,896291.0,978795.0
2020,Ahilyanagar,Srirampur,22.0,16,35.0,132042,97088.0,94209.0,191297.0
2020,Ahilyanagar,Nevasa,29.0,9,34.0,97427,72010.0,81855.0,153865.0
2020,Ahilyanagar,Shevgaon,22.0,6,26.0,87219,85524.0,93779.0,179303.0
2020,Ahilyanagar,Pathardi,20.0,9,26.0,131849,85521.0,89901.0,175422.0
2020,Ahilyanagar,Nagar,37.0,31,110.0,1167494,143264.0,135128.0,278392.0
2020,Ahilyanagar,Rahuri,34.0,11,43.0,131849,97062.0,95798.0,192860.0
2020,Ahilyanagar,Parner,38.0,8,45.0,91302,83815.0,89670.0,173485.0
2020,Ahilyanagar,Srigonda,33.0,13,42.0,131558,94963.0,94089.0,189052.0
2020,Ahilyanagar,Karjat,17.0,7,27.0,91883,95613.0,89734.0,185347.0
2020,Ahilyanagar,Jamkhed,14.0,7,20.0,76133,93278.0,94169.0,187447.0
2021,Ahilyanagar,Akole,26.0,6,35.0,131229,93523.0,102939.0,196462.0
2021,Ahilyanagar,Sangamner,39.0,22,73.0,230064,109966.0,105128.0,215094.0
2021,Ahilyanagar,Kopargaon,34.0,13,40.0,199636,121127.0,118696.0,239823.0
2021,Ahilyanagar,Rahata,30.0,25,54.0,255597,94880.0,1003845.0,1098725.0
2021,Ahilyanagar,Srirampur,22.0,16,35.0,145245,111651.0,105514.0,217165.0
2021,Ahilyanagar,Nevasa,29.0,9,34.0,107170,82812.0,91679.0,174491.0
2021,Ahilyanagar,Shevgaon,22.0,6,26.0,95942,98351.0,105031.0,203382.0
2021,Ahilyanagar,Pathardi,20.0,9,26.0,145029,98349.0,100681.0,199030.0
2021,Ahilyanagar,Nagar,37.0,31,110.0,1384244,164744.0,151343.0,316087.0
2021,Ahilyanagar,Rahuri,34.0,11,43.0,145034,111620.0,107294.0,218914.0
2021,Ahilyanagar,Parner,38.0,8,45.0,200431,96385.0,100430.0,196815.0
2021,Ahilyanagar,Srigonda,33.0,13,42.0,224714,109207.0,105380.0,214587.0
2021,Ahilyanagar,Karjat,17.0,7,27.0,101067,109953.0,100502.0,210455.0
2021,Ahilyanagar,Jamkhed,14.0,7,20.0,143527,107268.0,105469.0,212737.0
2012,Akola,Telhara,20.0,8,20.0,,,,0.0
2012,Akola,Akot,24.0,11,24.0,,,,0.0
2012,Akola,Balapur,19.0,6,19.0,,,,0.0
2012,Akola,Akola,84.0,20,84.0,,,,0.0
2012,Akola,Murtijapur,16.0,9,16.0,,,,0.0
2012,Akola,Patur,11.0,2,11.0,,,,0.0
2012,Akola,Barshitakali,12.0,4,12.0,,,,0.0
2013,Akola,Telhara,20.0,8,13.0,,,,0.0
2013,Akola,Akot,24.0,9,20.0,,,,0.0
2013,Akola,Balapur,19.0,7,12.0,,,,0.0
2013,Akola,Akola,84.0,26,65.0,,,,0.0
2013,Akola,Murtijapur,16.0,5,15.0,,,,0.0
2013,Akola,Patur,11.0,5,6.0,,,,0.0
2013,Akola,Barshitakali,12.0,5,7.0,,,,0.0
2014,Akola,Telhara,21.0,8,21.0,,,,0.0
2014,Akola,Akot,29.0,13,28.0,,,,0.0
2014,Akola,Balapur,20.0,7,20.0,,,,0.0
2014,Akola,Akola,95.0,34,95.0,,,,0.0
2014,Akola,Murtijapur,20.0,6,20.0,,,,0.0
2014,Akola,Patur,12.0,5,12.0,,,,0.0
2014,Akola,Barshitakali,12.0,5,12.0,,,,0.0
2015,Akola,,,,,,,,
2016,Akola,Telhara,20.0,12,20.0,,,,0.0
2016,Akola,Akot,33.0,19,33.0,,,,0.0
2016,Akola,Balapur,21.0,14,21.0,,,,0.0
2016,Akola,Akola,99.0,65,99.0,,,,0.0
2016,Akola,Murtijapur,21.0,15,21.0,,,,0.0
2016,Akola,Patur,12.0,7,12.0,,,,0.0
2016,Akola,Barshitakali,9.0,8,9.0,,,,0.0
2017,Akola,Telhara,20.0,12,20.0,,,,0.0
2017,Akola,Akot,33.0,19,33.0,,,,0.0
2017,Akola,Balapur,21.0,14,21.0,,,,0.0
2017,Akola,Akola,102.0,68,102.0,,,,0.0
2017,Akola,Murtijapur,21.0,15,21.0,,,,0.0
2017,Akola,Patur,12.0,7,12.0,,,,0.0
2017,Akola,Barshitakali,9.0,8,9.0,,,,0.0
2018,Akola,Telhara,21.0,10,21.0,25217,9466.0,14017.0,23483.0
2018,Akola,Akot,32.0,16,32.0,144838,12925.0,12137.0,25062.0
2018,Akola,Balapur,21.0,8,21.0,28952,7428.0,14152.0,21580.0
2018,Akola,Akola,102.0,58,102.0,649389,138433.0,305821.0,444254.0
2018,Akola,Murtijapur,22.0,12,22.0,33591,11746.0,13359.0,25105.0
2018,Akola,Patur,12.0,4,12.0,16024,7818.0,12170.0,19988.0
2018,Akola,Barshitakali,9.0,5,9.0,107826,9491.0,8076.0,17567.0
2019,Akola,Telhara,21.0,10,21.0,31461,6199.0,3702.0,9901.0
2019,Akola,Akot,32.0,16,32.0,180706,15848.0,4992.0,20840.0
2019,Akola,Balapur,21.0,8,21.0,36121,5555.0,3529.0,9084.0
2019,Akola,Akola,102.0,58,102.0,810193,108726.0,119102.0,227828.0
2019,Akola,Murtijapur,22.0,12,22.0,41908,9624.0,6286.0,15910.0
2019,Akola,Patur,12.0,4,12.0,19991,4321.0,2424.0,6745.0
2019,Akola,Barshitakali,9.0,5,9.0,134526,2472.0,2670.0,5142.0
2020,Akola,Telhara,21.0,10,21.0,35787,11240.0,11164.0,22404.0
2020,Akola,Akot,32.0,16,32.0,87396,16731.0,21094.0,37825.0
2020,Akola,Balapur,21.0,8,21.0,36463,9881.0,6308.0,16189.0
2020,Akola,Akola,102.0,58,102.0,568435,74194.0,138060.0,212254.0
2020,Akola,Murtijapur,22.0,12,22.0,57878,11072.0,20107.0,31179.0
2020,Akola,Patur,12.0,4,12.0,22355,6116.0,9382.0,15498.0
2020,Akola,Barshitakali,9.0,5,9.0,18412,9051.0,7075.0,16126.0
2021,Akola,Telhara,21.0,10,21.0,38453,12167.0,11426.0,23593.0
2021,Akola,Akot,32.0,16,32.0,93907,18111.0,21590.0,39701.0
2021,Akola,Balapur,21.0,8,21.0,38523,10410.0,6436.0,16846.0
2021,Akola,Akola,102.0,58,102.0,610783,80315.0,141304.0,221619.0
2021,Akola,Murtijapur,22.0,12,22.0,62190,11985.0,20580.0,32565.0
