Year,District,Taluka,Select Banks/ Bank Branches,Number
2006,Nandurbar,Akkalkuva,Branch Offices of Classified Banks,6
2006,Nandurbar,Akkalkuva,Classified Banks,3
2006,Nandurbar,Akrani,Branch Offices of Classified Banks,3
2006,Nandurbar,Akrani,Classified Banks,2
2006,Nandurbar,Nandurbar,Branch Offices of Classified Banks,12
2006,Nandurbar,Nandurbar,Classified Banks,7
2006,Nandurbar,Navapur,Branch Offices of Classified Banks,7
2006,Nandurbar,Navapur,Classified Banks,4
2006,Nandurbar,Shahada,Branch Offices of Classified Banks,12
2006,Nandurbar,Shahada,Classified Banks,5
2006,Nandurbar,Taloda,Branch Offices of Classified Banks,5
2006,Nandurbar,Taloda,Classified Banks,2
2006,Ratnagiri,Chiplun,Branch Offices of Classified Banks,16
2006,Ratnagiri,Chiplun,Classified Banks,8
2006,Ratnagiri,Dapoli,Branch Offices of Classified Banks,12
2006,Ratnagiri,Dapoli,Classified Banks,6
2006,Ratnagiri,Guhagar,Branch Offices of Classified Banks,6
2006,Ratnagiri,Guhagar,Classified Banks,4
2006,Ratnagiri,Khed,Branch Offices of Classified Banks,11
2006,Ratnagiri,Khed,Classified Banks,4
2006,Ratnagiri,Lanja,Branch Offices of Classified Banks,4
2006,Ratnagiri,Lanja,Classified Banks,1
2006,Ratnagiri,Mandangad,Branch Offices of Classified Banks,4
2006,Ratnagiri,Mandangad,Classified Banks,1
2006,Ratnagiri,Rajapur,Branch Offices of Classified Banks,9
2006,Ratnagiri,Rajapur,Classified Banks,4
2006,Ratnagiri,Ratnagiri,Branch Offices of Classified Banks,30
2006,Ratnagiri,Ratnagiri,Classified Banks,13
2006,Ratnagiri,Sangameshwar,Branch Offices of Classified Banks,10
2006,Ratnagiri,Sangameshwar,Classified Banks,3
2008,Nandurbar,Akkalkuva,Branch Offices of Classified Banks,6
2008,Nandurbar,Akkalkuva,Classified Banks,3
2008,Nandurbar,Akrani,Branch Offices of Classified Banks,3
2008,Nandurbar,Akrani,Classified Banks,2
2008,Nandurbar,Nandurbar,Branch Offices of Classified Banks,15
2008,Nandurbar,Nandurbar,Classified Banks,8
2008,Nandurbar,Navapur,Branch Offices of Classified Banks,7
2008,Nandurbar,Navapur,Classified Banks,4
2008,Nandurbar,Shahada,Branch Offices of Classified Banks,12
2008,Nandurbar,Shahada,Classified Banks,5
2008,Nandurbar,Taloda,Branch Offices of Classified Banks,7
2008,Nandurbar,Taloda,Classified Banks,3
2008,Ratnagiri,Chiplun,Branch Offices of Classified Banks,19
2008,Ratnagiri,Chiplun,Classified Banks,10
2008,Ratnagiri,Dapoli,Branch Offices of Classified Banks,12
2008,Ratnagiri,Dapoli,Classified Banks,6
2008,Ratnagiri,Guhagar,Branch Offices of Classified Banks,7
2008,Ratnagiri,Guhagar,Classified Banks,5
2008,Ratnagiri,Khed,Branch Offices of Classified Banks,14
2008,Ratnagiri,Khed,Classified Banks,7
2008,Ratnagiri,Lanja,Branch Offices of Classified Banks,6
2008,Ratnagiri,Lanja,Classified Banks,3
2008,Ratnagiri,Mandangad,Branch Offices of Classified Banks,4
2008,Ratnagiri,Mandangad,Classified Banks,1
2008,Ratnagiri,Rajapur,Branch Offices of Classified Banks,10
2008,Ratnagiri,Rajapur,Classified Banks,5
2008,Ratnagiri,Ratnagiri,Branch Offices of Classified Banks,38
2008,Ratnagiri,Ratnagiri,Classified Banks,18
2008,Ratnagiri,Sangameshwar,Branch Offices of Classified Banks,10
2008,Ratnagiri,Sangameshwar,Classified Banks,3
2009,Jalgaon,Amalner,Branch Offices of Classified Banks,13
2009,Jalgaon,Amalner,Classified Banks,7
2009,Jalgaon,Bhadgaon,Branch Offices of Classified Banks,8
2009,Jalgaon,Bhadgaon,Classified Banks,4
2009,Jalgaon,Bhusawal,Branch Offices of Classified Banks,19
2009,Jalgaon,Bhusawal,Classified Banks,1
2009,Jalgaon,Bodvad,Branch Offices of Classified Banks,5
2009,Jalgaon,Bodvad,Classified Banks,4
2009,Jalgaon,Chalisgaon,Branch Offices of Classified Banks,18
2009,Jalgaon,Chalisgaon,Classified Banks,7
2009,Jalgaon,Chopda,Branch Offices of Classified Banks,10
2009,Jalgaon,Chopda,Classified Banks,6
2009,Jalgaon,Dharangaon,Branch Offices of Classified Banks,8
