Year,District,Taluka,Towns and cities where banks have offices,Classified Banks,Branch Offices of Classified Banks
2012,Ahilyanagar,Akole,24.0,5,33.0
2012,Ahilyanagar,Sangamner,37.0,21,72.0
2012,Ahilyanagar,Kopargaon,24.0,13,40.0
2012,Ahilyanagar,Rahata,28.0,19,47.0
2012,Ahilyanagar,Srirampur,20.0,14,35.0
2012,Ahilyanagar,Nevasa,28.0,7,43.0
2012,Ahilyanagar,Shevgaon,19.0,4,29.0
2012,Ahilyanagar,Pathardi,19.0,9,28.0
2012,Ahilyanagar,Nagar,33.0,28,97.0
2012,Ahilyanagar,Rahuri,31.0,9,41.0
2012,Ahilyanagar,Parner,26.0,4,39.0
2012,Ahilyanagar,Srigonda,30.0,9,37.0
2012,Ahilyanagar,Karjat,17.0,7,27.0
2012,Ahilyanagar,Jamkhed,10.0,6,16.0
2013,Ahilyanagar,Akole,25.0,5,34.0
2013,Ahilyanagar,Sangamner,39.0,22,74.0
2013,Ahilyanagar,Kopargaon,24.0,13,40.0
2013,Ahilyanagar,Rahata,30.0,19,48.0
2013,Ahilyanagar,Srirampur,21.0,16,36.0
2013,Ahilyanagar,Nevasa,29.0,7,44.0
2013,Ahilyanagar,Shevgaon,22.0,4,29.0
2013,Ahilyanagar,Pathardi,20.0,9,30.0
2013,Ahilyanagar,Nagar,35.0,29,98.0
2013,Ahilyanagar,Rahuri,32.0,9,42.0
2013,Ahilyanagar,Parner,26.0,4,39.0
2013,Ahilyanagar,Srigonda,31.0,10,38.0
2013,Ahilyanagar,Karjat,17.0,7,27.0
2013,Ahilyanagar,Jamkhed,11.0,7,17.0
2014,Ahilyanagar,Akole,25.0,6,34.0
2014,Ahilyanagar,Sangamner,39.0,22,77.0
2014,Ahilyanagar,Kopargaon,24.0,15,41.0
2014,Ahilyanagar,Rahata,32.0,22,55.0
2014,Ahilyanagar,Srirampur,21.0,16,39.0
2014,Ahilyanagar,Nevasa,31.0,8,46.0
2014,Ahilyanagar,Shevgaon,22.0,6,28.0
2014,Ahilyanagar,Pathardi,21.0,9,27.0
2014,Ahilyanagar,Nagar,37.0,29,116.0
2014,Ahilyanagar,Rahuri,32.0,11,45.0
2014,Ahilyanagar,Parner,29.0,8,45.0
2014,Ahilyanagar,Srigonda,32.0,13,45.0
2014,Ahilyanagar,Karjat,17.0,7,27.0
2014,Ahilyanagar,Jamkhed,13.0,7,21.0
2015,Ahilyanagar,Akole,26.0,6,35.0
2015,Ahilyanagar,Sangamner,39.0,22,73.0
2015,Ahilyanagar,Kopargaon,34.0,13,40.0
2015,Ahilyanagar,Rahata,30.0,25,54.0
2015,Ahilyanagar,Srirampur,22.0,16,35.0
2015,Ahilyanagar,Nevasa,29.0,9,34.0
2015,Ahilyanagar,Shevgaon,22.0,6,26.0
2015,Ahilyanagar,Pathardi,20.0,9,26.0
2015,Ahilyanagar,Nagar,37.0,31,110.0
2015,Ahilyanagar,Rahuri,34.0,11,43.0
2015,Ahilyanagar,Parner,38.0,8,45.0
2015,Ahilyanagar,Srigonda,33.0,13,42.0
2015,Ahilyanagar,Karjat,17.0,7,27.0
2015,Ahilyanagar,Jamkhed,14.0,7,20.0
2016,Ahilyanagar,Akole,26.0,6,35.0
2016,Ahilyanagar,Sangamner,39.0,22,73.0
2016,Ahilyanagar,Kopargaon,34.0,13,40.0
2016,Ahilyanagar,Rahata,30.0,25,54.0
2016,Ahilyanagar,Srirampur,22.0,16,35.0
2016,Ahilyanagar,Nevasa,29.0,9,34.0
2016,Ahilyanagar,Shevgaon,22.0,6,26.0
2016,Ahilyanagar,Pathardi,20.0,9,26.0
2016,Ahilyanagar,Nagar,37.0,31,110.0
2016,Ahilyanagar,Rahuri,34.0,11,43.0
2016,Ahilyanagar,Parner,38.0,8,45.0
2016,Ahilyanagar,Srigonda,33.0,13,42.0
2016,Ahilyanagar,Karjat,17.0,7,27.0
2016,Ahilyanagar,Jamkhed,14.0,7,20.0
2017,Ahilyanagar,Akole,26.0,6,35.0
2017,Ahilyanagar,Sangamner,39.0,22,73.0
2017,Ahilyanagar,Kopargaon,34.0,13,40.0
2017,Ahilyanagar,Rahata,30.0,25,54.0
2017,Ahilyanagar,Srirampur,22.0,16,35.0
2017,Ahilyanagar,Nevasa,29.0,9,34.0
2017,Ahilyanagar,Shevgaon,22.0,6,26.0
2017,Ahilyanagar,Pathardi,20.0,9,26.0
2017,Ahilyanagar,Nagar,37.0,31,110.0
2017,Ahilyanagar,Rahuri,34.0,11,43.0
2017,Ahilyanagar,Parner,38.0,8,45.0
2017,Ahilyanagar,Srigonda,33.0,13,42.0
2017,Ahilyanagar,Karjat,17.0,7,27.0
2017,Ahilyanagar,Jamkhed,14.0,7,20.0
2018,Ahilyanagar,Akole,26.0,6,35.0
2018,Ahilyanagar,Sangamner,39.0,22,73.0
2018,Ahilyanagar,Kopargaon,34.0,13,40.0
2018,Ahilyanagar,Rahata,30.0,25,54.0
2018,Ahilyanagar,Srirampur,22.0,16,35.0
2018,Ahilyanagar,Nevasa,29.0,9,34.0
2018,Ahilyanagar,Shevgaon,22.0,6,26.0
2018,Ahilyanagar,Pathardi,20.0,9,26.0
2018,Ahilyanagar,Nagar,37.0,31,110.0
2018,Ahilyanagar,Rahuri,34.0,11,43.0
2018,Ahilyanagar,Parner,38.0,8,45.0
2018,Ahilyanagar,Srigonda,33.0,13,42.0
2018,Ahilyanagar,Karjat,17.0,7,27.0
2018,Ahilyanagar,Jamkhed,14.0,7,20.0
2019,Ahilyanagar,Akole,26.0,6,35.0
2019,Ahilyanagar,Sangamner,39.0,22,73.0
2019,Ahilyanagar,Kopargaon,34.0,13,40.0
2019,Ahilyanagar,Rahata,30.0,25,54.0
2019,Ahilyanagar,Srirampur,22.0,16,35.0
2019,Ahilyanagar,Nevasa,29.0,9,34.0
2019,Ahilyanagar,Shevgaon,22.0,6,26.0
2019,Ahilyanagar,Pathardi,20.0,9,26.0
2019,Ahilyanagar,Nagar,37.0,31,110.0
2019,Ahilyanagar,Rahuri,34.0,11,43.0
2019,Ahilyanagar,Parner,38.0,8,45.0
2019,Ahilyanagar,Srigonda,33.0,13,42.0
2019,Ahilyanagar,Karjat,17.0,7,27.0
2019,Ahilyanagar,Jamkhed,14.0,7,20.0
2020,Ahilyanagar,Akole,26.0,6,35.0
2020,Ahilyanagar,Sangamner,39.0,22,73.0
2020,Ahilyanagar,Kopargaon,34.0,13,40.0
2020,Ahilyanagar,Rahata,30.0,25,54.0
2020,Ahilyanagar,Srirampur,22.0,16,35.0
2020,Ahilyanagar,Nevasa,29.0,9,34.0
2020,Ahilyanagar,Shevgaon,22.0,6,26.0
2020,Ahilyanagar,Pathardi,20.0,9,26.0
2020,Ahilyanagar,Nagar,37.0,31,110.0
2020,Ahilyanagar,Rahuri,34.0,11,43.0
2020,Ahilyanagar,Parner,38.0,8,45.0
2020,Ahilyanagar,Srigonda,33.0,13,42.0
2020,Ahilyanagar,Karjat,17.0,7,27.0
2020,Ahilyanagar,Jamkhed,14.0,7,20.0
2021,Ahilyanagar,Akole,26.0,6,35.0
2021,Ahilyanagar,Sangamner,39.0,22,73.0
2021,Ahilyanagar,Kopargaon,34.0,13,40.0
2021,Ahilyanagar,Rahata,30.0,25,54.0
2021,Ahilyanagar,Srirampur,22.0,16,35.0
2021,Ahilyanagar,Nevasa,29.0,9,34.0
2021,Ahilyanagar,Shevgaon,22.0,6,26.0
2021,Ahilyanagar,Pathardi,20.0,9,26.0
2021,Ahilyanagar,Nagar,37.0,31,110.0
2021,Ahilyanagar,Rahuri,34.0,11,43.0
2021,Ahilyanagar,Parner,38.0,8,45.0
2021,Ahilyanagar,Srigonda,33.0,13,42.0
2021,Ahilyanagar,Karjat,17.0,7,27.0
2021,Ahilyanagar,Jamkhed,14.0,7,20.0
2012,Akola,Telhara,20.0,8,20.0
2012,Akola,Akot,24.0,11,24.0
2012,Akola,Balapur,19.0,6,19.0
2012,Akola,Akola,84.0,20,84.0
2012,Akola,Murtijapur,16.0,9,16.0
2012,Akola,Patur,11.0,2,11.0
2012,Akola,Barshitakali,12.0,4,12.0
2013,Akola,Telhara,20.0,8,13.0
2013,Akola,Akot,24.0,9,20.0
2013,Akola,Balapur,19.0,7,12.0
2013,Akola,Akola,84.0,26,65.0
2013,Akola,Murtijapur,16.0,5,15.0
2013,Akola,Patur,11.0,5,6.0
2013,Akola,Barshitakali,12.0,5,7.0
2014,Akola,Telhara,21.0,8,21.0
2014,Akola,Akot,29.0,13,28.0
2014,Akola,Balapur,20.0,7,20.0
2014,Akola,Akola,95.0,34,95.0
2014,Akola,Murtijapur,20.0,6,20.0
2014,Akola,Patur,12.0,5,12.0
2014,Akola,Barshitakali,12.0,5,12.0
2015,Akola,,,,
2016,Akola,Telhara,20.0,12,20.0
2016,Akola,Akot,33.0,19,33.0
2016,Akola,Balapur,21.0,14,21.0
2016,Akola,Akola,99.0,65,99.0
2016,Akola,Murtijapur,21.0,15,21.0
2016,Akola,Patur,12.0,7,12.0
2016,Akola,Barshitakali,9.0,8,9.0
2017,Akola,Telhara,20.0,12,20.0
2017,Akola,Akot,33.0,19,33.0
2017,Akola,Balapur,21.0,14,21.0
2017,Akola,Akola,102.0,68,102.0
2017,Akola,Murtijapur,21.0,15,21.0
2017,Akola,Patur,12.0,7,12.0
2017,Akola,Barshitakali,9.0,8,9.0
2018,Akola,Telhara,21.0,10,21.0
2018,Akola,Akot,32.0,16,32.0
2018,Akola,Balapur,21.0,8,21.0
2018,Akola,Akola,102.0,58,102.0
2018,Akola,Murtijapur,22.0,12,22.0
2018,Akola,Patur,12.0,4,12.0
2018,Akola,Barshitakali,9.0,5,9.0
2019,Akola,Telhara,21.0,10,21.0
2019,Akola,Akot,32.0,16,32.0
2019,Akola,Balapur,21.0,8,21.0
2019,Akola,Akola,102.0,58,102.0
2019,Akola,Murtijapur,22.0,12,22.0
2019,Akola,Patur,12.0,4,12.0
2019,Akola,Barshitakali,9.0,5,9.0
2020,Akola,Telhara,21.0,10,21.0
2020,Akola,Akot,32.0,16,32.0
2020,Akola,Balapur,21.0,8,21.0
2020,Akola,Akola,102.0,58,102.0
2020,Akola,Murtijapur,22.0,12,22.0
2020,Akola,Patur,12.0,4,12.0
2020,Akola,Barshitakali,9.0,5,9.0
2021,Akola,Telhara,21.0,10,21.0
2021,Akola,Akot,32.0,16,32.0
2021,Akola,Balapur,21.0,8,21.0
2021,Akola,Akola,102.0,58,102.0
2021,Akola,Murtijapur,22.0,12,22.0
2021,Akola,Patur,12.0,4,12.0
2021,Akola,Barshitakali,9.0,5,9.0
2012,Amravati,Dharani,6.0,6,8.0
2012,Amravati,Chikhraldara,5.0,5,8.0
2012,Amravati,Anjangaon Su,10.0,10,17.0
2012,Amravati,Achalpur,18.0,15,22.0
2012,Amravati,Chandurbazar,11.0,11,19.0
2012,Amravati,Morshi,11.0,11,21.0
2012,Amravati,Warud,16.0,16,25.0
2012,Amravati,Tivas,7.0,7,12.0
2012,Amravati,Amravati,11.0,67,86.0
2012,Amravati,Bhatkuli,7.0,7,13.0
2012,Amravati,Daryapur,10.0,10,18.0
2012,Amravati,Nandgaon Kh,10.0,10,15.0
2012,Amravati,Chandur Railway,7.0,7,11.0
2012,Amravati,Dhamangaon Re,9.0,9,15.0
2013,Amravati,Dharani,10.0,4,10.0
2013,Amravati,Chikhraldara,8.0,5,8.0
2013,Amravati,Anjangaon Su,16.0,6,16.0
2013,Amravati,Achalpur,21.0,10,21.0
2013,Amravati,Chandurbazar,20.0,8,20.0
