Year,District,Taluka Old,Taluka,Deposits
2012,Ahilyanagar,Akole,Akole,5878100000.0
2012,Ahilyanagar,Sangamner,Sangamner,9407600000.0
2012,Ahilyanagar,Kopargaon,Kopargaon,7754400000.0
2012,Ahilyanagar,Rahata,Rahata,11441300000.0
2012,Ahilyanagar,Srirampur,Srirampur,6468500000.0
2012,Ahilyanagar,Nevasa,Nevasa,4382300000.0
2012,Ahilyanagar,Shevgaon,Shevgaon,3923100000.0
2012,Ahilyanagar,Pathardi,Pathardi,5930600000.0
2012,Ahilyanagar,Nagar,Nagar,52509500000.0
2012,Ahilyanagar,Rahuri,Rahuri,5930600000.0
2012,Ahilyanagar,Parner,Parner,4106800000.0
2012,Ahilyanagar,Srigonda,Srigonda,5917500000.0
2012,Ahilyanagar,Karjat,Karjat,4133000000.0
2012,Ahilyanagar,Jamkhed,Jamkhed,3424500000.0
2013,Ahilyanagar,Akole,Akole,5995700000.0
2013,Ahilyanagar,Sangamner,Sangamner,9595800000.0
2013,Ahilyanagar,Kopargaon,Kopargaon,7909500000.0
2013,Ahilyanagar,Rahata,Rahata,11670100000.0
2013,Ahilyanagar,Srirampur,Srirampur,6597900000.0
2013,Ahilyanagar,Nevasa,Nevasa,4469900000.0
2013,Ahilyanagar,Shevgaon,Shevgaon,4001600000.0
2013,Ahilyanagar,Pathardi,Pathardi,6049200000.0
2013,Ahilyanagar,Nagar,Nagar,53559700000.0
2013,Ahilyanagar,Rahuri,Rahuri,6049200000.0
2013,Ahilyanagar,Parner,Parner,4188900000.0
2013,Ahilyanagar,Srigonda,Srigonda,6035900000.0
2013,Ahilyanagar,Karjat,Karjat,4215700000.0
2013,Ahilyanagar,Jamkhed,Jamkhed,3493000000.0
2014,Ahilyanagar,Akole,Akole,8003600000.0
2014,Ahilyanagar,Sangamner,Sangamner,12809400000.0
2014,Ahilyanagar,Kopargaon,Kopargaon,10558400000.0
2014,Ahilyanagar,Rahata,Rahata,15578400000.0
2014,Ahilyanagar,Srirampur,Srirampur,8807500000.0
2014,Ahilyanagar,Nevasa,Nevasa,5966900000.0
2014,Ahilyanagar,Shevgaon,Shevgaon,5341700000.0
2014,Ahilyanagar,Pathardi,Pathardi,8075100000.0
2014,Ahilyanagar,Nagar,Nagar,71496800000.0
2014,Ahilyanagar,Rahuri,Rahuri,8072000000.0
2014,Ahilyanagar,Parner,Parner,5591800000.0
2014,Ahilyanagar,Srigonda,Srigonda,8057300000.0
2014,Ahilyanagar,Karjat,Karjat,5627500000.0
2014,Ahilyanagar,Jamkhed,Jamkhed,4662800000.0
2015,Ahilyanagar,Akole,Akole,8003100000.0
2015,Ahilyanagar,Sangamner,Sangamner,12808500000.0
2015,Ahilyanagar,Kopargaon,Kopargaon,10557600000.0
2015,Ahilyanagar,Rahata,Rahata,15577200000.0
2015,Ahilyanagar,Srirampur,Srirampur,8806900000.0
