Year,District,VAT,Central Sales Tax,Business Tax,Sugarcane purchase tax,Entry Tax,Luxury Tax,GST,Total
2017,Akola,71.12,1.66,9.3,,0.0,0.07,84.0,166.15
2017,Amravati,2085.67,600.21,1852.95,,0.0,31.25,7156.89,11726.97
2017,Beed,2477.3,90.33,1325.0,,0.0,0.74,2976.3,6869.67
2017,Bhandara,,,,,,,,10587.62
2017,Buldhana,4269.0,2.0,4.0,,0.0,0.0,14006.0,18281.0
2017,Chandrapur,24561.01,619.66,1596.78,,76.22,16.18,21919.33,48789.18
2017,Chhatrapati Sambhaji Nagar,111766.0,,,,,,37498.0,149264.0
2017,Dharashiv,958.85,19.568,1002.0,,0.0,0.0,1536.98,3517.398
2017,Dhule,,,,,,,,0.0
2017,Gadchiroli,,,,,,,,4182.32
2017,Gondia,,,,,,,,0.0
2017,Hingoli,3278.0,,108.0,,,,4085.0,7471.0
2017,Jalgaon,,,,,,,,
2017,Jalna,13940.01,3.64,45509.0,,0.0,2.43,9181.41,68636.49
2017,Latur,5395.14,0.0,998.9,,0.0,0.0,5784.03,12178.07
2017,Nagpur,,,,,,,,0.0
2017,Nanded,25194.0,146.6,1851.0,,0.0,0.0,5112.0,32303.6
2017,Nandurbar,,,,,,,,11470.22
2017,Nashik,,,,,,,,
2017,Parbhani,499.13,1184.15,799.0,,0.0,0.0,1700.79,4183.07
2017,Raigad,,,,,,,,569253.94
2017,Wardha,,,,,,,,0.0
2017,Washim,480.52,14.31,502.0,,0.0,1.05,1000.7,1998.58
2017,Yavatmal,,,,,,,,0.0
2018,Ahilyanagar,17719.0,5051.0,12664.0,,46.0,83.0,109069.0,144632.0
2018,Akola,29.94,0.0,13.17,,0.0,0.0,150.4,193.51
2018,Amravati,618.25,0.0,2063.98,,0.0,0.0,14580.94,17263.17
2018,Beed,409.7,0.0,1493.0,,0.0,0.0,7592.77,9495.47
2018,Bhandara,530.78,,1052.39,,,,5243.35,6826.52
2018,Buldhana,314.45,3.0,4.0,,0.0,0.0,5649.0,5970.45
2018,Chandrapur,2.67,0.21,2240.41,,9.86,,23214.0,25467.15
2018,Chhatrapati Sambhaji Nagar,557785.0,,,,,,181739.0,739524.0
2018,Dharashiv,173.74,3.55,971.0,,0.0,0.0,5147.97,6296.26
2018,Dhule,1228.0,,918.38,,,,,2146.38
2018,Gadchiroli,177.57,,921.0,,,,2146.51,3245.08
2018,Gondia,254.78,,775.0,,,,2042.7,3072.48
2018,Hingoli,86.0,,116.0,,,,6472.0,6674.0
2018,Jalgaon,514.58,0.34,1907.79,,,,19413.69,21836.4
2018,Jalna,7570.0,276.45,873.88,,0.0,0.0,15263.1,23983.43
2018,Kolhapur,7379.0,538.0,4812.0,58.0,,43.0,8916.0,21746.0
2018,Latur,594.8,0.0,985.27,,0.0,0.0,16316.42,17896.49
2018,Mumbai,,,,,,,2783155.0,2783155.0
2018,Nagpur,22509.0,1992.0,9464.0,,,,62303.0,96268.0
2018,Nanded,24455.0,96.48,2113.0,,0.0,0.0,5831.0,32495.48
2018,Nandurbar,3561.0,,693.0,,,,3989.0,8243.0
2018,Nashik,,,,,,,,177656.0
2018,Palghar,8466.21,,1834.8,,,2.0,30169.34,40472.35
2018,Parbhani,17.82,2900.48,961.0,,0.0,0.0,3974.84,7854.14
2018,Pune,,,,,,,1823653.28,1823653.28
2018,Raigad,121045.78,9083.6,8689.47,,11.4,93.69,265418.36,404342.3
2018,Ratnagiri,,,,,,,15735.06,15735.06
2018,Sangli,7379.0,538.0,4892.0,58.0,,43.0,8196.0,21106.0
2018,Satara,7379.0,538.0,4812.0,58.0,,43.0,8913.0,21743.0
2018,Sindhudurg,0.0,0.0,756.0,,0.0,0.0,2935.0,3691.0
2018,Solapur,14029.0,458.0,4098.0,27.0,16.0,7.0,22085.0,40720.0
2018,Thane,17719.0,5051.0,12664.0,,46.0,83.0,109069.0,144632.0
2018,Wardha,188.06,0.76,0.54,,,,7211.66,7401.02
2018,Washim,4.19,0.23,5.28,,0.0,0.0,2084.0,2093.7
2018,Yavatmal,2482.31,0.0,1565.0,,0.0,0.0,7474.23,11521.54
2019,Ahilyanagar,33798.0,0.0,22805.0,,,,123132.0,179735.0
2019,Akola,37.56,0.0,9.55,,0.0,0.0,269.0,316.11
2019,Amravati,1580.2869,0.0,1871.0,,0.0,0.0,17191.31,20642.5969
2019,Beed,304.16,0.0,1499.0,,0.0,0.0,2563.0,4366.16
