District,Year,Land and Property taxes,Other taxes and charges,Tax,Statutory Grants,"Contribution, donations and other subsidies",Grants,Other Sources,Revenue,"Administration
","Public Health
","Public Works
","Public Lighting
","Education
","Public Welfare
","Other Expenses
",Developmental,Non-Developmental,Expenditure,Total Deposit
Ahilyanagar,2009,868.0,1287.0,2155.0,2505.0,1867.0,4372.0, ,7617.0,2687.0,1612.0,1792.0,203,38.0,19.0,15.0,3664.0,2702.0,6366.0,
Ahilyanagar,2010,1738.0,837.0,2575.0,2302.0,2172.0,4474.0,68,7117.0,2212.0,1820.0,1960.0,296,235.0,66.0,16.0,4377.0,2228.0,6605.0,
Ahilyanagar,2011,1125.0,1576.0,2701.0,4561.0,2759.0,7320.0,61,10082.0,2767.0,2111.0,2996.0,336,246.0,28.0,58.0,5717.0,2825.0,8543.0,
Ahilyanagar,2012,2004.8,1970.04,3974.84,5436.86,3141.18,8578.039999999999,945.11,13497.99,4197.82,3645.74,2738.02,483.96,679.47,442.7,582.78,7989.89,4780.599999999999,12770.49,
Ahilyanagar,2013,2315.0,2537.0,4852.0,4494.0,3031.0,7525.0,1,12378.0,3864.0,2911.0,4006.0,451,390.0,40.0,96.0,7798.0,3960.0,11758.0,
Ahilyanagar,2014,2680.0,2526.0,5206.0,4911.0,4141.0,9052.0,2,14260.0,4577.0,3225.0,3766.0,455,564.0,149.0,428.0,8159.0,5005.0,13164.0,
Ahilyanagar,2015,1801.0,2382.0,4183.0,3340.0,3460.0,6800.0,2,10985.0,4759.0,3038.0,3475.0,500,492.0,181.0,20.0,7686.0,4779.0,12465.0,
Ahilyanagar,2016,2857.47,2675.79,5533.26,2866.61,3685.48,6552.09,84.95,12170.3,4177.0,3169.24,3169.19,458.24,422.38,199.84,16.4,7418.89,4193.4,11612.29,
Ahilyanagar,2017,3205.82,2729.82,5935.64,2920.79,3217.75,6138.54,101.65,12175.83,4547.73,3186.85,3142.32,477.29,462.78,207.68,22.74,7476.92,4570.469999999999,12047.39,
Ahilyanagar,2018,3178.4,1040.78,4219.18,4226.98,3286.48,7513.459999999999,111.72,11844.36,3575.12,1976.69,3306.86,543.98,475.27,356.62,263.56,6659.420000000001,3838.68,10498.1,
Ahilyanagar,2019,2777.28,2489.26,5266.540000000001,5256.08,2424.91,7680.99,96.43,13043.96,3703.77,3791.67,5158.01,xce,441.69,347.55,65.1,,3768.87,,
Ahilyanagar,2020,2921.14,2613.72,5534.86,5522.27,2551.66,8073.93,102.25,13711.04,3890.96,3985.25,5417.91,554.68,465.77,367.93,71.36,10791.54,3962.32,14753.86,
Ahilyanagar,2021,,,,,,,,,,,,,,,,,,,
Akola,2012,765.33,150.94,916.27,481.54,10.84,492.38,1298.08,2706.73,417.73,602.46,488.67,207.63,204.0,156.99,470.51,1659.75,888.24,2547.990000000001,2706.73
Akola,2013,1277.77,0.0,1277.77,539.62,0.0,539.62,1484.68,3302.07,450.57,955.9,759.49,140.51,279.32,0.0,716.28,2135.22,1166.85,3302.070000000001,3302.07
Akola,2014,1307.57,0.0,1307.57,744.59,0.0,744.59,1250.09,3302.25,556.8,295.35,1502.45,155.93,0.99,233.22,631.95,2187.94,1188.75,3376.69,3302.25
Akola,2015,218.74,1384.45,1603.19,1295.52,5.61,1301.13,212.93,3117.25,568.95,349.64,655.37,181.1,1.64,151.79,757.41,1339.54,1326.36,2665.9,3117.25
Akola,2016,102.41,1110.68,1213.09,801.25,24.65,825.9,363.79,2402.78,651.21,432.04,655.37,181.1,21.62,151.79,757.41,1441.92,1408.62,2850.54,2402.78
Akola,2017,85.65,465.78,551.43,2698.9,17.2,2716.1,549.71,3817.24,750.95,404.86,1361.4,208.26,7.48,656.2,923.76,2638.2,1674.71,4312.910000000001,3817.24
Akola,2018,876.27,565.09,1441.36,1313.1,245.17,1558.27,1187.04,4186.67,517.6,361.05,2257.4,133.72,121.87,88.65,608.67,2962.69,1126.27,4088.96,4186.67
Akola,2019,975.52,1901.68,2877.2,2041.8,176.59,2218.39,1191.02,6286.610000000001,661.62,485.04,3748.97,211.82,194.65,137.15,311.39,4777.629999999999,973.01,5750.639999999999,6286.61
Akola,2020,934.41,426.06,1360.47,1910.97,1264.65,3175.62,999.89,5535.98,1017.02,295.36,3341.53,152.94,97.94,40.3,761.28,3928.070000000001,1778.3,5706.369999999999,5535.98
Akola,2021,1001.57,488.67,1490.24,4119.4,88.41,4207.809999999999,917.7,6615.749999999999,449.5,432.79,2614.89,137.38,16.89,160.46,1211.16,3362.41,1660.66,5023.07,6615.74
Amravati,2011,731.02,783.12,1514.14,600.9,731.55,1332.45,883.49,3730.08,669.8,1395.67,533.04,237.42,9.41,83.15,92.5,2258.69,762.3,3020.99,3730.08
Amravati,2012,1020.76,874.99,1895.75,801.33,905.8,1707.13,577.3,4180.18,854.92,716.24,888.34,262.22,11.64,153.11,130.45,2031.55,985.3699999999999,3016.92,4180.18
Amravati,2013,1258.53,1299.67,2558.2,3618.37,1088.31,4706.68,189.96,7454.84,724.43,569.67,1492.27,369.92,7.87,230.85,643.08,2670.58,1367.51,4038.09,7454.84
Amravati,2014,1090.33,366.63,1456.96,695.12,2089.89,2785.01,694.21,4936.179999999999,1180.38,831.24,1194.94,371,13.41,107.01,334.01,2517.6,1514.39,4031.990000000001,4936.18
Amravati,2015,529.02,278.72,807.74,1436.19,594.94,2031.13,1211.7,4050.57,1305.22,588.99,740.75,405.65,43.38,158.58,831.49,1937.35,2136.71,4074.06,4050.57
Amravati,2016,2402.99,1708.54,4111.53,1089.67,392.89,1482.56,518.97,6113.06,1626.73,729.9,1252.68,482.06,29.13,241.69,688.09,2735.46,2314.82,5050.28,6113.06
Amravati,2017,2246.98,1062.08,3309.06,1347.3,487.06,1834.36,1188.42,6331.84,1781.43,1039.66,1574.59,852.8,55.38,253.84,1103.09,3776.27,2884.52,6660.790000000001,6331.84
Amravati,2018,1783.58,1303.81,3087.39,1275.12,869.39,2144.51,1280.5,6512.4,1979.53,1170.67,1172.73,984.78,70.21,275.83,1351.82,3674.22,3331.35,7005.57,6512.4
Amravati,2019,2104.07,1231.71,3335.78,1444.46,195.34,1639.8,1990.37,6965.95,1975.89,1246.59,1460.52,640.15,156.82,324.61,2028.31,3828.69,4004.2,7832.889999999999,6965.95
Amravati,2020,3193.55,1253.34,4446.89,963.73,209.91,1173.64,823.25,6443.780000000001,1717.32,1208.77,1250.35,623.01,222.96,597.32,765.58,3902.41,2482.9,6385.31,6443.78
Amravati,2021,2984.28,2628.97,5613.25,905.42,207.6,1113.02,586.57,7312.84,1508.19,1285.56,1571.64,575.7,133.33,470.04,1493.73,4036.27,3001.92,7038.190000000001,7312.84
Beed,2013,611.12,836.96,1448.08,843.11,164.51,1007.62,536.76,2992.46,347.57,663.07,1386.43,10.93,24.34,26.52,1320.85,2111.29,1668.42,3779.71,2992.46
Beed,2014,597.4,0.0,597.4,3767.7,0.0,3767.7,,4365.099999999999,2756.8,845.06,17.96,0,690.35,5.08,49.52,1558.45,2806.32,4364.77,4365.1
Beed,2015,341.18,1271.44,1612.62,1484.22,264.73,1748.95,,3361.57,1174.68,834.7,579.04,179.32,34.38,142.13,567.46,1769.57,1742.14,3511.71,3361.57
Beed,2016,1488.97,1109.96,2598.93,1076.51,882.94,1959.45,,4558.38,1496.7,1068.55,640.42,0,445.77,89.03,8.07,2243.77,1504.77,3748.54,4558.38
Beed,2017,1125.86,1053.78,2179.64,781.71,317.92,1099.63,,3279.27,1048.0,1191.27,174.14,295.23,49.4,259.17,3.56,1969.21,1051.56,3020.77,3279.27
Beed,2018,1169.33,1103.66,2272.99,1705.49,702.92,2408.41,,4681.4,723.39,1248.8,452.97,227.93,108.18,509.23,332.4,2547.11,1055.79,3602.9,4681.4
Beed,2019,1090.59,1550.93,2641.52,1721.41,878.01,2599.42,,5240.940000000001,697.76,1242.3,1004.15,239.31,112.12,265.12,340.41,2863.0,1038.17,3901.17,5240.94
Beed,2020,1324.47,1167.53,2492.0,530.7,235.61,766.3100000000001,138.14,3396.45,418.43,898.7,900.66,534.55,367.05,437.84,283.1,3138.8,701.53,3840.33,3396.45
Beed,2021,2068.09,847.54,2915.63,1148.29,411.75,1560.04,108.12,4583.79,561.2,607.17,1011.37,338.37,325.95,574.64,238.59,2857.5,799.7900000000001,3657.29,4583.79
Bhandara,2012,946.73,617.94,1564.67,2448.84,1636.91,4085.75,,5650.42,673.21,1183.7,2739.04,245.53,14.44,151.2,478.94,4333.909999999999,1152.15,5486.059999999999,5650.42
Bhandara,2013,1458.87,1110.98,2569.85,8321.82,1660.6,9982.42,94.59,12646.86,2637.98,707.24,2016.52,237.19,120.05,139.52,6714.63,3220.52,9352.61,12573.13,12646.86
Bhandara,2014,1061.02,1158.89,2219.91,11390.41,2338.71,13729.12,161.79,16110.82,2681.26,852.81,2638.36,209.69,81.38,162.26,8318.4,3944.5,10999.66,14944.16,16110.82
Bhandara,2015,752.31,1039.64,1791.95,9760.24,2539.39,12299.63,371.1,14462.68,2151.99,958.69,2609.65,42.63,113.53,246.83,8098.66,3971.33,10250.65,14221.98,14462.68
Bhandara,2016,1899.45,1365.53,3264.98,10956.92,901.06,11857.98,4482.89,19605.85,3257.89,303.45,2957.88,110.16,118.44,1065.82,8953.87,4555.75,12211.76,16767.51,19605.85
Bhandara,2017,1880.98,1398.08,3279.06,14640.49,1624.07,16264.56,156.93,19700.55,3436.71,1319.55,2299.68,295.47,117.47,3996.48,10448.38,8028.65,13885.09,21913.74,19700.55
Bhandara,2018,2470.79,1691.59,4162.38,9484.34,326.33,9810.67,3169.27,17142.32,1025.05,201.96,451.47,151.22,33.36,186.81,12976.25,1024.82,14001.3,15026.12,17142.32
Bhandara,2019,1882.65,1443.32,3325.97,16531.66,826.2,17357.86,1651.7,22335.53,932.82,172.91,403.96,210.71,61.42,87.58,4719.19,936.58,5652.009999999999,6588.59,22335.53
Bhandara,2020,2244.86,2304.7,4549.559999999999,12383.75,2350.98,14734.73,886.89,20171.18,1451.89,853.78,2001.29,538.51,486.43,283.17,14857.48,4163.179999999999,16309.37,20472.55,20171.18
