District,Year,Land and Property taxes,Other taxes and charges,Tax,Government Grants,"Contribution, donations and other grants",Grants,Other Sources,Revenue,"Administration
","Health and Hygiene
","Public Works
","Public Lighting
","Education
","Public Welfare
","Other Expenses
",Developmental,Non-Developmental,Expenditure,Total Deposit
Ahilyanagar,2009,86800000.0,128700000.0,215500000.0,250500000.0,186700000.0,437200000.0,,761700000.0,268700000.0,161200000.0,179200000.0,20300000.0,3800000.0,1900000.0,1500000.0,366400000.0,270200000.0,636600000.0,
Ahilyanagar,2010,173800000.0,83700000.0,257500000.0,230200000.0,217200000.0,447400000.0,6800000.0,711700000.0,221200000.0,182000000.0,196000000.0,29600000.0,23500000.0,6600000.0,1600000.0,437700000.0,222800000.0,660500000.0,
Ahilyanagar,2011,112500000.0,157600000.0,270100000.0,456100000.0,275900000.0,732000000.0,6100000.0,1008200000.0,276700000.0,211100000.0,299600000.0,33600000.0,24600000.0,2800000.0,5800000.0,571700000.0,282500000.0,854300000.0,
Ahilyanagar,2012,200480000.0,197004000.0,397484000.0,543686000.0,314118000.0,857803999.9999999,94511000.0,1349799000.0,419782000.0,364574000.0,273802000.0,48396000.0,67947000.0,44270000.0,58278000.0,798989000.0,478059999.9999999,1277049000.0,
Ahilyanagar,2013,231500000.0,253700000.0,485200000.0,449400000.0,303100000.0,752500000.0,100000.0,1237800000.0,386400000.0,291100000.0,400600000.0,45100000.0,39000000.0,4000000.0,9600000.0,779800000.0,396000000.0,1175800000.0,
Ahilyanagar,2014,268000000.0,252600000.0,520600000.0,491100000.0,414100000.0,905200000.0,200000.0,1426000000.0,457700000.0,322500000.0,376600000.0,45500000.0,56400000.0,14900000.0,42800000.0,815900000.0,500500000.0,1316400000.0,
Ahilyanagar,2015,180100000.0,238200000.0,418300000.0,334000000.0,346000000.0,680000000.0,200000.0,1098500000.0,475900000.0,303800000.0,347500000.0,50000000.0,49200000.0,18100000.0,2000000.0,768600000.0,477900000.0,1246500000.0,
Ahilyanagar,2016,285747000.0,267579000.0,553326000.0,286661000.0,368548000.0,655209000.0,8495000.0,1217030000.0,417700000.0,316924000.0,316919000.0,45824000.0,42238000.0,19984000.0,1640000.0,741889000.0,419339999.9999999,1161229000.0,
Ahilyanagar,2017,320582000.0,272982000.0,593564000.0,292079000.0,321775000.0,613854000.0,10165000.0,1217583000.0,454772999.9999999,318685000.0,314232000.0,47729000.0,46278000.0,20768000.0,2274000.0,747692000.0,457046999.9999999,1204739000.0,
Ahilyanagar,2018,317840000.0,104078000.0,421918000.0,422697999.9999999,328648000.0,751345999.9999999,11172000.0,1184436000.0,357512000.0,197669000.0,330686000.0,54398000.0,47527000.0,35662000.0,26356000.0,665942000.0000001,383868000.0,1049810000.0,
