District,Year,General Administration,Education,Public Works,Irrigation,Agriculture,Animal Husbandary,Forests,Public Health,Social Welfare,Other Expenses,Revenue Account,Capital Account,Total Expenditure
Ahilyanagar,2012,6686.0,49386.0,6692.0,1945.0,775.0,1635.0,0.0,7011.0,3854.0,36485.0,114469.0,3416.0,117885.0
Ahilyanagar,2013,755.02,54878.85,6710.03,2131.6,745.4,2684.63,0.0,7223.8,2942.4,144355.48,222427.21,17440.06,239867.27
Ahilyanagar,2014,7915.09,60334.78,6860.52,1798.22,1268.34,2995.49,0.0,7254.61,5901.17,52403.48,146731.7,159409.34,306141.04
Ahilyanagar,2015,13803.81,81040.09,6213.06,602.65,1508.93,2972.09,4984.66,7354.95,5187.17,11927.05,135594.46,110316.28,245910.74
Ahilyanagar,2016,15516.1,85281.57,5531.07,812.41,1440.4,3447.23,1017.16,7334.21,11588.44,128071.65,260040.24,11727.42,271767.66
Ahilyanagar,2017,15278.95,89993.68,1908.22,911.33,1634.16,2615.57,1680.12,7819.92,9110.1,115891.9,246843.95,9092.03,255935.98
Ahilyanagar,2018,18498.86,95606.74,6472.43,3670.21,897.41,3227.86,5493.03,8867.42,9993.06,65900.81,218627.83,66868.86,285496.69
Ahilyanagar,2019,24180.49,122784.95,9489.65,4062.07,994.71,4230.04,13447.73,11446.33,18399.81,55249.53,264285.31,96148.0,360433.31
Ahilyanagar,2020,20813.44,117956.45,5810.9,1908.84,779.88,3002.7,4009.24,10252.64,18149.42,27710.25,210393.76,104507.92,314901.6799999999
Ahilyanagar,2021,,,,,,,,,,,0.0,,0.0
Akola,2012,1976.1,24250.41,2540.9,601.23,850.8,650.0,3.0,2850.0,1917.95,10788.97,46429.36,51852.16,98281.52
Akola,2013,2230.21,25881.29,2155.08,416.0,659.81,751.25,0.0,2616.49,1964.01,8915.24,45589.38,49493.2,95082.58
Akola,2014,5564.49,26948.05,3428.23,935.49,818.69,788.33,0.0,3157.12,2332.2,7980.52,51953.12000000001,52309.55,104262.67
Akola,2015,8966.17,27614.55,4736.4,790.72,943.28,1040.7,0.0,4014.0,1707.81,3479.74,53293.37,50358.13,103651.5
Akola,2016,4254.0,1630.34,1420.6,473.87,202.48,262.7,0.0,3691.7,662.53,10167.19,22765.41,50334.4,73099.81
Akola,2017,1595.0,1587.06,2092.09,3155.54,94.58,439.04,0.0,1191.0,996.83,6418.82,17569.96,53192.91,70762.87
Akola,2018,94.61,1206.22,1290.59,2576.15,41.55,784.67,0.0,483.69,897.86,6975.03,14350.37,0.0,14350.37
Akola,2019,6243.51,41938.67,1249.44,728.49,412.63,1129.38,0.0,613.31,3916.71,11549.12,67781.26,72096.7,139877.96
Akola,2020,148.92,953.95,1192.36,325.32,178.19,121.56,0.0,1322.02,710.2,10740.78,15693.3,86344.74,102038.04
Akola,2021,122.22,1414.96,1355.6,427.2,76.62,1547.72,0.0,887.41,998.55,4535.99,11366.27,68077.3,79443.57
Amravati,2012,9998.06,41242.83,3677.07,1393.67,916.86,848.41,65.65,5215.51,2776.3,7934.48,74068.84,1040.06,75108.9
Amravati,2013,11497.76,47429.25,4228.64,1602.72,1054.39,975.68,75.5,5997.84,3192.74,9124.65,85179.17,1196.07,86375.24
Amravati,2014,12647.53,39580.98,4651.5,1762.99,1159.82,1073.24,83.05,5655.92,3512.01,26471.98,96599.01999999999,774.3,97373.31999999999
Amravati,2015,13912.28,43687.04,5116.65,1939.28,1275.8,1180.56,91.35,6226.23,3863.21,28180.23,105472.63,772.29,106244.92
Amravati,2016,10565.51,48259.04,7544.71,1611.97,2011.12,1340.02,85.01,6360.67,4429.27,24676.64,106883.96,981.45,107865.41
Amravati,2017,128.25,56786.22,8046.98,1773.16,2212.23,1474.02,93.51,6706.85,4872.19,25910.47,108003.88,712.77,108716.65
Amravati,2018,53779.4,7726.39,1826.09,1695.93,1450.11,480.17,8862.3,5327.93,28113.43,109391.82,218653.57,134873.51,353527.08
Amravati,2019,268.32,56468.37,7573.04,1917.39,1780.72,1522.61,504.17,9305.36,5594.32,29519.1,114453.4,24207.6,138661.0
Amravati,2020,256.16,62115.21,8330.35,2109.13,1958.8,1674.88,149.54,10235.9,6153.76,32471.01,125454.74,21959.89,147414.63
Amravati,2021,309.1,75026.73,13355.06,1250.16,654.68,1642.36,150.83,11259.49,1969.14,36867.53,142485.08,9780.53,152265.61
Beed,2013,321.33,216.79,923.37,55.0,5.7,26.0,0.4,188.54,439.75,408.93,2585.81,680.72,3266.53
Beed,2014,8526.27,48716.63,7382.33,2299.13,837.57,1223.45,0.0,3498.21,3497.18,87627.16,163607.93,1534.41,165142.34
Beed,2015,8761.0,54361.0,2664.0,1814.0,235.0,1190.0,0.0,10877.0,0.0,102013.0,181915.0,1135.0,183050.0
Beed,2016,8090.0,55672.0,2081.0,4053.0,152.0,1232.0,0.0,8993.0,0.0,11488.0,91761.0,84073.0,175834.0
Beed,2017,680.0,48.0,195.0,17.0,2.0,39.0,1.0,31.0,328.0,84.0,1425.0,2263.0,3688.0
Beed,2018,10393.0,79367.0,4713.0,2266.0,15.0,509.0,0.0,1414.0,5421.0,48596.0,152694.0,97870.0,250564.0
Beed,2019,743.0,93.0,196.0,2.0,51.0,25.0,0.0,27.0,242.0,0.0,1379.0,1855.0,3234.0
Beed,2020,10620.0,79456.0,17592.0,1022.0,0.2,862.0,0.0,973.0,1536.0,24227.0,136288.2,95336.0,231624.2
Beed,2021,427.0,165.0,131.0,0.0,55.0,53.0,0.0,37.0,352.0,101.0,1321.0,1193.0,2514.0
Bhandara,2012,1805.0,19482.0,1954.0,1377.0,431.0,343.0,22.0,2437.0,1454.0,6064.0,35369.0,1977.0,37346.0
Bhandara,2013,4873.0,23505.0,3023.0,1140.0,554.0,583.0,13.0,3373.0,2587.0,8629.0,48280.0,1809.0,50089.0
Bhandara,2014,5467.0,24748.0,5038.0,814.0,612.0,579.0,5.0,4499.0,2386.0,6051.0,50199.0,2531.0,52730.0
Bhandara,2015,6264.0,24995.0,3659.0,1805.0,601.0,647.0,8.0,3339.0,3049.0,7012.0,51379.0,2174.0,53553.0
Bhandara,2016,6938.0,27887.0,3192.0,1249.0,781.0,647.0,6.0,3693.0,3066.0,9361.0,56820.0,4040.0,60860.0
Bhandara,2017,6607.0,29249.0,601.0,725.0,554.0,606.0,30.0,4223.0,2718.0,16974.0,62287.0,4470.0,66757.0
Bhandara,2018,6911.0,31283.0,662.0,785.0,543.0,683.0,6.0,4767.0,2907.0,14390.0,62937.0,2817.0,65754.0
