District,Year,Opening Balance,Self-Generated,Purposive Grants,Establishment Grants,Grants for Plan Schemes,Other Statutory Grants,Statutory Grants,For Agency Schemes,Government Subsidies,Other Income,Revenue Income,Capital Income,All Receipts,Revenue,General Administration,Education,Public Works,Irrigation,Agriculture,Animal Husbandary,Forests,Public Health,Social Welfare,Other Expenses,Revenue Expenditure,Capital Expenditure,Expenditure,Economic Services,Social Services,Non-Developmental
Ahilyanagar,2012,22558.0,215.0,79949.0,11644.0,25133.0,,116726.0,82.0,116808.0,1045.0,118068.0,3221.0,121289.0,143847.0,6686.0,49386.0,6692.0,1945.0,775.0,1635.0,,7011.0,3854.0,36485.0,114469.0,3416.0,117885.0,11047.0,60251.0,43171.0
Ahilyanagar,2013,27560.35,5068.93,75856.75,13756.78,22791.75,104672.37,217077.65,8225.49,225303.14,,230372.07,12216.54,242588.61,270148.96,755.02,54878.85,6710.03,2131.6,745.4,2684.63,,7223.8,2942.4,144355.48,222427.21,17440.06,239867.27,12271.66,65045.05,145110.5
Ahilyanagar,2014,30281.69,12774.88,88310.66,13970.25,27567.26,98665.11,228513.28,8806.14,237319.42,,250094.3,59225.8,309320.1,339601.79,7915.09,60334.78,6860.52,1798.22,1268.34,2995.49,,7254.61,5901.17,52403.48,146731.7,159409.34,306141.04,12922.57,73490.56,60318.57000000001
Ahilyanagar,2015,32660.66,6377.76,97716.92,21646.34,30176.29,30625.15,180164.7,13357.05,193521.75,,199899.51,52095.23,251994.74,284655.4,13803.81,81040.09,6213.06,602.65,1508.93,2972.09,4984.66,7354.95,5187.17,11927.05,135594.46,110316.28,245910.74,16281.39,93582.20999999999,25730.86
Ahilyanagar,2016,38744.65,5418.74,107362.73,17544.54,29622.68,,154529.95,10068.51,164598.46,92200.58,262217.78,11512.02,273729.8,312474.45,15516.1,85281.57,5531.07,812.41,1440.4,3447.23,1017.16,7334.21,11588.44,128071.65,260040.24,11727.42,271767.66,12248.27,104204.22,143587.75
Ahilyanagar,2017,40706.79,2767.26,39733.21,17346.82,110295.73,,167375.76,5567.03,172942.79,70329.6,246039.65,16050.65,262090.3,302797.09,15278.95,89993.68,1908.22,911.33,1634.16,2615.57,1680.12,7819.92,9110.1,115891.9,246843.95,9092.03,255935.98,8749.400000000001,106923.7,131170.85
Ahilyanagar,2018,46861.11,2993.59,30527.58,18327.66,120616.88,,169472.12,7570.07,177042.19,53018.2,233053.98,71772.2,304826.18,351687.29,18498.86,95606.74,6472.43,3670.21,897.41,3227.86,5493.03,8867.42,9993.06,65900.81,218627.83,66868.86,285496.69,19760.94,114467.22,84399.67
Ahilyanagar,2019,46861.11,2165.28,28756.86,24891.73,166369.8,,220018.39,8956.09,228974.48,58247.69,289387.45,50566.22,339953.6699999999,386814.7799999999,24180.49,122784.95,9489.65,4062.07,994.71,4230.04,13447.73,11446.33,18399.81,55249.53,264285.31,96148.0,360433.31,32224.2,152631.09,79430.02
Ahilyanagar,2020,45710.96,3247.04,34450.49,122385.27,57698.41,,214534.17,9071.49,223605.66,49699.55,276552.25,49880.5,326432.75,372143.71,20813.44,117956.45,5810.9,1908.84,779.88,3002.7,4009.24,10252.64,18149.42,27710.25,210393.76,104507.92,314901.6799999999,15511.56,146358.51,48523.69
Ahilyanagar,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akola,2012,10988.41,,27017.6,4726.93,12999.99,179.36,44923.88,2613.12,47537.0,,47537.0,50063.4,97600.4,108588.81,1976.1,24250.41,2540.9,601.23,850.8,650.0,3.0,2850.0,1917.95,10788.97,46429.36,51852.16,98281.52,4645.93,29018.36,12765.07
Akola,2013,13073.92,3920.53,28212.05,5062.06,11451.46,11.36,44736.93,2680.86,47417.79,131.13,51469.45,49579.17,101048.62,114122.54,2230.21,25881.29,2155.08,416.0,659.81,751.25,,2616.49,1964.01,8915.24,45589.38,49493.2,95082.58,3982.14,30461.79,11145.45
Akola,2014,19039.92,3948.69,27867.28,9175.73,13058.25,45.5,50146.75999999999,3738.17,53884.92999999999,,57833.62,51549.49,109383.11,128423.03,5564.49,26948.05,3428.23,935.49,818.69,788.33,,3157.12,2332.2,7980.52,51953.12000000001,52309.55,104262.67,5970.74,32437.37,13545.01
Akola,2015,18194.36,4412.0,27458.39,10720.54,15054.25,50.5,53283.68,4071.94,57355.62,,61767.62,46606.75,108374.37,126568.73,8966.17,27614.55,4736.4,790.72,943.28,1040.7,,4014.0,1707.81,3479.74,53293.37,50358.13,103651.5,7511.099999999999,33336.36,12445.91
