District,Year,Opening Balance,Self-Generated,Purposive Grants,Establishment Grants,Grants for Plan Schemes,Other Statutory Grants,Statutory Grants,For Agency Schemes,Total Grants,Other Income,Revenue Income,Capital Income,All Receipts,Revenue,General Administration,Education,Public Works,Irrigation,Agriculture,Animal Husbandary,Forests,Public Health,Social Welfare,Other Expenses,Revenue Expenditure,Capital Expenditure,Expenditure,Economic Services,Social Services,Non-Developmental
Ahilyanagar,2012,2255800000.0,21500000.0,7994900000.0,1164400000.0,2513300000.0,,11672600000.0,8200000.0,11680800000.0,104500000.0,11806800000.0,322100000.0,12128900000.0,14384700000.0,668600000.0,4938600000.0,669200000.0,194500000.0,77500000.0,163500000.0,,701100000.0,385400000.0,3648500000.0,11446900000.0,341600000.0,11788500000.0,1104700000.0,6025100000.0,4317100000.0
Ahilyanagar,2013,2756035000.0,506893000.0,7585675000.0,1375678000.0,2279175000.0,10467237000.0,21707765000.0,822549000.0,22530314000.0,,23037207000.0,1221654000.0,24258861000.0,27014896000.0,75502000.0,5487885000.0,671003000.0,213160000.0,74540000.0,268463000.0,,722380000.0,294240000.0,14435548000.0,22242721000.0,1744006000.0,23986727000.0,1227166000.0,6504505000.0,14511050000.0
Ahilyanagar,2014,3028169000.0,1277488000.0,8831066000.0,1397025000.0,2756726000.0,9866511000.0,22851328000.0,880614000.0,23731942000.0,,25009430000.0,5922580000.0,30932010000.0,33960179000.0,791509000.0,6033478000.0,686052000.0,179822000.0,126834000.0,299549000.0,,725461000.0,590117000.0,5240348000.0,14673170000.0,15940934000.0,30614104000.0,1292257000.0,7349056000.0,6031857000.000001
Ahilyanagar,2015,3266066000.0,637776000.0,9771692000.0,2164634000.0,3017629000.0,3062515000.0,18016470000.0,1335705000.0,19352175000.0,,19989951000.0,5209523000.0,25199474000.0,28465540000.0,1380381000.0,8104009000.0,621306000.0,60265000.0,150893000.0,297209000.0,498466000.0,735495000.0,518717000.0,1192705000.0,13559446000.0,11031628000.0,24591074000.0,1628139000.0,9358221000.0,2573086000.0
Ahilyanagar,2016,3874465000.0,541874000.0,10736273000.0,1754454000.0,2962268000.0,,15452995000.0,1006851000.0,16459846000.0,9220058000.0,26221778000.0,1151202000.0,27372980000.0,31247445000.0,1551610000.0,8528157000.000001,553107000.0,81241000.0,144040000.0,344723000.0,101716000.0,733421000.0,1158844000.0,12807165000.0,26004024000.0,1172742000.0,27176766000.0,1224827000.0,10420422000.0,14358775000.0
Ahilyanagar,2017,4070679000.0,276726000.0,3973321000.0,1734682000.0,11029573000.0,,16737576000.0,556703000.0,17294279000.0,7032960000.000001,24603965000.0,1605065000.0,26209030000.0,30279709000.0,1527895000.0,8999368000.0,190822000.0,91133000.0,163416000.0,261557000.0,168012000.0,781992000.0,911010000.0,11589190000.0,24684395000.0,909203000.0000001,25593598000.0,874940000.0000001,10692370000.0,13117085000.0
Ahilyanagar,2018,4686111000.0,299359000.0,3052758000.0,1832766000.0,12061688000.0,,16947212000.0,757007000.0,17704219000.0,5301820000.0,23305398000.0,7177220000.0,30482618000.0,35168729000.0,1849886000.0,9560674000.0,647243000.0,367021000.0,89741000.0,322786000.0,549303000.0,886742000.0,999306000.0,6590081000.0,21862783000.0,6686886000.0,28549669000.0,1976094000.0,11446722000.0,8439967000.0
Ahilyanagar,2019,4686111000.0,216528000.0,2875686000.0,2489173000.0,16636980000.0,,22001839000.0,895609000.0,22897448000.0,5824769000.0,28938745000.0,5056622000.0,33995366999.99999,38681477999.99999,2418049000.0,12278495000.0,948965000.0,406207000.0,99471000.0,423004000.0,1344773000.0,1144633000.0,1839981000.0,5524953000.0,26428531000.0,9614800000.0,36043331000.0,3222420000.0,15263109000.0,7943002000.0
Ahilyanagar,2020,4571096000.0,324704000.0,3445049000.0,12238527000.0,5769841000.0,,21453417000.0,907149000.0,22360566000.0,4969955000.0,27655225000.0,4988050000.0,32643275000.0,37214371000.0,2081344000.0,11795645000.0,581090000.0,190884000.0,77988000.0,300270000.0,400924000.0,1025264000.0,1814942000.0,2771025000.0,21039376000.0,10450792000.0,31490167999.99999,1551156000.0,14635851000.0,4852369000.0
Ahilyanagar,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akola,2012,1098841000.0,,2701760000.0,472693000.0,1299999000.0,17936000.0,4492388000.0,261312000.0,4753700000.0,,4753700000.0,5006340000.0,9760040000.0,10858881000.0,197610000.0,2425041000.0,254090000.0,60123000.0,85080000.0,65000000.0,300000.0,285000000.0,191795000.0,1078897000.0,4642936000.0,5185216000.0,9828152000.0,464593000.0,2901836000.0,1276507000.0
Akola,2013,1307392000.0,392053000.0,2821205000.0,506206000.0000001,1145146000.0,1136000.0,4473693000.0,268086000.0,4741779000.0,13113000.0,5146945000.0,4957917000.0,10104862000.0,11412254000.0,223021000.0,2588129000.0,215508000.0,41600000.0,65980999.99999999,75125000.0,,261649000.0,196401000.0,891524000.0,4558938000.0,4949320000.0,9508258000.0,398214000.0,3046179000.0,1114545000.0
