District,Year,Taluka,Aggregate Current Demand,Arrears,Aggregate Demand,Discount,Amount of suspended recovery,Amount Eligible for Recovery,Value Recovery,Number of Account Holders
Ahilyanagar,2012,Akole,7486000.0,2340000.0,9826000.0,0.0,0.0,9826000.0,9826000.0,63907
Ahilyanagar,2012,Sangamner,6468000.0,11719000.0,18187000.0,144000.0,0.0,18043000.0,18043000.0,131118
Ahilyanagar,2012,Kopargaon,9118000.0,5922000.0,15040000.0,0.0,111000.0,14929000.0,14921000.0,65996
Ahilyanagar,2012,Rahata,8778000.0,0.0,8778000.0,678000.0,0.0,8100000.0,8100000.0,76525
Ahilyanagar,2012,Srirampur,8704000.0,18433000.0,27137000.0,133000.0,0.0,27004000.0,26560000.0,59324
Ahilyanagar,2012,Nevasa,7217000.0,23111000.0,30328000.0,4881000.0,0.0,25447000.0,23335000.0,93247
Ahilyanagar,2012,Shevgaon,8416000.0,79642000.0,88058000.0,0.0,0.0,88058000.0,87250000.0,67200
Ahilyanagar,2012,Pathardi,8186000.0,2518000.0,10704000.0,850000.0,0.0,9854000.0,9854000.0,81500
Ahilyanagar,2012,Nagar,7068000.0,8415000.0,15483000.0,1027000.0,0.0,14456000.0,14456000.0,89780
Ahilyanagar,2012,Rahuri,9898000.0,6667000.0,16565000.0,870000.0,0.0,15695000.0,15694000.0,77942
Ahilyanagar,2012,Parner,5016000.0,0.0,5016000.0,0.0,0.0,5016000.0,5016000.0,135186
Ahilyanagar,2012,Srigonda,3198000.0,258000.0,3456000.0,0.0,258000.0,3198000.0,1933000.0,121224
Ahilyanagar,2012,Karjat,4029000.0,1033000.0,5062000.0,74000.0,0.0,4988000.0,4492000.0,105607
Ahilyanagar,2012,Jamkhed,6012000.0,0.0,6012000.0,228000.0,0.0,5784000.0,5287000.0,54002
Ahilyanagar,2013,Akole,3784000.0,0.0,3784000.0,871000.0,0.0,2913000.0,2913000.0,65711
Ahilyanagar,2013,Sangamner,7822000.0,0.0,7822000.0,1293000.0,0.0,6529000.0,5266000.0,138821
Ahilyanagar,2013,Kopargaon,22910000.0,0.0,22910000.0,0.0,0.0,22910000.0,22910000.0,66113
Ahilyanagar,2013,Rahata,62433000.0,0.0,62433000.0,704000.0,0.0,61729000.0,54960000.0,77205
Ahilyanagar,2013,Srirampur,7667000.0,1188000.0,8855000.0,578000.0,0.0,8277000.0,2430000.0,60330
Ahilyanagar,2013,Nevasa,6115000.0,0.0,6115000.0,1571000.0,0.0,4544000.0,4544000.0,94874
Ahilyanagar,2013,Shevgaon,4112000.0,1901000.0,6013000.0,402000.0,0.0,5611000.0,3710000.0,68154
Ahilyanagar,2013,Pathardi,2637000.0,0.0,2637000.0,1003000.0,0.0,1634000.0,1634000.0,81637
Ahilyanagar,2013,Nagar,48287000.0,0.0,48287000.0,0.0,0.0,48287000.0,41746000.0,89821
Ahilyanagar,2013,Rahuri,2623000.0,0.0,2623000.0,1123000.0,0.0,1500000.0,1499000.0,78348
Ahilyanagar,2013,Parner,4533000.0,0.0,4533000.0,1275000.0,0.0,3258000.0,3258000.0,136208
Ahilyanagar,2013,Srigonda,3628000.0,2577000.0,6205000.0,1265000.0,25000.0,4915000.0,3628000.0,121853
Ahilyanagar,2013,Karjat,3560000.0,0.0,3560000.0,870000.0,0.0,2690000.0,2410000.0,105723
Ahilyanagar,2013,Jamkhed,5512000.0,0.0,5512000.0,756000.0,0.0,4756000.0,4653000.0,55351
Ahilyanagar,2014,Akole,4903860.0,0.0,4903860.0,871450.0,0.0,4032410.0,8559330.0,164380
Ahilyanagar,2014,Sangamner,7112270.0,0.0,7112270.0,1288930.0,0.0,5823340.0,81827970.0,102181
Ahilyanagar,2014,Kopargaon,17973260.0,0.0,17973260.0,1129940.0,0.0,16843330.0,6278860.0,48552
Ahilyanagar,2014,Rahata,68676000.0,0.0,68676000.0,704290.0,0.0,67971710.0,68363100.0,76525
Ahilyanagar,2014,Srirampur,7089170.0,1188970.0,8278129.999999999,592560.0,0.0,7685570.0,55397710.0,64474
Ahilyanagar,2014,Nevasa,8468700.0,0.0,8468700.0,1594700.0,0.0,6874000.0,24184250.0,116972
Ahilyanagar,2014,Shevgaon,4006420.0,190120.0,4196540.0,566080.0,0.0,3630460.0,3423960.0,22996
Ahilyanagar,2014,Pathardi,2689220.0,0.0,2689220.0,1004020.0,0.0,1685210.0,7807350.0,80875
Ahilyanagar,2014,Nagar,22085510.0,0.0,22085510.0,0.0,0.0,22085510.0,23053710.0,82394
Ahilyanagar,2014,Rahuri,2623140.0,0.0,2623140.0,1123720.0,0.0,1499430.0,1499430.0,64971
Ahilyanagar,2014,Parner,5170430.0,1276440.0,6446870.0,1315340.0,0.0,5131540.0,3940070.0,129060
Ahilyanagar,2014,Srigonda,3455420.0,806270.0,4261690.0,1292500.0,25000.0,2944190.0,2969640.0,121216
Ahilyanagar,2014,Karjat,4164420.0,0.0,4164420.0,998480.0,0.0,3165940.0,5244260.0,108907
Ahilyanagar,2014,Jamkhed,6112000.0,0.0,6112000.0,756370.0,0.0,5355630.0,6321680.0,55469
Ahilyanagar,2015,Akole,7230060.0,0.0,7230060.0,1044650.0,0.0,6185410.0,11733910.0,164380
Ahilyanagar,2015,Sangamner,7119300.0,0.0,7119300.0,1295960.0,0.0,5823340.0,91225830.0,102181
Ahilyanagar,2015,Kopargaon,12474650.0,0.0,12474650.0,1014350.0,0.0,11460300.0,38668060.0,54800
Ahilyanagar,2015,Rahata,68676000.0,0.0,68676000.0,0.0,0.0,68676000.0,67676000.0,76534
Ahilyanagar,2015,Srirampur,7202190.0,659340.0,7861530.0,582880.0,0.0,7278650.0,20946270.0,66853
Ahilyanagar,2015,Nevasa,7855860.0,0.0,7855860.0,1635360.0,0.0,6220500.0,35750530.0,121691
Ahilyanagar,2015,Shevgaon,4155980.0,235000.0,4390980.0,4020890.0,0.0,370090.0,3988900.0,16063
Ahilyanagar,2015,Pathardi,5066000.0,0.0,5066000.0,1400300.0,0.0,3665700.0,12131230.0,80925
Ahilyanagar,2015,Nagar,34406390.0,0.0,34406390.0,1140000.0,0.0,33266390.0,32266380.0,101266
Ahilyanagar,2015,Rahuri,5347090.0,0.0,5347090.0,0.0,0.0,5347090.0,5368110.0,139635
Ahilyanagar,2015,Parner,6062170.0,0.0,6062170.0,1323500.0,0.0,4738670.0,6062170.0,129060
Ahilyanagar,2015,Srigonda,3976720.0,1003760.0,4980480.0,1293360.0,0.0,3687120.0,2972960.0,122723
Ahilyanagar,2015,Karjat,4376900.0,0.0,4376900.0,843970.0,0.0,3532930.0,7266140.0,109295
Ahilyanagar,2015,Jamkhed,1571760.0,0.0,1571760.0,764960.0,0.0,806800.0,5773900.0,59300
Ahilyanagar,2016,Akole,59027820.0,0.0,59027820.0,9024900.0,0.0,50002920.0,95958530.0,84330
