Year,District,Taluka Old,Taluka,Agriculture Loans,Non-Agriculture Loans,Total Loans
2012,Ahilyanagar,Akole,Akole,3399800000.0,3842300000.0,7242100000.0
2012,Ahilyanagar,Sangamner,Sangamner,3997600000.0,3926300000.0,7923900000.0
2012,Ahilyanagar,Kopargaon,Kopargaon,4403200000.0,4430400000.0,8833600000.0
2012,Ahilyanagar,Rahata,Rahata,3449100000.0,3747000000.0,7196100000.0
2012,Ahilyanagar,Srirampur,Srirampur,4057800000.0,3937500000.0,7995300000.0
2012,Ahilyanagar,Nevasa,Nevasa,3010400000.0,3422200000.0,6432600000.0
2012,Ahilyanagar,Shevgaon,Shevgaon,3575400000.0,3920700000.0,7496100000.0
2012,Ahilyanagar,Pathardi,Pathardi,3575200000.0,3758200000.0,7333400000.0
2012,Ahilyanagar,Nagar,Nagar,5938600000.0,5645800000.0,11584400000.0
2012,Ahilyanagar,Rahuri,Rahuri,4057700000.0,4004700000.0,8062400000.0
2012,Ahilyanagar,Parner,Parner,3503900000.0,3752600000.0,7256500000.0
2012,Ahilyanagar,Srigonda,Srigonda,3970000000.0,3931900000.0,7901900000.0
2012,Ahilyanagar,Karjat,Karjat,3997400000.0,3752600000.0,7750000000.0
2012,Ahilyanagar,Jamkhed,Jamkhed,3898700000.0,3937500000.0,7836200000.0
2013,Ahilyanagar,Akole,Akole,3467800000.0,3919100000.0,7386900000.0
2013,Ahilyanagar,Sangamner,Sangamner,4077600000.0,4002800000.0,8080400000.0
2013,Ahilyanagar,Kopargaon,Kopargaon,4491300000.0,4519000000.0,9010300000.0
2013,Ahilyanagar,Rahata,Rahata,3518100000.0,3821900000.0,7340000000.0
2013,Ahilyanagar,Srirampur,Srirampur,4139000000.0,4016300000.0,8155300000.0
2013,Ahilyanagar,Nevasa,Nevasa,3070600000.0,3490600000.0,6561200000.0
2013,Ahilyanagar,Shevgaon,Shevgaon,3646900000.0,3999100000.0,7646000000.0
2013,Ahilyanagar,Pathardi,Pathardi,3646700000.0,3833400000.0,7480100000.0
2013,Ahilyanagar,Nagar,Nagar,6057400000.0,5758700000.0,11816100000.0
2013,Ahilyanagar,Rahuri,Rahuri,4138900000.0,4084800000.0,8223700000.0
2013,Ahilyanagar,Parner,Parner,3574000000.0,3827700000.0,7401700000.0
2013,Ahilyanagar,Srigonda,Srigonda,4049400000.0,4010500000.0,8059900000.0
2013,Ahilyanagar,Karjat,Karjat,4077300000.0,3827700000.0,7905000000.0
2013,Ahilyanagar,Jamkhed,Jamkhed,3976700000.0,4016300000.0,7993000000.0
2014,Ahilyanagar,Akole,Akole,4888900000.0,2561100000.0,7450000000.0
2014,Ahilyanagar,Sangamner,Sangamner,7557500000.0,4099000000.0,11656500000.0
2014,Ahilyanagar,Kopargaon,Kopargaon,6229500000.0,3378700000.0,9608200000.0
2014,Ahilyanagar,Rahata,Rahata,9191300000.0,4985100000.0,14176400000.0
2014,Ahilyanagar,Srirampur,Srirampur,5196500000.0,2818400000.0,8014900000.0
2014,Ahilyanagar,Nevasa,Nevasa,3520500000.0,1909500000.0,5430000000.0
2014,Ahilyanagar,Shevgaon,Shevgaon,3151700000.0,1709300000.0,4861000000.0
2014,Ahilyanagar,Pathardi,Pathardi,4764300000.0,2584000000.0,7348300000.0
2014,Ahilyanagar,Nagar,Nagar,42183100000.0,22879000000.0,65062100000.0
2014,Ahilyanagar,Rahuri,Rahuri,4762500000.0,2583000000.0,7345500000.0
2014,Ahilyanagar,Parner,Parner,3299300000.0,1789400000.0,5088700000.0
2014,Ahilyanagar,Srigonda,Srigonda,4753800000.0,2578300000.0,7332100000.0
2014,Ahilyanagar,Karjat,Karjat,3320200000.0,1800800000.0,5121000000.0
2014,Ahilyanagar,Jamkhed,Jamkhed,3307700000.0,1469600000.0,4777300000.0
2015,Ahilyanagar,Akole,Akole,5007800000.0,5659600000.0,10667400000.0
2015,Ahilyanagar,Sangamner,Sangamner,5888500000.0,5777600000.0,11666100000.0
2015,Ahilyanagar,Kopargaon,Kopargaon,6485900000.0,6615100000.0,13101000000.0
2015,Ahilyanagar,Rahata,Rahata,5080500000.0,5500900000.0,10581400000.0
2015,Ahilyanagar,Srirampur,Srirampur,5977100000.0,5689600000.0,11666700000.0
2015,Ahilyanagar,Nevasa,Nevasa,4434200000.0,5019600000.0,9453800000.0
2015,Ahilyanagar,Shevgaon,Shevgaon,5266500000.0,5754600000.0,11021100000.0
2015,Ahilyanagar,Pathardi,Pathardi,5266200000.0,5526700000.0,10792900000.0
2015,Ahilyanagar,Nagar,Nagar,8747500000.0,8376800000.0,17124300000.0
2015,Ahilyanagar,Rahuri,Rahuri,5977000000.0,5869800000.0,11846800000.0
2015,Ahilyanagar,Parner,Parner,5161200000.0,5510100000.0,10671300000.0
2015,Ahilyanagar,Srigonda,Srigonda,5847700000.0,5791800000.0,11639500000.0
2015,Ahilyanagar,Karjat,Karjat,5888000000.0,5598700000.0,11486700000.0
2015,Ahilyanagar,Jamkhed,Jamkhed,5742500000.0,5810500000.0,11553000000.0
2016,Ahilyanagar,Akole,Akole,5600800000.0,6329900000.0,11930700000.0
2016,Ahilyanagar,Sangamner,Sangamner,6585700000.0,6464400000.0,13050100000.0
2016,Ahilyanagar,Kopargaon,Kopargaon,7253900000.0,7298800000.0,14552700000.0
2016,Ahilyanagar,Rahata,Rahata,5682100000.0,6172800000.0,11854900000.0
2016,Ahilyanagar,Srirampur,Srirampur,6684900000.0,6486800000.0,13171700000.0
2016,Ahilyanagar,Nevasa,Nevasa,4959300000.0,5637400000.0,10596700000.0
2016,Ahilyanagar,Shevgaon,Shevgaon,5890100000.0,6458700000.0,12348800000.0
2016,Ahilyanagar,Pathardi,Pathardi,5889800000.0,6191500000.0,12081300000.0
2016,Ahilyanagar,Nagar,Nagar,9783300000.0,9306300000.0,19089600000.0
2016,Ahilyanagar,Rahuri,Rahuri,6684700000.0,6597600000.0,13282300000.0
2016,Ahilyanagar,Parner,Parner,5772400000.0,6182500000.0,11954900000.0
2016,Ahilyanagar,Srigonda,Srigonda,6540200000.0,6479800000.0,13020000000.0
2016,Ahilyanagar,Karjat,Karjat,6585200000.0,6180100000.0,12765300000.0
2016,Ahilyanagar,Jamkhed,Jamkhed,6424100000.0,6485500000.0,12909600000.0
2017,Ahilyanagar,Akole,Akole,2645800000.0,2394200000.0,5040000000.0
2017,Ahilyanagar,Sangamner,Sangamner,2359600000.0,1919000000.0,4278600000.0
2017,Ahilyanagar,Kopargaon,Kopargaon,4183100000.0,4143000000.0,8326100000.0
2017,Ahilyanagar,Rahata,Rahata,1583200000.0,1488200000.0,3071400000.0
