District,Year,"Receipts and Loans
","From Commercial Activities
",Government Subsidy,"Other Sources
",Rents and Taxes,"Revenue
",Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Components,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Developmental,Non-Developmental
Ahilyanagar,2012,239400000.0,11300000.0,288000000.0,257300000.0,986700000.0,1782700000.0,262400000.0,91800000.0,14000000.0,203400000.0,31800000.0,2900000.0,700800000.0,74500000.0,400000.0,200000.0,,1100000.0,,203400000.0,1586700000.0,312600000.0,217800000.0,530400000.0,1056300000.0
Ahilyanagar,2013,103453000.0,100428000.0,81907000.0,23201000.0,1183353000.0,1492342000.0,294239000.0,44979000.0,56628000.0,170286000.0,21744000.0,1950000.0,294885000.0,96898000.0,,,221559000.0,,,226578000.0,1429746000.0,347170000.0,226914000.0,574084000.0,855661999.9999999
Ahilyanagar,2014,254331000.0,153313000.0,15658000.0,259700000.0,294739000.0,977741000.0,315426000.0,7829000.000000001,100000000.0,87602000.0,16116000.0,,65913000.0,115723000.0,,,,,,134207000.0,842816000.0,266046000.0,187602000.0,453647999.9999999,389168000.0
Ahilyanagar,2015,20078000.0,122146000.0,981965000.0,374650000.0,695061000.0,2193900000.0,501610000.0000001,,74478000.0,916000.0,31199000.0,24628000.0,1379135000.0,96188000.0,54235000.0,2908000.0,,2033000.0,,142433000.0,2309763000.0,294448000.0,129629000.0,424077000.0000001,1885686000.0
Ahilyanagar,2016,34988000.0,120584000.0,1528497000.0,300727000.0,375303000.0,2360099000.0,626287000.0,257121000.0,37944000.0,1198000.0,15676000.0,52980999.99999999,713786000.0,44865000.0,23158000.0,4622000.0,,3532000.0,13136000.0,92978000.0,1887284000.0,206500000.0,75436000.0,281936000.0,1605348000.0
Ahilyanagar,2017,32813000.0,144763000.0,1158235000.0,106955000.0,429968000.0,1872734000.0,667799000.0,223011000.0,35393000.0,963000.0000000001,23663000.0,60791999.99999999,765656000.0,35192000.0,29386000.0,5338000.0,,200000.0,10138000.0,216030000.0,2073521000.0,335677000.0000001,75880000.0,411557000.0000001,1662004000.0
Ahilyanagar,2018,45973000.0,250577000.0,605749000.0,1403323000.0,432145000.0,2737767000.0,1047298000.0,37993000.0,30925000.0,79286000.0,33730000.0,53042999.99999999,699643000.0,52892999.99999999,65359000.0,96000.0,,219000.0,9134000.0,271488000.0,2381107000.0,411154000.0,184704000.0,595858000.0,1785249000.0
Ahilyanagar,2019,80393000.0,172385000.0,2036333000.0,489603000.0,315393000.0,3094107000.0,724402000.0,262562000.0,15330000.0,202706000.0,33375000.0,36176000.0,1054077000.0,41932000.0,61977000.0,2598000.0,,1673000.0,8145000.0,253838000.0,2698791000.0,365321000.0,288158000.0,653479000.0,2045312000.0
Ahilyanagar,2020,49277000.0,127729000.0,966710000.0,1279087000.0,285354000.0,2708157000.0,784261000.0,293884000.0,17987000.0,309437000.0,31905000.0,80584000.0,1139475000.0,29606000.0,64597000.0,2886000.0,,1359000.0,53379000.0,290035000.0,3099395000.0,432130000.0,445400000.0,877529999.9999999,2221865000.0
Ahilyanagar,2021,39260000.0,117990000.0,2211787000.0,723413000.0,311423000.0,3403873000.0,723362000.0,314875000.0,30112000.0,2436000.0,27255000.0,14604000.0,93588000.0,63527000.0,49068000.0,120000.0,,270000.0,4283000.0,258504000.0,1582004000.0,363890000.0,85899000.00000001,449789000.0000001,1132215000.0
Akola,2012,283800000.0,,620600000.0,1618400000.0,474400000.0,2997200000.0,376100000.0,17200000.0,50300000.0,,80200000.0,,2111700000.0,16500000.0,26500000.0,2000000.0,,900000.0,,52200000.0,2733600000.0,148900000.0,76800000.0,225700000.0,2507900000.0
Akola,2013,141200000.0,,1175000000.0,1687000000.0,630300000.0,3633500000.0,433300000.0,12300000.0,51400000.0,800000.0,128100000.0,1000000.0,2256100000.0,10900000.0,31700000.0,6600000.0,154900000.0,300000.0,,57100000.0,3144500000.0,197100000.0,83900000.0,281000000.0,2863500000.0
Akola,2014,168300000.0,,446500000.0,775600000.0,789100000.0,2179500000.0,571900000.0,14500000.0,20900000.0,1400000.0,119700000.0,,1158200000.0,7600000.0,31600000.0,4100000.0,166500000.0,,,58200000.0,2154600000.0,185500000.0,53900000.0,239400000.0,1915200000.0
Akola,2015,,,,,,,,,,,,,,,,,,,,,,,,,
Akola,2016,151200000.0,,1544700000.0,785100000.0,388900000.0,2869900000.0,521800000.0,22200000.0,10700000.0,,67700000.0,,1888800000.0,400000.0,28700000.0,3300000.0,163600000.0,,,73300000.0,2780500000.0,141400000.0,39400000.0,180800000.0,2599700000.0
Akola,2017,230300000.0,,1252800000.0,924300000.0,522000000.0,2929400000.0,680900000.0,25100000.0,36400000.0,,106000000.0,,1691600000.0,2300000.0,44600000.0,6500000.0,230300000.0,64400000.0,,106000000.0,2994100000.0,214300000.0,81000000.0,295300000.0,2698800000.0
Akola,2018,284900000.0,,2682400000.0,1045100000.0,435300000.0,4447700000.0,760100000.0,28100000.0,79000000.0,1100000.0,115100000.0,1500000.0,1460300000.0,800000.0,48200000.0,2000000.0,200700000.0,25800000.0,,1789200000.0,,1906600000.0,128300000.0,2034900000.0,2477000000.0
Akola,2019,245100000.0,,2506100000.0,889200000.0,360700000.0,4001100000.0,653400000.0,22400000.0,17600000.0,,106100000.0,1300000.0,2842100000.0,1300000.0,31000000.0,1500000.0,176700000.0,12500000.0,,72900000.0,8450700000.0,181600000.0,48600000.0,230200000.0,3708600000.0
Akola,2020,253900000.0,,1541300000.0,1234900000.0,370900000.0,3401000000.0,680500000.0,19400000.0,3500000.0,,309600000.0,,1950800000.0,500000.0,20000000.0,800000.0,202300000.0,19200000.0,,46800000.0,3253400000.0,356900000.0,23500000.0,380400000.0,2873000000.0
Akola,2021,402700000.0,,2164200000.0,1172200000.0,1088300000.0,4827400000.0,983700000.0,477000000.0,700200000.0,1900000.0,111100000.0,300000.0,1814900000.0,1800000.0,30500000.0,4400000.0,293300000.0,18700000.0,,129500000.0,4567300000.0,242700000.0,732600000.0,975300000.0,3592000000.0
Amravati,2012,16700000.0,,941000000.0,956100000.0,217500000.0,2131300000.0,452700000.0,224500000.0,13600000.0,,103000000.0,10800000.0,954200000.0,133400000.0,115700000.0,2600000.0,,2700000.0,,7100000.0,2020300000.0,254300000.0,129300000.0,383600000.0,1636700000.0
