District,Year,Administration-Establishment,Administration-Others,Construction,Drainage and Sewage,Education,Expenditure on Weak Components,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Total Expenditure
Ahilyanagar,2012,2624.0,918.0,140.0,2034.0,318.0,29.0,7008.0,745.0,4.0,2.0,0.0,11.0,0.0,2034.0,15867.0
Ahilyanagar,2013,2942.39,449.79,566.28,1702.86,217.44,19.5,2948.85,968.98,0.0,0.0,2215.59,0.0,0.0,2265.78,14297.46
Ahilyanagar,2014,3154.26,78.29,1000.0,876.02,161.16,0.0,659.13,1157.23,0.0,0.0,0.0,0.0,0.0,1342.07,8428.16
Ahilyanagar,2015,5016.1,0.0,744.78,9.16,311.99,246.28,13791.35,961.88,542.35,29.08,0.0,20.33,0.0,1424.33,23097.63
Ahilyanagar,2016,6262.87,2571.21,379.44,11.98,156.76,529.81,7137.86,448.65,231.58,46.22,0.0,35.32,131.36,929.78,18872.84
Ahilyanagar,2017,6677.99,2230.11,353.93,9.63,236.63,607.92,7656.56,351.92,293.86,53.38,0.0,2.0,101.38,2160.3,20735.21
Ahilyanagar,2018,10472.98,379.93,309.25,792.86,337.3,530.43,6996.43,528.93,653.59,0.96,0.0,2.19,91.34,2714.88,23811.07
Ahilyanagar,2019,7244.02,2625.62,153.3,2027.06,333.75,361.76,10540.77,419.32,619.77,25.98,0.0,16.73,81.45,2538.38,26987.91
Ahilyanagar,2020,7842.61,2938.84,179.87,3094.37,319.05,805.84,11394.75,296.06,645.97,28.86,0.0,13.59,533.79,2900.35,30993.95
Ahilyanagar,2021,7233.62,3148.75,301.12,24.36,272.55,146.04,935.88,635.27,490.68,1.2,0.0,2.7,42.83,2585.04,15820.04
Akola,2012,3761.0,172.0,503.0,0.0,802.0,0.0,21117.0,165.0,265.0,20.0,0.0,9.0,0.0,522.0,27336.0
Akola,2013,4333.0,123.0,514.0,8.0,1281.0,10.0,22561.0,109.0,317.0,66.0,1549.0,3.0,0.0,571.0,31445.0
Akola,2014,5719.0,145.0,209.0,14.0,1197.0,0.0,11582.0,76.0,316.0,41.0,1665.0,0.0,0.0,582.0,21546.0
Akola,2015,,,,,,,,,,,,,,,
Akola,2016,5218.0,222.0,107.0,0.0,677.0,0.0,18888.0,4.0,287.0,33.0,1636.0,0.0,0.0,733.0,27805.0
Akola,2017,6809.0,251.0,364.0,0.0,1060.0,0.0,16916.0,23.0,446.0,65.0,2303.0,644.0,0.0,1060.0,29941.0
Akola,2018,7601.0,281.0,790.0,11.0,1151.0,15.0,14603.0,8.0,482.0,20.0,2007.0,258.0,0.0,17892.0,
Akola,2019,6534.0,224.0,176.0,0.0,1061.0,13.0,28421.0,13.0,310.0,15.0,1767.0,125.0,0.0,729.0,84507.0
Akola,2020,6805.0,194.0,35.0,0.0,3096.0,0.0,19508.0,5.0,200.0,8.0,2023.0,192.0,0.0,468.0,32534.0
Akola,2021,9837.0,4770.0,7002.0,19.0,1111.0,3.0,18149.0,18.0,305.0,44.0,2933.0,187.0,0.0,1295.0,45673.0
