District,Year,"Receipts and Loans
","From Commercial Activities
",Government Grants,"Other Sources
",Rents and Taxes,"Revenue
",Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Components,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Developmental,Non-Developmental
Ahilyanagar,2012,2394.0,113.0,2880.0,2573.0,9867.0,17827.0,2624.0,918.0,140.0,2034.0,318.0,29.0,7008.0,745.0,4.0,2.0,,11.0,,2034.0,15867.0,3126.0,2178.0,5304.0,10563.0
Ahilyanagar,2013,1034.53,1004.28,819.07,232.01,11833.53,14923.42,2942.39,449.79,566.28,1702.86,217.44,19.5,2948.85,968.98,,,2215.59,,,2265.78,14297.46,3471.7,2269.14,5740.84,8556.619999999999
Ahilyanagar,2014,2543.31,1533.13,156.58,2597.0,2947.39,9777.41,3154.26,78.29,1000.0,876.02,161.16,,659.13,1157.23,,,,,,1342.07,8428.16,2660.46,1876.02,4536.48,3891.68
Ahilyanagar,2015,200.78,1221.46,9819.65,3746.5,6950.61,21939.0,5016.1,,744.78,9.16,311.99,246.28,13791.35,961.88,542.35,29.08,,20.33,,1424.33,23097.63,2944.48,1296.29,4240.77,18856.86
Ahilyanagar,2016,349.88,1205.84,15284.97,3007.27,3753.03,23600.99,6262.87,2571.21,379.44,11.98,156.76,529.81,7137.86,448.65,231.58,46.22,,35.32,131.36,929.78,18872.84,2065.0,754.36,2819.36,16053.48
Ahilyanagar,2017,328.13,1447.63,11582.35,1069.55,4299.68,18727.34,6677.99,2230.11,353.93,9.63,236.63,607.92,7656.56,351.92,293.86,53.38,,2.0,101.38,2160.3,20735.21,3356.77,758.8000000000001,4115.570000000001,16620.04
Ahilyanagar,2018,459.73,2505.77,6057.49,14033.23,4321.45,27377.67,10472.98,379.93,309.25,792.86,337.3,530.43,6996.43,528.93,653.59,0.96,,2.19,91.34,2714.88,23811.07,4111.54,1847.04,5958.58,17852.49
Ahilyanagar,2019,803.93,1723.85,20363.33,4896.03,3153.93,30941.07,7244.02,2625.62,153.3,2027.06,333.75,361.76,10540.77,419.32,619.77,25.98,,16.73,81.45,2538.38,26987.91,3653.21,2881.58,6534.79,20453.12
Ahilyanagar,2020,492.77,1277.29,9667.1,12790.87,2853.54,27081.57,7842.61,2938.84,179.87,3094.37,319.05,805.84,11394.75,296.06,645.97,28.86,,13.59,533.79,2900.35,30993.95,4321.3,4454.0,8775.3,22218.65
Ahilyanagar,2021,392.6,1179.9,22117.87,7234.13,3114.23,34038.73,7233.62,3148.75,301.12,24.36,272.55,146.04,935.88,635.27,490.68,1.2,,2.7,42.83,2585.04,15820.04,3638.9,858.9900000000001,4497.89,11322.15
Akola,2012,2838.0,,6206.0,16184.0,4744.0,29972.0,3761.0,172.0,503.0,,802.0,,21117.0,165.0,265.0,20.0,,9.0,,522.0,27336.0,1489.0,768.0,2257.0,25079.0
Akola,2013,1412.0,,11750.0,16870.0,6303.0,36335.0,4333.0,123.0,514.0,8.0,1281.0,10.0,22561.0,109.0,317.0,66.0,1549.0,3.0,,571.0,31445.0,1971.0,839.0,2810.0,28635.0
Akola,2014,1683.0,,4465.0,7756.0,7891.0,21795.0,5719.0,145.0,209.0,14.0,1197.0,,11582.0,76.0,316.0,41.0,1665.0,,,582.0,21546.0,1855.0,539.0,2394.0,19152.0
Akola,2015,,,,,,,,,,,,,,,,,,,,,,,,,
Akola,2016,1512.0,,15447.0,7851.0,3889.0,28699.0,5218.0,222.0,107.0,,677.0,,18888.0,4.0,287.0,33.0,1636.0,,,733.0,27805.0,1414.0,394.0,1808.0,25997.0
