District,Year,Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Sectors,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Total Expenditure
Ahilyanagar,2012,2035.39,11750.75,965.54,757.25,76.03,137.4,2809.9,751.86,1219.37,469.28,447.13,1284.94,0.0,107.01,22811.85
Ahilyanagar,2013,1163.22,488.76,4020.57,401.6,139.64,605.84,4803.36,1265.56,0.0,328.52,1438.27,803.64,0.0,1865.06,17324.04
Ahilyanagar,2014,1955.03,743.2,4826.14,685.46,185.52,905.97,5766.73,2042.97,0.0,421.34,1952.31,1043.72,0.0,2289.3,22817.69
Ahilyanagar,2015,3388.88,1776.86,1135.09,93.62,126.69,315.95,8322.6,658.7,233.06,34.41,434.26,99.45,11.9,945.95,17577.41
Ahilyanagar,2016,4590.56,929.8,3099.08,102.42,178.38,110.38,12151.8,793.16,391.01,100.73,783.34,301.56,0.0,1449.14,24981.36
Ahilyanagar,2017,4212.47,1234.85,1838.16,141.68,109.62,22.53,8620.88,732.4,317.36,163.61,1491.3,78.83,0.0,804.61,19768.29
Ahilyanagar,2018,5244.92,1057.05,7096.61,175.39,117.67,36.57,10717.86,1171.32,457.45,21.78,50.52,184.54,8.37,2692.86,29032.91
Ahilyanagar,2019,5811.3,660.49,6964.85,201.02,105.3,64.2,5881.35,1067.3,497.43,95.52,1198.24,1270.56,0.0,1318.81,25136.37
Ahilyanagar,2020,3003.85,1003.61,4573.65,40.57,0.0,70.23,8138.51,2146.08,200.1,79.76,3800.5,249.53,0.0,745.18,24051.56
Ahilyanagar,2021,9254.27,1191.44,7649.37,212.11,143.62,113.22,8567.38,1433.19,518.59,124.83,4886.19,74.76,0.0,1047.0,35215.97
Akola,2012,1734.13,34.52,1358.87,85.16,696.75,13.0,5339.54,281.32,54.88,6.03,53.48,235.02,0.0,197.71,10090.41
Akola,2013,1733.41,314.94,604.57,85.77,389.7,102.3,2055.44,113.53,82.06,3.52,0.0,53.26,0.0,186.83,5725.33
Akola,2014,972.87,44.4,1969.07,224.12,1060.0,214.01,2160.84,388.3,39.15,0.12,1776.48,90.77,0.0,195.58,9135.71
Akola,2015,,,,,,,,,,,,,,,
Akola,2016,1955.16,515.91,3400.93,304.09,1335.41,5.11,608.87,229.46,92.59,26.32,0.0,296.06,0.0,724.99,9494.9
Akola,2017,1955.16,515.91,3400.93,304.09,1335.41,5.11,608.87,229.46,92.59,26.32,0.0,296.06,0.0,724.99,9494.9
Akola,2018,2714.68,82.04,1129.7,167.67,2017.86,32.42,777.54,329.13,164.34,18.07,0.0,41.19,0.0,243.43,
Akola,2019,2934.67,98.37,1176.35,175.04,2339.86,30.65,1025.64,361.33,185.97,18.24,0.0,46.57,0.0,331.49,16442.25
Akola,2020,3080.8,100.45,1205.59,176.4,2580.62,31.3,1044.8,375.14,222.72,19.3,0.0,49.47,0.0,364.5,9251.09
