District,Year,"Receipts and Loans
","From Commercial Activities
",Government Grants,"Other Sources
",Rents and Taxes,"Revenue
",Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Sectors,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Ahilyanagar,2012,27010.0,22722.0,33258.0,2250.0,43026.0,128266.0,2035.39,11750.75,965.54,757.25,76.03,137.4,2809.9,751.86,1219.37,469.28,447.13,1284.94,,107.01,107.01,1072.3,2942.16,18797.39
Ahilyanagar,2013,1764.49,913.54,4804.18,5240.95,2407.65,15130.81,1163.22,488.76,4020.57,401.6,139.64,605.84,4803.36,1265.56,,328.52,1438.27,803.64,,1865.06,17324.04,3876.1,4422.17,9025.77
Ahilyanagar,2014,1975.78,981.71,8234.07,5856.38,4356.29,21404.23,1955.03,743.2,4826.14,685.46,185.52,905.97,5766.73,2042.97,,421.34,1952.31,1043.72,,2289.3,22817.69,5423.76,5511.6,11882.33
Ahilyanagar,2015,1633.11,196.47,12111.05,2219.45,2254.52,18414.6,3388.88,1776.86,1135.09,93.62,126.69,315.95,8322.6,658.7,233.06,34.41,434.26,99.45,11.9,945.95,17577.41,2047.29,1473.67,14056.46
Ahilyanagar,2016,1052.14,292.58,21522.81,2314.55,2483.89,27665.97,4590.56,929.8,3099.08,102.42,178.38,110.38,12151.8,793.16,391.01,100.73,783.34,301.56,,1449.14,24981.36,2531.06,3592.51,18857.79
Ahilyanagar,2017,1442.21,734.77,13610.76,3665.7,2421.07,21874.51,4212.47,1234.85,1838.16,141.68,109.62,22.53,8620.88,732.4,317.36,163.61,1491.3,78.83,,804.61,19768.29,1669.16,2297.2,15801.94
Ahilyanagar,2018,3756.5,398.4,20453.35,2137.45,4338.56,31084.26,5244.92,1057.05,7096.61,175.39,117.67,36.57,10717.86,1171.32,457.45,21.78,50.52,184.54,8.37,2692.86,29032.91,4018.42,7737.82,17276.67
Ahilyanagar,2019,1757.73,548.56,16239.13,3634.16,3721.24,25900.82,5811.3,660.49,6964.85,201.02,105.3,64.2,5881.35,1067.3,497.43,95.52,1198.24,1270.56,,1318.81,25136.37,2555.61,7663.300000000001,14917.46
Ahilyanagar,2020,2335.68,935.51,17482.01,3192.29,4176.36,28121.85,3003.85,1003.61,4573.65,40.57,,70.23,8138.51,2146.08,200.1,79.76,3800.5,249.53,,745.18,24051.56,2961.49,4814.32,16275.76
Ahilyanagar,2021,2917.99,350.77,27589.0,3361.1,4431.77,38650.63,9254.27,1191.44,7649.37,212.11,143.62,113.22,8567.38,1433.19,518.59,124.83,4886.19,74.76,,1047.0,35215.97,2737.03,8380.07,24098.87
