District,Year,"Receipts and Loans
","From Commercial Activities
",Government Subsidies,"Other Sources
",Rents and Taxes,"Revenue
",Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Sectors,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Ahilyanagar,2012,2701000000.0,2272200000.0,3325800000.0,225000000.0,4302600000.0,12826600000.0,203539000.0,1175075000.0,96554000.0,75725000.0,7603000.0,13740000.0,280990000.0,75186000.0,121937000.0,46928000.0,44713000.0,128494000.0,,10701000.0,10701000.0,107230000.0,294216000.0,1879739000.0
Ahilyanagar,2013,176449000.0,91354000.0,480418000.0,524095000.0,240765000.0,1513081000.0,116322000.0,48876000.0,402057000.0,40160000.0,13964000.0,60584000.0,480335999.9999999,126556000.0,,32852000.0,143827000.0,80364000.0,,186506000.0,1732404000.0,387610000.0,442217000.0,902577000.0
Ahilyanagar,2014,197578000.0,98171000.0,823407000.0,585638000.0,435629000.0,2140423000.0,195503000.0,74320000.0,482614000.0000001,68546000.0,18552000.0,90597000.0,576673000.0,204297000.0,,42134000.0,195231000.0,104372000.0,,228930000.0,2281769000.0,542376000.0,551160000.0,1188233000.0
Ahilyanagar,2015,163311000.0,19647000.0,1211105000.0,221945000.0,225452000.0,1841460000.0,338888000.0,177686000.0,113509000.0,9362000.0,12669000.0,31595000.0,832260000.0,65870000.00000001,23306000.0,3441000.0,43426000.0,9945000.0,1190000.0,94595000.0,1757741000.0,204729000.0,147367000.0,1405646000.0
Ahilyanagar,2016,105214000.0,29258000.0,2152281000.0,231455000.0,248389000.0,2766597000.0,459056000.0000001,92980000.0,309908000.0,10242000.0,17838000.0,11038000.0,1215180000.0,79316000.0,39101000.0,10073000.0,78334000.0,30156000.0,,144914000.0,2498136000.0,253106000.0,359251000.0,1885779000.0
Ahilyanagar,2017,144221000.0,73477000.0,1361076000.0,366570000.0,242107000.0,2187451000.0,421247000.0,123485000.0,183816000.0,14168000.0,10962000.0,2253000.0,862087999.9999999,73240000.0,31736000.0,16361000.0,149130000.0,7883000.0,,80461000.0,1976829000.0,166916000.0,229720000.0,1580194000.0
Ahilyanagar,2018,375650000.0,39840000.0,2045335000.0,213745000.0,433856000.0000001,3108426000.0,524492000.0,105705000.0,709661000.0,17539000.0,11767000.0,3657000.0,1071786000.0,117132000.0,45745000.0,2178000.0,5052000.0,18454000.0,836999.9999999999,269286000.0,2903291000.0,401842000.0,773782000.0,1727667000.0
Ahilyanagar,2019,175773000.0,54855999.99999999,1623913000.0,363416000.0,372124000.0,2590082000.0,581130000.0,66049000.0,696485000.0,20102000.0,10530000.0,6420000.0,588135000.0,106730000.0,49743000.0,9552000.0,119824000.0,127056000.0,,131881000.0,2513637000.0,255561000.0,766330000.0000001,1491746000.0
Ahilyanagar,2020,233568000.0,93551000.0,1748201000.0,319229000.0,417635999.9999999,2812185000.0,300385000.0,100361000.0,457364999.9999999,4057000.0,,7023000.0,813851000.0,214608000.0,20010000.0,7976000.000000001,380050000.0,24953000.0,,74518000.0,2405156000.0,296149000.0,481432000.0,1627576000.0
Ahilyanagar,2021,291799000.0,35077000.0,2758900000.0,336110000.0,443177000.0000001,3865063000.0,925427000.0,119144000.0,764937000.0,21211000.0,14362000.0,11322000.0,856737999.9999999,143319000.0,51859000.0,12483000.0,488618999.9999999,7476000.000000001,,104700000.0,3521597000.0,273703000.0,838007000.0,2409887000.0
Akola,2012,21081000.0,15273000.0,959617000.0,196583000.0,33824000.0,1226378000.0,173413000.0,3452000.0,135887000.0,8516000.0,69675000.0,1300000.0,533954000.0,28132000.0,5488000.0,603000.0,5348000.0,23502000.0,,19771000.0,1009041000.0,118878000.0,149891000.0,740272000.0
Akola,2013,10812000.0,14834000.0,492829000.0,204393000.0,26449000.0,749327000.0,173341000.0,31494000.0,60457000.00000001,8577000.0,38970000.0,10230000.0,205544000.0,11353000.0,8206000.0,352000.0,,5326000.0,,18683000.0,572533000.0,79236000.0,77240000.00000001,416057000.0000001
Akola,2014,18146000.0,5896000.0,581290000.0,117038000.0,31020000.0,753390000.0,97287000.0,4440000.0,196907000.0,22412000.0,106000000.0,21401000.0,216084000.0,38830000.0,3915000.0,12000.0,177648000.0,9077000.0,,19558000.0,913570999.9999999,185789000.0,223234000.0,504548000.0000001
Akola,2015,,,,,,,,,,,,,,,,,,,,,,,,
Akola,2016,25300000.0,17696000.0,555470000.0,103785000.0,84828000.0,787079000.0,195516000.0,51591000.0,340093000.0,30409000.0,133541000.0,511000.0000000001,60887000.0,22946000.0,9259000.0,2632000.0,,29606000.0,,72499000.0,949490000.0,229497000.0,379761000.0,340232000.0
Akola,2017,39534000.0,46706000.0,583123000.0,87598000.0,52104000.0,809065000.0,195516000.0,51591000.0,340093000.0,30409000.0,133541000.0,511000.0000000001,60887000.0,22946000.0,9259000.0,2632000.0,,29606000.0,,72499000.0,949490000.0,229497000.0,379761000.0,340232000.0
Akola,2018,107827000.0,8191000.0,1061178000.0,39979000.0,53969000.00000001,1271144000.0,271468000.0,8204000.000000001,112970000.0,16767000.0,201786000.0,3242000.0,77754000.0,32913000.0,16434000.0,1807000.0,,4119000.0,,24343000.0,,262284000.0,146171000.0,363352000.0
Akola,2019,104117000.0,11785000.0,988061000.0,53633000.00000001,61304999.99999999,1218901000.0,293467000.0,9837000.0,117635000.0,17504000.0,233986000.0,3065000.0,102564000.0,36133000.0,18597000.0,1824000.0,,4657000.0,,33149000.0,1644225000.0,306333000.0,153736000.0,412349000.0
Akola,2020,107588000.0,13222000.0,990190000.0,58782000.00000001,61829999.99999999,1231612000.0,308080000.0,10045000.0,120559000.0,17640000.0,258062000.0,3130000.0,104480000.0,37514000.0,22272000.0,1930000.0,,4947000.0,,36450000.0,925109000.0,335156000.0,160471000.0,429482000.0000001
Akola,2021,55516999.99999999,29970000.0,869446999.9999999,130741000.0,146051000.0,1231726000.0,532195000.0,23839000.0,450149000.0,47383000.0,103414000.0,67485000.0,362654000.0,24366000.0,18478000.0,3608000.0,21148000.0,4545000.0,,48586000.0,1707850000.0,243851000.0,516009999.9999999,947989000.0000001
Amravati,2012,95024000.0,78478000.0,1026682000.0,82072000.0,100352000.0,1382608000.0,314741000.0,8410000.0,326209000.0,14715000.0,147286000.0,9705000.0,145519000.0,91530000.0,22892000.0,9594000.0,111899000.0,10557000.0,375000.0,58915000.0,1272347000.0,307436000.0,364191000.0000001,600719999.9999999
Amravati,2013,55966000.0,95590000.0,1182614000.0,73868000.0,120915000.0,1528953000.0,364936000.0,34903000.0,338333000.0,16125000.0,134364000.0,13248000.0,139774000.0,84515000.0,29979000.0,15257000.0,132978000.0,17205000.0,73000.0,62372000.0,1384062000.0,294499000.0,384510000.0,705053000.0
Amravati,2014,39251000.0,80484000.0,1035626000.0,244173000.0,168774000.0,1568308000.0,431018000.0,21434000.0,479983000.0,47368000.0,143372000.0,33608000.0,162770000.0,63754000.0,27262000.0,12623000.0,54713000.0,14529000.0,515000.0000000001,75204000.0,1568153000.0,315938000.0,555128000.0,697087000.0
Amravati,2015,74329000.0,68731000.0,1414585000.0,230954000.0,108383000.0,1896982000.0,470370000.0,13217000.0,511857000.0,36369000.0,182165000.0,15545000.0,323853000.0,86676000.0,29015000.0,25871000.0,38551000.0,11668000.0,108000.0,62804999.99999999,1808100000.0,347191000.0,577348999.9999999,883529999.9999999
Amravati,2016,44903000.0,103154000.0,2253325000.0,142392000.0,156499000.0,2700273000.0,483905000.0,27794000.0,709316000.0,29020000.0,177043000.0,13944000.0,312544000.0,79134000.0,47222000.0,9063000.0,137202000.0,11901000.0,105000.0,74568000.0,2112761000.0,344689000.0,785663000.0,982409000.0
Amravati,2017,60808000.00000001,38890000.0,1998150000.0,253351000.0,141403000.0,2492602000.0,536622000.0,24277000.0,781914000.0,26890000.0,181057000.0,5760000.0,186331000.0,83460000.0,26978000.0,7934000.0,180237000.0,9943000.0,86000.0,54962000.0,2106451000.0,325239000.0,835868000.0,945344000.0000002
Amravati,2018,34240000.0,74216900.0,2744130000.0,395837000.0,184898000.0,3433322000.0,536884000.0,4671000.0,550129000.0,26794900.0,333817000.0,89197000.0,574429000.0,127418000.0,3012000.0,42530700.0,110055000.0,2561000.0,108000.0,114938000.0,2516544000.0,665370000.0000001,580043899.9999999,1271130700.0
Amravati,2019,82356000.0,56725000.0,2688801000.0,333269000.0,168092000.0,3329243000.0,607629000.0,17559000.0,1038126000.0,26155000.0,368573000.0,75643000.0,578384000.0,126113000.0,18734000.0,43536000.0,33051000.0,12950000.0,1219000.0,86844000.0,3034516000.0,657173000.0,1084234000.0,1293109000.0
Amravati,2020,63529000.0,96030000.0,2547506000.0,207060000.0,173412000.0,3087538000.0,440881000.0000001,22640000.0,1104336000.0,81918000.0,372557000.0,10257000.0,36837000.0,346543000.0,53183000.00000001,46928000.0,409606000.0000001,39160000.0,4250000.0,118134000.0,3087230000.0,847491000.0,1243687000.0,996052000.0
Amravati,2021,493188000.0,93108000.0,2440723000.0,224924000.0,209766000.0,3461709000.0,485693999.9999999,55924000.0,1499372000.0,123578000.0,469835000.0000001,14472000.0,217151000.0,310831000.0,71407000.0,48253000.0,268655000.0,44778000.0,4781000.0,119573000.0,3734304000.0,914711000.0,1699138000.0,1120455000.0
