District,Year,Administration-Establishment,Administration-Others,Construction,Drainage and Sewage,Education,Expenditure on Weak Components,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Total Expenditure
Ahilyanagar,2012,1.54,0.21,7.76,9.17,,,3.17,0.01,0.02,,0.04,,,0.05,21.97
Ahilyanagar,2013,151.32,94.01,69.51,193.88,4.82,4.08,280.09,159.56,,389.42,22.89,191.96,,95.38,1656.92
Ahilyanagar,2014,215.34,94.29,96.38,210.36,7.54,5.69,664.98,178.27,,427.35,27.84,245.63,,117.35,2291.02
Ahilyanagar,2015,131.35,39.88,225.18,117.13,,1.59,376.98,195.53,91.9,54.24,620.24,70.5,,165.47,2089.99
Ahilyanagar,2016,268.77,76.48,1398.24,121.66,0.84,0.71,428.14,152.23,90.51,54.68,527.44,73.4,3.62,360.39,3557.12
Ahilyanagar,2017,551.32,824.37,403.81,155.64,3.17,31.87,1451.72,203.53,112.36,8.85,,18.68,,1371.8,5167.12
Ahilyanagar,2018,694.0,237.19,4350.31,187.95,0.17,1.65,7420.07,3727.01,153.93,5.98,,64.15,,4725.95,21568.36
Ahilyanagar,2019,989.28,192.39,2142.91,82.97,,88.19,1365.54,1321.2,339.02,37.66,1516.15,14.97,,372.84,8463.12
Ahilyanagar,2020,1176.79,100.4,4544.91,342.51,,17.78,1076.27,572.57,278.65,8.78,,16.71,,377.28,8512.65
Ahilyanagar,2021,1250.57,129.92,3251.84,386.7,,16.41,1588.28,814.45,329.01,2.44,377.08,297.02,,882.49,9326.21
Akola,2012,,,,,,,,,,,,,,,
Akola,2013,,,,,,,,,,,,,,,
Akola,2014,,,,,,,,,,,,,,,
Akola,2015,,,,,,,,,,,,,,,
Akola,2016,,,,,,,,,,,,,,,
Akola,2017,13.09,2.35,367.96,,,,50.59,3.51,2.13,,,,,0.65,440.28
Akola,2018,6.51,36.26,53.94,23.22,82.22,3.03,1.78,62.02,40.09,34.02,,136.04,0.57,31.02,
Akola,2019,6.69,31.02,54.66,22.26,83.02,2.65,2.16,63.14,38.1,33.09,,135.18,0.42,28.19,1011.3
Akola,2020,7.31,23.56,41.48,23.37,53.02,2.95,2.84,67.42,25.17,35.12,,120.18,0.69,30.21,433.32
Akola,2021,104.81,15.56,1446.5,1.08,103.1,7.87,25.38,152.51,97.67,12.19,4.99,160.1,0.49,6.14,2138.39
Amravati,2012,,,,,,,,,,,,,,,
Amravati,2013,,,,,,,,,,,,,,,
Amravati,2014,,,,,,,,,,,,,,,
Amravati,2015,,,,,,,,,,,,,,,
Amravati,2016,36.33,1.6,381.31,2.5,,0.05,446.98,52.28,1.14,1.67,,1.98,,14.71,940.55
Amravati,2017,51.78,29.98,863.75,0.4,,,159.64,40.03,5.13,1.04,69.45,35.54,,111.88,1368.62
Amravati,2018,211.5,26.29,757.14,31.33,1.79,2.2,169.09,357.06,15.05,51.87,42.82,0.5,,145.77,1812.39
Amravati,2019,298.62,24.88,1536.89,62.75,1.07,10.96,90.85,42.93,19.53,69.34,1.56,0.42,,88.8,2248.59
Amravati,2020,246.56,19.9,2202.05,52.88,,4.79,49.54,120.29,68.7,17.65,4.5,6.13,,120.6,2913.57
Amravati,2021,230.47,45.35,2649.18,279.2,,5.01,36.63,159.62,52.59,45.85,6.32,3.73,,101.69,3615.64
Chhatrapati Sambhaji Nagar,2012,,,,,,,,,,,,,,,
Chhatrapati Sambhaji Nagar,2013,,,,,,,,,,,,,,,
Chhatrapati Sambhaji Nagar,2014,,,,,,,,,,,,,,,
Chhatrapati Sambhaji Nagar,2015,,,,,,,,,,,,,,,
Chhatrapati Sambhaji Nagar,2016,,,,,,,,,,,,,,,
Chhatrapati Sambhaji Nagar,2017,47.05,106.99,314.22,19.34,,0.8,,,4.54,,,,,9.44,502.38
Chhatrapati Sambhaji Nagar,2018,67.99,1.65,825.14,25.95,,2.79,4.95,138.53,4.06,1.88,81.49,,,13.75,1168.18
Chhatrapati Sambhaji Nagar,2019,188.46,14.16,250.2,29.04,0.26,14.88,805.66,125.02,4.28,0.42,,1.48,,75.69,1509.55
Chhatrapati Sambhaji Nagar,2020,118.93,4.15,570.71,5.47,0.49,71.47,365.88,104.56,129.53,0.9,3.94,1.26,,111.49,1488.78
Chhatrapati Sambhaji Nagar,2021,148.07,19.38,510.74,19.37,0.49,36.62,94.15,63.24,99.6,124.79,6.57,22.46,1.22,142.72,1289.42
Beed,2014,99.6,,1386.9,45.0,,,210.33,39.25,75.75,59.85,,,,268.4,2185.08
Beed,2015,84.3,44.8,2119.0,30.0,,,192.4,108.3,28.1,0.5,,,,112.8,2720.2
Beed,2016,140.04,304.34,657.33,48.0,,,272.24,115.3,17.72,0.6,,,,125.12,1680.69
Beed,2017,1171.95,2.13,1878.95,136.46,,,339.23,19.12,44.51,2.26,,35.9,,100.84,3731.35
Beed,2018,405.25,287.61,2700.63,176.38,,115.96,405.99,38.78,157.77,,9.32,0.75,,243.21,4541.65
Beed,2019,425.19,351.97,2666.64,191.62,,115.57,464.31,121.01,184.77,,9.32,0.75,,266.36,4797.51
Beed,2020,412.23,125.1,3523.85,97.5,,9.67,969.23,293.5,185.56,,,0.36,,938.55,6555.55
Beed,2021,259.51,62.11,1837.5,117.4,,3.13,63.62,210.97,15.0,,1.02,2.3,,652.27,3224.83
Bhandara,2012,,,,,,,,,,,,,,,
Bhandara,2013,,,,,,,,,,,,,,,
Bhandara,2014,,,,,,,,,,,,,,,
Bhandara,2015,49.38,27.44,114.27,,,13.84,103.46,11.97,4.76,,,,0.43,24.43,349.98
Bhandara,2016,47.46,7.4,311.02,,,,260.88,83.91,8.7,,295.0,,,26.12,1040.49
Bhandara,2017,40.07,49.86,503.93,17.57,374.58,2.43,252.21,111.21,12.25,,,0.41,,76.58,1441.1
Bhandara,2018,226.15,0.6,909.31,17.4,,246.91,46.94,,,,88.3,,,120.2,1655.81
Bhandara,2019,192.89,84.59,2140.09,52.46,,7.32,198.43,24.7,65.11,,34.18,,,101.84,2901.61
Bhandara,2020,389.36,37.44,1122.55,220.27,,3.2,193.34,11.08,87.58,,,,,135.81,2200.63
Bhandara,2021,245.85,175.41,648.28,105.71,,5.08,172.98,14.44,53.77,74.8,39.91,4.17,2.51,35.97,1578.88
Buldhana,2013,,,,,,,,,,,,,,,
Buldhana,2014,,,,,,,,,,,,,,,
Buldhana,2015,,,,,,,,,,,,,,,
Buldhana,2016,,,,,,,,,,,,,,,
Buldhana,2017,,,,,,,,,,,,,,,
Buldhana,2018,25.0,22.0,425.0,70.0,,19.0,,16.0,8.0,12.0,100.0,,300.0,18.0,1015.0
Buldhana,2019,93.0,4.0,572.0,53.5,,16.0,22.0,30.7,27.0,2.0,,,,29.0,849.2
Buldhana,2020,99.83,10.2,423.99,60.88,,3.13,2.12,16.52,30.54,3.0,,,,13.2,663.41
Buldhana,2021,21.88,21.9,28.87,38.44,,,56.07,,0.21,,,,,1.15,168.52
Chandrapur,2012,,,,,,,,,,,,,,,
Chandrapur,2013,,,,,,,,,,,,,,,
Chandrapur,2014,,,,,,,,,,,,,,,
Chandrapur,2015,,,,,,,,,,,,,,,
Chandrapur,2016,57.1,26.59,34.24,0.25,,,144.31,43.18,9.76,,,3.06,,9.16,327.65
Chandrapur,2017,111.08,97.34,361.03,225.99,7.5,56.72,442.36,6.97,6.13,8.18,0.85,2.7,,24.26,1351.1
Chandrapur,2018,162.72,122.13,643.32,342.16,10.22,69.19,724.06,19.46,8.84,16.48,12.14,5.25,,42.0,2178.18
Chandrapur,2019,302.72,165.49,250.65,57.98,1.16,2.91,1498.76,57.37,19.12,16.21,616.14,1.57,15.58,110.86,3116.51
Chandrapur,2020,565.16,19.79,505.54,80.32,,9.31,885.71,90.37,191.56,8.41,0.75,1.91,0.3,170.47,2529.61
Chandrapur,2021,244.3,133.14,939.83,183.16,,53.14,1400.06,110.46,118.87,290.43,10.74,23.01,81.56,132.58,3721.28
Dhule,2012,,,,,,,,,,,,,,,
Dhule,2013,11.77,,,,,,8.24,5.66,0.76,,,,,19.63,46.07
Dhule,2014,11.4,,291.55,11.25,,,75.21,19.13,11.26,,,,,41.28,461.08
Dhule,2015,7.02,0.3,,11.3,,,7.02,,141.32,119.37,41.91,4.08,,,332.32
Dhule,2016,24.11,0.08,2.45,,,,73.58,3.01,21.57,0.11,,,,10.91,135.82
Dhule,2017,188.39,33.66,199.46,57.1,,0.15,953.72,72.75,59.66,15.51,24.77,,,523.15,2128.32
Dhule,2018,217.59,13.48,693.97,417.26,,,431.28,290.54,27.76,0.62,,0.66,,83.18,2176.34
Dhule,2019,182.08,18.83,692.87,662.33,,,628.31,238.43,40.31,2.1,2.8,8.21,,45.04,2521.31
Dhule,2020,269.71,18.86,921.85,12.22,,3.08,751.86,262.03,46.45,9.66,,0.19,,256.67,2552.58
Dhule,2021,278.28,13.98,679.02,266.76,,,719.52,248.89,34.02,0.78,,0.01,,81.8,2323.06
Gadchiroli,2012,,,,,,,,,,,,,,,
Gadchiroli,2013,,,,,,,,,,,,,,,
Gadchiroli,2014,,,,,,,,,,,,,,,
Gadchiroli,2015,44.95,4.9,15.67,8.49,,2.16,22.89,19.47,47.6,2.11,2.24,0.46,0.15,40.06,211.15
Gadchiroli,2016,93.69,19.83,445.07,6.02,0.34,4.67,55.93,81.33,44.65,0.37,3.06,1.02,,58.48,814.46
Gadchiroli,2017,82.28,707.16,496.22,186.1,3.04,2.15,1965.91,12.6,,,0.6,,,144.97,3601.03
Gadchiroli,2018,142.32,140.12,988.05,375.9,6.62,775.88,1470.44,75.94,,,,,,66.42,4041.69
Gadchiroli,2019,445.2,70.36,1796.28,137.29,,2.25,122.54,161.31,49.3,30.44,,3.78,60.0,25.13,2903.88
Gadchiroli,2020,482.44,65.37,2994.27,238.13,0.86,6.81,463.08,52.62,105.01,3.7,17.56,4.4,,107.61,4541.86
