District,Year,Receipts and Loans,"From Commercial Activities
",Government Grants,Other Sources,Rents and Taxes,Revenue,Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Components,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Ahilyanagar,2012,3.37,2.97,18.14,0.9,3.34,28.72,1.54,0.21,7.76,9.17,,,3.17,0.01,0.02,,0.04,,,0.05,21.97,0.06,16.95,4.96
Ahilyanagar,2013,106.46,123.39,727.28,815.69,118.38,1891.2,151.32,94.01,69.51,193.88,4.82,4.08,280.09,159.56,,389.42,22.89,191.96,,95.38,1656.92,263.84,263.39,1129.69
Ahilyanagar,2014,165.5,115.49,942.41,474.57,319.87,2017.84,215.34,94.29,96.38,210.36,7.54,5.69,664.98,178.27,,427.35,27.84,245.63,,117.35,2291.02,308.85,306.74,1675.43
Ahilyanagar,2015,356.56,166.94,2570.61,185.3,423.45,3702.86,131.35,39.88,225.18,117.13,,1.59,376.98,195.53,91.9,54.24,620.24,70.5,,165.47,2089.99,362.59,434.21,1293.19
Ahilyanagar,2016,954.49,174.34,1581.96,488.95,828.28,4028.02,268.77,76.48,1398.24,121.66,0.84,0.71,428.14,152.23,90.51,54.68,527.44,73.4,3.62,360.39,3557.12,514.17,1614.03,1428.91
Ahilyanagar,2017,301.6,553.09,5284.13,0.27,1129.11,7268.2,551.32,824.37,403.81,155.64,3.17,31.87,1451.72,203.53,112.36,8.85,,18.68,,1371.8,5167.12,1610.37,671.8100000000001,2854.94
Ahilyanagar,2018,1335.47,341.72,19429.6,840.22,887.54,22834.55,694.0,237.19,4350.31,187.95,0.17,1.65,7420.07,3727.01,153.93,5.98,,64.15,,4725.95,21568.36,8454.78,4692.190000000001,8421.39
Ahilyanagar,2019,446.99,307.97,6703.33,345.59,1549.3,9353.18,989.28,192.39,2142.91,82.97,,88.19,1365.54,1321.2,339.02,37.66,1516.15,14.97,,372.84,8463.12,1782.23,2564.9,4115.99
Ahilyanagar,2020,792.89,66.97,4691.57,672.32,1054.04,7277.78,1176.79,100.4,4544.91,342.51,,17.78,1076.27,572.57,278.65,8.78,,16.71,,377.28,8512.65,967.63,5166.07,2378.95
Ahilyanagar,2021,894.29,115.35,4246.65,592.66,1003.93,6852.88,1250.57,129.92,3251.84,386.7,,16.41,1588.28,814.45,329.01,2.44,377.08,297.02,,882.49,9326.21,1713.35,3967.55,3645.309999999999
Akola,2012,,,,,,,,,,,,,,,,,,,,,,,,
Akola,2013,,,,,,,,,,,,,,,,,,,,,,,,
Akola,2014,,,,,,,,,,,,,,,,,,,,,,,,
