District,Year,Receipts and Loans,"From Commercial Activities
",Government Subsidies,Other Sources,Rents and Taxes,Revenue,Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Components,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Ahilyanagar,2012,337000.0,297000.0,1814000.0,90000.0,334000.0,2872000.0,154000.0,21000.0,776000.0,917000.0,,,317000.0,1000.0,2000.0,,4000.0,,,5000.0,2197000.0,6000.000000000001,1695000.0,496000.0
Ahilyanagar,2013,10646000.0,12339000.0,72728000.0,81569000.0,11838000.0,189120000.0,15132000.0,9401000.0,6951000.000000001,19388000.0,482000.0,408000.0,28009000.0,15956000.0,,38942000.0,2289000.0,19196000.0,,9538000.0,165692000.0,26384000.0,26339000.0,112969000.0
Ahilyanagar,2014,16550000.0,11549000.0,94241000.0,47457000.0,31987000.0,201784000.0,21534000.0,9429000.0,9638000.0,21036000.0,754000.0,569000.0,66498000.0,17827000.0,,42735000.0,2784000.0,24563000.0,,11735000.0,229102000.0,30885000.0,30674000.0,167543000.0
Ahilyanagar,2015,35656000.0,16694000.0,257061000.0,18530000.0,42345000.0,370286000.0,13135000.0,3988000.0,22518000.0,11713000.0,,159000.0,37698000.0,19553000.0,9190000.0,5424000.0,62024000.0,7050000.0,,16547000.0,208999000.0,36259000.0,43421000.0,129319000.0
Ahilyanagar,2016,95449000.0,17434000.0,158196000.0,48895000.0,82828000.0,402802000.0,26877000.0,7648000.0,139824000.0,12166000.0,84000.0,71000.0,42814000.0,15223000.0,9051000.0,5468000.0,52744000.00000001,7340000.000000001,362000.0,36039000.0,355712000.0,51416999.99999999,161403000.0,142891000.0
Ahilyanagar,2017,30160000.0,55309000.0,528413000.0,27000.0,112911000.0,726820000.0,55132000.00000001,82437000.0,40381000.0,15564000.0,317000.0,3187000.0,145172000.0,20353000.0,11236000.0,885000.0,,1868000.0,,137180000.0,516712000.0,161037000.0,67181000.0,285494000.0
Ahilyanagar,2018,133547000.0,34172000.0,1942960000.0,84022000.0,88754000.0,2283455000.0,69400000.0,23719000.0,435031000.0000001,18795000.0,17000.0,165000.0,742007000.0,372701000.0,15393000.0,598000.0,,6415000.000000001,,472595000.0,2156836000.0,845478000.0000001,469219000.0000001,842139000.0
Ahilyanagar,2019,44699000.0,30797000.0,670333000.0,34559000.0,154930000.0,935318000.0,98928000.0,19239000.0,214291000.0,8297000.0,,8819000.0,136554000.0,132120000.0,33902000.0,3766000.0,151615000.0,1497000.0,,37284000.0,846312000.0000001,178223000.0,256490000.0,411599000.0
Ahilyanagar,2020,79289000.0,6697000.0,469157000.0,67232000.0,105404000.0,727778000.0,117679000.0,10040000.0,454491000.0,34251000.0,,1778000.0,107627000.0,57257000.00000001,27865000.0,877999.9999999999,,1671000.0,,37728000.0,851265000.0,96763000.0,516607000.0,237895000.0
Ahilyanagar,2021,89429000.0,11535000.0,424664999.9999999,59266000.0,100393000.0,685288000.0,125057000.0,12992000.0,325184000.0,38670000.0,,1641000.0,158828000.0,81445000.0,32901000.0,244000.0,37708000.0,29702000.0,,88249000.0,932620999.9999999,171335000.0,396755000.0,364530999.9999999
Akola,2017,3417000.0,1714000.0,66815000.0,568000.0,42000.0,72556000.0,1309000.0,235000.0,36796000.0,,,,5059000.0,351000.0,213000.0,,,,,65000.0,44028000.0,416000.0,37009000.0,6603000.0
Akola,2018,1445000.0,,25353000.0,51000.0,2357000.0,29206000.0,651000.0,3626000.0,5394000.0,2322000.0,8222000.0,303000.0,178000.0,6202000.0,4009000.0,3402000.0,,13604000.0,56999.99999999999,3102000.0,,17829000.0,11782000.0,21461000.0
Akola,2019,1965000.0,,25720000.0,126000.0,2598000.0,30409000.0,669000.0,3102000.0,5466000.0,2226000.0,8302000.0,265000.0,216000.0,6314000.0,3810000.0,3309000.0,,13518000.0,42000.0,2819000.0,101130000.0,17700000.0,11544000.0,20814000.0
Akola,2020,2145000.0,,29468000.0,194000.0,2756000.0,34563000.0,731000.0,2356000.0,4148000.0,2337000.0,5302000.0,295000.0,284000.0,6742000.0,2517000.0,3512000.0,,12018000.0,69000.0,3021000.0,43332000.0,15360000.0,9071000.0,18901000.0
Akola,2021,5370000.0,2135000.0,21947000.0,45320000.0,1663000.0,76435000.0,10481000.0,1556000.0,144650000.0,108000.0,10310000.0,787000.0,2538000.0,15251000.0,9767000.0,1219000.0,499000.0,16010000.0,49000.0,614000.0,213839000.0,26962000.0,154574000.0,32303000.0
Amravati,2016,5118000.0,3717000.0,945610000.0,1736000.0,10584000.0,966765000.0,3633000.0,160000.0,38131000.0,250000.0,,5000.0,44698000.0,5228000.0,114000.0,167000.0,,198000.0,,1471000.0,94055000.0,6703999.999999999,38495000.0,48856000.0
Amravati,2017,832000.0,1520000.0,326120000.0,3948000.0,8317000.0,340737000.0,5178000.0,2998000.0,86375000.0,40000.0,,,15964000.0,4003000.0,513000.0,104000.0,6945000.0,3554000.0,,11188000.0,136862000.0,15191000.0,86928000.0,34742999.99999999
Amravati,2018,699000.0,5817000.0,297068000.0,25709000.0,9402000.0,338695000.0,21150000.0,2629000.0,75714000.0,3133000.0,179000.0,220000.0,16909000.0,35706000.0,1505000.0,5187000.0,4282000.0,50000.0,,14577000.0,181239000.0,50682000.00000001,80352000.0,50206999.99999999
Amravati,2019,2107000.0,8814000.0,312536000.0,16129000.0,6684000.0,346270000.0,29862000.0,2488000.0,153689000.0,6275000.0,107000.0,1096000.0,9085000.0,4293000.0,1953000.0,6934000.0,156000.0,42000.0,,8880000.0,224859000.0,14376000.0,161917000.0,48567000.00000001
Amravati,2020,7286000.0,2399000.0,177098000.0,22578000.0,8715000.0,218076000.0,24656000.0,1990000.0,220205000.0,5288000.0,,479000.0,4954000.0,12029000.0,6870000.0,1765000.0,450000.0,613000.0,,12060000.0,291357000.0,24568000.0,232363000.0,34428000.0
Amravati,2021,6618000.000000001,3887000.0,317134000.0,28302000.0,10074000.0,366015000.0,23047000.0,4535000.0,264918000.0,27920000.0,,501000.0,3663000.0,15962000.0,5259000.0,4585000.0,632000.0,373000.0,,10169000.0,361564000.0,26632000.0,298097000.0,36835000.0
Chh. Sambhaji Nagar,2017,,,62911000.0,556000.0,5405000.0,68872000.0,4705000.0,10699000.0,31422000.0,1934000.0,,80000.0,,,454000.0,,,,,944000.0,50238000.0,1024000.0,33810000.0,15404000.0
Chh. Sambhaji Nagar,2018,3212000.0,,128522000.0,1444000.0,4386000.0,137564000.0,6798999.999999999,165000.0,82514000.0,2595000.0,,279000.0,495000.0,13853000.0,405999.9999999999,188000.0,8148999.999999999,,,1375000.0,116818000.0,15507000.0,85515000.0,15796000.0
Chh. Sambhaji Nagar,2019,207600000.0,9569000.0,202952000.0,3821000.0,4265000.0,428207000.0,18846000.0,1416000.0,25020000.0,2904000.0,26000.0,1488000.0,80566000.0,12502000.0,428000.0,42000.0,,148000.0,,7569000.0,150955000.0,21585000.0,28352000.0,101018000.0
Chh. Sambhaji Nagar,2020,,,62054000.0,12834000.0,7293000.000000001,82181000.0,11893000.0,415000.0000000001,57071000.0,547000.0,49000.0,7147000.0,36588000.0,10456000.0,12953000.0,90000.0,394000.0,126000.0,,11149000.0,148878000.0,28801000.0,70571000.0,49506000.0
Chh. Sambhaji Nagar,2021,12225000.0,468000.0,75157000.0,9962000.0,8439000.0,106251000.0,14807000.0,1938000.0,51074000.0,1937000.0,49000.0,3662000.0,9415000.0,6324000.0,9960000.0,12479000.0,657000.0,2246000.0,122000.0,14272000.0,128942000.0,24307000.0,63093000.00000001,41541999.99999999
