District,Year,Value Added Tax (VAT),Stamp and Registration fee,State Excise Duty,Electricity Charges,Entertainment Tax,Vehicles Tax,Tax on goods and cargo,Land Tax,Other Revenue,Total Tax Revenue
Ahilyanagar,2012,463.0,9846,56909.0,737.0,28896.0,4791.0,151,2118.0,389064,492975.0
Ahilyanagar,2013,486.0,10338,59754.0,774.0,30341.0,5031.0,159,2224.0,408517,517624.0
Ahilyanagar,2014,511.0,381,912.0,84.0,1785.0,9549.0,89,3640.0,21839,38790.0
Ahilyanagar,2015,2660.0,398,374.0,24.0,1338.0,5229.0,38,1544.0,935582,947187.0
Ahilyanagar,2016,2115.0,363,4.0,61.0,666.0,6470.0,1624,1124.0,19000,31427.0
Ahilyanagar,2017,1913.0,309,1.0,3.0,544.0,9690.0,15,191.0,84388,97054.0
Ahilyanagar,2018,1119.0,270,5.0,0.4,860.0,3016.0,0.2,30.0,46630,51930.6
Ahilyanagar,2019,174.0,272,,0.02,570.0,922.0,24.4,9.84,34577,36549.26
Ahilyanagar,2020,69.73,203.39,2.88,,703.08,3.33,,64.63,9757.39,10804.43
Ahilyanagar,2021,1.7,255,0.14,,617.0,,,8.32,3768,4650.16
Akola,2012,698.0,4766,1249.0,114.0,586.0,3498.0,0.26,764.0,,11675.26
Akola,2013,829.0,5044,501.0,15.0,540.0,3695.0,2,1482.0,2094,14202.0
Akola,2014,849.0,1568,31.0,21.0,824.0,3437.0,,2481.0,1689,10900.0
Akola,2015,1422.0,418,8.0,15.0,328.0,3530.0,0.49,2943.0,1526,10190.49
Akola,2016,918.0,381,8.0,19.0,381.0,4239.0,0.18,1770.0,1137,8853.18
Akola,2017,1291.63,285.37,1.61,27.5,4.93,2525.67,4.73,5.31,1389.02,5535.77
Akola,2018,15.52,136.63,0.01,24.24,,2278.33,4.4,3.94,3027.55,5490.62
Akola,2019,4.31,94.52,0.03,18.04,,582.38,,429.61,605.68,1734.57
Akola,2020,0.17,69.4,,1.01,,2.92,,168.86,227.72,470.08
Akola,2021,61.44,66.76,,,,2.78,,3.82,19401.94,19536.74
Amravati,2012,,7570,264.0,198.0,619.0,3296.0,112,1728.0,,13787.0
Amravati,2013,,7052,789.0,187.0,971.0,3225.0,88,1540.0,,13852.0
Amravati,2014,,2570,6.0,2.0,1080.0,3100.0,98,3034.0,,9890.0
Amravati,2015,1618.0,1117,5.0,2.0,754.0,3094.0,94,2157.0,,8841.0
Amravati,2016,1512.0,995,1.0,3.0,710.0,2919.0,161,1708.0,,8009.0
Amravati,2017,1159.0,863,,1.0,988.0,3567.0,122,706.0,,7406.0
Amravati,2018,233.0,302,,,715.0,3623.0,121,533.0,,5527.0
Amravati,2019,17.0,205,,,733.0,907.0,69,1584.0,,3515.0
Amravati,2020,1.89,199,,,765.0,138.0,,612.0,,1715.89
Amravati,2021,0.07,153,0.86,,911.0,22.0,0.03,7.3,,1094.26
Beed,2013,1262.58,641.72,551.89,44.5,286.47,4024.48,,771.84,,7583.48
Beed,2014,1160.36,723.42,822.87,8.09,276.89,4315.73,,774.75,,8082.11
Beed,2015,943.69,362.1,656.8,1.64,213.55,2606.16,,615.16,,5399.1
Beed,2016,884.32,240.22,290.94,2.51,84.02,2798.33,,1042.19,,5342.53
Beed,2017,540.13,26.53,93.44,,85.19,3133.59,0.21,89.91,9439.07,13408.07
Beed,2018,200.92,234.72,0.37,,86.26,4845.14,,186.03,164.57,5718.01
Beed,2019,,121.98,1.4,,7.02,1882.19,,661.2,,2673.79
Beed,2020,,125.64,0.35,,8.62,549.24,,220.97,,904.82
Beed,2021,,118.44,0.37,,17.07,,,12.37,,148.25
Bhandara,2012,275.0,2125,197.0,148.0,158.0,1274.0,,678.0,,4855.0
Bhandara,2013,38.0,2299,303.0,11.0,156.0,1187.0,5,322.0,,4321.0
Bhandara,2014,20.0,1883,302.0,13.0,226.0,930.0,1,512.0,,3887.0
Bhandara,2015,510.0,198,218.0,18.0,179.0,706.0,3,708.0,283,2823.0
Bhandara,2016,50.9,4165.9,232.0,2025.2,11589.6,68953.4,922.1,35686.2,586.2,124211.5
Bhandara,2017,468.67,5265.08,127.0,236.9,328.56,134.77,2.97,347.04,1921.56,8832.55
Bhandara,2018,0.13,320.14,,122.15,1878.32,6575.7,,1358.83,45.32,10300.59
Bhandara,2019,0.14,330.25,,125.45,1953.25,7256.33,,1427.52,57.46,11150.4
Bhandara,2020,0.09,282.67,219.2,2.01,1397.14,,,694.65,,2595.76
Bhandara,2021,,22.84,0.02,,1.76,,,4.1,7.24,35.96
Buldhana,2013,660.0,6234,514.0,4.96,378.0,2588.0,,1590.0,202,12170.96
Buldhana,2014,1654.0,2723,577.0,0.58,567.0,2685.0,0.2,2232.0,843,12017.74
Buldhana,2015,1343.0,1303,123.0,0.87,143.0,1383.0,0.39,468.0,2253,7556.26
Buldhana,2016,1623.63,1059,2.24,1.49,5.02,1522.59,1.3,342.97,2154.93,6733.54
Buldhana,2017,1262.84,747.72,0.55,1.53,1.05,2621.16,4.45,273.62,4337.97,9269.42
Buldhana,2018,334.41,457.02,1.17,,18.32,2922.28,,817.02,610.7,5160.92
Buldhana,2019,186.44,70.2,3.04,,0.13,1216.46,,402.78,722.43,2601.48
Buldhana,2020,1.0,63.55,1.51,,293.03,3.33,,668.75,4142.37,5173.54
Buldhana,2021,5.44,51.1,0.98,,0.34,,,1711.69,1049.91,2819.46
Chandrapur,2012,1716.1,3279.3,516.5,206.7,716.7,4283.6,67.8,1660.6,,14500.9
Chandrapur,2013,1969.1,2957.3,645.7,65.3,808.4,3966.0,250.7,1605.5,,13668.5
Chandrapur,2014,7182.4,2057.6,8269.9,6312.5,2103.2,4512.8,2540.8,1660.0,,36328.2
Chandrapur,2015,638.0,600,0.1,64.0,496.2,3774.0,109,1234.1,,7950.4
Chandrapur,2016,827.33,312,,155.24,738.09,4036.03,691.1,113.24,,7890.03
