District,Year,Value Added Tax (VAT),Stamp and Registration fee,State Excise Duty,Electricity Charges,Entertainment Tax,Vehicles Tax,Tax on goods and cargo,Land Tax,Other Revenue,Total Tax Revenue
Ahilyanagar,2012,46300000.0,984600000.0,5690900000.0,73700000.0,2889600000.0,479100000.0,15100000.0,211800000.0,38906400000.0,49297500000.0
Ahilyanagar,2013,48600000.0,1033800000.0,5975400000.0,77400000.0,3034100000.0,503100000.0,15900000.0,222400000.0,40851700000.0,51762400000.0
Ahilyanagar,2014,51100000.0,38100000.0,91200000.0,8400000.0,178500000.0,954900000.0,8900000.0,364000000.0,2183900000.0,3879000000.0
Ahilyanagar,2015,266000000.0,39800000.0,37400000.0,2400000.0,133800000.0,522900000.0,3800000.0,154400000.0,93558200000.0,94718700000.0
Ahilyanagar,2016,211500000.0,36300000.0,400000.0,6100000.0,66600000.0,647000000.0,162400000.0,112400000.0,1900000000.0,3142700000.0
Ahilyanagar,2017,191300000.0,30900000.0,100000.0,300000.0,54400000.0,969000000.0,1500000.0,19100000.0,8438800000.0,9705400000.0
Ahilyanagar,2018,111900000.0,27000000.0,500000.0,40000.0,86000000.0,301600000.0,20000.0,3000000.0,4663000000.0,5193060000.0
Ahilyanagar,2019,17400000.0,27200000.0,,2000.0,57000000.0,92200000.0,2440000.0,984000.0,3457700000.0,3654926000.0
Ahilyanagar,2020,6973000.0,20339000.0,288000.0,,70308000.0,333000.0,,6463000.0,975739000.0,1080443000.0
Ahilyanagar,2021,170000.0,25500000.0,14000.0,,61700000.0,,,832000.0,376800000.0,465016000.0
Akola,2012,69800000.0,476600000.0,124900000.0,11400000.0,58600000.0,349800000.0,26000.0,76400000.0,,1167526000.0
Akola,2013,82900000.0,504400000.0,50100000.0,1500000.0,54000000.0,369500000.0,200000.0,148200000.0,209400000.0,1420200000.0
Akola,2014,84900000.0,156800000.0,3100000.0,2100000.0,82400000.0,343700000.0,,248100000.0,168900000.0,1090000000.0
Akola,2015,142200000.0,41800000.0,800000.0,1500000.0,32800000.0,353000000.0,49000.0,294300000.0,152600000.0,1019049000.0
Akola,2016,91800000.0,38100000.0,800000.0,1900000.0,38100000.0,423900000.0,18000.0,177000000.0,113700000.0,885318000.0
Akola,2017,129163000.0,28537000.0,161000.0,2750000.0,493000.0,252567000.0,473000.0000000001,531000.0,138902000.0,553577000.0
Akola,2018,1552000.0,13663000.0,1000.0,2424000.0,,227833000.0,440000.0000000001,394000.0,302755000.0,549062000.0
Akola,2019,430999.9999999999,9452000.0,3000.0,1804000.0,,58238000.0,,42961000.0,60567999.99999999,173457000.0
Akola,2020,17000.0,6940000.000000001,,101000.0,,292000.0,,16886000.0,22772000.0,47008000.0
Akola,2021,6144000.0,6676000.000000001,,,,278000.0,,382000.0,1940194000.0,1953674000.0
Amravati,2012,,757000000.0,26400000.0,19800000.0,61900000.0,329600000.0,11200000.0,172800000.0,,1378700000.0
Amravati,2013,,705200000.0,78900000.0,18700000.0,97100000.0,322500000.0,8800000.0,154000000.0,,1385200000.0
Amravati,2014,,257000000.0,600000.0,200000.0,108000000.0,310000000.0,9800000.0,303400000.0,,989000000.0
Amravati,2015,161800000.0,111700000.0,500000.0,200000.0,75400000.0,309400000.0,9400000.0,215700000.0,,884100000.0
Amravati,2016,151200000.0,99500000.0,100000.0,300000.0,71000000.0,291900000.0,16100000.0,170800000.0,,800900000.0
Amravati,2017,115900000.0,86300000.0,,100000.0,98800000.0,356700000.0,12200000.0,70600000.0,,740600000.0
Amravati,2018,23300000.0,30200000.0,,,71500000.0,362300000.0,12100000.0,53300000.0,,552700000.0
Amravati,2019,1700000.0,20500000.0,,,73300000.0,90700000.0,6900000.0,158400000.0,,351500000.0
Amravati,2020,189000.0,19900000.0,,,76500000.0,13800000.0,,61200000.0,,171589000.0
Amravati,2021,7000.000000000001,15300000.0,86000.0,,91100000.0,2200000.0,3000.0,730000.0,,109426000.0
Beed,2013,126258000.0,64172000.0,55189000.0,4450000.0,28647000.0,402448000.0,,77184000.0,,758348000.0
Beed,2014,116036000.0,72342000.0,82287000.0,809000.0,27689000.0,431572999.9999999,,77475000.0,,808211000.0
Beed,2015,94369000.0,36210000.0,65679999.99999999,164000.0,21355000.0,260616000.0,,61516000.0,,539910000.0
Beed,2016,88432000.0,24022000.0,29094000.0,251000.0,8402000.0,279833000.0,,104219000.0,,534253000.0
Beed,2017,54013000.0,2653000.0,9344000.0,,8519000.0,313359000.0,21000.0,8991000.0,943907000.0,1340807000.0
Beed,2018,20092000.0,23472000.0,37000.0,,8626000.0,484514000.0000001,,18603000.0,16457000.0,571801000.0
Beed,2019,,12198000.0,140000.0,,702000.0,188219000.0,,66120000.00000001,,267379000.0
Beed,2020,,12564000.0,35000.0,,861999.9999999999,54924000.0,,22097000.0,,90482000.0
Beed,2021,,11844000.0,37000.0,,1707000.0,,,1237000.0,,14825000.0
Bhandara,2012,27500000.0,212500000.0,19700000.0,14800000.0,15800000.0,127400000.0,,67800000.0,,485500000.0
Bhandara,2013,3800000.0,229900000.0,30300000.0,1100000.0,15600000.0,118700000.0,500000.0,32200000.0,,432100000.0
Bhandara,2014,2000000.0,188300000.0,30200000.0,1300000.0,22600000.0,93000000.0,100000.0,51200000.0,,388700000.0
Bhandara,2015,51000000.0,19800000.0,21800000.0,1800000.0,17900000.0,70600000.0,300000.0,70800000.0,28300000.0,282300000.0
Bhandara,2016,5090000.0,416589999.9999999,23200000.0,202520000.0,1158960000.0,6895339999.999999,92210000.0,3568620000.0,58620000.00000001,12421150000.0
Bhandara,2017,46867000.0,526508000.0,12700000.0,23690000.0,32856000.0,13477000.0,297000.0,34704000.0,192156000.0,883254999.9999999
Bhandara,2018,13000.0,32014000.0,,12215000.0,187832000.0,657570000.0,,135883000.0,4532000.0,1030059000.0
Bhandara,2019,14000.0,33025000.0,,12545000.0,195325000.0,725633000.0,,142752000.0,5746000.0,1115040000.0
Bhandara,2020,9000.0,28267000.0,21920000.0,201000.0,139714000.0,,,69465000.0,,259576000.0
Bhandara,2021,,2284000.0,2000.0,,176000.0,,,409999.9999999999,724000.0,3596000.0
Buldhana,2013,66000000.0,623400000.0,51400000.0,496000.0,37800000.0,258800000.0,,159000000.0,20200000.0,1217096000.0
Buldhana,2014,165400000.0,272300000.0,57700000.0,57999.99999999999,56700000.0,268500000.0,20000.0,223200000.0,84300000.0,1201774000.0
Buldhana,2015,134300000.0,130300000.0,12300000.0,87000.0,14300000.0,138300000.0,39000.0,46800000.0,225300000.0,755626000.0
Buldhana,2016,162363000.0,105900000.0,224000.0,149000.0,501999.9999999999,152259000.0,130000.0,34297000.0,215493000.0,673354000.0
Buldhana,2017,126284000.0,74772000.0,55000.00000000001,153000.0,105000.0,262116000.0,445000.0,27362000.0,433797000.0,926942000.0
Buldhana,2018,33441000.0,45702000.0,117000.0,,1832000.0,292228000.0,,81702000.0,61070000.00000001,516092000.0
Buldhana,2019,18644000.0,7020000.0,304000.0,,13000.0,121646000.0,,40278000.0,72243000.0,260148000.0
Buldhana,2020,100000.0,6355000.0,151000.0,,29303000.0,333000.0,,66875000.0,414237000.0,517354000.0
Buldhana,2021,544000.0,5110000.0,98000.0,,34000.0,,,171169000.0,104991000.0,281946000.0
Chandrapur,2012,171610000.0,327930000.0,51650000.0,20670000.0,71670000.0,428360000.0000001,6780000.0,166060000.0,,1450090000.0
Chandrapur,2013,196910000.0,295730000.0,64570000.00000001,6530000.0,80840000.0,396600000.0,25070000.0,160550000.0,,1366850000.0
Chandrapur,2014,718240000.0,205760000.0,826990000.0,631250000.0,210320000.0,451280000.0,254080000.0,166000000.0,,3632820000.0
Chandrapur,2015,63800000.0,60000000.0,10000.0,6400000.0,49620000.0,377400000.0,10900000.0,123410000.0,,795040000.0
Chandrapur,2016,82733000.0,31200000.0,,15524000.0,73809000.0,403603000.0,69110000.0,11324000.0,,789003000.0
Chandrapur,2017,11766000.0,1913000.0,,11855000.0,66566000.0,485772000.0,7950000.0,77000.0,,598513000.0
Chandrapur,2018,,5691000.0,,7670999.999999999,88171000.0,502864000.0000001,,10576000.0,,614973000.0
Chandrapur,2019,,5029000.0,,610000.0,60066000.0,219965000.0,,21211000.0,,306881000.0
Chandrapur,2020,,5570000.0,,,83572000.0,2000.0,,1074000.0,,90218000.0
Chandrapur,2021,,6085000.0,5400.0,,92015000.0,,,29000.0,,98134000.0
Dhule,2012,14742000.0,363906000.0,32688000.0,,42258000.0,555588000.0,,161162000.0,,1170344000.0
Dhule,2013,14141000.0,346707000.0,50047000.0,,57634000.0,635396000.0,,174323000.0,,1278248000.0
