Year,District,Crops,Livestock,Forestry and Logging,Fishing and aquaculture,Agriculture & Allied Activities,Mining & Quarrying,Primary Sector,Manufacturing,"Electricity, Gas, Water Supply  & Other Utility
Services",Construction,Secondary Sector,Industry,"Trade, Repair, Hotels &
Restaurants",Railways,"Transport by means other than
Railways",Storage,"Comm. and services related to
Broad.",Financial Services,"R. Estate, O. Dwellings & Professional
Services","Public Administration
Defence",Other Services,Services/ Tertiary Sector,GDVA,Taxes on products,"Less subsidies on
products",GDDP,Population ('000),Per capita District Domestic Product
2011,Ahilyanagar,6405,3563,584,16,10568,204,10772,6938,756,2271,9965,10169,2978,169,1176,26,448,3323,5382,1102,1879,16482,37219,5271,850,41640,4565,91207
2012,Ahilyanagar,5349,3686,584,9,9629,473,10102,7380,781,2149,10310,10783,3239,172,1272,26,462,3532,5738,1104,2013,17557,37969,5569,1025,42513,4604,92346
2013,Ahilyanagar,6868,4343,561,17,11788,109,11897,8125,748,2233,11106,11214,3195,178,1320,28,522,4007,6400,1132,2215,18997,42000,6092,1060,47032,4642,101328
2014,Ahilyanagar,6593,4746,564,18,11921,198,12120,8515,855,2403,11773,11972,3290,201,1453,29,574,4307,7193,1157,2469,20672,44565,6461,1033,49993,4679,106840
2015,Ahilyanagar,5139,4927,566,10,10641,253,10894,9430,895,2447,12773,13025,3303,215,1621,29,680,4567,7856,1215,2704,22192,45858,6666,830,51695,4717,109599
2016,Ahilyanagar,5834,5245,602,11,11693,95,11787,10096,925,2586,13607,13702,3718,246,1765,29,660,4830,8612,1308,3014,24182,49577,7193,731,56039,4751,117954
2017,Ahilyanagar,7629,5540,599,14,13781,24,13805,10924,1024,2637,14585,14608,4021,281,1917,31,623,4961,9083,1393,3264,25574,53964,7984,707,61240,4783,128044
2018,Ahilyanagar,6799,6105,625,15,13545,26,13571,11520,1103,2677,15300,15326,4352,277,2066,32,646,5192,9869,1440,3530,27404,56275,8645,741,64179,4814,133307
2019,Ahilyanagar,6156,6379,621,22,13178,309,13487,11234,1149,2681,15064,15373,4556,285,2188,33,720,5328,10593,1680,3859,29243,57794,8789,802,65780,4846,135749
2011,Akola,1838,238,145,15,2236,85,2321,2809,306,920,4035,4120,1206,68,476,11,181,1345,2179,446,761,6674,13030,1846,298,14578,1825,79873
2012,Akola,2269,249,142,15,2675,97,2772,3018,319,879,4216,4313,1324,70,520,11,189,1445,2346,451,823,7180,14168,2077,382,15863,1845,86000
2013,Akola,2307,285,134,24,2750,168,2918,3257,300,895,4452,4620,1281,71,529,11,209,1606,2566,454,888,7615,14985,2174,378,16781,1864,90033
2014,Akola,1421,287,139,12,1859,62,1922,3453,347,974,4775,4837,1334,81,589,12,233,1747,2917,469,1001,8384,15080,2189,350,16919,1883,89841
2015,Akola,1494,291,141,9,1935,91,2026,3822,363,992,5177,5268,1339,87,657,12,276,1851,3184,492,1096,8995,16198,2357,293,18262,1902,95991
