Year,District,Crops,Livestock,Forestry and Logging,Fishing and aquaculture,Agriculture & Allied Activities,Mining & Quarrying,Primary Sector,Manufacturing,"Electricity, Gas, Water Supply  & Other Utility
Services",Construction,Secondary Sector,Industry,"Trade, Repair, and Hospitality",Railways,Transport (Other than Railways),Storage,Communication and Broadcast Services,Financial Services,"Real Estate, Other Dwellings, and Professional Services",Public Administration and Defence,Other Services,Services/ Tertiary Sector,GDVA,Taxes on products,"Less subsidies on
products",GDDP,Population ('000),Per capita District Domestic Product
2011,Ahilyanagar,64050000000,35630000000,5840000000,160000000,105680000000,2040000000,107720000000,69380000000,7560000000,22710000000,99650000000,101690000000,29780000000,1690000000,11760000000,260000000,4480000000,33230000000,53820000000,11020000000,18790000000,164820000000,372190000000,52710000000,8500000000,416400000000,4565,91207
2012,Ahilyanagar,53490000000,36860000000,5840000000,90000000,96290000000,4730000000,101020000000,73800000000,7810000000,21490000000,103100000000,107830000000,32390000000,1720000000,12720000000,260000000,4620000000,35320000000,57380000000,11040000000,20130000000,175570000000,379690000000,55690000000,10250000000,425130000000,4604,92346
2013,Ahilyanagar,68680000000,43430000000,5610000000,170000000,117880000000,1090000000,118970000000,81250000000,7480000000,22330000000,111060000000,112140000000,31950000000,1780000000,13200000000,280000000,5220000000,40070000000,64000000000,11320000000,22150000000,189970000000,420000000000,60920000000,10600000000,470320000000,4642,101328
2014,Ahilyanagar,65930000000,47460000000,5640000000,180000000,119210000000,1980000000,121200000000,85150000000,8550000000,24030000000,117730000000,119720000000,32900000000,2010000000,14530000000,290000000,5740000000,43070000000,71930000000,11570000000,24690000000,206720000000,445650000000,64610000000,10330000000,499930000000,4679,106840
2015,Ahilyanagar,51390000000,49270000000,5660000000,100000000,106410000000,2530000000,108940000000,94300000000,8950000000,24470000000,127730000000,130250000000,33030000000,2150000000,16210000000,290000000,6800000000,45670000000,78560000000,12150000000,27040000000,221920000000,458580000000,66660000000,8300000000,516950000000,4717,109599
2016,Ahilyanagar,58340000000,52450000000,6020000000,110000000,116930000000,950000000,117870000000,100960000000,9250000000,25860000000,136070000000,137020000000,37180000000,2460000000,17650000000,290000000,6600000000,48300000000,86120000000,13080000000,30140000000,241820000000,495770000000,71930000000,7310000000,560390000000,4751,117954
2017,Ahilyanagar,76290000000,55400000000,5990000000,140000000,137810000000,240000000,138050000000,109240000000,10240000000,26370000000,145850000000,146080000000,40210000000,2810000000,19170000000,310000000,6230000000,49610000000,90830000000,13930000000,32640000000,255740000000,539640000000,79840000000,7070000000,612400000000,4783,128044
2018,Ahilyanagar,67990000000,61050000000,6250000000,150000000,135450000000,260000000,135710000000,115200000000,11030000000,26770000000,153000000000,153260000000,43520000000,2770000000,20660000000,320000000,6460000000,51920000000,98690000000,14400000000,35300000000,274040000000,562750000000,86450000000,7410000000,641790000000,4814,133307
2019,Ahilyanagar,61560000000,63790000000,6210000000,220000000,131780000000,3090000000,134870000000,112340000000,11490000000,26810000000,150640000000,153730000000,45560000000,2850000000,21880000000,330000000,7200000000,53280000000,105930000000,16800000000,38590000000,292430000000,577940000000,87890000000,8020000000,657800000000,4846,135749
2011,Akola,18380000000,2380000000,1450000000,150000000,22360000000,850000000,23210000000,28090000000,3060000000,9200000000,40350000000,41200000000,12060000000,680000000,4760000000,110000000,1810000000,13450000000,21790000000,4460000000,7610000000,66740000000,130300000000,18460000000,2980000000,145780000000,1825,79873
2012,Akola,22690000000,2490000000,1420000000,150000000,26750000000,970000000,27720000000,30180000000,3190000000,8790000000,42160000000,43130000000,13240000000,700000000,5200000000,110000000,1890000000,14450000000,23460000000,4510000000,8230000000,71800000000,141680000000,20770000000,3820000000,158630000000,1845,86000
2013,Akola,23070000000,2850000000,1340000000,240000000,27500000000,1680000000,29180000000,32570000000,3000000000,8950000000,44520000000,46200000000,12810000000,710000000,5290000000,110000000,2090000000,16060000000,25660000000,4540000000,8880000000,76150000000,149850000000,21740000000,3780000000,167810000000,1864,90033
2014,Akola,14210000000,2870000000,1390000000,120000000,18590000000,620000000,19220000000,34530000000,3470000000,9740000000,47750000000,48370000000,13340000000,810000000,5890000000,120000000,2330000000,17470000000,29170000000,4690000000,10010000000,83840000000,150800000000,21890000000,3500000000,169190000000,1883,89841
2015,Akola,14940000000,2910000000,1410000000,90000000,19350000000,910000000,20260000000,38220000000,3630000000,9920000000,51770000000,52680000000,13390000000,870000000,6570000000,120000000,2760000000,18510000000,31840000000,4920000000,10960000000,89950000000,161980000000,23570000000,2930000000,182620000000,1902,95991
2016,Akola,25340000000,2800000000,1690000000,140000000,29960000000,3170000000,33130000000,40060000000,3670000000,10260000000,53990000000,57160000000,14750000000,970000000,7000000000,120000000,2620000000,19160000000,34170000000,5190000000,11960000000,95950000000,183070000000,26630000000,2710000000,206990000000,1921,107778
