Year,District,Crops,Livestock,Forestry and Logging,Fishing and aquaculture,Agriculture & Allied Activities,Minign & Quarrying,Primary Sector,Manufacturing,"Electricity, Gas, Water Supply  & Other Utility
Services",Construction,Secondary Sector,Industry,"Trade, Repair, Hotels &
Restaurants",Railways,"Transport by means other than
Railways",Storage,"Comm. and services related to
Broad.",Financial Services,"R. Estate, O. Dwellings & Professional
Services","Public Admini- stration &
Defence",Other Services,Services/ Tertiary Sector,NDVA,Taxes on products,"Less subsidies on
products",NDDP,Popula- tion ('000),"Per capita District Domestic
Product  (  )"
2011,Ahilyanagar,6042,3513,578,14,10147,179,10326,5841,509,2170,8521,8700,2770,145,1011,22,364,3276,3985,786,1650,14009,32856,5376,867,37365,4565,81842
2012,Ahilyanagar,5023,3632,578,8,9242,418,9661,6163,518,2037,8718,9136,3002,148,1094,23,374,3475,4219,783,1780,14897,33276,5668,1043,37901,4604,82327
2013,Ahilyanagar,6486,4278,555,15,11334,93,11427,6955,398,2081,9433,9527,2930,150,1115,23,377,3943,4656,797,1963,15954,36815,6225,1083,41956,4642,90392
2014,Ahilyanagar,6130,4675,559,15,11380,170,11550,7295,527,2249,10072,10242,2997,168,1241,24,432,4231,5201,818,2205,17317,38938,6598,1055,44481,4679,95060
2015,Ahilyanagar,4736,4855,562,9,10161,241,10402,8223,562,2301,11086,11326,2998,179,1416,24,528,4494,5747,871,2441,18699,40186,6778,844,46121,4717,97782
2016,Ahilyanagar,5453,5173,596,9,11232,91,11324,8960,599,2419,11977,12069,3377,205,1548,24,491,4750,6325,944,2723,20387,43688,7309,743,50254,4751,105777
2017,Ahilyanagar,7080,5468,593,12,13153,23,13176,9722,632,2450,12804,12827,3612,236,1657,26,421,4880,6703,1028,2925,21487,47467,8127,720,54874,4783,114733
2018,Ahilyanagar,6264,6033,619,13,12929,25,12954,10255,697,2466,13418,13443,3903,227,1769,26,413,5096,7344,1059,3163,22999,49372,8795,754,57413,4814,119254
2019,Ahilyanagar,5671,6303,615,19,12609,301,12910,9982,725,2466,13173,13474,4078,233,1871,27,459,5221,7868,1233,3452,24442,50525,8936,816,58645,4846,121024
2011,Akola,1734,234,144,13,2125,75,2200,2365,206,879,3450,3525,1122,59,409,9,147,1326,1614,318,668,5673,11323,1853,299,12877,1825,70551
2012,Akola,2131,245,140,13,2530,86,2616,2521,212,833,3566,3652,1228,61,447,9,153,1422,1726,320,728,6094,12276,2090,385,13982,1845,75801
2013,Akola,2179,281,132,21,2613,145,2758,2788,159,834,3781,3926,1174,60,447,9,151,1580,1866,319,787,6394,12933,2187,381,14740,1864,79081
2014,Akola,1321,283,137,11,1752,54,1806,2959,214,912,4084,4138,1216,68,503,10,175,1716,2109,332,894,7023,12913,2191,350,14754,1883,78345
2015,Akola,1377,287,140,8,1812,87,1898,3333,228,933,4494,4580,1215,72,574,10,214,1822,2330,353,989,7580,13972,2359,294,16037,1902,84299
2016,Akola,2369,276,167,12,2823,307,3130,3546,237,957,4741,5048,1337,81,613,10,194,1880,2504,374,1078,8070,15941,2674,272,18343,1921,95509
2017,Akola,1766,362,170,14,2312,209,2521,3877,252,977,5106,5316,1440,94,661,10,168,1946,2673,410,1166,8569,16196,2780,246,18730,1938,96661
2018,Akola,2384,283,166,15,2849,142,2991,4116,280,990,5385,5527,1566,91,710,11,166,2045,2947,425,1269,9231,17607,3141,269,20479,1955,104759
2019,Akola,2369,288,151,15,2823,86,2909,4058,295,1002,5355,5441,1658,95,761,11,187,2123,3199,501,1404,9937,18202,3222,294,21129,1972,107150
2011,Amravati,2532,389,441,26,3387,51,3439,3376,294,1254,4924,4975,1601,84,584,13,210,1893,2303,454,953,8096,16458,2693,434,18717,2906,64415
2012,Amravati,3411,424,432,24,4290,64,4355,3606,303,1192,5101,5166,1757,87,640,13,219,2033,2469,458,1042,8717,18173,3088,568,20693,2935,70498
