Year,District,Crops,Livestock,Forestry and Logging,Fishing and aquaculture,Agriculture & Allied Activities,Mining & Quarrying,Primary Sector,Manufacturing,"Electricity, Gas, Water Supply  & Other Utility
Services",Construction,Secondary Sector,Industry,"Trade, Repair, and Hospitality",Railways,Transport (Other than Railways),Storage,Communication and Broadcast Services,Financial Services,"Real Estate, Other Dwellings, and Professional Services",Public Administration and Defence,Other Services,Services/ Tertiary Sector,NDVA,Taxes on products,"Less subsidies on
products",NDDP,Population ('000),Per capita District Domestic Product
2011,Ahilyanagar,60420000000,35130000000,5780000000,140000000,101470000000,1790000000,103260000000,58410000000,5090000000,21700000000,85210000000,87000000000,27700000000,1450000000,10110000000,220000000,3640000000,32760000000,39850000000,7860000000,16500000000,140090000000,328560000000,53760000000,8670000000,373650000000,4565,81842
2012,Ahilyanagar,50230000000,36320000000,5780000000,80000000,92420000000,4180000000,96610000000,61630000000,5180000000,20370000000,87180000000,91360000000,30020000000,1480000000,10940000000,230000000,3740000000,34750000000,42190000000,7830000000,17800000000,148970000000,332760000000,56680000000,10430000000,379010000000,4604,82327
2013,Ahilyanagar,64860000000,42780000000,5550000000,150000000,113340000000,930000000,114270000000,69550000000,3980000000,20810000000,94330000000,95270000000,29300000000,1500000000,11150000000,230000000,3770000000,39430000000,46560000000,7970000000,19630000000,159540000000,368150000000,62250000000,10830000000,419560000000,4642,90392
2014,Ahilyanagar,61300000000,46750000000,5590000000,150000000,113800000000,1700000000,115500000000,72950000000,5270000000,22490000000,100720000000,102420000000,29970000000,1680000000,12410000000,240000000,4320000000,42310000000,52010000000,8180000000,22050000000,173170000000,389380000000,65980000000,10550000000,444810000000,4679,95060
2015,Ahilyanagar,47360000000,48550000000,5620000000,90000000,101610000000,2410000000,104020000000,82230000000,5620000000,23010000000,110860000000,113260000000,29980000000,1790000000,14160000000,240000000,5280000000,44940000000,57470000000,8710000000,24410000000,186990000000,401860000000,67780000000,8440000000,461210000000,4717,97782
2016,Ahilyanagar,54530000000,51730000000,5960000000,90000000,112320000000,910000000,113240000000,89600000000,5990000000,24190000000,119770000000,120690000000,33770000000,2050000000,15480000000,240000000,4910000000,47500000000,63250000000,9440000000,27230000000,203870000000,436880000000,73090000000,7430000000,502540000000,4751,105777
2017,Ahilyanagar,70800000000,54680000000,5930000000,120000000,131530000000,230000000,131760000000,97220000000,6320000000,24500000000,128040000000,128270000000,36120000000,2360000000,16570000000,260000000,4210000000,48800000000,67030000000,10280000000,29250000000,214870000000,474670000000,81270000000,7200000000,548740000000,4783,114733
2018,Ahilyanagar,62640000000,60330000000,6190000000,130000000,129290000000,250000000,129540000000,102550000000,6970000000,24660000000,134180000000,134430000000,39030000000,2270000000,17690000000,260000000,4130000000,50960000000,73440000000,10590000000,31630000000,229990000000,493720000000,87950000000,7540000000,574130000000,4814,119254
2019,Ahilyanagar,56710000000,63030000000,6150000000,190000000,126090000000,3010000000,129100000000,99820000000,7250000000,24660000000,131730000000,134740000000,40780000000,2330000000,18710000000,270000000,4590000000,52210000000,78680000000,12330000000,34520000000,244420000000,505250000000,89360000000,8160000000,586450000000,4846,121024
2011,Akola,17340000000,2340000000,1440000000,130000000,21250000000,750000000,22000000000,23650000000,2060000000,8790000000,34500000000,35250000000,11220000000,590000000,4090000000,90000000,1470000000,13260000000,16140000000,3180000000,6680000000,56730000000,113230000000,18530000000,2990000000,128770000000,1825,70551
