Year,District,Taluka,Select Banks/ Bank Branches,Number
2012,Ahilyanagar,Akole,Classified Banks,5.0
2012,Ahilyanagar,Akole,Branch Offices,33.0
2012,Ahilyanagar,Sangamner,Classified Banks,21.0
2012,Ahilyanagar,Sangamner,Branch Offices,72.0
2012,Ahilyanagar,Kopargaon,Classified Banks,13.0
2012,Ahilyanagar,Kopargaon,Branch Offices,40.0
2012,Ahilyanagar,Rahata,Classified Banks,19.0
2012,Ahilyanagar,Rahata,Branch Offices,47.0
2012,Ahilyanagar,Srirampur,Classified Banks,14.0
2012,Ahilyanagar,Srirampur,Branch Offices,35.0
2012,Ahilyanagar,Nevasa,Classified Banks,7.0
2012,Ahilyanagar,Nevasa,Branch Offices,43.0
2012,Ahilyanagar,Shevgaon,Classified Banks,4.0
2012,Ahilyanagar,Shevgaon,Branch Offices,29.0
2012,Ahilyanagar,Pathardi,Classified Banks,9.0
2012,Ahilyanagar,Pathardi,Branch Offices,28.0
2012,Ahilyanagar,Nagar,Classified Banks,28.0
2012,Ahilyanagar,Nagar,Branch Offices,97.0
2012,Ahilyanagar,Rahuri,Classified Banks,9.0
2012,Ahilyanagar,Rahuri,Branch Offices,41.0
2012,Ahilyanagar,Parner,Classified Banks,4.0
2012,Ahilyanagar,Parner,Branch Offices,39.0
2012,Ahilyanagar,Srigonda,Classified Banks,9.0
2012,Ahilyanagar,Srigonda,Branch Offices,37.0
2012,Ahilyanagar,Karjat,Classified Banks,7.0
2012,Ahilyanagar,Karjat,Branch Offices,27.0
2012,Ahilyanagar,Jamkhed,Classified Banks,6.0
2012,Ahilyanagar,Jamkhed,Branch Offices,16.0
2013,Ahilyanagar,Akole,Classified Banks,5.0
2013,Ahilyanagar,Akole,Branch Offices,34.0
2013,Ahilyanagar,Sangamner,Classified Banks,22.0
2013,Ahilyanagar,Sangamner,Branch Offices,74.0
2013,Ahilyanagar,Kopargaon,Classified Banks,13.0
2013,Ahilyanagar,Kopargaon,Branch Offices,40.0
2013,Ahilyanagar,Rahata,Classified Banks,19.0
2013,Ahilyanagar,Rahata,Branch Offices,48.0
2013,Ahilyanagar,Srirampur,Classified Banks,16.0
2013,Ahilyanagar,Srirampur,Branch Offices,36.0
2013,Ahilyanagar,Nevasa,Classified Banks,7.0
2013,Ahilyanagar,Nevasa,Branch Offices,44.0
2013,Ahilyanagar,Shevgaon,Classified Banks,4.0
2013,Ahilyanagar,Shevgaon,Branch Offices,29.0
2013,Ahilyanagar,Pathardi,Classified Banks,9.0
2013,Ahilyanagar,Pathardi,Branch Offices,30.0
2013,Ahilyanagar,Nagar,Classified Banks,29.0
2013,Ahilyanagar,Nagar,Branch Offices,98.0
2013,Ahilyanagar,Rahuri,Classified Banks,9.0
2013,Ahilyanagar,Rahuri,Branch Offices,42.0
2013,Ahilyanagar,Parner,Classified Banks,4.0
2013,Ahilyanagar,Parner,Branch Offices,39.0
2013,Ahilyanagar,Srigonda,Classified Banks,10.0
2013,Ahilyanagar,Srigonda,Branch Offices,38.0
2013,Ahilyanagar,Karjat,Classified Banks,7.0
2013,Ahilyanagar,Karjat,Branch Offices,27.0
2013,Ahilyanagar,Jamkhed,Classified Banks,7.0
2013,Ahilyanagar,Jamkhed,Branch Offices,17.0
2014,Ahilyanagar,Akole,Classified Banks,6.0
2014,Ahilyanagar,Akole,Branch Offices,34.0
2014,Ahilyanagar,Sangamner,Classified Banks,22.0
2014,Ahilyanagar,Sangamner,Branch Offices,77.0
2014,Ahilyanagar,Kopargaon,Classified Banks,15.0
2014,Ahilyanagar,Kopargaon,Branch Offices,41.0
2014,Ahilyanagar,Rahata,Classified Banks,22.0
2014,Ahilyanagar,Rahata,Branch Offices,55.0
2014,Ahilyanagar,Srirampur,Classified Banks,16.0
2014,Ahilyanagar,Srirampur,Branch Offices,39.0
2014,Ahilyanagar,Nevasa,Classified Banks,8.0
2014,Ahilyanagar,Nevasa,Branch Offices,46.0
2014,Ahilyanagar,Shevgaon,Classified Banks,6.0
2014,Ahilyanagar,Shevgaon,Branch Offices,28.0
2014,Ahilyanagar,Pathardi,Classified Banks,9.0
2014,Ahilyanagar,Pathardi,Branch Offices,27.0
2014,Ahilyanagar,Nagar,Classified Banks,29.0
2014,Ahilyanagar,Nagar,Branch Offices,116.0
2014,Ahilyanagar,Rahuri,Classified Banks,11.0
2014,Ahilyanagar,Rahuri,Branch Offices,45.0
2014,Ahilyanagar,Parner,Classified Banks,8.0
2014,Ahilyanagar,Parner,Branch Offices,45.0
2014,Ahilyanagar,Srigonda,Classified Banks,13.0
2014,Ahilyanagar,Srigonda,Branch Offices,45.0
2014,Ahilyanagar,Karjat,Classified Banks,7.0
2014,Ahilyanagar,Karjat,Branch Offices,27.0
2014,Ahilyanagar,Jamkhed,Classified Banks,7.0
2014,Ahilyanagar,Jamkhed,Branch Offices,21.0
2015,Ahilyanagar,Akole,Classified Banks,6.0
2015,Ahilyanagar,Akole,Branch Offices,35.0
2015,Ahilyanagar,Sangamner,Classified Banks,22.0
2015,Ahilyanagar,Sangamner,Branch Offices,73.0
2015,Ahilyanagar,Kopargaon,Classified Banks,13.0
2015,Ahilyanagar,Kopargaon,Branch Offices,40.0
2015,Ahilyanagar,Rahata,Classified Banks,25.0
2015,Ahilyanagar,Rahata,Branch Offices,54.0
2015,Ahilyanagar,Srirampur,Classified Banks,16.0
2015,Ahilyanagar,Srirampur,Branch Offices,35.0
2015,Ahilyanagar,Nevasa,Classified Banks,9.0
2015,Ahilyanagar,Nevasa,Branch Offices,34.0
2015,Ahilyanagar,Shevgaon,Classified Banks,6.0
2015,Ahilyanagar,Shevgaon,Branch Offices,26.0
2015,Ahilyanagar,Pathardi,Classified Banks,9.0
2015,Ahilyanagar,Pathardi,Branch Offices,26.0
2015,Ahilyanagar,Nagar,Classified Banks,31.0
2015,Ahilyanagar,Nagar,Branch Offices,110.0
2015,Ahilyanagar,Rahuri,Classified Banks,11.0
2015,Ahilyanagar,Rahuri,Branch Offices,43.0
2015,Ahilyanagar,Parner,Classified Banks,8.0
2015,Ahilyanagar,Parner,Branch Offices,45.0
2015,Ahilyanagar,Srigonda,Classified Banks,13.0
2015,Ahilyanagar,Srigonda,Branch Offices,42.0
2015,Ahilyanagar,Karjat,Classified Banks,7.0
2015,Ahilyanagar,Karjat,Branch Offices,27.0
2015,Ahilyanagar,Jamkhed,Classified Banks,7.0
2015,Ahilyanagar,Jamkhed,Branch Offices,20.0
2016,Ahilyanagar,Akole,Classified Banks,6.0
2016,Ahilyanagar,Akole,Branch Offices,35.0
2016,Ahilyanagar,Sangamner,Classified Banks,22.0
2016,Ahilyanagar,Sangamner,Branch Offices,73.0
2016,Ahilyanagar,Kopargaon,Classified Banks,13.0
2016,Ahilyanagar,Kopargaon,Branch Offices,40.0
2016,Ahilyanagar,Rahata,Classified Banks,25.0
2016,Ahilyanagar,Rahata,Branch Offices,54.0
2016,Ahilyanagar,Srirampur,Classified Banks,16.0
2016,Ahilyanagar,Srirampur,Branch Offices,35.0
2016,Ahilyanagar,Nevasa,Classified Banks,9.0
2016,Ahilyanagar,Nevasa,Branch Offices,34.0
2016,Ahilyanagar,Shevgaon,Classified Banks,6.0
2016,Ahilyanagar,Shevgaon,Branch Offices,26.0
