Year,District,Fatal Accidents,Grievous Accidents,Minor Accidents,Accidents with No Injury
2018,Ahilyanagar,799,523,188,94
2018,Akola,146,70,210,73
2018,Amravati,284,188,384,241
2018,Chh. Sambhaji Nagar,507,517,132,124
2018,Beed,313,244,56,28
2018,Bhandara,137,113,124,39
2018,Buldhana,277,124,181,66
2018,Chandrapur,263,153,151,62
2018,Dhule,281,259,218,203
2018,Gadchiroli,138,70,42,12
2018,Gondia,152,88,35,15
2018,Hingoli,116,125,50,22
2018,Jalgaon,381,270,157,44
2018,Jalna,191,141,33,35
2018,Kolhapur,363,472,62,22
2018,Latur,233,281,90,29
2018,Mumbai,721,2358,724,93
2018,Nagpur,538,676,708,191
2018,Nanded,240,295,92,84
2018,Nandurbar,162,110,132,95
2018,Nashik,973,740,226,240
2018,Dharashiv,291,274,62,69
2018,Palghar,471,349,296,244
2018,Parbhani,114,145,33,28
2018,Pune,1332,1403,489,471
2018,Raigad,244,298,210,346
2018,Ratnagiri,127,210,217,195
2018,Sangli,323,391,40,43
2018,Satara,174,169,78,65
2018,Sindhudurg,85,61,74,40
2018,Solapur,593,461,164,70
2018,Thane,504,766,424,194
2018,Wardha,198,105,186,40
2018,Washim,128,52,87,23
2018,Yavatmal,299,147,230,725
2020,Ahilyanagar,352,192,194,36
2020,Akola,110,82,136,48
2020,Amravati,402,242,203,81
2020,Chh. Sambhaji Nagar,428,518,178,69
2020,Beed,206,158,38,34
2020,Bhandara,333,251,40,32
2020,Buldhana,275,116,111,27
2020,Chandrapur,395,243,99,76
2020,Dhule,165,94,110,62
2020,Gadchiroli,136,78,73,21
2020,Gondia,224,124,155,62
2020,Hingoli,241,209,49,16
2020,Jalgaon,611,489,74,51
2020,Jalna,246,178,30,7
2020,Kolhapur,112,103,29,20
2020,Latur,252,192,40,65
2020,Mumbai,345,496,151,43
2020,Nagpur,326,233,67,22
2020,Nanded,301,204,31,19
2020,Nandurbar,430,219,83,23
2020,Nashik,512,427,91,12
2020,Dharashiv,65,89,4,13
2020,Palghar,46,54,33,14
2020,Parbhani,249,234,92,54
2020,Pune,485,353,37,64
2020,Raigad,746,427,66,0
2020,Ratnagiri,130,86,0,0
2020,Sangli,307,360,45,41
2020,Satara,655,459,78,38
2020,Sindhudurg,184,173,90,149
2020,Solapur,597,1338,351,114
2020,Thane,365,469,447,180
2020,Wardha,130,48,23,17
2020,Washim,110,52,64,18
2020,Yavatmal,302,104,120,144
