Year,District,Age,Male,Female
2018,Ahmednagar,19-25 Y,90,24
2018,Ahmednagar,26-35 Y,169,25
2018,Ahmednagar,36-45 Y,177,22
2018,Ahmednagar,46-60 Y,186,13
2018,Ahmednagar,0-18 Y,20,9
2018,Ahmednagar,60 Y or more,66,18
2018,Ahmednagar,Unknown,31,5
2018,Akola,19-25 Y,29,2
2018,Akola,26-35 Y,50,4
2018,Akola,36-45 Y,50,5
2018,Akola,46-60 Y,20,1
2018,Akola,0-18 Y,0,0
2018,Akola,60 Y or more,0,0
2018,Akola,Unknown,0,0
2018,Amravati,19-25 Y,64,3
2018,Amravati,26-35 Y,76,4
2018,Amravati,36-45 Y,84,7
2018,Amravati,46-60 Y,61,4
2018,Amravati,0-18 Y,0,0
2018,Amravati,60 Y or more,0,0
2018,Amravati,Unknown,0,0
2018,Aurangabad,19-25 Y,149,8
2018,Aurangabad,26-35 Y,127,13
2018,Aurangabad,36-45 Y,118,11
2018,Aurangabad,46-60 Y,69,12
2018,Aurangabad,0-18 Y,2,2
2018,Aurangabad,60 Y or more,28,0
2018,Aurangabad,Unknown,5,0
2018,Beed,19-25 Y,71,6
2018,Beed,26-35 Y,59,12
2018,Beed,36-45 Y,75,3
2018,Beed,46-60 Y,55,6
2018,Beed,0-18 Y,21,6
2018,Beed,60 Y or more,20,4
2018,Beed,Unknown,0,0
2018,Bhandara,19-25 Y,22,3
2018,Bhandara,26-35 Y,23,6
2018,Bhandara,36-45 Y,38,5
2018,Bhandara,46-60 Y,33,6
2018,Bhandara,0-18 Y,0,0
2018,Bhandara,60 Y or more,8,0
2018,Bhandara,Unknown,7,0
2018,Buldhana,19-25 Y,81,9
2018,Buldhana,26-35 Y,82,11
2018,Buldhana,36-45 Y,60,3
2018,Buldhana,46-60 Y,33,7
2018,Buldhana,0-18 Y,5,0
2018,Buldhana,60 Y or more,2,4
2018,Buldhana,Unknown,7,0
2018,Chandrapur,19-25 Y,53,7
2018,Chandrapur,26-35 Y,69,10
2018,Chandrapur,36-45 Y,66,10
2018,Chandrapur,46-60 Y,36,11
2018,Chandrapur,0-18 Y,5,1
2018,Chandrapur,60 Y or more,6,0
2018,Chandrapur,Unknown,22,1
2018,Dhule,19-25 Y,28,5
2018,Dhule,26-35 Y,89,10
2018,Dhule,36-45 Y,79,7
2018,Dhule,46-60 Y,61,6
2018,Dhule,0-18 Y,9,5
2018,Dhule,60 Y or more,11,4
2018,Dhule,Unknown,0,0
2018,Gadchiroli,19-25 Y,17,9
2018,Gadchiroli,26-35 Y,38,8
2018,Gadchiroli,36-45 Y,30,7
2018,Gadchiroli,46-60 Y,19,3
2018,Gadchiroli,0-18 Y,2,0
2018,Gadchiroli,60 Y or more,6,7
2018,Gadchiroli,Unknown,9,1
2018,Gondia,19-25 Y,44,8
2018,Gondia,26-35 Y,29,7
