Year,District,Select Violation,Number of Cases,Fine Collected
2018,Ahmednagar,Dangerous Driving,457.0,110200.0
2018,Ahmednagar,Overtaking,53.0,12000.0
2018,Ahmednagar,Overspeeding,379.0,158300.0
2018,Ahmednagar,Drunken Driving,808.0,1457200.0
2018,Ahmednagar,Parking Offence,5267.0,1019200.0
2018,Ahmednagar,Overload,486.0,117700.0
2018,Ahmednagar,Without Brake Lights,645.0,117800.0
2018,Ahmednagar,Without Seatbelt,15668.0,3006000.0
2018,Ahmednagar,Without Helmet,4290.0,12572000.0
2018,Ahmednagar,Improper Number Plate,3210.0,646400.0
2018,Ahmednagar,Tinted Glass,652.0,116000.0
2018,Ahmednagar,Wrong Side Driving,4162.0,811900.0
2018,Ahmednagar,Use of Mobile while Driving,2201.0,447100.0
2018,Ahmednagar,Signal Jumping,0.0,0.0
2018,Ahmednagar,Honking,0.0,0.0
2018,Ahmednagar,Jaywalking,0.0,0.0
2018,Ahmednagar,Other Cases,52293.0,14473100.0
2018,Ahmednagar,Illicit Cases,2332.0,3371300.0
2018,Ahmednagar,Carrying Passengers in Goods Vehicles,,
2018,Ahmednagar,Without License,,
2018,Ahmednagar,Excess Passengers,,
2018,Ahmednagar,Carrying Goods in Closed Body Vehicles,,
2018,Ahmednagar,Dangerous Goods,,
2018,Ahmednagar,Violation of Permit,,
2018,Ahmednagar,Trespassing,,
2018,Ahmednagar,Clandestine Operations,,
2018,Ahmednagar,Without Insurance,,
2018,Akola,Dangerous Driving,0.0,0.0
2018,Akola,Overtaking,0.0,0.0
2018,Akola,Overspeeding,1.0,1000.0
2018,Akola,Drunken Driving,46.0,400.0
2018,Akola,Parking Offence,12439.0,2484800.0
2018,Akola,Overload,86.0,15100.0
2018,Akola,Without Brake Lights,35.0,32400.0
2018,Akola,Without Seatbelt,3613.0,725300.0
2018,Akola,Without Helmet,29.0,10700.0
2018,Akola,Improper Number Plate,21.0,5100.0
2018,Akola,Tinted Glass,205.0,95000.0
2018,Akola,Wrong Side Driving,0.0,0.0
2018,Akola,Use of Mobile while Driving,2346.0,468800.0
2018,Akola,Signal Jumping,702.0,140400.0
2018,Akola,Honking,0.0,0.0
2018,Akola,Jaywalking,0.0,0.0
2018,Akola,Other Cases,62104.0,15022250.0
2018,Akola,Illicit Cases,4000.0,3300550.0
2018,Akola,Carrying Passengers in Goods Vehicles,,
2018,Akola,Without License,,
2018,Akola,Excess Passengers,,
2018,Akola,Carrying Goods in Closed Body Vehicles,,
2018,Akola,Dangerous Goods,,
2018,Akola,Violation of Permit,,
2018,Akola,Trespassing,,
2018,Akola,Clandestine Operations,,
2018,Akola,Without Insurance,,
2018,Amravati,Dangerous Driving,558.0,211500.0
2018,Amravati,Overtaking,18.0,3600.0
2018,Amravati,Overspeeding,50.0,45900.0
2018,Amravati,Drunken Driving,469.0,46100.0
2018,Amravati,Parking Offence,14448.0,2892800.0
2018,Amravati,Overload,875.0,164800.0
2018,Amravati,Without Brake Lights,5.0,1000.0
2018,Amravati,Without Seatbelt,2978.0,594400.0
2018,Amravati,Without Helmet,135.0,66300.0
2018,Amravati,Improper Number Plate,392.0,135400.0
2018,Amravati,Tinted Glass,84.0,16800.0
2018,Amravati,Wrong Side Driving,1359.0,266600.0
2018,Amravati,Use of Mobile while Driving,2749.0,511400.0
2018,Amravati,Signal Jumping,449.0,82200.0
2018,Amravati,Honking,23.0,5800.0
2018,Amravati,Jaywalking,0.0,0.0
2018,Amravati,Other Cases,70210.0,16432550.0
2018,Amravati,Illicit Cases,1595.0,2094900.0
2018,Amravati,Carrying Passengers in Goods Vehicles,,
2018,Amravati,Without License,,
2018,Amravati,Excess Passengers,,
2018,Amravati,Carrying Goods in Closed Body Vehicles,,
2018,Amravati,Dangerous Goods,,
2018,Amravati,Violation of Permit,,
2018,Amravati,Trespassing,,
2018,Amravati,Clandestine Operations,,
2018,Amravati,Without Insurance,,
2018,Aurangabad,Dangerous Driving,449.0,555600.0
2018,Aurangabad,Overtaking,0.0,0.0
2018,Aurangabad,Overspeeding,120.0,96400.0
2018,Aurangabad,Drunken Driving,1294.0,2717100.0
2018,Aurangabad,Parking Offence,16242.0,3460600.0
2018,Aurangabad,Overload,37.0,834520.0
2018,Aurangabad,Without Brake Lights,34.0,7400.0
2018,Aurangabad,Without Seatbelt,17883.0,3652000.0
2018,Aurangabad,Without Helmet,10489.0,5274200.0
2018,Aurangabad,Improper Number Plate,1302.0,302500.0
2018,Aurangabad,Tinted Glass,979.0,197000.0
2018,Aurangabad,Wrong Side Driving,30915.0,6899300.0
2018,Aurangabad,Use of Mobile while Driving,2177.0,472000.0
2018,Aurangabad,Signal Jumping,4.0,800.0
2018,Aurangabad,Honking,2.0,1000.0
2018,Aurangabad,Jaywalking,0.0,0.0
2018,Aurangabad,Other Cases,47279.0,13037650.0
2018,Aurangabad,Illicit Cases,1689.0,3079000.0
2018,Aurangabad,Carrying Passengers in Goods Vehicles,,
2018,Aurangabad,Without License,,
2018,Aurangabad,Excess Passengers,,
2018,Aurangabad,Carrying Goods in Closed Body Vehicles,,
2018,Aurangabad,Dangerous Goods,,
2018,Aurangabad,Violation of Permit,,
2018,Aurangabad,Trespassing,,
2018,Aurangabad,Clandestine Operations,,
2018,Aurangabad,Without Insurance,,
2018,Beed,Dangerous Driving,97.0,61800.0
2018,Beed,Overtaking,28.0,5600.0
2018,Beed,Overspeeding,21.0,21700.0
2018,Beed,Drunken Driving,456.0,0.0
2018,Beed,Parking Offence,4544.0,943900.0
2018,Beed,Overload,0.0,0.0
2018,Beed,Without Brake Lights,0.0,0.0
2018,Beed,Without Seatbelt,858.0,173200.0
2018,Beed,Without Helmet,1445.0,713700.0
2018,Beed,Improper Number Plate,478.0,128200.0
2018,Beed,Tinted Glass,234.0,47000.0
2018,Beed,Wrong Side Driving,143.0,28600.0
2018,Beed,Use of Mobile while Driving,959.0,192800.0
2018,Beed,Signal Jumping,14.0,3600.0
2018,Beed,Honking,12.0,2400.0
2018,Beed,Jaywalking,0.0,0.0
2018,Beed,Other Cases,20599.0,8290120.0
2018,Beed,Illicit Cases,2468.0,4467900.0
2018,Beed,Carrying Passengers in Goods Vehicles,,
2018,Beed,Without License,,
2018,Beed,Excess Passengers,,
2018,Beed,Carrying Goods in Closed Body Vehicles,,
2018,Beed,Dangerous Goods,,
2018,Beed,Violation of Permit,,
2018,Beed,Trespassing,,
2018,Beed,Clandestine Operations,,
2018,Beed,Without Insurance,,
2018,Bhandara,Dangerous Driving,232.0,81600.0
2018,Bhandara,Overtaking,144.0,28800.0
2018,Bhandara,Overspeeding,3.0,3000.0
2018,Bhandara,Drunken Driving,145.0,0.0
2018,Bhandara,Parking Offence,1396.0,277600.0
2018,Bhandara,Overload,0.0,0.0
2018,Bhandara,Without Brake Lights,23.0,4600.0
2018,Bhandara,Without Seatbelt,2113.0,421000.0
2018,Bhandara,Without Helmet,1468.0,734000.0
2018,Bhandara,Improper Number Plate,523.0,106200.0
2018,Bhandara,Tinted Glass,41.0,8200.0
2018,Bhandara,Wrong Side Driving,231.0,46200.0
2018,Bhandara,Use of Mobile while Driving,124.0,24800.0
2018,Bhandara,Signal Jumping,0.0,0.0
2018,Bhandara,Honking,11.0,2200.0
2018,Bhandara,Jaywalking,0.0,0.0
2018,Bhandara,Other Cases,26166.0,7693400.0
2018,Bhandara,Illicit Cases,1091.0,1323100.0
2018,Bhandara,Carrying Passengers in Goods Vehicles,,
2018,Bhandara,Without License,,
2018,Bhandara,Excess Passengers,,
2018,Bhandara,Carrying Goods in Closed Body Vehicles,,
2018,Bhandara,Dangerous Goods,,
2018,Bhandara,Violation of Permit,,
2018,Bhandara,Trespassing,,
2018,Bhandara,Clandestine Operations,,
2018,Bhandara,Without Insurance,,
2018,Buldhana,Dangerous Driving,0.0,0.0
2018,Buldhana,Overtaking,0.0,0.0
2018,Buldhana,Overspeeding,0.0,0.0
2018,Buldhana,Drunken Driving,158.0,0.0
2018,Buldhana,Parking Offence,9716.0,1929700.0
2018,Buldhana,Overload,0.0,0.0
2018,Buldhana,Without Brake Lights,86.0,17200.0
2018,Buldhana,Without Seatbelt,3074.0,647100.0
2018,Buldhana,Without Helmet,1191.0,265800.0
2018,Buldhana,Improper Number Plate,2525.0,568000.0
2018,Buldhana,Tinted Glass,245.0,46600.0
2018,Buldhana,Wrong Side Driving,27.0,5400.0
2018,Buldhana,Use of Mobile while Driving,363.0,85800.0
2018,Buldhana,Signal Jumping,0.0,0.0
2018,Buldhana,Honking,0.0,0.0
2018,Buldhana,Jaywalking,0.0,0.0
2018,Buldhana,Other Cases,68854.0,12528340.0
2018,Buldhana,Illicit Cases,5471.0,531700.0
2018,Buldhana,Carrying Passengers in Goods Vehicles,,
2018,Buldhana,Without License,,
2018,Buldhana,Excess Passengers,,
2018,Buldhana,Carrying Goods in Closed Body Vehicles,,
2018,Buldhana,Dangerous Goods,,
2018,Buldhana,Violation of Permit,,
2018,Buldhana,Trespassing,,
2018,Buldhana,Clandestine Operations,,
2018,Buldhana,Without Insurance,,
2018,Chandrapur,Dangerous Driving,6.0,5600.0
2018,Chandrapur,Overtaking,1.0,1000.0
2018,Chandrapur,Overspeeding,9.0,7700.0
2018,Chandrapur,Drunken Driving,2218.0,96500.0
2018,Chandrapur,Parking Offence,3578.0,718400.0
2018,Chandrapur,Overload,9.0,65500.0
2018,Chandrapur,Without Brake Lights,16.0,43100.0
2018,Chandrapur,Without Seatbelt,11791.0,2358600.0
2018,Chandrapur,Without Helmet,3566.0,1677900.0
2018,Chandrapur,Improper Number Plate,3988.0,812400.0
2018,Chandrapur,Tinted Glass,935.0,187200.0
2018,Chandrapur,Wrong Side Driving,4758.0,953800.0
2018,Chandrapur,Use of Mobile while Driving,77.0,24800.0
2018,Chandrapur,Signal Jumping,7947.0,2896000.0
2018,Chandrapur,Honking,418.0,91800.0
2018,Chandrapur,Jaywalking,0.0,0.0
2018,Chandrapur,Other Cases,73906.0,15784500.0
2018,Chandrapur,Illicit Cases,1038.0,1917800.0
2018,Chandrapur,Carrying Passengers in Goods Vehicles,,
2018,Chandrapur,Without License,,
2018,Chandrapur,Excess Passengers,,
2018,Chandrapur,Carrying Goods in Closed Body Vehicles,,
2018,Chandrapur,Dangerous Goods,,
2018,Chandrapur,Violation of Permit,,
2018,Chandrapur,Trespassing,,
2018,Chandrapur,Clandestine Operations,,
2018,Chandrapur,Without Insurance,,
2018,Dhule,Dangerous Driving,0.0,0.0
2018,Dhule,Overtaking,0.0,0.0
2018,Dhule,Overspeeding,41.0,32000.0
2018,Dhule,Drunken Driving,73.0,101300.0
2018,Dhule,Parking Offence,2526.0,495200.0
2018,Dhule,Overload,0.0,0.0
2018,Dhule,Without Brake Lights,23.0,4600.0
2018,Dhule,Without Seatbelt,2493.0,498600.0
2018,Dhule,Without Helmet,34.0,17000.0
2018,Dhule,Improper Number Plate,88.0,20000.0
2018,Dhule,Tinted Glass,0.0,0.0
2018,Dhule,Wrong Side Driving,1706.0,341400.0
2018,Dhule,Use of Mobile while Driving,779.0,156100.0
2018,Dhule,Signal Jumping,0.0,0.0
2018,Dhule,Honking,0.0,0.0
2018,Dhule,Jaywalking,0.0,0.0
2018,Dhule,Other Cases,20250.0,4668410.0
2018,Dhule,Illicit Cases,710.0,679680.0
2018,Dhule,Carrying Passengers in Goods Vehicles,,
2018,Dhule,Without License,,
2018,Dhule,Excess Passengers,,
2018,Dhule,Carrying Goods in Closed Body Vehicles,,
2018,Dhule,Dangerous Goods,,
2018,Dhule,Violation of Permit,,
2018,Dhule,Trespassing,,
2018,Dhule,Clandestine Operations,,
2018,Dhule,Without Insurance,,
2018,Gadchiroli,Dangerous Driving,66.0,39600.0
2018,Gadchiroli,Overtaking,63.0,13000.0
2018,Gadchiroli,Overspeeding,9.0,12900.0
2018,Gadchiroli,Drunken Driving,101.0,166450.0
2018,Gadchiroli,Parking Offence,1166.0,235500.0
2018,Gadchiroli,Overload,1803.0,371300.0
2018,Gadchiroli,Without Brake Lights,0.0,0.0
2018,Gadchiroli,Without Seatbelt,611.0,126500.0
2018,Gadchiroli,Without Helmet,61.0,23500.0
2018,Gadchiroli,Improper Number Plate,143.0,71600.0
2018,Gadchiroli,Tinted Glass,2.0,400.0
2018,Gadchiroli,Wrong Side Driving,0.0,0.0
2018,Gadchiroli,Use of Mobile while Driving,0.0,0.0
2018,Gadchiroli,Signal Jumping,0.0,0.0
2018,Gadchiroli,Honking,0.0,0.0
2018,Gadchiroli,Jaywalking,0.0,0.0
2018,Gadchiroli,Other Cases,9496.0,2630830.0
2018,Gadchiroli,Illicit Cases,305.0,289800.0
2018,Gadchiroli,Carrying Passengers in Goods Vehicles,,
2018,Gadchiroli,Without License,,
2018,Gadchiroli,Excess Passengers,,
2018,Gadchiroli,Carrying Goods in Closed Body Vehicles,,
2018,Gadchiroli,Dangerous Goods,,
2018,Gadchiroli,Violation of Permit,,
2018,Gadchiroli,Trespassing,,
2018,Gadchiroli,Clandestine Operations,,
2018,Gadchiroli,Without Insurance,,
2018,Gondia,Dangerous Driving,11.0,11000.0
2018,Gondia,Overtaking,0.0,0.0
2018,Gondia,Overspeeding,1.0,500.0
2018,Gondia,Drunken Driving,21.0,0.0
2018,Gondia,Parking Offence,263.0,52600.0
2018,Gondia,Overload,0.0,0.0
2018,Gondia,Without Brake Lights,61.0,12200.0
2018,Gondia,Without Seatbelt,3385.0,677000.0
2018,Gondia,Without Helmet,3522.0,1761000.0
