Year,District,No. of accidents,Males Killed,Females Killed,Total Killed
2018,Ahilyanagar,799,739,116,855
2018,Akola,146,149,12,161
2018,Amravati,284,285,18,303
2018,Chh. Sambhaji Nagar,507,498,46,544
2018,Beed,313,303,35,338
2018,Bhandara,137,129,22,151
2018,Buldhana,277,270,34,304
2018,Chandrapur,263,261,36,297
2018,Dhule,281,277,37,314
2018,Gadchiroli,138,143,13,156
2018,Gondia,152,151,23,174
2018,Hingoli,116,116,15,0
2018,Jalgaon,381,374,48,422
2018,Jalna,191,183,22,205
2018,Kolhapur,363,336,68,404
2018,Latur,233,220,26,246
2018,Mumbai,721,657,95,752
2018,Nagpur,538,499,84,583
2018,Nanded,240,235,35,270
2018,Nandurbar,162,177,0,177
2018,Nashik,973,920,121,1041
2018,Dharashiv,291,263,54,317
2018,Palghar,471,449,56,505
2018,Parbhani,114,114,9,123
2018,Pune,1332,1249,201,1450
2018,Raigad,244,272,30,302
2018,Ratnagiri,127,134,29,163
2018,Sangli,323,297,62,359
2018,Satara,174,188,28,216
2018,Sindhudurg,85,81,8,89
2018,Solapur,593,566,88,654
2018,Thane,504,461,89,550
2018,Wardha,198,197,16,213
2018,Washim,128,127,15,142
2018,Yavatmal,299,308,42,350
2020,Ahilyanagar,352,344,38,382
2020,Akola,110,114,13,127
2020,Amravati,402,382,46,428
2020,Chh. Sambhaji Nagar,428,389,56,445
2020,Beed,206,203,10,213
2020,Bhandara,333,319,40,359
2020,Buldhana,275,265,34,299
2020,Chandrapur,395,378,47,425
2020,Dhule,165,168,15,183
2020,Gadchiroli,136,130,15,145
2020,Gondia,224,219,30,249
2020,Hingoli,241,217,34,251
2020,Jalgaon,611,564,78,642
2020,Jalna,246,257,9,266
2020,Kolhapur,112,108,11,119
2020,Latur,252,229,43,272
2020,Mumbai,345,320,36,356
2020,Nagpur,326,315,36,351
2020,Nanded,301,306,23,329
2020,Nandurbar,430,420,52,472
2020,Nashik,512,497,59,556
2020,Dharashiv,65,60,7,67
2020,Palghar,46,43,8,51
2020,Parbhani,249,233,35,268
2020,Pune,485,469,55,524
2020,Raigad,746,732,69,801
2020,Ratnagiri,130,126,20,146
2020,Sangli,307,272,48,320
2020,Satara,655,633,63,696
2020,Sindhudurg,184,193,13,206
2020,Solapur,597,543,85,628
2020,Thane,365,348,46,394
2020,Wardha,130,124,16,140
2020,Washim,110,113,12,125
2020,Yavatmal,302,306,28,334
