Year,District,No. of accidents,Males Grievously Injured,Females Grievously Injured,Total Grievously Injured
2018,Ahilyanagar,523,624,92,716
2018,Akola,70,101,12,113
2018,Amravati,188,224,60,284
2018,Chh. Sambhaji Nagar,517,706,124,830
2018,Beed,244,282,28,310
2018,Bhandara,113,181,38,219
2018,Buldhana,124,196,42,238
2018,Chandrapur,153,249,59,308
2018,Dhule,259,451,106,557
2018,Gadchiroli,70,179,84,263
2018,Gondia,88,165,32,197
2018,Hingoli,125,264,35,299
2018,Jalgaon,270,491,49,540
2018,Jalna,141,257,22,279
2018,Kolhapur,472,620,151,771
2018,Latur,281,287,10,297
2018,Mumbai,2358,2299,580,2879
2018,Nagpur,676,855,238,1093
2018,Nanded,295,375,82,457
2018,Nandurbar,110,294,36,330
2018,Nashik,740,1078,240,1318
2018,Dharashiv,274,520,103,623
2018,Palghar,349,447,89,536
2018,Parbhani,145,185,19,204
2018,Pune,1403,1573,363,1936
2018,Raigad,298,561,172,733
2018,Ratnagiri,210,379,112,491
2018,Sangli,391,597,112,709
2018,Satara,169,243,80,323
2018,Sindhudurg,61,78,13,91
2018,Solapur,461,674,124,798
2018,Thane,766,826,206,1032
2018,Wardha,105,227,24,251
2018,Washim,52,67,11,78
2018,Yavatmal,147,195,37,232
2020,Ahilyanagar,192,314,37,351
2020,Akola,82,126,11,137
2020,Amravati,242,311,50,361
2020,Chh. Sambhaji Nagar,518,568,102,670
2020,Beed,158,316,0,316
2020,Bhandara,251,309,72,381
2020,Buldhana,116,135,15,150
2020,Chandrapur,243,381,54,435
2020,Dhule,94,174,17,191
2020,Gadchiroli,78,116,21,137
2020,Gondia,124,164,40,204
2020,Hingoli,209,216,20,236
2020,Jalgaon,489,521,97,618
2020,Jalna,178,213,49,262
2020,Kolhapur,103,129,8,137
2020,Latur,192,331,63,394
2020,Mumbai,496,532,122,654
2020,Nagpur,233,406,98,504
2020,Nanded,204,284,43,327
2020,Nandurbar,219,352,37,389
2020,Nashik,427,649,178,827
2020,Dharashiv,89,89,12,101
2020,Palghar,54,68,10,78
2020,Parbhani,234,269,40,309
2020,Pune,353,514,87,601
2020,Raigad,427,611,80,691
2020,Ratnagiri,86,184,42,226
2020,Sangli,360,394,59,453
2020,Satara,459,506,97,603
2020,Sindhudurg,173,319,90,409
2020,Solapur,1338,1382,342,1724
2020,Thane,469,602,141,743
2020,Wardha,48,95,16,111
2020,Washim,52,68,9,77
2020,Yavatmal,104,148,16,164
