Year,District,Sex,Fatalities,Grievous Injuries,Minor Injuries
2018,Ahmednagar,Male,739,624,212
2018,Akola,Male,149,101,338
2018,Amravati,Male,285,224,431
2018,Aurangabad,Male,498,706,145
2018,Beed,Male,303,282,58
2018,Bhandara,Male,129,181,207
2018,Buldhana,Male,270,196,300
2018,Chandrapur,Male,261,249,193
2018,Dhule,Male,277,451,476
2018,Gadchiroli,Male,143,179,46
2018,Gondia,Male,151,165,94
2018,Hingoli,Male,116,264,110
2018,Jalgaon,Male,374,491,256
2018,Jalna,Male,183,257,43
2018,Kolhapur,Male,336,620,115
2018,Latur,Male,220,287,93
2018,Mumbai,Male,657,2299,785
2018,Nagpur,Male,499,855,818
2018,Nanded,Male,235,375,100
2018,Nandurbar,Male,177,294,262
2018,Nashik,Male,920,1078,431
2018,Osmanabad,Male,263,520,68
2018,Palghar,Male,449,447,317
2018,Parbhani,Male,114,185,36
2018,Pune,Male,1249,1573,502
2018,Raigad,Male,272,561,323
2018,Ratnagiri,Male,134,379,424
2018,Sangli,Male,297,597,51
2018,Satara,Male,188,243,133
2018,Sindhudurg,Male,81,78,162
2018,Solapur,Male,566,674,231
2018,Thane,Male,461,826,486
2018,Wardha,Male,197,227,247
2018,Washim,Male,127,67,119
2018,Yavatmal,Male,308,195,271
2020,Ahmednagar,Male,344,314,278
2020,Akola,Male,114,126,213
2020,Amravati,Male,382,311,230
2020,Aurangabad,Male,389,568,223
2020,Beed,Male,203,316,59
2020,Bhandara,Male,319,309,42
2020,Buldhana,Male,265,135,176
2020,Chandrapur,Male,378,381,142
2020,Dhule,Male,168,174,147
2020,Gadchiroli,Male,130,116,129
2020,Gondia,Male,219,164,184
2020,Hingoli,Male,217,216,50
2020,Jalgaon,Male,564,521,78
2020,Jalna,Male,257,213,41
2020,Kolhapur,Male,108,129,34
2020,Latur,Male,229,331,41
2020,Mumbai,Male,320,532,148
2020,Nagpur,Male,315,406,78
2020,Nanded,Male,306,284,33
2020,Nandurbar,Male,420,352,134
2020,Nashik,Male,497,649,302
2020,Osmanabad,Male,60,89,5
2020,Palghar,Male,43,68,84
2020,Parbhani,Male,233,269,123
2020,Pune,Male,469,514,89
2020,Raigad,Male,732,611,123
2020,Ratnagiri,Male,126,184,35
2020,Sangli,Male,272,394,168
2020,Satara,Male,633,506,76
2020,Sindhudurg,Male,193,319,140
2020,Solapur,Male,543,1382,384
2020,Thane,Male,348,602,488
2020,Wardha,Male,124,95,95
2020,Washim,Male,113,68,85
2020,Yavatmal,Male,306,148,201
2018,Ahmednagar,Female,116,92,29
2018,Akola,Female,12,12,40
2018,Amravati,Female,18,60,100
2018,Aurangabad,Female,46,124,32
2018,Beed,Female,35,28,15
2018,Bhandara,Female,22,38,62
2018,Buldhana,Female,34,42,90
2018,Chandrapur,Female,36,59,53
2018,Dhule,Female,37,106,66
2018,Gadchiroli,Female,13,84,9
2018,Gondia,Female,23,32,29
2018,Hingoli,Female,15,35,35
2018,Jalgaon,Female,48,49,42
2018,Jalna,Female,22,22,0
2018,Kolhapur,Female,68,151,31
2018,Latur,Female,26,10,4
2018,Mumbai,Female,95,580,279
2018,Nagpur,Female,84,238,257
2018,Nanded,Female,35,82,10
2018,Nandurbar,Female,0,36,26
2018,Nashik,Female,121,240,113
2018,Osmanabad,Female,54,103,27
2018,Palghar,Female,56,89,53
2018,Parbhani,Female,9,19,2
2018,Pune,Female,201,363,129
2018,Raigad,Female,30,172,93
2018,Ratnagiri,Female,29,112,144
2018,Sangli,Female,62,112,21
2018,Satara,Female,28,80,26
2018,Sindhudurg,Female,8,13,52
2018,Solapur,Female,88,124,63
2018,Thane,Female,89,206,122
2018,Wardha,Female,16,24,28
2018,Washim,Female,15,11,18
2018,Yavatmal,Female,42,37,47
2020,Ahmednagar,Female,38,37,82
2020,Akola,Female,13,11,41
2020,Amravati,Female,46,50,45
2020,Aurangabad,Female,56,102,54
2020,Beed,Female,10,0,0
2020,Bhandara,Female,40,72,8
2020,Buldhana,Female,34,15,12
2020,Chandrapur,Female,47,54,32
2020,Dhule,Female,15,17,35
2020,Gadchiroli,Female,15,21,29
2020,Gondia,Female,30,40,40
2020,Hingoli,Female,34,20,6
2020,Jalgaon,Female,78,97,5
2020,Jalna,Female,9,49,5
2020,Kolhapur,Female,11,8,2
2020,Latur,Female,43,63,13
2020,Mumbai,Female,36,122,32
2020,Nagpur,Female,36,98,12
2020,Nanded,Female,23,43,5
2020,Nandurbar,Female,52,37,28
2020,Nashik,Female,59,178,76
2020,Osmanabad,Female,7,12,3
2020,Palghar,Female,8,10,14
2020,Parbhani,Female,35,40,11
2020,Pune,Female,55,87,18
2020,Raigad,Female,69,80,6
2020,Ratnagiri,Female,20,42,17
2020,Sangli,Female,48,59,48
2020,Satara,Female,63,97,5
2020,Sindhudurg,Female,13,90,39
2020,Solapur,Female,85,342,118
2020,Thane,Female,46,141,167
2020,Wardha,Female,16,16,33
2020,Washim,Female,12,9,11
2020,Yavatmal,Female,28,16,33
