Year,District,No. of accidents,Males Minor Injured,Females Minor Injured,Total Minor Injured
2018,Ahmednagar,188,212,29,241
2018,Akola,210,338,40,378
2018,Amravati,384,431,100,531
2018,Aurangabad,132,145,32,177
2018,Beed,56,58,15,73
2018,Bhandara,124,207,62,269
2018,Buldhana,181,300,90,390
2018,Chandrapur,151,193,53,246
2018,Dhule,218,476,66,542
2018,Gadchiroli,42,46,9,55
2018,Gondia,35,94,29,123
2018,Hingoli,50,110,35,146
2018,Jalgaon,157,256,42,298
2018,Jalna,33,43,0,43
2018,Kolhapur,62,115,31,145
2018,Latur,90,93,4,97
2018,Mumbai,724,785,279,1064
2018,Nagpur,708,818,257,1075
2018,Nanded,92,100,10,110
2018,Nandurbar,132,262,26,288
2018,Nashik,226,431,113,544
2018,Osmanabad,62,68,27,95
2018,Palghar,296,317,53,370
2018,Parbhani,33,36,2,38
2018,Pune,489,502,129,631
2018,Raigad,210,323,93,416
2018,Ratnagiri,217,424,144,568
2018,Sangli,40,51,21,72
2018,Satara,78,133,26,159
2018,Sindhudurg,74,162,52,214
2018,Solapur,164,231,63,294
2018,Thane,424,486,122,608
2018,Wardha,186,247,28,275
2018,Washim,87,119,18,137
2018,Yavatmal,230,271,47,318
2020,Ahmednagar,194,278,82,360
2020,Akola,136,213,41,254
2020,Amravati,203,230,45,275
2020,Aurangabad,178,223,54,277
2020,Beed,38,59,0,59
2020,Bhandara,40,42,8,50
2020,Buldhana,111,176,12,188
2020,Chandrapur,99,142,32,174
2020,Dhule,110,147,35,182
2020,Gadchiroli,73,129,29,158
2020,Gondia,155,184,40,224
2020,Hingoli,49,50,6,56
2020,Jalgaon,74,78,5,83
2020,Jalna,30,41,5,46
2020,Kolhapur,29,34,2,36
2020,Latur,40,41,13,54
2020,Mumbai,151,148,32,180
2020,Nagpur,67,78,12,90
2020,Nanded,31,33,5,38
2020,Nandurbar,83,134,28,162
2020,Nashik,91,302,76,378
2020,Osmanabad,4,5,3,8
2020,Palghar,33,84,14,98
2020,Parbhani,92,123,11,134
2020,Pune,37,89,18,107
2020,Raigad,66,123,6,129
2020,Ratnagiri,0,35,17,52
2020,Sangli,45,168,48,216
2020,Satara,78,76,5,81
2020,Sindhudurg,90,140,39,179
2020,Solapur,351,384,118,502
2020,Thane,447,488,167,655
2020,Wardha,23,95,33,128
2020,Washim,64,85,11,96
2020,Yavatmal,120,201,33,234
