Year,District,Fatalities,Pedestrians,Bicycles,Two- wheeler (Driver),Two- wheeler (Passenger),Three-wheeler,"Car, Taxi, and LMV",Buses,Trucks/Lorries,Others
2018,Ahmednagar,855,0.27,0.02,0.46,0.11,0.05,0.01,0.01,0.01,0.05
2018,Akola,161,0.15,0.01,0.24,0.0,0.15,0.15,0.01,0.03,0.26
2018,Amravati,303,0.0926732673267327,0.00594059405940594,0.514059405940594,0.067029702970297,0.0918811881188119,0.0240594059405941,0.131089108910891,0.0732673267326733,0.0
2018,Aurangabad,544,0.123676470588235,0.00887867647058824,0.573676470588235,0.00295955882352941,0.223768382352941,0.00704044117647059,0.0540808823529412,0.00591911764705882,0.0
2018,Beed,338,0.3,0.0,0.52,0.03,0.08,0.0,0.03,0.04,0.0
2018,Bhandara,151,0.18,0.03,0.29,0.15,0.03,0.13,0.01,0.14,0.04
2018,Buldhana,304,0.13,0.18,0.16,0.08,0.05,0.03,0.05,0.32,0.0
2018,Chandrapur,297,0.13,0.0,0.23,0.11,0.01,0.16,0.03,0.24,0.09
2018,Dhule,314,0.18,0.01,0.57,0.0,0.0,0.0,0.0,0.0,0.0
2018,Gadchiroli,156,0.17,0.04,0.24,0.2,0.04,0.19,0.02,0.0,0.1
2018,Gondia,174,0.17,0.08,0.36,0.11,0.0,0.17,0.01,0.06,0.04
2018,Hingoli,131,0.28,0.0,0.24,0.05,0.17,0.02,0.24,0.0,0.0
2018,Jalgaon,422,0.04,0.0,0.44,0.08,0.08,0.02,0.04,0.2,0.0
2018,Jalna,205,0.05,0.01,0.64,0.05,0.04,0.0,0.14,0.0,0.07
2018,Kolhapur,404,0.11,0.0,0.55,0.0,0.16,0.07,0.05,0.0,0.06
2018,Latur,246,0.09,0.0,0.23,0.04,0.28,0.06,0.12,0.18,0.0
2018,Mumbai,752,0.395811170212766,0.01,0.417367021276596,0.03,0.106303191489362,0.00736702127659575,0.0147340425531915,0.0,0.0184175531914894
2018,Nagpur,583,0.183499142367067,0.0569125214408233,0.36032590051458,0.0949571183533448,0.0584562607204117,0.0993481989708405,0.0396740994854202,0.385763293310463,0.0712178387650086
2018,Nanded,270,0.26,0.0,0.29,0.07,0.27,0.05,0.04,0.0,0.02
2018,Nandurbar,177,0.12,0.01,0.42,0.1,0.19,0.06,0.08,0.0,0.02
2018,Nashik,1041,0.192929875120077,0.0062536023054755,0.346705091258405,0.0912391930835735,0.202478386167147,0.0395773294908742,0.057492795389049,0.0,0.0633237271853987
2018,Osmanabad,317,0.24,0.0,0.54,0.03,0.06,0.01,0.03,0.0,0.09
2018,Palghar,505,0.3,0.0,0.42,0.02,0.1,0.0,0.07,0.0,0.09
2018,Parbhani,123,0.11,0.01,0.72,0.08,0.08,0.0,0.0,0.0,0.0
2018,Pune,1450,0.165503448275862,0.00608275862068966,0.553372413793103,0.0186206896551724,0.175020689655172,0.00938620689655173,0.0720137931034483,0.0,0.0
2018,Raigad,302,0.16,0.0,0.36,0.01,0.19,0.12,0.07,0.0,0.09
2018,Ratnagiri,163,0.15,0.0,0.18,0.03,0.54,0.02,0.03,0.0,0.05
2018,Sangli,359,0.22,0.03,0.44,0.02,0.16,0.01,0.06,0.0,0.06
2018,Satara,216,0.02,0.0,0.49,0.0,0.28,0.02,0.13,0.0,0.06
2018,Sindhudurg,89,0.17,0.01,0.68,0.03,0.02,0.95,0.0,0.0,0.0
2018,Solapur,654,0.229694189602447,0.00703363914373089,0.269388379204893,0.279204892966361,0.0214067278287462,0.0773394495412844,0.0471865443425076,0.0343730886850153,0.0343730886850153
2018,Thane,550,0.335272727272727,0.00905454545454546,0.427909090909091,0.0245272727272727,0.0847272727272727,0.0,0.0437818181818182,0.0,0.0747272727272727
2018,Wardha,213,0.14,0.01,0.31,0.13,0.06,0.12,0.02,0.18,0.03
2018,Washim,142,0.15,0.02,0.32,0.12,0.16,0.13,0.1,0.0,0.0
2018,Yavatmal,350,0.13,0.0,0.36,0.08,0.27,0.03,0.13,0.0,0.0
2020,Ahmednagar,642,0.23,0.03,0.55,0.0,0.01,0.18,0.0,0.0,0.0
2020,Akola,127,0.21,0.02,0.5,0.0,0.05,0.13,0.0,0.05,0.04
2020,Amravati,373,0.099544235924933,0.00651474530831099,0.18029490616622,0.0,0.037828418230563,0.50970509383378,0.0,0.018686327077748,0.145254691689008
2020,Aurangabad,402,0.104726368159204,0.0,0.689402985074627,0.0,0.01,0.18910447761194,0.0,0.00676616915422886,0.0860199004975124
2020,Beed,329,0.22,0.01,0.58,0.0,0.03,0.08,0.01,0.05,0.02
2020,Bhandara,145,0.13,0.09,0.61,0.0,0.01,0.05,0.0,0.01,0.1
2020,Buldhana,299,0.17,0.0,0.46,0.0,0.03,0.13,0.0,0.06,0.15
2020,Chandrapur,249,0.14,0.06,0.59,0.0,0.01,0.14,0.0,0.01,0.05
2020,Dhule,385,0.15,0.01,0.62,0.0,0.04,0.07,0.01,0.06,0.04
2020,Gadchiroli,142,0.09,0.02,0.69,0.0,0.0,0.07,0.0,0.02,0.11
2020,Gondia,140,0.13,0.09,0.4,0.0,0.0,0.16,0.01,0.11,0.1
2020,Hingoli,125,0.3,0.0,0.55,0.0,0.07,0.02,0.0,0.04,0.02
2020,Jalgaon,472,0.13,0.01,0.55,0.0,0.03,0.15,0.0,0.06,0.07
2020,Jalna,213,0.04,0.0,0.66,0.0,0.0,0.11,0.01,0.05,0.02
2020,Kolhapur,320,0.22,0.02,0.64,0.0,0.01,0.06,0.0,0.01,0.04
2020,Latur,251,0.28,0.0,0.62,0.0,0.02,0.06,0.0,0.02,0.0
2020,Mumbai,562,0.359679715302491,0.00620996441281139,0.278861209964413,0.0,0.02,0.0710498220640569,0.00379003558718861,0.0265302491103203,0.23008896797153
2020,Nagpur,592,0.204189189189189,0.0348310810810811,0.443209459459459,0.0,0.02,0.177432432432433,0.0129054054054054,0.0493581081081081,0.0580743243243243
2020,Nanded,268,0.25,0.0,0.54,0.0,0.08,0.05,0.01,0.03,0.04
2020,Nandurbar,146,0.12,0.0,0.51,0.0,0.07,0.16,0.04,0.01,0.09
2020,Nashik,972,0.161111111111111,0.0087962962962963,0.403981481481482,0.0,0.0182407407407407,0.161851851851852,0.0247222222222222,0.0447222222222222,0.176574074074074
2020,Osmanabad,272,0.17,0.02,0.39,0.0,0.01,0.19,0.01,0.18,0.01
2020,Palghar,331,0.26,0.0,0.48,0.0,0.04,0.12,0.04,0.06,0.0
2020,Parbhani,119,0.09,0.0,0.65,0.0,0.01,0.16,0.0,0.03,0.0
2020,Pune,1092,0.22452380952381,0.00725274725274725,0.587985347985348,0.0,0.0103021978021978,0.10474358974359,0.00231684981684982,0.0478113553113553,0.0150641025641026
