Year,District,Month,Crash Type,Number of Crashes
2018,Ahilyanagar,January,Fatal Crashes,77
2018,Ahilyanagar,February,Fatal Crashes,73
2018,Ahilyanagar,March,Fatal Crashes,61
2018,Ahilyanagar,April,Fatal Crashes,68
2018,Ahilyanagar,May,Fatal Crashes,88
2018,Ahilyanagar,June,Fatal Crashes,69
2018,Ahilyanagar,July,Fatal Crashes,65
2018,Ahilyanagar,August,Fatal Crashes,57
2018,Ahilyanagar,September,Fatal Crashes,59
2018,Ahilyanagar,October,Fatal Crashes,72
2018,Ahilyanagar,November,Fatal Crashes,72
2018,Ahilyanagar,December,Fatal Crashes,94
2018,Akola,January,Fatal Crashes,15
2018,Akola,February,Fatal Crashes,24
2018,Akola,March,Fatal Crashes,13
2018,Akola,April,Fatal Crashes,15
2018,Akola,May,Fatal Crashes,23
2018,Akola,June,Fatal Crashes,13
2018,Akola,July,Fatal Crashes,13
2018,Akola,August,Fatal Crashes,9
2018,Akola,September,Fatal Crashes,5
2018,Akola,October,Fatal Crashes,14
2018,Akola,November,Fatal Crashes,11
2018,Akola,December,Fatal Crashes,6
2018,Amravati,January,Fatal Crashes,31
2018,Amravati,February,Fatal Crashes,19
2018,Amravati,March,Fatal Crashes,30
2018,Amravati,April,Fatal Crashes,26
2018,Amravati,May,Fatal Crashes,22
2018,Amravati,June,Fatal Crashes,31
2018,Amravati,July,Fatal Crashes,17
2018,Amravati,August,Fatal Crashes,19
2018,Amravati,September,Fatal Crashes,16
2018,Amravati,October,Fatal Crashes,22
2018,Amravati,November,Fatal Crashes,36
2018,Amravati,December,Fatal Crashes,34
2018,Chh. Sambhaji Nagar,January,Fatal Crashes,53
2018,Chh. Sambhaji Nagar,February,Fatal Crashes,51
2018,Chh. Sambhaji Nagar,March,Fatal Crashes,44
2018,Chh. Sambhaji Nagar,April,Fatal Crashes,43
2018,Chh. Sambhaji Nagar,May,Fatal Crashes,57
2018,Chh. Sambhaji Nagar,June,Fatal Crashes,56
2018,Chh. Sambhaji Nagar,July,Fatal Crashes,44
2018,Chh. Sambhaji Nagar,August,Fatal Crashes,29
2018,Chh. Sambhaji Nagar,September,Fatal Crashes,39
2018,Chh. Sambhaji Nagar,October,Fatal Crashes,40
2018,Chh. Sambhaji Nagar,November,Fatal Crashes,50
2018,Chh. Sambhaji Nagar,December,Fatal Crashes,38
2018,Beed,January,Fatal Crashes,35
2018,Beed,February,Fatal Crashes,29
2018,Beed,March,Fatal Crashes,26
2018,Beed,April,Fatal Crashes,23
2018,Beed,May,Fatal Crashes,32
2018,Beed,June,Fatal Crashes,20
2018,Beed,July,Fatal Crashes,26
2018,Beed,August,Fatal Crashes,28
2018,Beed,September,Fatal Crashes,22
2018,Beed,October,Fatal Crashes,28
2018,Beed,November,Fatal Crashes,33
2018,Beed,December,Fatal Crashes,36
2018,Bhandara,January,Fatal Crashes,11
2018,Bhandara,February,Fatal Crashes,5
2018,Bhandara,March,Fatal Crashes,15
2018,Bhandara,April,Fatal Crashes,15
2018,Bhandara,May,Fatal Crashes,17
2018,Bhandara,June,Fatal Crashes,16
2018,Bhandara,July,Fatal Crashes,10
2018,Bhandara,August,Fatal Crashes,9
2018,Bhandara,September,Fatal Crashes,16
2018,Bhandara,October,Fatal Crashes,12
2018,Bhandara,November,Fatal Crashes,16
2018,Bhandara,December,Fatal Crashes,9
2018,Buldhana,January,Fatal Crashes,16
2018,Buldhana,February,Fatal Crashes,18
