Year,District,Road Type,Fatalities,Grievous injuries
2018,Ahilyanagar,Expressway,0,0
2018,Ahilyanagar,National Highways,234,176
2018,Ahilyanagar,Other Roads,331,263
2018,Ahilyanagar,State Highways,290,277
2018,Akola,Expressway,0,0
2018,Akola,National Highways,23,58
2018,Akola,Other Roads,63,70
2018,Akola,State Highways,27,33
2018,Amravati,Expressway,0,0
2018,Amravati,National Highways,56,32
2018,Amravati,Other Roads,130,166
2018,Amravati,State Highways,117,86
2018,Chh. Sambhaji Nagar,Expressway,0,0
2018,Chh. Sambhaji Nagar,National Highways,77,110
2018,Chh. Sambhaji Nagar,Other Roads,181,279
2018,Chh. Sambhaji Nagar,State Highways,317,410
2018,Beed,Expressway,0,0
2018,Beed,National Highways,93,95
2018,Beed,Other Roads,105,118
2018,Beed,State Highways,140,97
2018,Bhandara,Expressway,0,0
2018,Bhandara,National Highways,61,94
2018,Bhandara,Other Roads,25,38
2018,Bhandara,State Highways,65,87
2018,Buldhana,Expressway,0,0
2018,Buldhana,National Highways,46,29
2018,Buldhana,Other Roads,191,166
2018,Buldhana,State Highways,67,43
2018,Chandrapur,Expressway,0,0
2018,Chandrapur,National Highways,130,122
2018,Chandrapur,Other Roads,126,141
2018,Chandrapur,State Highways,41,45
2018,Dhule,Expressway,0,0
2018,Dhule,National Highways,138,257
2018,Dhule,Other Roads,120,193
2018,Dhule,State Highways,56,107
2018,Gadchiroli,Expressway,0,0
2018,Gadchiroli,National Highways,1,2
2018,Gadchiroli,Other Roads,102,169
2018,Gadchiroli,State Highways,53,92
2018,Gondia,Expressway,0,0
2018,Gondia,National Highways,30,20
2018,Gondia,Other Roads,63,75
2018,Gondia,State Highways,81,102
2018,Hingoli,Expressway,0,0
2018,Hingoli,National Highways,62,103
2018,Hingoli,Other Roads,30,64
2018,Hingoli,State Highways,39,132
2018,Jalgaon,Expressway,0,0
2018,Jalgaon,National Highways,144,231
2018,Jalgaon,Other Roads,157,147
2018,Jalgaon,State Highways,121,162
2018,Jalna,Expressway,0,0
2018,Jalna,National Highways,17,41
2018,Jalna,Other Roads,73,94
2018,Jalna,State Highways,115,144
2018,Kolhapur,Expressway,0,0
2018,Kolhapur,National Highways,96,118
2018,Kolhapur,Other Roads,198,421
2018,Kolhapur,State Highways,110,232
2018,Latur,Expressway,0,0
2018,Latur,National Highways,74,69
2018,Latur,Other Roads,92,91
2018,Latur,State Highways,80,137
2018,Mumbai,Expressway,22,41
2018,Mumbai,National Highways,39,47
2018,Mumbai,Other Roads,635,2703
2018,Mumbai,State Highways,56,88
2018,Nagpur,Expressway,0,0
2018,Nagpur,National Highways,205,247
2018,Nagpur,Other Roads,280,677
2018,Nagpur,State Highways,98,169
2018,Nanded,Expressway,0,0
2018,Nanded,National Highways,111,223
2018,Nanded,Other Roads,117,203
2018,Nanded,State Highways,42,31
2018,Nandurbar,Expressway,0,0
