Year,District,Time of Day,Fatalities,Grievous injuries
2018,Ahilyanagar,00:00 to 03:00,45,38
2018,Ahilyanagar,03:00 to 06:00,79,66
2018,Ahilyanagar,06:00 to 09:00,88,71
2018,Ahilyanagar,09:00 to 12:00,119,108
2018,Ahilyanagar,12:00 to 15:00,97,93
2018,Ahilyanagar,15:00 to 18:00,121,129
2018,Ahilyanagar,18:00 to 21:00,221,158
2018,Ahilyanagar,21:00 to 00:00,85,64
2018,Ahilyanagar,Unknown,0,0
2018,Akola,00:00 to 03:00,5,0
2018,Akola,03:00 to 06:00,10,0
2018,Akola,06:00 to 09:00,14,2
2018,Akola,09:00 to 12:00,25,14
2018,Akola,12:00 to 15:00,22,34
2018,Akola,15:00 to 18:00,31,29
2018,Akola,18:00 to 21:00,34,23
2018,Akola,21:00 to 00:00,20,11
2018,Akola,Unknown,0,0
2018,Amravati,00:00 to 03:00,7,39
2018,Amravati,03:00 to 06:00,33,35
2018,Amravati,06:00 to 09:00,17,19
2018,Amravati,09:00 to 12:00,35,24
2018,Amravati,12:00 to 15:00,50,36
2018,Amravati,15:00 to 18:00,44,49
2018,Amravati,18:00 to 21:00,65,38
2018,Amravati,21:00 to 00:00,52,44
2018,Amravati,Unknown,0,0
2018,Chh. Sambhaji Nagar,00:00 to 03:00,28,53
2018,Chh. Sambhaji Nagar,03:00 to 06:00,11,17
2018,Chh. Sambhaji Nagar,06:00 to 09:00,68,116
2018,Chh. Sambhaji Nagar,09:00 to 12:00,49,102
2018,Chh. Sambhaji Nagar,12:00 to 15:00,46,115
2018,Chh. Sambhaji Nagar,15:00 to 18:00,70,102
2018,Chh. Sambhaji Nagar,18:00 to 21:00,144,140
2018,Chh. Sambhaji Nagar,21:00 to 00:00,86,110
2018,Chh. Sambhaji Nagar,Unknown,21,24
2018,Beed,00:00 to 03:00,13,18
2018,Beed,03:00 to 06:00,12,15
2018,Beed,06:00 to 09:00,34,37
2018,Beed,09:00 to 12:00,32,45
2018,Beed,12:00 to 15:00,40,41
2018,Beed,15:00 to 18:00,61,73
2018,Beed,18:00 to 21:00,92,60
2018,Beed,21:00 to 00:00,54,21
2018,Beed,Unknown,0,0
2018,Bhandara,00:00 to 03:00,7,6
2018,Bhandara,03:00 to 06:00,7,2
2018,Bhandara,06:00 to 09:00,13,12
2018,Bhandara,09:00 to 12:00,13,50
2018,Bhandara,12:00 to 15:00,22,49
