Year,District,Accidents with NO injury,Accidents,Persons Killed Or Injured
2018,Ahilyanagar,94,1604,1812
2018,Akola,73,499,652
2018,Amravati,241,1097,1118
2018,Chh. Sambhaji Nagar,124,1280,1551
2018,Beed,28,641,721
2018,Bhandara,39,413,639
2018,Buldhana,66,648,932
2018,Chandrapur,62,629,851
2018,Dhule,203,961,1413
2018,Gadchiroli,12,262,474
2018,Gondia,15,290,494
2018,Hingoli,22,313,445
2018,Jalgaon,44,852,1260
2018,Jalna,35,400,527
2018,Kolhapur,22,940,1320
2018,Latur,29,633,640
2018,Mumbai,93,3896,4695
2018,Nagpur,191,2113,2751
2018,Nanded,84,711,837
2018,Nandurbar,95,499,795
2018,Nashik,240,2179,2903
2018,Dharashiv,69,696,1035
2018,Palghar,244,1360,1411
2018,Parbhani,28,320,365
2018,Pune,471,3695,4017
2018,Raigad,346,1098,1451
2018,Ratnagiri,195,749,1222
2018,Sangli,43,797,1140
2018,Satara,65,486,698
2018,Sindhudurg,40,260,394
2018,Solapur,70,1288,1746
2018,Thane,194,1888,2190
2018,Wardha,40,529,739
2018,Washim,23,290,357
2018,Yavatmal,725,1401,900
2020,Ahilyanagar,36,774,1093
2020,Akola,48,376,518
2020,Amravati,81,928,1064
2020,Chh. Sambhaji Nagar,69,1193,1392
2020,Beed,34,436,588
2020,Bhandara,32,656,790
2020,Buldhana,27,529,637
2020,Chandrapur,76,813,1034
2020,Dhule,62,431,556
2020,Gadchiroli,21,308,440
2020,Gondia,62,565,677
2020,Hingoli,16,515,543
2020,Jalgaon,51,1225,1343
2020,Jalna,7,461,574
2020,Kolhapur,20,264,292
2020,Latur,65,549,720
2020,Mumbai,43,1035,1190
2020,Nagpur,22,648,945
2020,Nanded,19,555,694
2020,Nandurbar,23,755,1023
2020,Nashik,12,1042,1761
2020,Dharashiv,13,171,176
2020,Palghar,14,147,227
2020,Parbhani,54,629,711
2020,Pune,64,939,1232
2020,Raigad,0,1239,1621
2020,Ratnagiri,0,216,424
2020,Sangli,41,753,989
2020,Satara,38,1230,1380
2020,Sindhudurg,149,596,794
2020,Solapur,114,2400,2854
2020,Thane,180,1461,1792
2020,Wardha,17,218,379
2020,Washim,18,244,298
2020,Yavatmal,144,670,732
