Year,District,Taluka,Length of roads per 100 sq.km
2012,Ahilyanagar,Akole,403.63
2012,Ahilyanagar,Sangamner,359.59
2012,Ahilyanagar,Kopargaon,189.5
2012,Ahilyanagar,Rahata,151.96
2012,Ahilyanagar,Srirampur,195.88
2012,Ahilyanagar,Nevasa,735.65
2012,Ahilyanagar,Shevgaon,176.46
2012,Ahilyanagar,Pathardi,502.01
2012,Ahilyanagar,Nagar,379.32
2012,Ahilyanagar,Rahuri,544.09
2012,Ahilyanagar,Parner,371.91
2012,Ahilyanagar,Srigonda,449.03
2012,Ahilyanagar,Karjat,314.98
2012,Ahilyanagar,Jamkhed,238.69
2013,Ahilyanagar,Akole,873.63
2013,Ahilyanagar,Sangamner,845.16
2013,Ahilyanagar,Kopargaon,126.89
2013,Ahilyanagar,Rahata,135.27
2013,Ahilyanagar,Srirampur,296.94
2013,Ahilyanagar,Nevasa,820.35
2013,Ahilyanagar,Shevgaon,809.1
2013,Ahilyanagar,Pathardi,542.52
2013,Ahilyanagar,Nagar,402.64
2013,Ahilyanagar,Rahuri,547.84
2013,Ahilyanagar,Parner,328.41
2013,Ahilyanagar,Srigonda,349.02
2013,Ahilyanagar,Karjat,130.05
2013,Ahilyanagar,Jamkhed,99.92
2014,Ahilyanagar,Akole,187.0
2014,Ahilyanagar,Sangamner,171.33
2014,Ahilyanagar,Kopargaon,260.48
2014,Ahilyanagar,Rahata,228.36
2014,Ahilyanagar,Srirampur,311.9
2014,Ahilyanagar,Nevasa,193.82
2014,Ahilyanagar,Shevgaon,189.07
2014,Ahilyanagar,Pathardi,179.09
2014,Ahilyanagar,Nagar,213.52
2014,Ahilyanagar,Rahuri,194.95
2014,Ahilyanagar,Parner,168.97
2014,Ahilyanagar,Srigonda,177.09
2014,Ahilyanagar,Karjat,186.35
2014,Ahilyanagar,Jamkhed,179.69
2015,Ahilyanagar,Akole,120.66
2015,Ahilyanagar,Sangamner,113.5
2015,Ahilyanagar,Kopargaon,215.19
2015,Ahilyanagar,Rahata,149.9
2015,Ahilyanagar,Srirampur,180.86
2015,Ahilyanagar,Nevasa,132.47
2015,Ahilyanagar,Shevgaon,118.3
2015,Ahilyanagar,Pathardi,104.2
2015,Ahilyanagar,Nagar,163.28
2015,Ahilyanagar,Rahuri,130.46
2015,Ahilyanagar,Parner,128.69
2015,Ahilyanagar,Srigonda,122.31
2015,Ahilyanagar,Karjat,106.56
2015,Ahilyanagar,Jamkhed,106.91
2016,Ahilyanagar,Akole,116.68
2016,Ahilyanagar,Sangamner,114.46
2016,Ahilyanagar,Kopargaon,143.28
2016,Ahilyanagar,Rahata,189.54
2016,Ahilyanagar,Srirampur,205.66
2016,Ahilyanagar,Nevasa,130.42
2016,Ahilyanagar,Shevgaon,117.79
2016,Ahilyanagar,Pathardi,114.19
2016,Ahilyanagar,Nagar,127.64
2016,Ahilyanagar,Rahuri,149.18
2016,Ahilyanagar,Parner,109.9
2016,Ahilyanagar,Srigonda,116.62
2016,Ahilyanagar,Karjat,106.46
2016,Ahilyanagar,Jamkhed,106.92
2017,Ahilyanagar,Akole,118.61
2017,Ahilyanagar,Sangamner,120.66
2017,Ahilyanagar,Kopargaon,141.04
2017,Ahilyanagar,Rahata,190.62
2017,Ahilyanagar,Srirampur,224.11
2017,Ahilyanagar,Nevasa,129.87
2017,Ahilyanagar,Shevgaon,115.28
2017,Ahilyanagar,Pathardi,119.08
2017,Ahilyanagar,Nagar,129.57
2017,Ahilyanagar,Rahuri,143.87
2017,Ahilyanagar,Parner,110.97
2017,Ahilyanagar,Srigonda,115.32
2017,Ahilyanagar,Karjat,109.06
2017,Ahilyanagar,Jamkhed,104.87
2018,Ahilyanagar,Akole,116.06
2018,Ahilyanagar,Sangamner,121.32
2018,Ahilyanagar,Kopargaon,130.13
2018,Ahilyanagar,Rahata,202.82
2018,Ahilyanagar,Srirampur,224.11
2018,Ahilyanagar,Nevasa,142.58
2018,Ahilyanagar,Shevgaon,115.24
2018,Ahilyanagar,Pathardi,118.63
2018,Ahilyanagar,Nagar,129.32
2018,Ahilyanagar,Rahuri,149.91
2018,Ahilyanagar,Parner,110.18
2018,Ahilyanagar,Srigonda,120.44
