Year,District,Routes,Length of Routes,Average Length of Routes,Existing Buses,Buses Running on the Road,Daily Avg Passengers (lakh),Daily Average Number of Passengers,Revenue from Transportation (lakh),Revenue from Transportation,Average Earnings per Passenger
2012,Ahilyanagar,700.0,50058.0,71.5,717.0,662.0,2.98,298000,17947.47,1794747000,16.22
2013,Ahilyanagar,794.0,56266.0,71.77,751.0,697.0,2.96,296000,20192.68,2019268000,18.69
2014,Ahilyanagar,822.0,61126.0,74.36,748.0,709.0,3.0,300000,22665.24,2266524000,20.68
2015,Ahilyanagar,841.0,60471.7,71.9,773.0,728.0,2.96,296000,22558.75,2255875000,20.88
2016,Ahilyanagar,837.0,60852.0,72.7,770.0,730.0,2.94,294000,21887.9,2188790000,20.68
2017,Ahilyanagar,843.0,60989.14,72.35,759.4,703.0,2.88,288000,22264.42,2226442000,21.18
2018,Ahilyanagar,848.0,61589.0,72.63,761.9,694.0,2.83,283000,24405.19,2440519000,23.95
2019,Ahilyanagar,854.0,62541.0,73.23,754.14,652.0,2.58,258000,24419.39,2441939000,25.89
2020,Ahilyanagar,363.0,38960.0,107.33,690.54,284.0,0.36,36000,8654.0,865400000,65.9
2021,Ahilyanagar,108.0,16777.0,155.34,666.02,258.0,0.35,35000,7671.03,767103000,60.05
2012,Akola,190.0,17923.0,94.33,190.0,187.0,0.78,78000,5596.64,559664000,19.66
2013,Akola,191.0,17124.0,89.65,207.0,183.0,0.74,74000,5862.39,586239000,21.7
2014,Akola,202.0,18986.0,93.99,205.0,183.0,0.68,68000,6179.32,617932000,24.9
2015,Akola,203.0,19471.0,95.92,194.0,188.0,0.65,65000,6073.6,607360000,25.6
2016,Akola,203.0,19471.0,95.92,201.0,196.0,0.67,67000,6439.0,643900000,26.33
2017,Akola,257.0,21559.0,83.89,225.0,200.0,0.76,76000,7063.82,706382000,25.46
2018,Akola,251.0,20721.0,82.55,205.0,201.0,0.76,76000,8111.35,811135000,29.24
2019,Akola,251.0,20721.0,82.55,203.0,194.0,0.67,67000,7655.33,765533000,31.3
2020,Akola,206.0,15369.0,74.61,188.0,85.0,0.16,16000,2871.28,287128000,49.17
2021,Akola,72.0,9997.0,138.85,170.0,70.0,0.13,13000,2463.17,246317000,51.91
2012,Amravati,341.0,26785.0,78.5,434.0,404.0,1.64,164000,11285.65,1128565000,18.8
2013,Amravati,335.0,26162.0,78.1,444.0,401.0,1.59,159000,11945.15,1194515000,20.58
2014,Amravati,333.0,26861.0,80.66,441.0,409.0,1.5,150000,12534.95,1253495000,22.89
2015,Amravati,325.0,26193.0,80.59,445.0,407.0,1.48,148000,12266.29,1226629000,22.64
2016,Amravati,328.0,26378.0,80.42,467.0,451.0,1.19,119000,12313.82,1231382000,28.35
2017,Amravati,356.0,30477.0,85.61,486.0,378.0,1.58,158000,12896.1,1289610000,22.36
2018,Amravati,372.0,32629.0,87.35,477.0,393.0,1.59,159000,14905.71,1490571000,25.68
2019,Amravati,376.0,32922.0,87.78,453.0,365.0,1.42,142000,14247.65,1424765000,27.48
2020,Amravati,153.0,20793.0,135.9,411.0,163.0,0.26,26000,4787.02,478702000,18.41
2021,Amravati,50.0,4625.0,92.49,393.0,158.0,0.31,31000,4797.92,479792000,43.29
2010,Chh. Sambhaji Nagar,311.0,36843.0,118.47,469.0,443.98,1.79,179000,12351.89,1235189000,18.91
2011,Chh. Sambhaji Nagar,352.0,37321.0,106.03,515.4,467.82,1.74,174000,14002.5,1400250000,22.05
2012,Chh. Sambhaji Nagar,324.0,36998.0,114.19,520.0,495.03,1.79,179000,15627.06,1562706000,23.92
2013,Chh. Sambhaji Nagar,324.0,36998.0,114.19,546.0,517.81,1.84,184000,18511.0,1851100000,27.56
2014,Chh. Sambhaji Nagar,387.0,43300.0,111.9,560.0,545.52,1.74,174000,20309.29,2030929000,31.98
