Year,District,Taluka,Daily,Weekly,Fortnightly,Monthly,Quarterly,Yearly
2012,Ahilyanagar,Akole,0.0,8.0,5.0,6.0,7.0,8.0
2012,Ahilyanagar,Sangamner,17.0,55.0,9.0,17.0,7.0,2.0
2012,Ahilyanagar,Kopargaon,3.0,38.0,4.0,9.0,9.0,3.0
2012,Ahilyanagar,Rahata,2.0,37.0,0.0,11.0,0.0,0.0
2012,Ahilyanagar,Srirampur,0.0,2.0,0.0,0.0,0.0,0.0
2012,Ahilyanagar,Nevasa,0.0,1.0,0.0,0.0,0.0,0.0
2012,Ahilyanagar,Shevgaon,1.0,2.0,0.0,0.0,0.0,0.0
2012,Ahilyanagar,Pathardi,11.0,7.0,0.0,0.0,0.0,0.0
2012,Ahilyanagar,Nagar,0.0,2.0,1.0,0.0,0.0,0.0
2012,Ahilyanagar,Rahuri,0.0,5.0,1.0,1.0,0.0,0.0
2012,Ahilyanagar,Parner,0.0,7.0,0.0,0.0,0.0,0.0
2012,Ahilyanagar,Srigonda,0.0,9.0,1.0,1.0,0.0,0.0
2012,Ahilyanagar,Karjat,3.0,9.0,1.0,1.0,0.0,0.0
2012,Ahilyanagar,Jamkhed,0.0,5.0,1.0,1.0,0.0,0.0
2013,Ahilyanagar,Akole,0.0,8.0,1.0,3.0,2.0,1.0
2013,Ahilyanagar,Sangamner,19.0,60.0,9.0,23.0,7.0,2.0
2013,Ahilyanagar,Kopargaon,1.0,9.0,0.0,1.0,2.0,0.0
2013,Ahilyanagar,Rahata,7.0,7.0,0.0,7.0,0.0,0.0
2013,Ahilyanagar,Srirampur,3.0,37.0,2.0,20.0,0.0,0.0
2013,Ahilyanagar,Nevasa,1.0,2.0,0.0,0.0,0.0,0.0
2013,Ahilyanagar,Shevgaon,1.0,0.0,1.0,0.0,0.0,0.0
2013,Ahilyanagar,Pathardi,0.0,5.0,3.0,1.0,1.0,0.0
2013,Ahilyanagar,Nagar,6.0,17.0,1.0,11.0,0.0,0.0
2013,Ahilyanagar,Rahuri,0.0,7.0,0.0,1.0,0.0,0.0
2013,Ahilyanagar,Parner,0.0,3.0,0.0,2.0,0.0,0.0
2013,Ahilyanagar,Srigonda,0.0,4.0,0.0,3.0,0.0,0.0
2013,Ahilyanagar,Karjat,0.0,9.0,1.0,1.0,0.0,0.0
2013,Ahilyanagar,Jamkhed,0.0,6.0,1.0,1.0,0.0,0.0
2014,Ahilyanagar,Akole,0.0,8.0,1.0,3.0,2.0,1.0
2014,Ahilyanagar,Sangamner,21.0,60.0,9.0,25.0,7.0,2.0
2014,Ahilyanagar,Kopargaon,2.0,10.0,0.0,3.0,0.0,0.0
2014,Ahilyanagar,Rahata,0.0,1.0,1.0,3.0,0.0,0.0
2014,Ahilyanagar,Srirampur,1.0,14.0,1.0,14.0,0.0,0.0
2014,Ahilyanagar,Nevasa,1.0,2.0,0.0,0.0,0.0,0.0
2014,Ahilyanagar,Shevgaon,2.0,0.0,1.0,0.0,0.0,0.0
2014,Ahilyanagar,Pathardi,0.0,3.0,1.0,0.0,1.0,0.0
2014,Ahilyanagar,Nagar,4.0,15.0,2.0,9.0,3.0,0.0
2014,Ahilyanagar,Rahuri,0.0,6.0,0.0,0.0,0.0,0.0
2014,Ahilyanagar,Parner,0.0,2.0,0.0,2.0,0.0,0.0
2014,Ahilyanagar,Srigonda,0.0,9.0,0.0,2.0,0.0,0.0
2014,Ahilyanagar,Karjat,1.0,10.0,1.0,2.0,0.0,0.0
2014,Ahilyanagar,Jamkhed,0.0,7.0,1.0,6.0,0.0,0.0
2015,Ahilyanagar,Akole,0.0,8.0,1.0,3.0,2.0,1.0
2015,Ahilyanagar,Sangamner,22.0,60.0,9.0,25.0,9.0,2.0
2015,Ahilyanagar,Kopargaon,1.0,8.0,0.0,0.0,0.0,0.0
2015,Ahilyanagar,Rahata,1.0,7.0,1.0,2.0,0.0,0.0
2015,Ahilyanagar,Srirampur,4.0,13.0,0.0,6.0,0.0,0.0
2015,Ahilyanagar,Nevasa,1.0,2.0,0.0,0.0,0.0,0.0
2015,Ahilyanagar,Shevgaon,2.0,0.0,1.0,0.0,0.0,0.0
2015,Ahilyanagar,Pathardi,0.0,3.0,1.0,0.0,1.0,0.0
2015,Ahilyanagar,Nagar,4.0,15.0,2.0,9.0,3.0,0.0
2015,Ahilyanagar,Rahuri,0.0,6.0,0.0,0.0,0.0,0.0
2015,Ahilyanagar,Parner,0.0,2.0,0.0,2.0,0.0,0.0
2015,Ahilyanagar,Srigonda,0.0,9.0,0.0,2.0,0.0,0.0
2015,Ahilyanagar,Karjat,1.0,10.0,1.0,2.0,0.0,0.0
2015,Ahilyanagar,Jamkhed,0.0,7.0,1.0,6.0,0.0,0.0
2016,Ahilyanagar,Akole,0.0,8.0,1.0,3.0,2.0,1.0
2016,Ahilyanagar,Sangamner,24.0,63.0,9.0,28.0,9.0,2.0
2016,Ahilyanagar,Kopargaon,3.0,1.0,0.0,1.0,0.0,0.0
2016,Ahilyanagar,Rahata,1.0,2.0,0.0,2.0,2.0,0.0
2016,Ahilyanagar,Srirampur,0.0,4.0,2.0,3.0,0.0,0.0
2016,Ahilyanagar,Nevasa,5.0,1.0,0.0,0.0,0.0,0.0
2016,Ahilyanagar,Shevgaon,2.0,6.0,0.0,1.0,0.0,0.0
2016,Ahilyanagar,Pathardi,0.0,1.0,0.0,3.0,0.0,0.0
2016,Ahilyanagar,Nagar,10.0,24.0,3.0,8.0,1.0,1.0
2016,Ahilyanagar,Rahuri,2.0,4.0,0.0,2.0,0.0,0.0
2016,Ahilyanagar,Parner,2.0,4.0,0.0,2.0,0.0,0.0
2016,Ahilyanagar,Srigonda,0.0,6.0,0.0,6.0,0.0,1.0
2016,Ahilyanagar,Karjat,3.0,12.0,2.0,8.0,0.0,0.0
2016,Ahilyanagar,Jamkhed,0.0,10.0,2.0,4.0,0.0,0.0
2017,Ahilyanagar,Akole,0.0,0.0,0.0,0.0,0.0,0.0
2017,Ahilyanagar,Sangamner,4.0,3.0,0.0,6.0,0.0,0.0
2017,Ahilyanagar,Kopargaon,0.0,3.0,0.0,2.0,0.0,0.0
2017,Ahilyanagar,Rahata,2.0,4.0,0.0,1.0,0.0,0.0
2017,Ahilyanagar,Srirampur,6.0,6.0,0.0,7.0,0.0,0.0
2017,Ahilyanagar,Nevasa,0.0,1.0,0.0,0.0,0.0,0.0
2017,Ahilyanagar,Shevgaon,1.0,5.0,0.0,0.0,0.0,0.0
2017,Ahilyanagar,Pathardi,1.0,0.0,1.0,1.0,0.0,0.0
2017,Ahilyanagar,Nagar,5.0,5.0,0.0,4.0,0.0,0.0
2017,Ahilyanagar,Rahuri,1.0,2.0,0.0,1.0,0.0,0.0
2017,Ahilyanagar,Parner,0.0,8.0,1.0,1.0,0.0,0.0
2017,Ahilyanagar,Srigonda,5.0,10.0,4.0,0.0,0.0,0.0
