Year,District,Taluka,Road Material,Length
2012,Ahilyanagar,Akole,Unpaved,5.21
2012,Ahilyanagar,Akole,Rock,7.19
2012,Ahilyanagar,Akole,Asphalt/Cement/Concrete,396.44
2012,Ahilyanagar,Sangamner,Unpaved,161.26
2012,Ahilyanagar,Sangamner,Rock,39.54
2012,Ahilyanagar,Sangamner,Asphalt/Cement/Concrete,320.05
2012,Ahilyanagar,Kopargaon,Unpaved,0
2012,Ahilyanagar,Kopargaon,Rock,3.4
2012,Ahilyanagar,Kopargaon,Asphalt/Cement/Concrete,186.1
2012,Ahilyanagar,Rahata,Unpaved,0
2012,Ahilyanagar,Rahata,Rock,0
2012,Ahilyanagar,Rahata,Asphalt/Cement/Concrete,151.96
2012,Ahilyanagar,Srirampur,Unpaved,0.62
2012,Ahilyanagar,Srirampur,Rock,24.78
2012,Ahilyanagar,Srirampur,Asphalt/Cement/Concrete,171.1
2012,Ahilyanagar,Nevasa,Unpaved,171.65
2012,Ahilyanagar,Nevasa,Rock,442.65
2012,Ahilyanagar,Nevasa,Asphalt/Cement/Concrete,293
2012,Ahilyanagar,Shevgaon,Unpaved,18.44
2012,Ahilyanagar,Shevgaon,Rock,73.06
2012,Ahilyanagar,Shevgaon,Asphalt/Cement/Concrete,103.4
2012,Ahilyanagar,Pathardi,Unpaved,36.09
2012,Ahilyanagar,Pathardi,Rock,178.21
2012,Ahilyanagar,Pathardi,Asphalt/Cement/Concrete,323.8
2012,Ahilyanagar,Nagar,Unpaved,0
2012,Ahilyanagar,Nagar,Rock,42.5
2012,Ahilyanagar,Nagar,Asphalt/Cement/Concrete,336.82
2012,Ahilyanagar,Rahuri,Unpaved,423.51
2012,Ahilyanagar,Rahuri,Rock,268.8
2012,Ahilyanagar,Rahuri,Asphalt/Cement/Concrete,275.29
2012,Ahilyanagar,Parner,Unpaved,3.93
2012,Ahilyanagar,Parner,Rock,38.87
2012,Ahilyanagar,Parner,Asphalt/Cement/Concrete,333.04
2012,Ahilyanagar,Srigonda,Unpaved,7.52
2012,Ahilyanagar,Srigonda,Rock,59.88
2012,Ahilyanagar,Srigonda,Asphalt/Cement/Concrete,389.15
2012,Ahilyanagar,Karjat,Unpaved,1
2012,Ahilyanagar,Karjat,Rock,28.44
