Year,District,Taluka,Road Type,Length
2012,Ahilyanagar,Akole,National Highways,0.0
2012,Ahilyanagar,Akole,Expressway,0.0
2012,Ahilyanagar,Akole,Major State Highways,0.0
2012,Ahilyanagar,Akole,State highways,197.5
2012,Ahilyanagar,Akole,Major district roads,223.34
2012,Ahilyanagar,Akole,Other district roads,304.5
2012,Ahilyanagar,Akole,District Roads,527.84
2012,Ahilyanagar,Akole,Rural roads,335.5
2012,Ahilyanagar,Sangamner,National Highways,69.17
2012,Ahilyanagar,Sangamner,Expressway,0.0
2012,Ahilyanagar,Sangamner,Major State Highways,0.0
2012,Ahilyanagar,Sangamner,State highways,84.55
2012,Ahilyanagar,Sangamner,Major district roads,227.3
2012,Ahilyanagar,Sangamner,Other district roads,256.9
2012,Ahilyanagar,Sangamner,District Roads,484.2
2012,Ahilyanagar,Sangamner,Rural roads,368.5
2012,Ahilyanagar,Kopargaon,National Highways,0.0
2012,Ahilyanagar,Kopargaon,Expressway,0.0
2012,Ahilyanagar,Kopargaon,Major State Highways,0.0
2012,Ahilyanagar,Kopargaon,State highways,50.6
2012,Ahilyanagar,Kopargaon,Major district roads,164.5
2012,Ahilyanagar,Kopargaon,Other district roads,0.0
2012,Ahilyanagar,Kopargaon,District Roads,164.5
2012,Ahilyanagar,Kopargaon,Rural roads,0.0
2012,Ahilyanagar,Rahata,National Highways,0.0
2012,Ahilyanagar,Rahata,Expressway,0.0
2012,Ahilyanagar,Rahata,Major State Highways,0.0
2012,Ahilyanagar,Rahata,State highways,84.13
2012,Ahilyanagar,Rahata,Major district roads,109.43
2012,Ahilyanagar,Rahata,Other district roads,0.0
2012,Ahilyanagar,Rahata,District Roads,109.43
2012,Ahilyanagar,Rahata,Rural roads,0.0
2012,Ahilyanagar,Srirampur,National Highways,0.0
2012,Ahilyanagar,Srirampur,Expressway,0.0
2012,Ahilyanagar,Srirampur,Major State Highways,0.0
2012,Ahilyanagar,Srirampur,State highways,47.8
2012,Ahilyanagar,Srirampur,Major district roads,108.8
2012,Ahilyanagar,Srirampur,Other district roads,194.5
2012,Ahilyanagar,Srirampur,District Roads,303.3
2012,Ahilyanagar,Srirampur,Rural roads,0.0
2012,Ahilyanagar,Nevasa,National Highways,0.0
2012,Ahilyanagar,Nevasa,Expressway,0.0
2012,Ahilyanagar,Nevasa,Major State Highways,0.0
2012,Ahilyanagar,Nevasa,State highways,84.7
2012,Ahilyanagar,Nevasa,Major district roads,0.0
2012,Ahilyanagar,Nevasa,Other district roads,353.2
2012,Ahilyanagar,Nevasa,District Roads,353.2
2012,Ahilyanagar,Nevasa,Rural roads,554.1
2012,Ahilyanagar,Shevgaon,National Highways,0.0
2012,Ahilyanagar,Shevgaon,Expressway,0.0
2012,Ahilyanagar,Shevgaon,Major State Highways,0.0
2012,Ahilyanagar,Shevgaon,State highways,120.6
2012,Ahilyanagar,Shevgaon,Major district roads,194.9
2012,Ahilyanagar,Shevgaon,Other district roads,324.0
2012,Ahilyanagar,Shevgaon,District Roads,518.9
2012,Ahilyanagar,Shevgaon,Rural roads,518.9
2012,Ahilyanagar,Pathardi,National Highways,70.03
2012,Ahilyanagar,Pathardi,Expressway,0.0
2012,Ahilyanagar,Pathardi,Major State Highways,0.0
2012,Ahilyanagar,Pathardi,State highways,82.6
2012,Ahilyanagar,Pathardi,Major district roads,0.0
2012,Ahilyanagar,Pathardi,Other district roads,258.2
2012,Ahilyanagar,Pathardi,District Roads,258.2
2012,Ahilyanagar,Pathardi,Rural roads,279.9
2012,Ahilyanagar,Nagar,National Highways,35.0
2012,Ahilyanagar,Nagar,Expressway,0.0
2012,Ahilyanagar,Nagar,Major State Highways,19.37
2012,Ahilyanagar,Nagar,State highways,247.08
2012,Ahilyanagar,Nagar,Major district roads,153.8
2012,Ahilyanagar,Nagar,Other district roads,0.0
2012,Ahilyanagar,Nagar,District Roads,153.8
2012,Ahilyanagar,Nagar,Rural roads,0.0
2012,Ahilyanagar,Rahuri,National Highways,0.0
2012,Ahilyanagar,Rahuri,Expressway,0.0
2012,Ahilyanagar,Rahuri,Major State Highways,0.0
2012,Ahilyanagar,Rahuri,State highways,92.0
2012,Ahilyanagar,Rahuri,Major district roads,0.0
2012,Ahilyanagar,Rahuri,Other district roads,230.85
2012,Ahilyanagar,Rahuri,District Roads,230.85
2012,Ahilyanagar,Rahuri,Rural roads,348.5
2012,Ahilyanagar,Parner,National Highways,36.5
2012,Ahilyanagar,Parner,Expressway,0.0
2012,Ahilyanagar,Parner,Major State Highways,0.0
2012,Ahilyanagar,Parner,State highways,117.22
2012,Ahilyanagar,Parner,Major district roads,258.62
2012,Ahilyanagar,Parner,Other district roads,0.0
2012,Ahilyanagar,Parner,District Roads,258.62
2012,Ahilyanagar,Parner,Rural roads,0.0
2012,Ahilyanagar,Srigonda,National Highways,0.0
2012,Ahilyanagar,Srigonda,Expressway,0.0
2012,Ahilyanagar,Srigonda,Major State Highways,0.0
2012,Ahilyanagar,Srigonda,State highways,154.84
2012,Ahilyanagar,Srigonda,Major district roads,301.7
2012,Ahilyanagar,Srigonda,Other district roads,0.0
2012,Ahilyanagar,Srigonda,District Roads,301.7
2012,Ahilyanagar,Srigonda,Rural roads,0.0
2012,Ahilyanagar,Karjat,National Highways,0.0
2012,Ahilyanagar,Karjat,Expressway,0.0
2012,Ahilyanagar,Karjat,Major State Highways,0.0
2012,Ahilyanagar,Karjat,State highways,163.95
2012,Ahilyanagar,Karjat,Major district roads,177.1
2012,Ahilyanagar,Karjat,Other district roads,0.0
2012,Ahilyanagar,Karjat,District Roads,177.1
2012,Ahilyanagar,Karjat,Rural roads,0.0
2012,Ahilyanagar,Jamkhed,National Highways,0.0
2012,Ahilyanagar,Jamkhed,Expressway,0.0
2012,Ahilyanagar,Jamkhed,Major State Highways,0.0
2012,Ahilyanagar,Jamkhed,State highways,114.23
2012,Ahilyanagar,Jamkhed,Major district roads,129.9
2012,Ahilyanagar,Jamkhed,Other district roads,0.0
2012,Ahilyanagar,Jamkhed,District Roads,129.9
2012,Ahilyanagar,Jamkhed,Rural roads,0.0
2013,Ahilyanagar,Akole,National Highways,0.0
2013,Ahilyanagar,Akole,Expressway,0.0
2013,Ahilyanagar,Akole,Major State Highways,0.0
2013,Ahilyanagar,Akole,State highways,197.5
2013,Ahilyanagar,Akole,Major district roads,223.34
2013,Ahilyanagar,Akole,Other district roads,304.5
2013,Ahilyanagar,Akole,District Roads,527.84
2013,Ahilyanagar,Akole,Rural roads,335.5
2013,Ahilyanagar,Sangamner,National Highways,69.17
2013,Ahilyanagar,Sangamner,Expressway,0.0
2013,Ahilyanagar,Sangamner,Major State Highways,0.0
2013,Ahilyanagar,Sangamner,State highways,84.55
2013,Ahilyanagar,Sangamner,Major district roads,227.3
2013,Ahilyanagar,Sangamner,Other district roads,256.9
2013,Ahilyanagar,Sangamner,District Roads,484.2
2013,Ahilyanagar,Sangamner,Rural roads,368.5
2013,Ahilyanagar,Kopargaon,National Highways,0.0
2013,Ahilyanagar,Kopargaon,Expressway,0.0
2013,Ahilyanagar,Kopargaon,Major State Highways,0.0
2013,Ahilyanagar,Kopargaon,State highways,50.6
