District Name Changes Log File
==============================
Chapter: Agriculture | File: DSA_ChemicalFertilizer.csv | Replaced 'Mumbai City' with 'Mumbai' in 70 rows.
Chapter: Agriculture | File: DSA_IrrigationWells.csv | Replaced 'Mumbai City' with 'Mumbai' in 72 rows.
Chapter: Agriculture | File: DSA_TubewellsHandpumps.csv | Replaced 'Mumbai City' with 'Mumbai' in 9 rows.
Chapter: Demography | File: Census_AgeDist.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 102 rows.
Chapter: Demography | File: Census_AgeDist.csv | Replaced 'Mumbai City' with 'Mumbai' in 102 rows.
Chapter: Demography | File: Census_Cooking.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 4 rows.
Chapter: Demography | File: Census_Cooking.csv | Replaced 'Mumbai City' with 'Mumbai' in 4 rows.
Chapter: Demography | File: Census_Electricity.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 6 rows.
Chapter: Demography | File: Census_Electricity.csv | Replaced 'Mumbai City' with 'Mumbai' in 3 rows.
Chapter: Demography | File: Census_Electricity.csv | Replaced 'Buldana' with 'Buldhana' in 3 rows.
Chapter: Demography | File: Census_InwardMigrationC.csv | Replaced 'Greater Bombay' with 'Mumbai' in 3 rows.
Chapter: Demography | File: Census_InwardMigrationC.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 9 rows.
Chapter: Demography | File: Census_InwardMigrationC.csv | Replaced 'Buldana' with 'Buldhana' in 6 rows.
Chapter: Demography | File: Census_InwardMigrationC.csv | Replaced 'Mumbai City' with 'Mumbai' in 3 rows.
Chapter: Demography | File: Census_InwardMigrationD.csv | Replaced 'Greater Bombay' with 'Mumbai' in 32 rows.
Chapter: Demography | File: Census_InwardMigrationD.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 102 rows.
Chapter: Demography | File: Census_InwardMigrationD.csv | Replaced 'Buldana' with 'Buldhana' in 67 rows.
Chapter: Demography | File: Census_InwardMigrationD.csv | Replaced 'Mumbai City' with 'Mumbai' in 35 rows.
Chapter: Demography | File: Census_InwardMigration_A.csv | Replaced 'Greater Bombay' with 'Mumbai' in 3 rows.
Chapter: Demography | File: Census_InwardMigration_A.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 9 rows.
Chapter: Demography | File: Census_InwardMigration_A.csv | Replaced 'Buldana' with 'Buldhana' in 6 rows.
Chapter: Demography | File: Census_InwardMigration_A.csv | Replaced 'Mumbai City' with 'Mumbai' in 6 rows.
Chapter: Demography | File: Census_InwardMigration_B.csv | Replaced 'Greater Bombay' with 'Mumbai' in 2 rows.
Chapter: Demography | File: Census_InwardMigration_B.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 6 rows.
Chapter: Demography | File: Census_InwardMigration_B.csv | Replaced 'Buldana' with 'Buldhana' in 4 rows.
Chapter: Demography | File: Census_InwardMigration_B.csv | Replaced 'Mumbai City' with 'Mumbai' in 2 rows.
Chapter: Demography | File: Census_InwardMigration_E.csv | Replaced 'Greater Bombay' with 'Mumbai' in 5 rows.
Chapter: Demography | File: Census_InwardMigration_E.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 15 rows.
Chapter: Demography | File: Census_InwardMigration_E.csv | Replaced 'Buldana' with 'Buldhana' in 10 rows.
Chapter: Demography | File: Census_InwardMigration_E.csv | Replaced 'Mumbai City' with 'Mumbai' in 5 rows.
Chapter: Demography | File: Census_Literate.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 6 rows.
Chapter: Demography | File: Census_Literate.csv | Replaced 'Mumbai City' with 'Mumbai' in 2 rows.
Chapter: Demography | File: Census_MotherTongue.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 97 rows.
Chapter: Demography | File: Census_Ownership.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 4 rows.
Chapter: Demography | File: Census_Ownership.csv | Replaced 'Mumbai City' with 'Mumbai' in 4 rows.
Chapter: Demography | File: Census_Population.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 6 rows.
Chapter: Demography | File: Census_Population.csv | Replaced 'Buldana' with 'Buldhana' in 2 rows.
Chapter: Demography | File: Census_Religion.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 12 rows.
Chapter: Demography | File: Census_Religion.csv | Replaced 'Buldana' with 'Buldhana' in 12 rows.
Chapter: Demography | File: Census_Religion.csv | Replaced 'Mumbai City' with 'Mumbai' in 18 rows.
Chapter: Demography | File: Census_Religion.csv | Replaced 'Nagaur' with 'Nagpur' in 4 rows.
Chapter: Demography | File: Census_SC.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 6 rows.
Chapter: Demography | File: Census_SexRatio.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 12 rows.
Chapter: Demography | File: Census_SexRatio.csv | Replaced 'Buldana' with 'Buldhana' in 12 rows.
Chapter: Demography | File: Census_ST.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 6 rows.
Chapter: Demography | File: Census_TC.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 4 rows.
Chapter: Demography | File: Census_TC.csv | Replaced 'Mumbai City' with 'Mumbai' in 4 rows.
Chapter: Demography | File: Census_ToiletFacility.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 4 rows.
Chapter: Demography | File: Census_ToiletFacility.csv | Replaced 'Mumbai City' with 'Mumbai' in 4 rows.
Chapter: Demography | File: Census_Water.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 21 rows.
Chapter: Demography | File: Census_Water.csv | Replaced 'Mumbai City' with 'Mumbai' in 12 rows.
